#"+EI TIC Scan EA-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.106863852901997
1,2.102,0.0935888401191402
2,2.110,0.0858199405928093
3,2.117,0.0898401575321631
4,2.125,0.0786808499115741
5,2.132,0.0870531591098531
6,2.140,0.0814791622652331
7,2.147,0.0759391072146602
8,2.155,0.0662166688753975
9,2.162,0.065549146925805
10,2.170,0.0511351983871463
11,2.178,0.0747549157334622
12,2.185,0.0583082308624286
13,2.193,0.0558945921746364
14,2.200,0.0618985184105194
15,2.208,0.0539410533617046
16,2.215,0.0585345094894091
17,2.223,0.0559285339686835
18,2.230,0.0457799375486075
19,2.238,0.0454857753335328
20,2.245,0.0419181156481401
21,2.253,0.0515575851575099
22,2.260,0.0443317543359322
23,2.268,0.046900016752161
24,2.275,0.0429250555382033
25,2.283,0.0466284823997844
26,2.291,0.0398740653844161
27,2.298,0.0424800409051417
28,2.306,0.0310114858276793
29,2.313,0.0483293434125879
30,2.321,0.0348431372445493
31,2.328,0.0376980192549535
32,2.336,0.0493664537862486
33,2.343,0.0250188735231454
34,2.351,0.0339304801157279
35,2.358,0.0235782329313695
36,2.366,0.0240496467375789
37,2.373,0.0382938863060022
38,2.381,0.0415598411554209
39,2.388,0.0332403303034374
40,2.396,0.0692902868918828
41,2.404,0.285163868341742
42,2.411,0.237090974039732
43,2.419,0.0546048040008475
44,2.426,0.0335722056230088
45,2.434,0.0301931114600998
46,2.441,0.0403794209846726
47,2.449,0.0317996897116614
48,2.456,0.0366458236394941
49,2.464,0.0358161353405656
50,2.471,0.0209835713419929
51,2.479,0.0338097981813383
52,2.486,0.0676007398104283
53,2.494,0.562275988873427
54,2.502,0.555774249658187
55,2.509,0.367616028702991
56,2.517,0.283530890917033
57,2.524,0.224702219212549
58,2.532,0.18787537267147
59,2.539,0.154597329263536
60,2.547,0.141620250006204
61,2.554,0.123853606477784
62,2.562,0.106320784197244
63,2.569,0.0852881858194051
64,2.577,0.0846206638698126
65,2.584,0.074803942769308
66,2.592,0.0770177020032673
67,2.599,0.0691394344738958
68,2.607,0.06862653625274
69,2.615,0.0584439980386169
70,2.622,0.060578559753133
71,2.630,0.0570109000677403
72,2.637,0.0473450313852227
73,2.645,0.0553741513325812
74,2.652,0.206498103671967
75,2.660,0.238682467049495
76,2.667,0.106169931779257
77,2.675,0.0854126390642443
78,2.682,0.140304062659267
79,2.690,0.152176147954845
80,2.697,0.0821957112506714
81,2.705,0.0669294465503861
82,2.713,0.0627018075363002
83,2.720,0.0531151363732258
84,2.728,0.0688754427424185
85,2.735,0.0691960041306409
86,2.743,0.0640406227459349
87,2.750,0.053948595982604
88,2.758,0.0587306176327922
89,2.765,0.0560115027985763
90,2.773,0.0654020658182676
91,2.780,0.0494117095116447
92,2.788,0.0456781121664663
93,2.795,0.040560443886257
94,2.803,0.0373699152458317
95,2.810,0.0593679690987873
96,2.818,0.0492042874369126
97,2.826,0.0421293090333219
98,2.833,0.0345263471667766
99,2.841,0.0444524362703218
100,2.848,0.0464436881877503
101,2.856,0.052915256919393
102,2.863,0.0422537622781611
103,2.871,0.040420905399619
104,2.878,0.0388935246675005
105,2.886,0.0487630441143006
106,2.893,0.0472092642090344
107,2.901,0.0460740997636821
108,2.908,0.0393234540587635
109,2.916,0.0377168758072019
110,2.924,0.0407904938236872
111,2.931,0.0449691058019273
112,2.939,0.0346508004116159
113,2.946,0.0379582396759811
114,2.954,0.0703047694028454
115,2.961,1.9095464765363
116,2.969,19.9360936359061
117,2.976,60.2435165327839
118,2.984,100
119,2.991,22.0050345485979
120,2.999,0.148962991451721
121,3.006,0.0846206638698126
122,3.014,0.0626414665691054
123,3.021,0.0545369204127533
124,3.029,0.0476241083584987
125,3.037,0.0519309448920278
126,3.044,0.0845867220757655
127,3.052,0.0522552775906998
128,3.059,0.0531415355463735
129,3.067,0.05411076233194
130,3.074,0.0460401579696351
131,3.082,0.0394290507513544
132,3.089,0.0541560180573361
133,3.097,0.0409564314834729
134,3.104,0.0249811604186486
135,3.112,0.0414240739792326
136,3.119,0.0479936967825668
137,3.127,0.0513690196350262
138,3.134,0.0685247108705987
139,3.142,0.039700585103731
140,3.150,0.03367403100515
141,3.157,0.0433738414817147
142,3.165,0.0499585495268476
143,3.172,0.0349223347639925
144,3.180,0.0303024794631404
145,3.187,0.0412355084567488
146,3.195,0.0351033576655769
147,3.202,0.02426838274366
148,3.210,0.0236197173463159
149,3.217,0.0292050281222849
150,3.225,0.0170274666802836
151,3.232,0.0201878248371114
152,3.240,0.015722593264696
153,3.248,0.0262181502461421
154,3.255,0.031177423487465
155,3.263,0.0614987595028538
156,3.270,0.034092646465064
157,3.278,0.0237253140389068
158,3.285,0.0338286547335867
159,3.293,0.0205460993298306
160,3.300,0.019124315290303
161,3.308,0.0349185634535428
162,3.315,0.0498076971088606
163,3.323,0.0271270360645138
164,3.330,0.0161110382410125
165,3.338,0.0272250901362054
166,3.345,0.0351109002864763
167,3.353,0.00321692781357296
168,3.361,0.0187509555557852
169,3.368,0.0151946098017415
170,3.376,0.0151267262136473
171,3.383,0.033372326169176
172,3.391,0.0221866193754393
173,3.398,0.0185133629974556
174,3.406,0.022190390685889
175,3.413,0.012807370287097
176,3.421,0.0136634577591733
177,3.428,0.00356011706449341
178,3.436,0.028088720229181
179,3.443,0.0219452555066601
180,3.451,0.026915842679332
181,3.459,0.0126829170422578
182,3.466,0.016627707772618
183,3.474,0.0256524536786908
184,3.481,0.0281980882322216
185,3.489,0.0638746850861492
186,3.496,0.0807249001752981
187,3.504,0.019252539845592
188,3.511,0.0162581193485499
189,3.519,0.00875698286414586
190,3.526,0.0198634921384394
191,3.534,0.0115213534237578
192,3.541,0.00881355252089099
193,3.549,0.0221828480649896
194,3.556,0.00988837599904842
195,3.564,0.0137992249353616
196,3.572,0.0226240913876016
197,3.579,0.0155113998795142
198,3.587,0.0123887548271831
199,3.594,0
200,3.602,0.0129582227050841
201,3.609,0.0144554329536051
202,3.617,0.00988460468859875
203,3.624,0.0136370585860256
204,3.632,0.0117928877761344
205,3.639,0.00662619246007936
206,3.647,0.0204782157417364
207,3.654,0.00891914921348189
208,3.662,0.0132222144365613
209,3.670,0.0174121403461505
210,3.677,0.0240421041166795
211,3.685,0.017627105041782
212,3.692,0.0117853451552351
213,3.700,0.0240534180480285
214,3.707,0.0187962112811813
215,3.715,0.017777957459769
216,3.722,0.00282471152680674
217,3.730,0.0194599619203241
218,3.737,0.00742571027541051
219,3.745,0.00709383495583909
220,3.752,0.0173291715162576
221,3.760,0.0120380229553633
222,3.767,0.0123397277913373
223,3.775,0.0180872049166423
224,3.783,0.0132976406455548
225,3.790,0.023653659140363
226,3.798,0.0113365592117237
227,3.805,0.0130939898812724
228,3.813,0.0169595830921895
229,3.820,0.00735405537686668
230,3.828,0.0116043222536506
231,3.835,0.0130110210513795
232,3.843,0.00360160147943983
233,3.850,0.012924280911037
234,3.858,0.012924280911037
235,3.865,0.0118343721910808
236,3.873,0.0162468054172008
237,3.881,0.0197993798607949
238,3.888,0.0157489924378437
239,3.896,0.00834968133558093
240,3.903,0.0155905973989574
241,3.911,0.0113855862475695
242,3.918,0.019693783168204
243,3.926,0.0105257274650435
244,3.933,0.0165183397695775
245,3.941,0.00622266224196411
246,3.948,0.00798386422196244
247,3.956,0.00324709829717036
248,3.963,0.0280811776082817
249,3.971,0.0694939376561653
250,3.978,0.0579725842324075
