#"+EI TIC Scan EA-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.195366493577912
1,2.102,0.182508055918038
2,2.110,0.173993057279834
3,2.117,0.163225044817555
4,2.125,0.163373697276051
5,2.133,0.138195687118349
6,2.140,0.128296362460404
7,2.148,0.128867745347747
8,2.155,0.125773916055306
9,2.163,0.129178986432722
10,2.170,0.108720691832258
11,2.178,0.104432997482524
12,2.185,0.0960759420814717
13,2.193,0.113073421632584
14,2.200,0.08309672429907
15,2.208,0.0778474343584422
16,2.215,0.0901066167950056
17,2.223,0.0785349519789846
18,2.230,0.104117111008221
19,2.238,0.0883413688503697
20,2.246,0.0639391387104427
21,2.253,0.0637719046946351
22,2.261,0.0887826808365287
23,2.268,0.0633538196551161
24,2.276,0.0718177190107123
25,2.283,0.0724123288446949
26,2.291,0.0808251289176833
27,2.298,0.152619620981756
28,2.306,0.1766595107541
29,2.313,0.12075225019175
30,2.321,0.0982499842869706
31,2.328,0.0794779660125664
32,2.336,0.0853822558484406
33,2.344,0.0842859439670352
34,2.351,0.063832294755899
35,2.359,0.0694671520107498
36,2.366,0.0756501652063034
37,2.374,0.0618440681235196
38,2.381,0.0680038543724332
39,2.389,0.0641481812302022
40,2.396,0.172492596526893
41,2.404,0.397654617254528
42,2.411,0.165705682718701
43,2.419,0.071088392886218
44,2.426,0.0563299909911965
45,2.434,0.0561395300287489
46,2.441,0.073253144313061
47,2.449,0.0485629000347986
48,2.457,0.0623457701709424
49,2.464,0.0583832530741677
50,2.472,0.0602785719199873
51,2.479,0.057830451744137
52,2.487,0.0641714081768422
53,2.494,0.0550014096433916
54,2.502,0.0599394584990441
55,2.509,0.039829568098179
56,2.517,0.0620484652539511
57,2.524,0.0611333235563373
58,2.532,0.0506626160110497
59,2.539,0.0492968715486209
60,2.547,0.064673110224265
61,2.554,0.0434901348886345
62,2.562,0.0425796385803486
63,2.570,0.0534033957145633
64,2.577,0.0601113379041796
65,2.585,0.0428583619400279
66,2.592,0.0478660916356002
67,2.600,0.0464724748372035
68,2.607,0.0444656666475122
69,2.615,0.0520701689774304
70,2.622,0.050955275538713
71,2.630,0.0434065178807307
72,2.637,0.0523674738944217
73,2.645,0.0531897078054758
74,2.652,0.0493572616098848
75,2.660,0.0491760914260932
76,2.668,0.0461008436909644
77,2.675,0.050091233123707
78,2.683,0.0293820874995314
79,2.690,0.0560094591275652
80,2.698,0.0398946035487708
81,2.705,0.0548202394596
82,2.713,0.0449255601909831
83,2.720,0.0541420126177136
84,2.728,0.0627359828744935
85,2.735,0.0671909112400351
86,2.743,0.0592054869852218
87,2.750,0.0682361238388327
88,2.758,0.0683104500680805
89,2.765,0.0571847426275465
90,2.773,0.0848526814650499
91,2.781,0.0554148492935826
92,2.788,0.0543231828015052
93,2.796,0.0531989985841318
94,2.803,0.0372885401357689
95,2.811,0.0689004145127351
96,2.818,0.0516102754339595
97,2.826,0.0559026151730215
98,2.833,0.0452089289399904
99,2.841,0.0660156277400539
100,2.848,0.0483538575150391
101,2.856,0.0622110538804307
102,2.863,0.0590521891373981
103,2.871,0.0455248154142937
104,2.879,0.0560698491888291
105,2.886,0.0697412299811012
106,2.894,0.066377968107637
107,2.901,0.0518704172363269
108,2.909,0.0546808777797603
109,2.916,0.0642178620701221
110,2.924,0.0604690328824348
111,2.931,0.0455433969716057
112,2.939,0.0479264816968641
113,2.946,0.0499100629399155
114,2.954,0.249801165723289
115,2.961,7.03495437136013
116,2.969,43.2423684034368
117,2.976,95.3214333014303
118,2.984,100
119,2.992,1.62038612383186
120,2.999,0.130693383353647
121,3.007,0.103109061524047
122,3.014,0.0892750921052956
123,3.022,0.0948263323522426
124,3.029,0.0801561928544528
125,3.037,0.0913469357455787
126,3.044,0.07452598098893
127,3.052,0.063799777030603
128,3.059,0.0676926132874579
129,3.067,0.0845739581053705
130,3.074,0.0571475795129226
131,3.082,0.0473829711454894
132,3.090,0.0670236772242275
133,3.097,0.055684281874606
134,3.105,0.0624804864614541
135,3.112,0.0601485010188036
136,3.120,0.0610868696630574
137,3.127,0.0975485304984442
138,3.135,0.0790552355837194
139,3.142,0.0600881109575397
140,3.150,0.0570686078943467
141,3.157,0.0675671877756022
142,3.165,0.0712649176806816
143,3.172,0.053960842433922
144,3.180,0.0575796007204256
145,3.187,0.049696375030828
146,3.195,0.0493851339458527
147,3.203,0.0532919063706916
148,3.210,0.0594563380089332
149,3.218,0.0546204877184965
150,3.225,0.0529620837284043
151,3.233,0.0334700301081619
152,3.240,0.039834213487507
153,3.248,0.0659784646254299
154,3.255,0.080095802793189
155,3.263,0.0583507353488718
156,3.270,0.0577375439575772
157,3.278,0.040698255902513
158,3.285,0.0606594938448824
159,3.293,0.0485443184774867
160,3.300,0.0561488208074049
161,3.308,0.0534916581117951
162,3.316,0.0637904862519471
163,3.323,0.0453064821158782
164,3.331,0.0373210578610649
165,3.338,0.0342318739579521
166,3.346,0.06939747117083
167,3.353,0.0622760893310226
168,3.361,0.0559304875089894
169,3.368,0.0422869790526853
170,3.376,0.0504582188806182
171,3.383,0.0409072984222725
172,3.391,0.0476616945051687
173,3.398,0.0435412341712423
174,3.406,0.0390630788590608
175,3.414,0.0296143569659309
176,3.421,0.0414322274163353
177,3.429,0.0269571942703211
178,3.436,0.0349240369678225
179,3.444,0.0399642843886907
180,3.451,0.0442937872423766
181,3.459,0.0326431508077798
182,3.466,0.03255024302122
183,3.474,0.0350541078690062
184,3.481,0.0491342829221413
185,3.489,0.110927251763053
186,3.496,0.0659924007934139
187,3.504,0.0299581157762021
188,3.511,0.0335536471160657
189,3.519,0.0255682228612523
190,3.527,0.0246019818810306
191,3.534,0.0353885759006214
192,3.542,0.0166119122368892
193,3.549,0.0115112747547571
194,3.557,0.0157710967685232
195,3.564,0.0251408470430773
196,3.572,0.0213176916261422
197,3.579,0.032531661463908
198,3.587,0.0219215922387808
199,3.594,0.0195710252388183
200,3.602,0.0217032589403653
201,3.609,0.0201795712407849
202,3.617,0.0355790368630689
203,3.625,0.0221306347585403
204,3.632,0.0253545349521648
205,3.640,0.0279791799224787
206,3.647,0.0305248532742167
207,3.655,0.0202027981874248
208,3.662,0.0267760240865295
209,3.670,0.00935581410657016
210,3.677,0.0129699270037457
211,3.685,0.0116088279306449
212,3.692,0.0130163808970256
213,3.700,0.0199333656064015
214,3.707,0.0265065915055061
215,3.715,0.0311473354441673
216,3.722,0.0164493236104096
217,3.730,0.0373210578610649
218,3.738,0.0253266626161969
219,3.745,0.0237983295272884
220,3.753,0.0215778334285096
221,3.760,0.0339577959876007
222,3.768,0.0302182575785694
223,3.775,0.0253731165094768
224,3.783,0.0207184364028316
225,3.790,0.0144099976954224
226,3.798,0.0153204940037082
227,3.805,0.0233802444877694
228,3.813,0.0172715575214637
229,3.820,0.0328196756022434
230,3.828,0.0220609539186205
231,3.836,0.0110281542646463
232,3.843,0.0146329763831658
233,3.851,0.0146004586578699
234,3.858,0.025707584541092
235,3.866,0.0290662010252281
236,3.873,0.0120269129701639
237,3.881,0.0228042162110988
238,3.888,0.0243186131320232
239,3.896,0.0301764490746175
240,3.903,0.0256100313652042
241,3.911,0.0203096421419686
242,3.918,0.0196035429641142
243,3.926,0
244,3.933,0.0108005301875748
245,3.941,0.0251965917150132
246,3.949,0.0183864509601811
247,3.956,0.0218844291241569
248,3.964,0.0313888956892227
249,3.971,0.106518777290791
250,3.979,0.0503420841474185
251,3.986,0.0213130462368142
252,3.994,0.030845385137848
253,4.001,0.0294610591181072
254,4.009,0.0307385411833042
255,4.016,0.0228135069897547
256,4.024,0.0225394290194034
257,4.031,0.0127841114306262
258,4.039,0.0199984010569933
259,4.047,0.0237472302446806
260,4.054,0.0312123708947591
261,4.062,0.0317698176141178
262,4.069,0.0175177631558471
263,4.077,0.0264787191695382
264,4.084,0.0181727630510936
265,4.092,0.0269525488809931
266,4.099,0.0268457049264493
267,4.107,0.0302832930291613
268,4.114,0.0378645684124396
269,4.122,0.0229993225628743
270,4.129,0.0123102817191713
271,4.137,0.0383430435132225
272,4.144,0.00680549536550411
273,4.152,0.0281185416023183
274,4.160,0.0470066946099222
275,4.167,0.0217915213375971
276,4.175,0.0324712714026442
277,4.182,0.0208206349680474
278,4.190,0.0169277987111925
279,4.197,0.0164446782210816
280,4.205,0.0157014159286033
281,4.212,0.0216521596577574
282,4.220,0.02485747829407
283,4.227,0.0191111316953474
284,4.235,0.016686238466137
285,4.242,0.0340646399421445
286,4.250,0.0132207780274571
287,4.257,0.0140615934958232
288,4.265,0.025684357594452
289,4.273,0.0108376933021987
290,4.280,0.0146143948258539
291,4.288,0.0242071237881515
292,4.295,0.020983223594527
293,4.303,0.0228599608830346
294,4.310,0.0145075508713101
295,4.318,0.0116552818239248
296,4.325,0.0291498180331319
297,4.333,0.029140527254476
298,4.340,0.0225719467446993
299,4.348,0.0281649954955982
300,4.355,0.0245787549343906
301,4.363,0.0143496076341585
302,4.371,0.0192226210392191
303,4.378,0.0358066609401404
304,4.386,0.0304969809382488
305,4.393,0.0252244640509811
306,4.401,0.0228320885470667
307,4.408,0.0444285035328883
308,4.416,0.128983880080947
309,4.423,0.150701075189296
310,4.431,0.0421150996475497
311,4.438,0.0257540384343719
312,4.446,0.0322761650508686
313,4.453,0.0162263449226661
314,4.461,0.0159476215629868
315,4.468,0.0134391113258726
316,4.476,0.0266738255213137
317,4.484,0.0143449622448305
318,4.491,0.026144251137923
319,4.499,0.020969287426543
320,4.506,0.0204768761577762
321,4.514,0.0130953525156014
322,4.521,0.0183585786242131
323,4.529,0.0135598914484003
324,4.536,0.0301625129066336
325,4.544,0.0276586480588474
326,4.551,0.0278862721359189
327,4.559,0.0165979760689052
328,4.566,0.0099782962765207
329,4.574,0.0206952094561917
330,4.582,0.0170810965590161
331,4.589,0.0177639687902305
332,4.597,0.0209599966478871
333,4.604,0.0179126212487262
334,4.612,0.0218193936735651
335,4.619,0.0209088973652792
336,4.627,0.0218054575055811
337,4.634,0.0201609896834729
338,4.642,0.0221585070945083
339,4.649,0.0173040752467596
340,4.657,0.0211365214423506
341,4.664,0.00937439566388211
342,4.672,0.0166490753515131
343,4.679,0.0110002819286783
344,4.687,0.0200355641716172
345,4.695,0.0174109192013033
346,4.702,0.0344827249816635
347,4.710,0.0184747133574129
348,4.717,0.028248612503502
349,4.725,0.0189857061834917
350,4.732,0.0362944268195793
351,4.740,0.0197661315905938
352,4.747,0.0169788979938004
353,4.755,0.0216242873217895
354,4.762,0.0214663440846379
355,4.770,0.0213269824047982
356,4.777,0.0252012371043412
357,4.785,0.0182656708376534
358,4.793,0.0344362710883836
359,4.800,0.0319742147445493
360,4.808,0.0368611643175939
361,4.815,0.031254179398711
362,4.823,0.021861202177517
363,4.830,0.0261907050312028
364,4.838,0.00863577876073184
365,4.845,0.012003686023524
366,4.853,0.00710280028249542
367,4.860,0.0256100313652042
368,4.868,0.0134437567152006
369,4.875,0.0198915571024496
370,4.883,0.0131278702408973
371,4.890,0.0208949611972952
372,4.898,0.0228227977684107
373,4.906,0.0197429046439539
374,4.913,0.0343387179124958
375,4.921,0.0558793882263815
376,4.928,0.0439546738214334
377,4.936,0.0293542151635635
378,4.943,0.0300603143414178
379,4.951,0.0202306705233928
380,4.958,0.00960201974095358
381,4.966,0.0212944646795023
382,4.973,0.0249643222486137
383,4.981,0.030826803580536
384,4.988,0.0164864867250335
385,4.996,0.0185536849759887
386,5.003,0.0304969809382488
387,5.011,0.0199984010569933
388,5.019,0.00935116871724217
389,5.026,0.0152415223851324
390,5.034,0.0331959521378105
391,5.041,0.0307664135192722
392,5.049,0.263732688317928
393,5.056,3.7755587578805
394,5.064,5.35374616505691
395,5.071,0.860172805695768
396,5.079,0.2313636154805
397,5.086,0.158965222803789
398,5.094,0.131023205995934
399,5.101,0.0934234247751899
400,5.109,0.0759799878485906
401,5.117,0.0885318298128173
402,5.124,0.0814894195915857
403,5.132,0.0726864068150463
404,5.139,0.0577375439575772
405,5.147,0.0515916938766475
406,5.154,0.0452739643905823
407,5.162,0.042811908046748
408,5.169,0.0529574383390764
409,5.177,0.0511503818904886
410,5.184,0.0535613389517149
411,5.192,0.0404334687108176
