#"+EI TIC Scan END-MEOH.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.275059105382447
1,2.102,0.2984185443937
2,2.110,0.266303922358847
3,2.117,0.23731652745329
4,2.125,0.218558429369654
5,2.133,0.219516603338562
6,2.140,0.200437359034578
7,2.148,0.209566335199895
8,2.155,0.204464848519276
9,2.163,0.155245241731762
10,2.170,0.164537423353321
11,2.178,0.155145212581161
12,2.185,0.143168037969802
13,2.193,0.149769961909426
14,2.200,0.157182648438126
15,2.208,0.126557934278005
16,2.215,0.134102238110127
17,2.223,0.114443877671088
18,2.230,0.120593038086941
19,2.238,0.109200244302774
20,2.246,0.102603585055287
21,2.253,0.0911897325025719
22,2.261,0.0857618349094681
23,2.268,0.0816027281213478
24,2.276,0.0948592229219642
25,2.283,0.0807498479951763
26,2.291,0.0725000754167149
27,2.298,0.0709469912363408
28,2.306,0.0763696241373078
29,2.313,0.0757062729280633
30,2.321,0.0620970437542772
31,2.328,0.0579010841211989
32,2.336,0.0602754602749233
33,2.344,0.0581432599594945
34,2.351,0.076474917980045
35,2.359,0.0690306432985234
36,2.366,0.0489037252593032
37,2.374,0.0658876220928173
38,2.381,0.0981812436603235
39,2.389,0.208660808152355
40,2.396,0.280802884503763
41,2.404,0.198626304939497
42,2.411,0.0937167847282653
43,2.419,0.0716577246748171
44,2.426,0.0670827072078847
45,2.434,0.065592799333153
46,2.441,0.0514202481007228
47,2.449,0.0607282237986933
48,2.457,0.0658139164029012
49,2.464,0.0730212799382641
50,2.472,0.0464661727999365
51,2.479,0.0506463383566042
52,2.487,0.0504041625183086
53,2.494,0.0442971196395497
54,2.502,0.0604281363468922
55,2.509,0.0492301361717886
56,2.517,0.0466767604854109
57,2.524,0.048798431416566
58,2.532,0.0456922630558179
59,2.539,0.0536840657195731
60,2.547,0.0658876220928173
61,2.554,0.0584222886427481
62,2.562,0.0704521101754759
63,2.570,0.0649189187396348
64,2.577,0.0463503495729255
65,2.585,0.0466978192539584
66,2.592,0.0612968105494743
67,2.600,0.0524468630674107
68,2.607,0.0684357330870581
69,2.615,0.0402064538492086
70,2.622,0.0385006935968656
71,2.630,0.0464240552628416
72,2.637,0.0409171872876848
73,2.645,0.0172155432875359
74,2.652,0.0363737579735737
75,2.660,0.0475717581486773
76,2.668,0.039774749093986
77,2.675,0.0467083486382321
78,2.683,0.0460502621211245
79,2.690,0.058580229406854
80,2.698,0.0492722537088835
81,2.705,0.0463819377257467
82,2.713,0.0416068619576136
83,2.720,0.0380321359966849
84,2.728,0.0446919715498143
85,2.735,0.0329043258553822
86,2.743,0.0480455804409948
87,2.750,0.045992350507619
88,2.758,0.060059607897312
89,2.765,0.0668405313695891
90,2.773,0.080154937783711
91,2.781,0.0396431317905644
92,2.788,0.0208692396305176
93,2.796,0.0366843748096485
94,2.803,0.0811920821346726
95,2.811,0.0539262415578687
96,2.818,0.0179789236473808
97,2.826,0.0540052119399216
98,2.833,0.0545737986907026
99,2.841,0.0445392954778453
100,2.848,0.0512833661051644
101,2.856,0.0574483205974288
102,2.863,0.0297033930361706
103,2.871,0.0181473937957604
104,2.879,0.0465925254112212
105,2.886,0.0369107565715335
106,2.894,0.0386165168238765
107,2.901,0.0467294074067795
108,2.909,0.0429493584525132
109,2.916,0.0385059582890024
110,2.924,0.0381584886079696
111,2.931,0.0273816638038148
112,2.939,0.0517203355525239
113,2.946,0.255674508934525
114,2.954,6.42946315460458
115,2.961,40.4552631995966
116,2.969,100
117,2.976,87.4395238233374
118,2.984,2.0119178941779
119,2.992,0.0924216704625974
120,2.999,0.0782859720751253
121,3.007,0.0512096604152484
122,3.014,0.0504620741318141
123,3.022,0.0374109023245353
124,3.029,0.039811601938944
125,3.037,0.0846562495607272
126,3.044,0.0571219096849434
127,3.052,0.0346469389526832
128,3.059,0.071431342912932
129,3.067,0.0626919539657425
130,3.074,0.0363369051286156
131,3.082,0.0375530490122306
132,3.090,0.0372634909447032
133,3.097,0.0386270462081502
134,3.105,0.0262286962258422
135,3.112,0.0363421698207525
136,3.120,0.0638449215437151
137,3.127,0.0472716706968762
138,3.135,0.0278186332511743
139,3.142,0.0240438489890449
140,3.150,0.0150728135878335
141,3.157,0.0474927877666244
142,3.165,0.0370160504142707
143,3.172,0.0274922223386889
144,3.180,0.0367633451917014
145,3.187,0.0301456271756669
146,3.195,0.0102345615140581
147,3.203,0.0110400594109978
148,3.210,0.0270657822756032
149,3.218,0.0198636834323771
150,3.225,0.0159520171746893
151,3.233,0.00425387124658381
152,3.240,0.0284977785368294
153,3.248,0.0555109138910639
154,3.255,0.142946920900054
155,3.263,0.177499095394274
156,3.270,0.0746112169635962
157,3.278,0.0314460061334716
158,3.285,0.0144357858392733
159,3.293,0.0303562148611414
160,3.301,0.0452237054556373
161,3.308,0.054600122151387
162,3.316,0.02400173145195
163,3.323,0.0347101152583255
164,3.331,0.00567533812353632
165,3.338,0.0216536787589099
166,3.346,0.00866568325727345
167,3.353,0
168,3.361,0.00382743118349805
169,3.368,0.0180315705687494
170,3.376,0.0275553986443312
171,3.383,0.0358841416048456
172,3.391,0.0116349696224631
173,3.398,0.0212746209250559
174,3.406,0.00808656712221872
175,3.414,0.0129406132724047
176,3.421,0.0158414586398152
177,3.429,0.0192371850680906
178,3.436,0.00601227842029543
179,3.444,0.0416015972654768
180,3.451,0.0139672282390926
181,3.459,0.0287820719122199
182,3.466,0.0254074042524919
183,3.474,0.0296770695754863
184,3.481,0.0699309056539266
185,3.489,0.0881835932924242
186,3.496,0.0254126689446288
187,3.504,0.0163310750085433
188,3.511,0.0313038594457764
