#"+EI TIC Scan END-MEOH2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.179354354634429
1,2.102,0.177768850248178
2,2.110,0.16939831973841
3,2.117,0.160392421662094
4,2.125,0.144875463293708
5,2.132,0.141832693846564
6,2.140,0.128927154467298
7,2.148,0.123704316489059
8,2.155,0.143750454666699
9,2.163,0.130256180202833
10,2.170,0.133672009505565
11,2.178,0.119303376005163
12,2.185,0.128746453599748
13,2.193,0.120020350415122
14,2.200,0.126135034610628
15,2.208,0.114337016677641
16,2.215,0.108368058988224
17,2.223,0.0932125023549403
18,2.230,0.113870691858155
19,2.238,0.102626434648307
20,2.246,0.0955965879945608
21,2.253,0.0865965189784875
22,2.261,0.115106452629792
23,2.268,0.0796890825898561
24,2.276,0.0870861600389475
25,2.283,0.0824112537236037
26,2.291,0.0872901771474724
27,2.298,0.0956490495367529
28,2.306,0.0721287914539448
29,2.313,0.0844397666883663
30,2.321,0.0912539381131005
31,2.328,0.0889747755578644
32,2.336,0.0776489115046064
33,2.343,0.0756612019615487
34,2.351,0.082108142590938
35,2.359,0.0640030814744072
36,2.366,0.0672148936686147
37,2.374,0.065839235451132
38,2.381,0.0920991518484183
39,2.389,0.113357734556721
40,2.396,0.238653384492275
41,2.404,0.284114225331883
42,2.411,0.212253570649143
43,2.419,0.108070776915802
44,2.426,0.094751374259243
45,2.434,0.0965758701154807
46,2.441,0.0917260919928298
47,2.449,0.0758360737688558
48,2.457,0.0852674932429534
49,2.464,0.0950311691509344
50,2.472,0.0868588266894482
51,2.479,0.0832331512179472
52,2.487,0.080872381819301
53,2.494,0.0582089955922978
54,2.502,0.073498620611184
55,2.509,0.0687537655729173
56,2.517,0.0699836972843108
57,2.524,0.0717615606585999
58,2.532,0.0562737475914323
59,2.539,0.0730964154543776
60,2.547,0.0835595785915871
61,2.554,0.0749908600335381
62,2.562,0.0742563984428482
63,2.570,0.0793160227342676
64,2.577,0.0836353563747535
65,2.585,0.091994228764034
66,2.592,0.091003288522627
67,2.600,0.0845971513149427
68,2.607,0.0891088439434665
69,2.615,0.089563510642465
70,2.622,0.0740523813343232
71,2.630,0.0751657318408452
72,2.637,0.068269953572701
73,2.645,0.0873951002318567
74,2.652,0.0659091841740548
75,2.660,0.0774915268780299
76,2.668,0.0802195270720211
77,2.675,0.0904670149802185
78,2.683,0.0688586886573016
79,2.690,0.0710096118871792
80,2.698,0.0756495438410616
81,2.705,0.0798697834574068
82,2.713,0.0625982779557066
83,2.720,0.0765472191185715
84,2.728,0.0741981078404124
85,2.735,0.101851169635912
86,2.743,0.0891962798471201
87,2.750,0.0828950657238201
88,2.758,0.0909391688599477
89,2.765,0.0876923823042788
90,2.773,0.100388075514776
91,2.781,0.0997060754662782
92,2.788,0.0692084322719159
93,2.796,0.0766055097210072
94,2.803,0.0877623310272017
95,2.811,0.0940227417287967
96,2.818,0.0694590818623894
97,2.826,0.0721579367551627
98,2.833,0.065267987547262
99,2.841,0.062837269425693
100,2.848,0.0703159537181943
101,2.856,0.0765180738173536
102,2.863,0.0668068594515647
103,2.871,0.0491156616123274
104,2.878,0.0798231509754583
105,2.886,0.0555159697597681
106,2.894,0.0718664837429841
107,2.901,0.0649240729928913
108,2.909,0.0794209458186519
109,2.916,0.0792402449511012
110,2.924,0.0733295778641204
111,2.931,0.0767046037451479
112,2.939,0.0658217482704012
113,2.946,0.066666962005719
114,2.954,0.917768048169489
115,2.961,14.1911910775274
116,2.969,54.3868341581065
117,2.976,100
118,2.984,25.4950854027274
119,2.992,0.379326095350368
120,2.999,0.192976868423654
121,3.007,0.147626779728674
122,3.014,0.128076111671737
123,3.022,0.122917393356177
124,3.029,0.101979408961271
125,3.037,0.104619973251608
126,3.044,0.117041700630658
127,3.052,0.0971529470795942
128,3.059,0.0967565709830314
129,3.067,0.112938042219184
130,3.074,0.0773049969502357
131,3.082,0.098499459995859
132,3.089,0.0926820578727754
133,3.097,0.100090793442354
134,3.105,0.0788263816738076
135,3.112,0.074571167696001
136,3.120,0.096109545295995
137,3.127,0.121022948777017
138,3.135,0.0851042795561334
139,3.142,0.061683115497466
140,3.150,0.0755679369976516
141,3.157,0.0915220748843048
142,3.165,0.101373186695939
143,3.172,0.0799164159393554
144,3.180,0.0809481596024674
145,3.187,0.0694066203201973
146,3.195,0.0679493552593046
147,3.203,0.052991986674302
148,3.210,0.0775906209021706
149,3.218,0.0630179702932437
150,3.225,0.0626857138593602
151,3.233,0.0480722598287282
152,3.240,0.0625050129918095
153,3.248,0.0590716965083463
154,3.255,0.0802719886142132
155,3.263,0.112710708869685
156,3.270,0.0804993219637125
157,3.278,0.0660199363186827
158,3.285,0.0717615606585999
159,3.293,0.0553294398319738
160,3.300,0.0581099015681571
161,3.308,0.0612459359791982
162,3.316,0.0768153558897757
163,3.323,0.0618813035457474
164,3.331,0.0736210308762989
165,3.338,0.0486376786723546
166,3.346,0.0500657984320294
167,3.353,0.0464809263822334
168,3.361,0.038827370282425
169,3.368,0.0353765666182311
170,3.376,0.0448138151525722
171,3.383,0.0446214561645343
172,3.391,0.0369096094622902
173,3.398,0.0424880201153874
174,3.406,0.0606688590150847
175,3.414,0.0423656098502724
176,3.421,0.0450120032008536
177,3.429,0.0416952679222618
178,3.436,0.0504971488900537
179,3.444,0.0587102947732449
180,3.451,0.0494420889859674
181,3.459,0.0431233876819366
182,3.466,0.0369212675827773
183,3.474,0.0651980388243392
184,3.481,0.0726825521770841
185,3.489,0.104550024528686
186,3.496,0.0725601419119691
187,3.504,0.0534058499515955
188,3.511,0.0400281566926005
189,3.519,0.0500133368898373
190,3.527,0.0382794386195293
191,3.534,0.0336919682078391
192,3.542,0.0435139347182559
193,3.549,0.0375624642095701
194,3.557,0.0296174550975831
195,3.564,0.0408325670062133
196,3.572,0.0353823956784746
197,3.579,0.0366006692693809
198,3.587,0.0429893192963345
199,3.594,0.0445689946223422
200,3.602,0.0523741062884835
201,3.609,0.0287664123020218
202,3.617,0.0279503438679219
203,3.624,0.039940720788947
204,3.632,0.0456531998276463
205,3.640,0.0360527376064853
206,3.647,0.0282709421813183
207,3.655,0.0468598152980655
208,3.662,0.0344555750997469
209,3.670,0.0469997127439112
210,3.677,0.0290928396756618
211,3.685,0.0263182069997221
212,3.692,0.0312554210260265
213,3.700,0.0338318656536848
214,3.707,0.0480081401660489
215,3.715,0.0403837293674584
216,3.722,0.0499317300464273
217,3.730,0.0342748742321962
218,3.738,0.029197762760046
219,3.745,0.0531960037828269
220,3.753,0.0382328061375807
221,3.760,0.0422956611273496
222,3.768,0.0383843617039136
223,3.775,0.0294134379890582
224,3.783,0.0354873187628589
225,3.790,0.0312554210260265
226,3.798,0.0465858494666177
227,3.805,0.0357904298955246
228,3.813,0.0379355240651586
229,3.820,0.0314128056526029
230,3.828,0.0329924809786106
231,3.835,0.0334121733161477
232,3.843,0.0404711652711119
233,3.851,0.0387923959209635
234,3.858,0.0367172504742523
235,3.866,0.0238000529744995
236,3.873,0.0377373360168772
237,3.881,0.0367871991971752
238,3.888,0.0411065328376611
239,3.896,0.0299788568326845
240,3.903,0.0453850630564421
241,3.911,0.0216899331663269
242,3.918,0.0232404631911167
243,3.926,0.0343506520153626
244,3.933,0.03870496001731
245,3.941,0.0266213181323878
246,3.949,0.0298331303265953
247,3.956,0.0334296604968784
248,3.964,0.0437995586701908
249,3.971,0.0749500566118331
250,3.979,0.0454433536588778
251,3.986,0.0332839339907892
252,3.994,0.0401738831986898
253,4.001,0.0255662582283014
254,4.009,0.0314011475321158
255,4.016,0.0316809424238072
256,4.024,0.0328117801110599
257,4.031,0.039410276306782
258,4.039,0.0381453702339272
259,4.046,0.029524190133686
260,4.054,0.0304684978931445
261,4.062,0.0356563615099225
262,4.069,0.0430534389590138
263,4.077,0.0165078986097924
264,4.084,0.0206407023224841
265,4.092,0.0460612340446963
266,4.099,0.0569266023387122
267,4.107,0.0572180553508908
268,4.114,0.0400922763552798
269,4.122,0.033435489557122
270,4.129,0.0428960543324374
271,4.137,0.0197080526835128
272,4.144,0.0326310792435092
273,4.152,0.0462885673941956
274,4.160,0.0340475408826969
275,4.167,0.0502931317815287
276,4.175,0.0294484123505196
277,4.182,0.0285099336513047
278,4.190,0.0197605142257049
279,4.197,0.0271459335543091
280,4.205,0.0162222746578575
281,4.212,0.0326835407857014
282,4.220,0.0466557981895405
283,4.227,0.0320831475806136
284,4.235,0.0257702753368264
285,4.242,0.020302616828357
286,4.250,0.0200519672378835
287,4.257,0.032444549315715
288,4.265,0.0282009934583954
289,4.273,0.0263706685419142
290,4.280,0.0350909426662961
291,4.288,0.0229490101789382
292,4.295,0.0271284463735784
293,4.303,0.0343156776539012
294,4.310,0.0240273863239988
295,4.318,0.0324387202554714
296,4.325,0.039410276306782
297,4.333,0.0303286004472988
298,4.340,0.0186996252613751
299,4.348,0.033680310087352
300,4.355,0.0419400884524918
301,4.363,0.0303052842063245
302,4.371,0.0233978478176931
303,4.378,0.0347353699914383
304,4.386,0.0415903448378775
305,4.393,0.0231996597694117
306,4.401,0.0274723609279491
307,4.408,0.0616772864372224
308,4.416,0.0926703997522883
309,4.423,0.113223666171119
310,4.431,0.0547115594461553
311,4.438,0.0438753364533573
312,4.446,0.0226692152872468
313,4.453,0.0266504634336056
314,4.461,0.0338376947139284
315,4.468,0.029524190133686
316,4.476,0.0254555060836736
317,4.484,0.0168284969231888
318,4.491,0.0275248224701412
319,4.499,0.0194515740327957
320,4.506,0.0170500012124445
321,4.514,0.0310339167367708
322,4.521,0.0186355055986958
323,4.529,0.0294134379890582
324,4.536,0.0279794891691397
325,4.544,0.0151322403923097
326,4.551,0.030351916688273
327,4.559,0.0240565316252166
328,4.566,0.0204891467561513
329,4.574,0.0364840880645095
330,4.581,0.0163155396217546
331,4.589,0.030719147483618
332,4.597,0.0340766861839148
333,4.604,0.00797415441320483
334,4.612,0.0344788913407212
335,4.619,0.0157734370191025
336,4.627,0.0229490101789382
337,4.634,0.0313661731706544
338,4.642,0.0304568397726573
339,4.649,0.0240565316252166
340,4.657,0.0120253512824865
341,4.664,0.023059762323566
342,4.672,0.0203550783705492
343,4.679,0.0296116260373396
344,4.687,0.0181283773575051
345,4.695,0.00879605190754831
346,4.702,0.0126024282466
347,4.710,0.0289412841093289
348,4.717,0.0249891812641879
349,4.725,0.0289296259888418
350,4.732,0.0291394721576103
351,4.740,0.0212644117685462
352,4.747,0.0337852331717362
353,4.755,0.0161290096939603
354,4.762,0.0281485319162033
355,4.770,0.0297340363024545
356,4.777,0.0353241050760389
357,4.785,0.0389206352463221
358,4.792,0.0269127711445663
359,4.800,0.0428494218504888
360,4.808,0.0241906000108187
361,4.815,0.0204075399127413
362,4.823,0.0210720527805084
363,4.830,0.0289063097478675
364,4.838,0.0287139507598297
365,4.845,0.029728207242211
366,4.853,0.0278104464220762
367,4.860,0.0250999334088158
368,4.868,0.0336628229066213
369,4.875,0.0325028399181507
370,4.883,0.0453559177552242
371,4.890,0.0299438824712231
372,4.898,0.0392528916802056
373,4.906,0.0337968912922234
374,4.913,0.0324212330747407
375,4.921,0.0160065994288454
376,4.928,0.0229082067572332
377,4.936,0.0389264643065657
378,4.943,0.0397017293189606
379,4.951,0.0439686014172544
380,4.958,0.0429660030553602
381,4.966,0.0322521903276771
382,4.973,0.0319024467130629
383,4.981,0.00723386376227134
384,4.988,0.0223253007328761
385,4.996,0.0272508566386934
386,5.003,0.0327185151471628
387,5.011,0.030841557748733
388,5.019,0.0294134379890582
389,5.026,0.0156335395732568
390,5.034,0.0173123089234052
391,5.041,0.00500133368898373
392,5.049,0.0256828394331729
393,5.056,0.049203097515981
394,5.064,0.0171082918148802
395,5.071,0.0262424292165556
396,5.079,0.0200811125391013
397,5.086,0.0192883603459757
398,5.094,0.0219522408772876
399,5.101,0.0296524294590446
400,5.109,0.0205998989007791
401,5.117,0.0280144635306012
402,5.124,0.038500942908785
403,5.132,0.0215092322987762
404,5.139,0.027011865168707
405,5.147,0.033802720352467
406,5.154,0.0309756261343351
407,5.162,0.0310630620379887
408,5.169,0.0369912163057002
409,5.177,0.0234211640586674
410,5.184,0.0294892157722246
411,5.192,0.0290986687359053
412,5.199,0.0330099681593413
413,5.207,0.0286031986152018
414,5.214,0.0302994551460809
415,5.222,0.0251757111919822
416,5.230,0.0174172320077895
417,5.237,0.0313836603513851
418,5.245,0.0363092162572024
419,5.252,0.021946411817044
420,5.260,0.026889454903592
421,5.267,0.0155577617900904
422,5.275,0.0150681207296305
423,5.282,0.0248201385171244
424,5.290,0.00968206906457107
425,5.297,0.0282592840608311
426,5.305,0.0105914024625681
427,5.312,0.0223136426123889
428,5.320,0.0186588218396701
429,5.327,0.014287026656992
430,5.335,0.0135933684880071
431,5.343,0.0220513349014283
432,5.350,0.0368105154381495
433,5.358,0.0197488561052178
434,5.365,0.0230714204440531
435,5.373,0.0232696084923346
436,5.380,0.0194690612135264
437,5.388,0.0192358988037836
438,5.395,0.0275714549520898
439,5.403,0.0221620870460561
440,5.410,0.011121846944733
441,5.418,0.0292269080612639
442,5.425,0.00617880385818503
443,5.433,0.0159308216456789
444,5.441,0.00824812024465265
445,5.448,0.0214276254553662
446,5.456,0.0185072662733372
447,5.463,0.0417827038259153
448,5.471,0.0314827543755258
449,5.478,0.0402613191023434
450,5.486,0.0130046334034064
451,5.493,0.0137099496928785
452,5.501,0.0341291477261069
453,5.508,0.0233220700345267
454,5.516,0.0239457794805888
455,5.523,0.0314069765923594
456,5.531,0.0306666859414259
457,5.538,0.0107429580289009
458,5.546,0.0251757111919822
459,5.554,0.0288421900851882
460,5.561,0.0211594886841619
461,5.569,0.0275831130725769
462,5.576,0.016636137935151
463,5.584,0.0242780359144723
464,5.591,0.037101968450328
465,5.599,0.0104748212576967
466,5.606,0
467,5.614,0.0363267034379331
468,5.621,0.0282243096993697
469,5.629,0.0289704294105468
470,5.636,0.0425055072961181
471,5.644,0.0266329762528749
472,5.652,0.0439277979955494
473,5.659,0.0248084803966372
474,5.667,0.0176387362970452
475,5.674,0.0357496264738196
476,5.682,0.0215208904192633
477,5.689,0.0206873348044327
478,5.697,0.021375163913174
479,5.704,0.0357962589557682
480,5.712,0.0202326681054342
481,5.719,0.0253214376980715
482,5.727,0.0400864472950362
483,5.734,0.0413105499461861
484,5.742,0.0341699511478119
485,5.749,0.0199470441534992
486,5.757,0.0226400699860289
487,5.765,0.0182915910443251
488,5.772,0.0272916600603984
489,5.780,0.0223253007328761
490,5.787,0.025408873601725
491,5.795,0.0144327531630813
492,5.802,0.0227275058896825
493,5.810,0.0182857619840815
494,5.817,0.023969095721563
495,5.825,0.0209846168768548
496,5.832,0.0284399849283818
497,5.840,0.0451460715864557
498,5.847,0.0319257629540372
499,5.855,0.0174405482487638
500,5.863,0.024213916251793
501,5.870,0.0206173860815098
502,5.878,0.00659266713547855
503,5.885,0.0298797628085438
504,5.893,0.0283991815066768
505,5.900,0.0231763435284374
506,5.908,0.0229082067572332
507,5.915,0.0181924970201844
508,5.923,0.0156568558142311
509,5.930,0.0230830785645403
510,5.938,0.0442017638269972
511,5.945,0.0365773530284066
512,5.953,0.0228732323957717
513,5.960,0.027798788301589
514,5.968,0.0307424637245923
515,5.976,0.0318791304720886
516,5.983,0.0266271471926313
517,5.991,0.0304451816521702
518,5.998,0.0297748397241595
519,6.006,0.0250416428063801
520,6.013,0.0317975236286786
521,6.021,0.0307133184233744
522,6.028,0.0242314034325237
523,6.036,0.0173764285860845
524,6.043,0.0218706340338776
525,6.051,0.0180875739358001
526,6.058,0.0343739682563369
527,6.066,0.0169275909473295
528,6.074,0.0126082573068436
529,6.081,0.0316051646406408
530,6.089,0.0236543264684102
531,6.096,0.035784600835281
532,6.104,0.0263823266624014
533,6.111,0.011733898270308
534,6.119,0.0335287545210191
535,6.126,0.0397891652226141
536,6.134,0.0299905149531717
537,6.141,0.0344788913407212
538,6.149,0.0623417993049895
539,6.156,0.0244062752398309
540,6.164,0.0262774035780171
541,6.171,0.0294192670493017
542,6.179,0.0201627193825113
543,6.187,0.0141879326328513
544,6.194,0.0112325990893609
545,6.202,0.0350268230036168
546,6.209,0.0248667709990729
547,6.217,0.02553128386684
548,6.224,0.0238291982757173
549,6.232,0.0207805997683298
550,6.239,0.0208039160093041
551,6.247,0.0291044977961489
552,6.254,0.0157967532600768
553,6.262,0.0149223942235412
554,6.269,0.0173297961041359
555,6.277,0.0295358482541731
556,6.284,0.0384543104268364
557,6.292,0.0352483272928725
558,6.300,0.0181691807792101
559,6.307,0.0339367887380691
560,6.315,0.0351317460880011
561,6.322,0.0207572835273555
562,6.330,0.0275714549520898
563,6.337,0.019026052635015
564,6.345,0.0300662927363381
565,6.352,0.0359011820401524
566,6.360,0.0232579503718474
567,6.367,0.00472153879729233
568,6.375,0.01906685605672
569,6.382,0.022068822082159
570,6.390,0.0276938652172048
571,6.398,0.0144152659823505
572,6.405,0.0174405482487638
573,6.413,0.0150681207296305
574,6.420,0.0117980179329873
575,6.428,0.00741456462982203
576,6.435,0.0318266689298965
577,6.443,0.0341291477261069
578,6.450,0.0260150958670564
579,6.458,0.0236776427093845
580,6.465,0.0260384121080307
581,6.473,0.0313894894116286
582,6.480,0.0193291637676807
583,6.488,0.0369853872454566
584,6.495,0.0324795236771764
585,6.503,0.024173112830088
586,6.511,0.000582906024357078
587,6.518,0.0196439330208335
588,6.526,0.0209729587563677
589,6.533,0.00828892366635765
590,6.541,0.0340766861839148
591,6.548,0.0273266344218598
592,6.556,0.0340067374609919
593,6.563,0.0260500702285178
594,6.571,0.00823646212416551
595,6.578,0.02577610439707
596,6.586,0.0159657960071404
597,6.593,0.0300313183748767
598,6.601,0.0135525650663021
599,6.609,0.0107487870891445
600,6.616,0.011733898270308
601,6.624,0.00954217161872537
602,6.631,0.0251290787100336
603,6.639,0.0255779163487886
604,6.646,0.0174463773090073
605,6.654,0.0235902068057309
606,6.661,0.0281427028559597
607,6.669,0.0180001380321466
608,6.676,0.01947489027377
609,6.684,0.0309989423753094
610,6.691,0.0155519327298468
611,6.699,0.0274315575062441
612,6.706,0.029809814085621
613,6.714,0.0118388213546923
614,6.722,0.0393403275838592
615,6.729,0.00830641084708836
616,6.737,0.0199820185149606
617,6.744,0.0216957622265704
618,6.752,0.0219347536965568
619,6.759,0.0292269080612639
620,6.767,0.0172598473812131
621,6.774,0.0220221896002104
622,6.782,0.0395035412706792
623,6.789,0.0334005151956606
624,6.797,0.0188336936469772
625,6.804,0.0390255583307064
626,6.812,0.0342573870514655
627,6.820,0.0263531813611835
628,6.827,0.0217773690699804
629,6.835,0.040850054186944
630,6.842,0.0307774380860537
631,6.850,0.0359827888835624
632,6.857,0.0302936260858373
633,6.865,0.033680310087352
634,6.872,0.0127481547526893
635,6.880,0.0412114559220454
636,6.887,0.0356971649316275
637,6.895,0.0265746856504392
638,6.902,0.0317217458455122
639,6.910,0.022733334949926
640,6.917,0.0300021730736588
641,6.925,0.0332547886895713
642,6.933,0.0333072502317634
643,6.940,0.0273441216025905
644,6.948,0.0416136610788518
645,6.955,0.0482413025757918
646,6.963,0.0353823956784746
647,6.970,0.0294892157722246
648,6.978,0.0239341213601016
649,6.985,0.0304684978931445
650,6.993,0.0279736601088962
651,7.000,0.0352191819916546
652,7.008,0.026603830951657
653,7.015,0.0496752513957102
654,7.023,0.0455832511047235
655,7.030,0.0806916809517503
