#"+EI TIC Scan IPA-ABS.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.290591694599332
1,2.102,0.265828339296284
2,2.110,0.259690926331699
3,2.117,0.241012495427871
4,2.125,0.235823625823114
5,2.133,0.231167140238499
6,2.140,0.220841889594352
7,2.148,0.210595371798254
8,2.155,0.200247626054664
9,2.163,0.197540715755073
10,2.170,0.193041695866555
11,2.178,0.198597985428874
12,2.185,0.179942049624489
13,2.193,0.173639672597325
14,2.200,0.168964441096507
15,2.208,0.157870607888072
16,2.215,0.16202845210171
17,2.223,0.162485852457042
18,2.230,0.15855670842107
19,2.238,0.150972110725678
20,2.246,0.157563174862356
21,2.253,0.142708910863768
22,2.261,0.149978577166964
23,2.268,0.140294436856931
24,2.276,0.140174462993237
25,2.283,0.138191145059049
26,2.291,0.12672239352657
27,2.298,0.145100889771163
28,2.306,0.130835247541323
29,2.313,0.125830087915348
30,2.321,0.141527918143033
31,2.328,0.1335871480398
32,2.336,0.129361818527834
33,2.343,0.132278683088889
34,2.351,0.123618069803493
35,2.359,0.113581506268859
36,2.366,0.113701480132553
37,2.374,0.108658828674173
38,2.381,0.116659585709253
39,2.389,0.10315127849398
40,2.396,0.116843295688034
41,2.404,0.107710285314344
42,2.411,0.13558921189019
43,2.419,0.197758168383018
44,2.426,0.349573845337793
45,2.434,0.240000215952955
46,2.441,0.113832701545968
47,2.449,0.0994245903529916
48,2.457,0.0950305475952064
49,2.464,0.113011630416314
50,2.472,0.100425622278187
51,2.479,0.103432467237012
52,2.487,0.094835590066704
53,2.494,0.10445224507841
54,2.502,0.0998594956088816
55,2.509,0.108838789469714
56,2.517,0.090400306293274
57,2.524,0.0960615729863249
58,2.532,0.0930659755772205
59,2.539,0.103252506441472
60,2.547,0.0895679876138983
61,2.554,0.0920724420185063
62,2.562,0.093227190456559
63,2.570,0.0878096206741361
64,2.577,0.0901491110161651
65,2.585,0.0764383479059087
66,2.592,0.08436412127618
67,2.600,0.0947568572186549
68,2.607,0.0941194960677816
69,2.615,0.0827857151319585
70,2.622,0.0804124821407656
71,2.630,0.0810610908413602
72,2.637,0.0924736046252324
73,2.645,0.0827744675822372
74,2.652,0.0861787259645486
75,2.660,0.0745150169035676
76,2.668,0.0911688888575624
77,2.675,0.0834568189319957
78,2.683,0.0752386092689708
79,2.690,0.0821558523475661
80,2.698,0.0801387917642142
81,2.705,0.0834043303666296
82,2.713,0.0650708243209217
83,2.720,0.0863886802260128
84,2.728,0.082841952880565
85,2.735,0.0760521820321443
86,2.743,0.0830444087755483
87,2.750,0.0984610502602008
88,2.758,0.0887581640339652
89,2.765,0.0891105872585657
90,2.773,0.0863511883936085
91,2.781,0.086703611618209
92,2.788,0.0901266159167226
93,2.796,0.0989896850971016
94,2.803,0.0837567535912302
95,2.811,0.0781029852646601
96,2.818,0.10054559614188
97,2.826,0.0910151723447047
98,2.833,0.0689624765244891
99,2.841,0.0697273099055371
100,2.848,0.0686512943155334
101,2.856,0.0801275442144929
102,2.863,0.0921211814006319
103,2.871,0.0615840839073208
104,2.879,0.0751748731538834
105,2.886,0.0684038482216649
106,2.894,0.0783241870758455
107,2.901,0.0788828153786698
108,2.909,0.0818634160548125
109,2.916,0.0773156567841696
110,2.924,0.0839067209208474
111,2.931,0.077998008133928
112,2.939,0.0903965571100336
113,2.946,0.066630484548941
114,2.954,0.0725541940688221
115,2.961,0.144141098861613
116,2.969,2.39777889386797
117,2.976,19.1789881074408
118,2.984,57.8513070927498
119,2.992,100
120,2.999,22.7941417962097
121,3.007,0.201158677582089
122,3.014,0.122662028077183
123,3.022,0.115887253961724
124,3.029,0.102907581583352
125,3.037,0.0915400579983651
126,3.044,0.0996907823630622
127,3.052,0.116730820190821
128,3.059,0.0967626702522855
129,3.067,0.0901866028485694
130,3.074,0.0866886148852472
131,3.082,0.0835093074973617
132,3.089,0.0836892682929024
133,3.097,0.0677589887043108
134,3.105,0.092357379944779
135,3.112,0.0649508504572279
136,3.120,0.0666717255645858
137,3.127,0.071744370488889
138,3.135,0.0905802670888147
139,3.142,0.105753211662839
140,3.150,0.0666192369992197
141,3.157,0.0633611967632851
142,3.165,0.0737914245381644
143,3.172,0.097253813256782
144,3.180,0.0689737240742104
145,3.187,0.0682051415099221
146,3.195,0.0690149650898552
147,3.203,0.0576099496724639
148,3.210,0.0475059008395021
149,3.218,0.0573924970445189
150,3.225,0.0695211048273134
151,3.233,0.0635749002079897
152,3.240,0.0546593424622446
153,3.248,0.0512850775458566
154,3.255,0.0706908499983279
155,3.263,0.0714294390966928
156,3.270,0.0758384785874397
157,3.278,0.0639835611811967
158,3.285,0.0574487347931253
159,3.293,0.0581835747082498
160,3.300,0.0538870107147158
161,3.308,0.061029204787737
162,3.316,0.0532908905794873
163,3.323,0.0734352521303234
164,3.331,0.0632937114649574
165,3.338,0.052488565366035
166,3.346,0.0543219159706058
167,3.353,0.0442178671376441
168,3.361,0.0501153323748421
169,3.368,0.0468010543903011
170,3.376,0.0508876641223709
171,3.383,0.0536395646208474
172,3.391,0.0405661626614642
173,3.398,0.0389352679518767
174,3.406,0.0369631975674099
175,3.414,0.0441578802057972
176,3.421,0.0453051302773691
177,3.429,0.0424220083654776
178,3.436,0.0389765089675214
179,3.444,0.0392764436267559
180,3.451,0.0461486965064661
181,3.459,0.0443678344672613
182,3.466,0.0496991730351543
183,3.474,0.0450201923510963
184,3.481,0.0485819164295058
185,3.489,0.0581498320590859
186,3.496,0.0967739178020068
187,3.504,0.0643209876728355
188,3.511,0.0363145888668154
189,3.519,0.050940152687737
190,3.527,0.0518662009481235
191,3.534,0.0463511524014493
192,3.542,0.0380092196914902
193,3.549,0.0346611990577853
194,3.557,0.035519762019844
