#"+EI TIC Scan IPA-ASA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.309807827813798
1,2.102,0.281273319828663
2,2.110,0.280090417213374
3,2.117,0.256915182301588
4,2.125,0.261835896242059
5,2.132,0.23872906046109
6,2.140,0.225495840387329
7,2.148,0.214487603804231
8,2.155,0.203145418523619
9,2.163,0.201737201124466
10,2.170,0.213574274233923
11,2.178,0.19981397850505
12,2.185,0.200916411554673
13,2.193,0.196345740224849
14,2.200,0.180678315789694
15,2.208,0.178485520125298
16,2.215,0.175109821845612
17,2.223,0.180304132309347
18,2.230,0.155656304345876
19,2.238,0.175447794021409
20,2.245,0.163819941782683
21,2.253,0.160090177414068
22,2.261,0.145561397333086
23,2.268,0.143372625146973
24,2.276,0.139075550340412
25,2.283,0.14543264602802
26,2.291,0.140363063391067
27,2.298,0.136770097284084
28,2.306,0.132464975520957
29,2.313,0.127757505929501
30,2.321,0.135120471187932
31,2.328,0.13108894594807
32,2.336,0.139397428603076
33,2.343,0.133563385092297
34,2.351,0.121782640678806
35,2.359,0.117650528481861
36,2.366,0.128912244196807
37,2.374,0.123283398078475
38,2.381,0.128847868544274
39,2.389,0.111007765836139
40,2.396,0.117549941524778
41,2.404,0.115634765861929
42,2.411,0.149379678223934
43,2.419,0.21277762553383
44,2.426,0.382069497781796
45,2.434,0.197158482838075
46,2.441,0.109257552782905
47,2.449,0.112955129325254
48,2.456,0.103829880578739
49,2.464,0.117360838045463
50,2.472,0.108295941473197
51,2.479,0.104904149280379
52,2.487,0.0972474701072663
53,2.494,0.106252014505283
54,2.502,0.109973731917332
55,2.509,0.109812792786
56,2.517,0.106159474504767
57,2.524,0.0975613014133634
58,2.532,0.101017469258715
59,2.539,0.107294095380657
60,2.547,0.102329123179069
61,2.554,0.106638268420479
62,2.562,0.0951431909651025
63,2.570,0.0955213979237323
64,2.577,0.0886935552769789
65,2.585,0.09828955098264
66,2.592,0.0851810587356614
67,2.600,0.0969054744531862
68,2.607,0.0856477822165237
69,2.615,0.0981447057644414
70,2.622,0.0920129248606981
71,2.630,0.0851046126482788
72,2.637,0.0915381544232692
73,2.645,0.0925520709506598
74,2.652,0.0797493630532117
75,2.660,0.079862020445144
76,2.667,0.0844005039487019
77,2.675,0.0952518248787515
78,2.683,0.0933688370421689
79,2.690,0.0780071969565445
80,2.698,0.0979877901113928
81,2.705,0.0919686665995819
82,2.713,0.0819461821958913
83,2.720,0.0811253926260989
84,2.728,0.092676798777442
85,2.735,0.0778623517383458
86,2.743,0.0924514839935774
87,2.750,0.0957185483596138
88,2.758,0.0909668205070411
89,2.765,0.0850844952568623
90,2.773,0.076655308253357
91,2.781,0.08137082480138
92,2.788,0.100812271866267
93,2.796,0.0873376430955081
94,2.803,0.0845574196017505
95,2.811,0.087349713530358
96,2.818,0.0918358918162331
97,2.826,0.0969819205405688
98,2.833,0.0872088917904426
99,2.841,0.0885889448416132
100,2.848,0.07776981173783
101,2.856,0.0862392335241682
102,2.863,0.0707689595248948
103,2.871,0.0815237169761452
104,2.878,0.0778060230423797
105,2.886,0.0849879317780632
106,2.894,0.0714529508330552
107,2.901,0.0932762970416531
108,2.909,0.0806023404492704
109,2.916,0.0840464378597719
110,2.924,0.0860742709145531
111,2.931,0.0861989987413353
112,2.939,0.0808759369725346
113,2.946,0.0674334960280424
114,2.954,0.078530249133373
115,2.961,0.156328225219186
116,2.969,2.70097304201151
117,2.976,21.7272937115408
118,2.984,65.7360549159723
119,2.991,100
120,2.999,9.11100160991437
121,3.007,0.169396482683332
122,3.014,0.129254239850887
123,3.022,0.116439461518589
124,3.029,0.104948407541495
125,3.037,0.093437236172985
126,3.044,0.0945919744402909
127,3.052,0.119284060664879
128,3.059,0.106066934504251
129,3.067,0.0761322560765285
130,3.074,0.0925158596461101
131,3.082,0.0803408143608562
132,3.089,0.0787837282652206
133,3.097,0.0777496943464135
134,3.105,0.0804977300139047
135,3.112,0.0861748578716355
136,3.120,0.0700527803904681
137,3.127,0.0794113908774148
138,3.135,0.0941453683508451
139,3.142,0.101810094480524
140,3.150,0.0719800264881669
141,3.157,0.0670231012431462
142,3.165,0.061068353383868
143,3.172,0.0907897874625761
144,3.180,0.0698355125631701
145,3.187,0.0693969534302908
146,3.195,0.0739957891080983
147,3.202,0.0660091847157556
148,3.210,0.0498589428866051
149,3.218,0.0528564342076606
150,3.225,0.0647096012302509
151,3.233,0.0558096672676
152,3.240,0.052751823772295
153,3.248,0.051951151593919
154,3.255,0.065091831667164
155,3.263,0.0728209334493758
156,3.270,0.0849637909083634
157,3.278,0.0730462482332404
158,3.285,0.0632128673088648
159,3.293,0.0599498264211116
160,3.300,0.0468574280872662
161,3.308,0.0525707672495466
162,3.316,0.0526794011631956
163,3.323,0.0679082664654713
164,3.331,0.0487967446198149
165,3.338,0.0605694420767392
166,3.346,0.0522851002914326
167,3.353,0.0482736924429864
168,3.361,0.0480121663545722
169,3.368,0.0497503089729561
170,3.376,0.0531903829051742
171,3.383,0.0458998402558417
172,3.391,0.045767065472493
173,3.398,0.0418763619725456
174,3.406,0.0385368749974099
175,3.413,0.0467608646084671
176,3.421,0.0459521454735246
177,3.429,0.0494445246234256
178,3.436,0.0459078872124083
179,3.444,0.0435179411121304
180,3.451,0.043743255895995
181,3.459,0.0447692428582355
182,3.466,0.0423269915402748
183,3.474,0.0422505454528922
184,3.481,0.0497664028860893
185,3.489,0.0619334012147766
186,3.496,0.106219826679017
187,3.504,0.0711471664835246
188,3.511,0.0389834810868558
189,3.519,0.0456946428633936
190,3.527,0.0342518706256996
191,3.534,0.0329040054007954
192,3.542,0.0395387210899506
193,3.549,0.0512631368074754
194,3.557,0.0379615176028986
195,3.564,0.0388547297817903
196,3.572,0.0391444202181876
197,3.579,0.0371045167285565
198,3.587,0.0412044410992352
199,3.594,0.0390478567393885
200,3.602,0.0322522019189014
201,3.609,0.0354548906324051
202,3.617,0.046121131561423
203,3.624,0.0444192002475888
204,3.632,0.0386374619544923
205,3.640,0.0427454332817376
206,3.647,0.0369636949886411
207,3.655,0.0404963089213751
208,3.662,0.0432765324151327
209,3.670,0.0364285723769627
210,3.677,0.0412205350123684
211,3.685,0.0391886784793039
212,3.692,0.0339541332327356
213,3.700,0.0387742602161244
214,3.707,0.0383719123877947
215,3.715,0.0355112193283712
216,3.722,0.0304657775611179
217,3.730,0.0317814549597558
218,3.737,0.0449181115547175
219,3.745,0.041119948055286
220,3.753,0.0545905533477613
221,3.760,0.0398605993526143
222,3.768,0.0397358715258321
223,3.775,0.0364084549855463
224,3.783,0.0442059558985741
225,3.790,0.0282930992881381
226,3.798,0.0280718079825568
227,3.805,0.0442059558985741
228,3.813,0.0403152523986268
229,3.820,0.031580281045591
230,3.828,0.0358693088955846
231,3.835,0.0418803854508289
232,3.843,0.0315561401758912
233,3.851,0.0329200993139286
234,3.858,0.0442743550293901
