#"+EI TIC Scan IPA-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.396604964464956
1,2.102,0.385349443216024
2,2.110,0.353353073785985
3,2.117,0.329303290949824
4,2.125,0.317966332189951
5,2.132,0.312728614381041
6,2.140,0.282691031398361
7,2.147,0.270569700822587
8,2.155,0.273274283422769
9,2.163,0.251479033784223
10,2.170,0.245808411311893
11,2.178,0.226807754154042
12,2.185,0.233665649812188
13,2.193,0.22199436863898
14,2.200,0.203045145698565
15,2.208,0.211630373825607
16,2.215,0.203855234623184
17,2.223,0.201219230979584
18,2.230,0.174593451086831
19,2.238,0.174550589238967
20,2.245,0.168339907483559
21,2.253,0.172197473791266
22,2.260,0.174186263532128
23,2.268,0.146878980258347
24,2.276,0.15765444881121
25,2.283,0.147419039541426
26,2.291,0.159604662888995
27,2.298,0.130831504418285
28,2.306,0.141302653851317
29,2.313,0.127415415143571
30,2.321,0.125653793196385
31,2.328,0.13137584988615
32,2.336,0.138118018555065
33,2.343,0.124097908118943
34,2.351,0.130600050439823
35,2.358,0.110420692465727
36,2.366,0.113763916599074
37,2.374,0.129335625927852
38,2.381,0.126005260348865
39,2.389,0.121221878127308
40,2.396,0.121311888007821
41,2.404,0.148619171281602
42,2.411,0.259965679661179
43,2.419,0.452406804198335
44,2.426,0.216533769221181
45,2.434,0.105611593135452
46,2.441,0.107527517734947
47,2.449,0.11455257459976
48,2.456,0.108989106747089
49,2.464,0.104672918667243
50,2.471,0.102645553263304
51,2.479,0.115499821437542
52,2.487,0.0986079671945703
53,2.494,0.0873610183152105
54,2.502,0.0991094508145723
55,2.509,0.0874510281957237
56,2.517,0.0915914826993295
57,2.524,0.0981964934550816
58,2.532,0.0974978453349079
59,2.539,0.0960062530292611
60,2.547,0.0995809311410698
61,2.554,0.0852007811828944
62,2.562,0.0927316078524963
63,2.569,0.0880210907723071
64,2.577,0.0895726896649627
65,2.585,0.0941803383102797
66,2.592,0.0757454575442253
67,2.600,0.0851364884110993
68,2.607,0.0807045733420223
69,2.615,0.0989080001296142
70,2.622,0.0820032873322837
71,2.630,0.0790329612753491
72,2.637,0.0846007153128066
73,2.645,0.0838163434969061
74,2.652,0.0788615138838955
75,2.660,0.0818832741582662
76,2.667,0.0663244233838469
77,2.675,0.0885997257184632
78,2.682,0.0829976822027149
79,2.690,0.0676531406676127
80,2.698,0.0675202689392361
81,2.705,0.0749782304674702
82,2.713,0.0633240940334079
83,2.720,0.0738681086078078
84,2.728,0.0849736133892183
85,2.735,0.0893669527952183
86,2.743,0.0892898014690641
87,2.750,0.0764055300013219
88,2.758,0.0755482930440536
89,2.765,0.0705891772462566
90,2.773,0.0783814611878253
91,2.780,0.0788958033621862
92,2.788,0.0831605572245959
93,2.795,0.0627968933046879
94,2.803,0.064995706100081
95,2.811,0.070267713387281
96,2.818,0.0874853176740144
97,2.826,0.0748153554455892
98,2.833,0.0705677463223249
99,2.841,0.0630626367614411
100,2.848,0.0788786586230408
101,2.856,0.0822218827563871
102,2.863,0.0661272588836752
103,2.871,0.0856036825528105
104,2.878,0.0600323041174977
105,2.886,0.075766888468157
106,2.893,0.0874295972717919
107,2.901,0.0793544251343248
108,2.909,0.0603409094221143
109,2.916,0.079997352852276
110,2.924,0.0792987047321023
111,2.931,0.0793758560582564
112,2.939,0.0698176639847151
113,2.946,0.0655743410462371
114,2.954,0.0929630618309587
115,2.961,1.40138097444868
116,2.969,14.8856668780613
117,2.976,52.681681514868
118,2.984,100
119,2.991,96.3015625886704
120,2.999,0.869701182626961
121,3.006,0.134149011442913
122,3.014,0.117745782265585
123,3.022,0.0869581169452944
124,3.029,0.0879739427396573
125,3.037,0.0883125513377783
126,3.044,0.107107471625885
127,3.052,0.100768204326886
128,3.059,0.0921272557976221
129,3.067,0.0789729546883404
130,3.074,0.0971592367367869
131,3.082,0.0771127504910682
132,3.089,0.074172427727638
133,3.097,0.0670830780910293
134,3.104,0.0794615797539833
135,3.112,0.0552060600480773
136,3.120,0.0604009160091231
137,3.127,0.0829162446917745
138,3.135,0.107591810506742
139,3.142,0.0724322367043834
140,3.150,0.0614381727274177
141,3.157,0.0762597997185862
142,3.165,0.0903099134482134
143,3.172,0.066401574710001
144,3.180,0.061416741803486
145,3.187,0.067280242591201
146,3.195,0.0505555495548969
147,3.202,0.0437062262663233
148,3.210,0.0500069179022452
149,3.217,0.0464922463774452
150,3.225,0.048875365118651
151,3.233,0.0463936641273594
152,3.240,0.0440962690818804
153,3.248,0.043024722885295
154,3.255,0.0551974876785046
155,3.263,0.0780042769266272
156,3.270,0.0588150276381767
157,3.278,0.044593466517096
158,3.285,0.0393643210777595
159,3.293,0.0404015777960541
160,3.300,0.0482410097702725
161,3.308,0.0477995327372793
162,3.315,0.0706148943549746
163,3.323,0.0528872340786666
164,3.331,0.0381899064463019
165,3.338,0.0413231075251175
166,3.346,0.0296261092431918
167,3.353,0.0180962721679334
168,3.361,0.0242126578580426
169,3.368,0.032214964854142
170,3.376,0.0303290435481518
171,3.383,0.0334322413334629
172,3.391,0.0367626069124502
173,3.398,0.0300847310153303
174,3.406,0.0306890830702044
175,3.413,0.0333765209312405
176,3.421,0.0252241974676192
177,3.428,0.0295875335801147
178,3.436,0.0151773803284349
179,3.444,0.027268707610704
180,3.451,0.0370197779996307
181,3.459,0.0421546273736677
182,3.466,0.0255756646200992
183,3.474,0.0318849286255937
184,3.481,0.047242328715055
185,3.489,0.118765894244734
186,3.496,0.0703362923438624
187,3.504,0.0298018428194318
188,3.511,0.017161883884511
189,3.519,0.0275730267305342
190,3.526,0.030470487646101
191,3.534,0.0281945235245538
192,3.542,0.0186234728966534
193,3.549,0.0248727303151392
194,3.557,0.0245512664561636
195,3.564,0.025674246870185
196,3.572,0.0185506077552856
197,3.579,0.0255370889570221
198,3.587,0.024255519705906
199,3.594,0.0182077129723783
200,3.602,0.0285459906770337
201,3.609,0.0170933049279295
202,3.617,0.0297461224172093
203,3.624,0.0290346157426767
204,3.632,0.0261414410118962
205,3.639,0.025687105424544
206,3.647,0.0271144049583957
207,3.655,0.0272344181324133
208,3.662,0.021606657507947
209,3.670,0.0166003936775003
210,3.677,0.0163603673294651
211,3.685,0.0206208350070885
212,3.692,0.0180105484722066
213,3.700,0.0224638944652153
214,3.707,0.027770191230706
215,3.715,0.0264414739469401
216,3.722,0.0266643555558299
217,3.730,0.030470487646101
218,3.737,0.0190692361144329
219,3.745,0.0300504415370396
220,3.752,0.0273630036760035
221,3.760,0.0225924800088055
222,3.768,0.0285288459378884
223,3.775,0.0273029970889947
224,3.783,0.0296003921344737
225,3.790,0.0379627386526258
226,3.798,0.0142001301971491
227,3.805,0.0253656415655684
228,3.813,0.0219795555843587
229,3.820,0.0253313520872777
230,3.828,0.0303676192112288
231,3.835,0.0267072174036933
232,3.843,0.0335736854314122
233,3.850,0.0287645861011372
234,3.858,0.0302776093307157
235,3.866,0.0362011167054395
236,3.873,0.027770191230706
237,3.881,0.0233125590529109
238,3.888,0.0205222527570026
239,3.896,0.01594460740519
240,3.903,0.0141658407188583
241,3.911,0.0335479683226942
242,3.918,0.0201922165284544
243,3.926,0.0179505418851978
244,3.933,0.0334193827791039
245,3.941,0.0241869407493245
246,3.948,0.0215423647361519
247,3.956,0.028348826176862
248,3.963,0.0563633299403895
249,3.971,0.100652477337655
250,3.979,0.0528700893395212
251,3.986,0.0250998981088153
252,3.994,0.0201450684958046
253,4.001,0.0177919530481032
254,4.009,0.0233382761616289
255,4.016,0.0239683453252211
256,4.024,0.0305776422657596
257,4.031,0.0217438154211099
258,4.039,0.0247055691084718
259,4.046,0.0299347145478084
260,4.054,0.0267200759580523
261,4.061,0.025121329032747
262,4.069,0.0313920173751644
263,4.077,0.0156402882853598
264,4.084,0.035781070596378
265,4.092,0.0323306918433732
266,4.099,0.0304876323852464
267,4.107,0.027092974034464
268,4.114,0.0397929395563936
269,4.122,0.0282973919594259
270,4.129,0.030269036961143
271,4.137,0.0185591801248583
272,4.144,0.0229525195308582
273,4.152,0.0224338911717109
274,4.159,0.024242661151547
275,4.167,0.0191763907340914
276,4.174,0.0292789282754981
277,4.182,0.0225667629000875
278,4.190,0.0163860844381832
279,4.197,0.0227253517371821
280,4.205,0.0299775763956718
281,4.212,0.0271444082519001
282,4.220,0.0286917209597694
283,4.227,0.0186834794836622
284,4.235,0.0174061964173324
285,4.242,0.0184005912877636
286,4.250,0.0169304299060485
287,4.257,0.0172304628410924
288,4.265,0.0181605649397285
289,4.272,0.0260557173161694
290,4.280,0.0105354422048272
291,4.288,0.0155245612961286
292,4.295,0.0123356398150906
293,4.303,0.0267629378059157
294,4.310,0.0295489579170376
295,4.318,0.0146116039366378
296,4.325,0.0193521243103314
297,4.333,0.0118555871190203
298,4.340,0.0192921177233227
299,4.348,0.0180276932113519
300,4.355,0.0287688722859235
301,4.363,0.0195878644735802
302,4.370,0.0188249235816114
303,4.378,0.0193264072016134
304,4.385,0.0235740163248777
305,4.393,0.0170890187431432
306,4.401,0.0223781707694885
307,4.408,0.0343066230298766
308,4.416,0.147809082356983
309,4.423,0.143741492994745
310,4.431,0.0247184276628309
311,4.438,0.0206808415940973
312,4.446,0.0237840393794084
313,4.453,0.0283188228833577
314,4.461,0.0260085692835196
315,4.468,0.0139901071426183
316,4.476,0.0159746106986944
317,4.483,0.0238954801838533
318,4.491,0.0154216928612564
319,4.498,0.0237240327923997
320,4.506,0.0149587849043315
321,4.514,0.0214823581491431
322,4.521,0.025485654739586
323,4.529,0.0375684096522824
324,4.536,0.0134971958921891
325,4.544,0.0196564434301617
326,4.551,0.0260557173161694
327,4.559,0.0040375860687336
328,4.566,0.0288417374272913
329,4.574,0.0233811380094924
330,4.581,0.0137157913162925
331,4.589,0.0307233725484952
332,4.596,0
333,4.604,0.0180362655809246
334,4.612,0.0194121308973402
335,4.619,0.0303118988090064
336,4.627,0.0292489249819937
337,4.634,0.0334622446269673
338,4.642,0.0162103508619432
339,4.649,0.014864488839032
340,4.657,0.0160303311009168
341,4.664,0.00519914214583212
342,4.672,0.024431253282146
343,4.679,0.0106125935309813
344,4.687,0.0174662030043412
345,4.694,0.0217609601602553
346,4.702,0.0229182300525675
347,4.709,0.017551926700068
348,4.717,0.0120056035865423
349,4.725,0.00916814925798426
350,4.732,0.0176376503957949
351,4.740,0.0275087339587391
352,4.747,0.0158803146333949
353,4.755,0.0220781378344446
354,4.762,0.0195792921040075
355,4.770,0.0168704233190398
356,4.777,0.0238569045207763
357,4.785,0.0208822922790553
358,4.792,0.0246669934453948
359,4.800,0.0177490912002398
360,4.807,0.0249070197934299
361,4.815,0.0112512350641462
362,4.823,0.0210151640074319
363,4.830,0.0244612565756504
364,4.838,0.0264500463165128
365,4.845,0.0266300660775391
366,4.853,0.0169775779386983
367,4.860,0.0209937330835002
368,4.868,0.0152073836219393
369,4.875,0.0204408152460622
370,4.883,0.0158331666007451
371,4.890,0.0158545975246769
372,4.898,0.0260642896857421
373,4.905,0.0220567069105129
374,4.913,0.0280702241657499
375,4.920,0.021405206822989
376,4.928,0.0240069209882982
377,4.936,0.0305090633091781
378,4.943,0.0192192525819549
379,4.951,0.0160731929487803
380,4.958,0.0230982498135938
381,4.966,0.0159403212204037
382,4.973,0.0161889199380115
383,4.981,0.0255199442178767
384,4.988,0.025472796185227
385,4.996,0.0276244609479703
386,5.003,0.038429932794337
387,5.011,0.0431318775049535
388,5.018,0.0372126563150161
389,5.026,0.0491068190971135
390,5.034,0.0380356037939936
391,5.041,0.0376455609784365
392,5.049,0.0420303280148638
393,5.056,0.039647209273658
394,5.064,0.046226502920692
395,5.071,0.0446534731041047
396,5.079,0.0434704861030745
397,5.086,0.0334279551486766
398,5.094,0.0429947195917906
399,5.101,0.0412159529054589
400,5.109,0.0491153914666861
401,5.116,0.0383399229138239
402,5.124,0.0498097534020734
403,5.131,0.0556389647114978
404,5.139,0.0448463514194901
405,5.147,0.0543273921668773
406,5.154,0.0428061274611916
407,5.162,0.0528958064482393
408,5.169,0.0386399558488678
409,5.177,0.0523471747955876
410,5.184,0.0431490222440989
411,5.192,0.0550817606892734
412,5.199,0.0401229757849419
413,5.207,0.052780079459008
414,5.214,0.0555875304940617
415,5.222,0.0549531751456831
416,5.229,0.052214303067211
417,5.237,0.0372212286845887
