#"+EI TIC Scan IPA-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.265442567830283
1,2.102,0.247399546008317
2,2.110,0.254759321456476
3,2.117,0.225764583464482
4,2.125,0.225824757729153
5,2.132,0.211336646312336
6,2.140,0.212535502816156
7,2.147,0.198750967417024
8,2.155,0.184961803228303
9,2.162,0.18214287036797
10,2.170,0.200000740606334
11,2.178,0.173537950520091
12,2.185,0.194705405315332
13,2.193,0.154296072194305
14,2.200,0.161678991590415
15,2.208,0.139914422938059
16,2.215,0.150551381415965
17,2.223,0.1536017537558
18,2.230,0.145015349066281
19,2.238,0.136586323222823
20,2.245,0.12390343974612
21,2.253,0.140918870279097
22,2.260,0.136146588211769
23,2.268,0.124204311069473
24,2.275,0.115904891334536
25,2.283,0.106212205932997
26,2.291,0.122454628604438
27,2.298,0.116011353495106
28,2.306,0.114854156097597
29,2.313,0.108406252198675
30,2.321,0.101157567700677
31,2.328,0.111401079063429
32,2.336,0.116076156549367
33,2.343,0.103995015719369
34,2.351,0.108947820580709
35,2.358,0.0885857751741351
36,2.366,0.108197956667123
37,2.373,0.0966444978503901
38,2.381,0.0853687664090591
39,2.388,0.0979544453043707
40,2.396,0.092423041744276
41,2.404,0.108225729404664
42,2.411,0.142784272483883
43,2.419,0.291706319964155
44,2.426,0.329819773448522
45,2.434,0.137419505349029
46,2.441,0.100055915778248
47,2.449,0.0951910579191184
48,2.456,0.0920249658395328
49,2.464,0.0843874630159712
50,2.471,0.0927563145947587
51,2.479,0.0967833615380912
52,2.486,0.0892060329792001
53,2.494,0.0819249469540713
54,2.502,0.0812352573051557
55,2.509,0.0903308288495791
56,2.517,0.087581327833097
57,2.524,0.0893078663501809
58,2.532,0.0754214975800688
59,2.539,0.0733709437916823
60,2.547,0.0871971382971239
61,2.554,0.0772730134160838
62,2.562,0.0917102081474103
63,2.569,0.0965704372169495
64,2.577,0.0654510848031283
65,2.584,0.0948346411206855
66,2.592,0.088331191746683
67,2.599,0.0747780958270536
68,2.607,0.0747179215623831
69,2.615,0.073593125692004
70,2.622,0.0754585278967891
71,2.630,0.072847890568008
72,2.637,0.0822859925420942
73,2.645,0.0710426626278935
74,2.652,0.0743198456576399
75,2.660,0.0617063940247881
76,2.667,0.0768703087217505
77,2.675,0.0699456394950546
78,2.682,0.0618082273957689
79,2.690,0.0755325885302297
80,2.697,0.0749447322522949
81,2.705,0.0700382152868553
82,2.713,0.0761759902832449
83,2.720,0.083494106625094
84,2.728,0.0857344407866721
85,2.735,0.0747919821958237
86,2.743,0.0738245651715059
87,2.750,0.078670907872275
88,2.758,0.0629607960036882
89,2.765,0.0783330062322023
90,2.773,0.072102655444012
91,2.780,0.0888727601287174
92,2.788,0.0906409577521117
93,2.795,0.0739958303863373
94,2.803,0.0700197001284952
95,2.810,0.0635764250191632
96,2.818,0.0869518124488519
97,2.826,0.0861741757977256
98,2.833,0.0779951045921296
99,2.841,0.0677423356501968
100,2.848,0.061326833278405
101,2.856,0.0706307003543801
102,2.863,0.0767268162444593
103,2.871,0.0684505404574725
104,2.878,0.0782080289132713
105,2.886,0.0691124573688479
106,2.893,0.0704455487707786
107,2.901,0.0854567134112698
108,2.908,0.0832117504601017
109,2.916,0.0817536817392399
110,2.924,0.0743383608160001
111,2.931,0.0653862817488678
112,2.939,0.0763935433939767
113,2.946,0.0669091535239901
114,2.954,0.0705427533521694
115,2.961,0.365188354705998
116,2.969,6.17940632996234
117,2.976,33.6761846924077
118,2.984,82.3858447911305
119,2.991,100
120,2.999,2.7940531162863
121,3.006,0.135285633348022
122,3.014,0.10903576758292
123,3.021,0.10526793285663
124,3.029,0.0768841950905206
125,3.037,0.0721165418127821
126,3.044,0.0892569496646905
127,3.052,0.0993430821813819
128,3.059,0.0822489622253739
129,3.067,0.0800919462764165
130,3.074,0.0845448418620324
131,3.082,0.0727738299345674
132,3.089,0.0642892586160289
133,3.097,0.0808695829275428
134,3.104,0.075699224955471
135,3.112,0.062192416931742
136,3.119,0.0729034360430885
137,3.127,0.0616230758121674
138,3.134,0.0942097545260305
139,3.142,0.0921499431584638
140,3.150,0.0643910919870098
141,3.157,0.063058000585079
142,3.165,0.0724220419257246
143,3.172,0.07928190809816
144,3.180,0.0591790749086277
145,3.187,0.080277097860018
146,3.195,0.0673581461142237
147,3.202,0.0592346203837081
148,3.210,0.0446909634918107
149,3.217,0.0722785494484334
150,3.225,0.0658676758662317
151,3.232,0.0584940140493022
152,3.240,0.0492734651859477
153,3.248,0.0430153416602172
154,3.255,0.0687282678328748
155,3.263,0.0611416816948035
156,3.270,0.0732228225248011
157,3.278,0.0506435869045988
158,3.285,0.0373774759395517
159,3.293,0.0429644249747268
160,3.300,0.0558000585079004
161,3.308,0.0480884950508982
162,3.315,0.0628173035263971
163,3.323,0.072347981292284
164,3.330,0.0538143077737744
165,3.338,0.0488568741228444
166,3.345,0.0348594144025714
167,3.353,0.0393215675673674
168,3.361,0.0359332935874601
169,3.368,0.0283004195534884
170,3.376,0.0414322956204244
