#"+EI TIC Scan IPA-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.255378006631837
1,2.102,0.241323869570343
2,2.110,0.229526431998515
3,2.117,0.223138890463555
4,2.125,0.203075904589682
5,2.132,0.189044952796918
6,2.140,0.192491829414694
7,2.147,0.196989771548205
8,2.155,0.174183195541349
9,2.162,0.18607723839955
10,2.170,0.161419705105794
11,2.178,0.167358998111985
12,2.185,0.150495579322775
13,2.193,0.159441228840882
14,2.200,0.143400887091567
15,2.208,0.154483445544238
16,2.215,0.14758582809723
17,2.223,0.144911793770435
18,2.230,0.137824829962137
19,2.238,0.119794419313545
20,2.245,0.12822612870815
21,2.253,0.120308359437048
22,2.260,0.132538588691826
23,2.268,0.129717714329744
24,2.276,0.116378456387408
25,2.283,0.115138044510383
26,2.291,0.123840248706832
27,2.298,0.103495175396751
28,2.306,0.12453967098017
29,2.313,0.1229089737462
30,2.321,0.114995068686552
31,2.328,0.113708286272068
32,2.336,0.0954885292621856
33,2.343,0.104082535537897
34,2.351,0.105334540049286
35,2.358,0.101937898180424
36,2.366,0.0963231989364454
37,2.373,0.101756280242043
38,2.381,0.0996425565762097
39,2.389,0.093208644503791
40,2.396,0.0874316483787063
41,2.404,0.111281561478387
42,2.411,0.134690954472208
43,2.419,0.174229566078808
44,2.426,0.375388821786857
45,2.434,0.243128456319785
46,2.441,0.108205649160282
47,2.449,0.0859361985456576
48,2.456,0.104658303044678
49,2.464,0.0900824974367719
50,2.471,0.08934056883743
51,2.479,0.0865622008013524
52,2.487,0.0879996874625775
53,2.494,0.08048766039424
54,2.502,0.0916127251729148
55,2.509,0.0909944513401298
56,2.517,0.085715938492728
57,2.524,0.0890043824408531
58,2.532,0.0854068015763355
59,2.539,0.0735011660837697
60,2.547,0.0821144934167555
61,2.554,0.0967405337735752
62,2.562,0.0888729992513863
63,2.569,0.083822474879824
64,2.577,0.0780609356005589
65,2.584,0.0704484390343938
66,2.592,0.0813416511257743
67,2.600,0.0679521584345245
68,2.607,0.0737562040397935
