#"+EI TIC Scan IPA-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.292734191551351
1,2.102,0.25906068694136
2,2.110,0.257815247721126
3,2.117,0.221492269414158
4,2.125,0.23796751782564
5,2.132,0.201891761536172
6,2.140,0.208739344964274
7,2.148,0.203920847906216
8,2.155,0.18586431149601
9,2.163,0.19128453761553
10,2.170,0.178041833697014
11,2.178,0.164696509318404
12,2.185,0.196149680337267
13,2.193,0.181367669517339
14,2.200,0.156034409573183
15,2.208,0.161104793215108
16,2.215,0.160246513003412
17,2.223,0.145991598183058
18,2.230,0.147712823172819
19,2.238,0.141154442859528
20,2.245,0.149639289082769
21,2.253,0.126288469844978
22,2.261,0.139344591108777
23,2.268,0.135347057731472
24,2.276,0.130048110337519
25,2.283,0.116147702561127
26,2.291,0.12899391833837
27,2.298,0.123247172573096
28,2.306,0.127342661844127
29,2.313,0.108950276655431
30,2.321,0.112159498316558
31,2.328,0.111585756653304
32,2.336,0.100838595741624
33,2.343,0.108003369682744
34,2.351,0.10944472069043
35,2.359,0.102261288483839
36,2.366,0.119468873815084
37,2.374,0.101514957864972
38,2.381,0.100652013086907
39,2.389,0.104999388941806
40,2.396,0.0990753896545515
41,2.404,0.105433193614022
42,2.411,0.145511147847163
43,2.419,0.281805112551322
44,2.426,0.339841647300942
45,2.434,0.143001611141223
46,2.441,0.112332087272171
47,2.449,0.096192687639179
48,2.456,0.0787425448568025
49,2.464,0.0893637624765489
50,2.472,0.0792276597590658
51,2.479,0.0974707788239882
52,2.487,0.0977413236733274
53,2.494,0.105143990499211
54,2.502,0.0810188532443459
55,2.509,0.0817325318986371
56,2.517,0.0926989274296094
57,2.524,0.0971675820100736
58,2.532,0.0944154878530027
59,2.539,0.0976107158150257
60,2.547,0.0894477246711714
61,2.554,0.076918699406947
62,2.562,0.0860425912225922
63,2.570,0.0864250856647613
64,2.577,0.0944061587202669
65,2.585,0.0862524967091484
66,2.592,0.0796288124667067
67,2.600,0.0801978895635925
68,2.607,0.0855807991521684
69,2.615,0.0668432360522469
70,2.622,0.0859819518598093
71,2.630,0.0837056434722659
72,2.637,0.0787845259541137
73,2.645,0.0774457954065216
74,2.652,0.0761956916199199
75,2.660,0.0814386642174584
76,2.667,0.0738820667014332
77,2.675,0.0784859937065671
78,2.683,0.0915234567048943
79,2.690,0.0713025614999753
80,2.698,0.0565065569809434
81,2.705,0.0791297038653396
82,2.713,0.0658683416813523
83,2.720,0.0728698557995953
84,2.728,0.0826001412430696
85,2.735,0.0762936475136462
86,2.743,0.100913228803511
87,2.750,0.0722961141363415
88,2.758,0.067566243839274
89,2.765,0.0715731063493144
90,2.773,0.0852636086391501
91,2.781,0.0803145037227904
92,2.788,0.0903293277147077
93,2.796,0.0735415533565753
94,2.803,0.0754913420983645
95,2.811,0.0718529803313895
96,2.818,0.0854128747629234
97,2.826,0.0828800152251446
98,2.833,0.065602461398381
99,2.841,0.0757152412840245
100,2.848,0.0702250466689865
101,2.856,0.0655231637701264
102,2.863,0.0595198668546176
103,2.871,0.0769840033360979
104,2.878,0.0716663976766728
105,2.886,0.0715777709156824
106,2.894,0.0698285585277136
107,2.901,0.0930580990399389
108,2.909,0.0798107305550554
109,2.916,0.0782574299545391
110,2.924,0.0794795463429333
111,2.931,0.0767087939203908
112,2.939,0.0791017164671321
113,2.946,0.0669551856450769
114,2.954,0.066950521078709
115,2.961,0.43742437571776
116,2.969,6.79466858722413
117,2.976,36.160534783205
118,2.984,85.8410446389672
119,2.991,100
120,2.999,2.39147653116723
121,3.007,0.137236207110478
122,3.014,0.098599603885024
123,3.022,0.103068258465488
124,3.029,0.0955349837813027
125,3.037,0.0832065348708988
126,3.044,0.0929741368453165
127,3.052,0.107084450108265
128,3.059,0.092717585695081
129,3.067,0.0918126598197052
130,3.074,0.0933006564910706
131,3.082,0.0735228950911036
132,3.089,0.0678974280513961
133,3.097,0.0787005637594912
134,3.105,0.0780708472998225
135,3.112,0.0697072798021477
136,3.120,0.0665820203356435
137,3.127,0.0774971056365687
138,3.135,0.0995371817249753
139,3.142,0.0887200523177764
140,3.150,0.0676595351666323
141,3.157,0.0472147407760532
142,3.165,0.0669038754150298
143,3.172,0.0813220500582604
144,3.180,0.0728511975341236
145,3.187,0.0762283435844954
146,3.195,0.0677434973612548
147,3.202,0.0569636844849992
148,3.210,0.064762839452156
149,3.218,0.0648374725140427
150,3.225,0.0678927634850281
151,3.233,0.05210320632963
152,3.240,0.0415566217717702
153,3.248,0.0450223945831324
154,3.255,0.0597111140757022
155,3.263,0.0770959529289279
156,3.270,0.0541649446642492
157,3.278,0.0621693405515943
158,3.285,0.0445139568490294
159,3.293,0.0613950225345201
160,3.300,0.0503260065434537
161,3.308,0.0584190291917892
162,3.316,0.0695067034483273
163,3.323,0.0772778710172766
164,3.331,0.0482502745097308
165,3.338,0.0550652059732571
166,3.346,0.0441594498050678
167,3.353,0.0415566217717702
168,3.361,0.0418178374883736
169,3.368,0.0404931006398852
170,3.376,0.0504286270035479
171,3.383,0.0387998630483314
172,3.391,0.0321995016377292
173,3.398,0.0482129579787874
174,3.406,0.0461978653078474
175,3.413,0.0401432581622915
176,3.421,0.0483435658370891
177,3.429,0.0395368645344623
178,3.436,0.0435483916108707
179,3.444,0.0393036362160664
180,3.451,0.0457873834674707
181,3.459,0.0427834027265323
182,3.466,0.0241251372548654
183,3.474,0.0425268515762969
184,3.481,0.0466736510773749
185,3.489,0.0832298577027384
186,3.496,0.0874139737347597
187,3.504,0.0411554690641294
188,3.511,0.0397560991537544
189,3.519,0.0393502818797456
190,3.527,0.0298858767192425
191,3.534,0.0333703077960764
192,3.542,0.0348209879364985
193,3.549,0.0362809972096564
194,3.557,0.0265367180670783
195,3.564,0.0355626539889972
196,3.572,0.0337061565745664
197,3.579,0.0384033749070585
198,3.587,0.0338600872647076
199,3.594,0.0317703615318809
200,3.602,0.038431362305266
201,3.609,0.0290882358703288
202,3.617,0.0372092459168718
203,3.624,0.0314718292843342
204,3.632,0.0300211491439121
205,3.640,0.0474339753953453
206,3.647,0.0316444182399472
207,3.655,0.0214196887614737
208,3.662,0.0271151242967
209,3.670,0.0404837715071494
210,3.677,0.0404604486753098
211,3.685,0.02879436818915
212,3.692,0.0436323538054932
213,3.700,0.0397560991537544
214,3.707,0.0301517570022138
215,3.715,0.0274929541725013
216,3.722,0.02610757796123
217,3.730,0.0331930542740955
218,3.738,0.0284351965788204
219,3.745,0.0419204579484677
220,3.753,0.0293681098524038
221,3.760,0.0221706839467083
222,3.768,0.0344944682907443
223,3.775,0.0379649056684743
224,3.783,0.0227817421409054
225,3.790,0.0374937844653148
226,3.798,0.02756292266802
227,3.805,0.0434504357171444
228,3.813,0.0296806357990542
229,3.820,0.0299325223829217
230,3.828,0.0374704616334752
231,3.835,0.0184017143214315
232,3.843,0.0431845554341732
233,3.851,0.0237239845472245
234,3.858,0.0470748037850157
235,3.866,0.0178186435254419
236,3.873,0.0280293793048117
237,3.881,0.0331044275131051
238,3.888,0.0171609396675657
239,3.896,0.0216669107789733
240,3.903,0.030310352258723
241,3.911,0.028402544614245
242,3.918,0.0275395998361804
243,3.926,0.0262521795186354
244,3.933,0.0197311157362878
245,3.941,0.0292841476577813
246,3.948,0.0274603022079258
247,3.956,0.0340140179548489
248,3.964,0.0563339680253305
249,3.971,0.0831832120390592
250,3.979,0.0620340681269247
251,3.986,0.0268259211818892
252,3.994,0.0363556302715431
253,4.001,0.0308654356565051
254,4.009,0.0280013919066042
255,4.016,0.0247455245817983
256,4.024,0.0316210954081076
257,4.031,0.0324234008233893
258,4.039,0.0264387621733521
259,4.046,0.0214476761596812
260,4.054,0.0287337288263671
261,4.062,0.0373072018105981
262,4.069,0.0175714215079424
263,4.077,0.0465617014845449
264,4.084,0.0347090383436685
265,4.092,0.0304502892497605
266,4.099,0.0472660510061003
267,4.107,0.0262708377841071
268,4.114,0.0435577207436065
269,4.122,0.0244003466705725
270,4.129,0.0362716680769206
271,4.137,0.0257484063509004
272,4.144,0.0312106135677309
273,4.152,0.0356652744490914
274,4.159,0.0271850927922188
275,4.167,0.0221240382830291
276,4.175,0.0263967810760408
277,4.182,0.0239292254674129
278,4.190,0.0250393922629771
279,4.197,0.0275722518007558
280,4.205,0.0317983489300884
281,4.212,0.0374751261998431
282,4.220,0.0343685249988105
283,4.227,0.0311966198686272
284,4.235,0.0248994552719396
285,4.242,0.0149499352091732
286,4.250,0.0170583192074715
287,4.257,0.021457005292417
288,4.265,0.0244656505997233
289,4.273,0.0198057487981745
290,4.280,0.0357352429446101
291,4.288,0.0337994479019247
292,4.295,0.0231222554857633
293,4.303,0.0244050112369404
294,4.310,0.0178932765873286
295,4.318,0.0260795905630225
296,4.325,0.00731870463126136
297,4.333,0.0216995627435487
298,4.340,0.0292281728613663
299,4.348,0.025044056829345
300,4.355,0.0196051724443541
301,4.363,0.027618897464435
302,4.370,0.0290695776048571
303,4.378,0.0329831487875393
304,4.386,0.0270544849339171
305,4.393,0.0206640290098712
306,4.401,0.0181078466402528
307,4.408,0.0266300093944367
308,4.416,0.110867413432645
309,4.423,0.142012723071225
310,4.431,0.039830732215641
311,4.438,0.0426854468328061
312,4.446,0.02409248529029
313,4.453,0.0312292718332026
314,4.461,0.033221041672303
315,4.468,0.0195491976479391
316,4.476,0.021736879274492
317,4.484,0.0199876668865232
318,4.491,0.0250673796611846
319,4.499,0.0180891883747811
320,4.506,0.0349469312284322
321,4.514,0.0290882358703288
322,4.521,0.0248621387409962
323,4.529,0.0329504968229638
324,4.536,0.0224972035924624
325,4.544,0.0435157396462953
326,4.551,0.02812267063217
