#"+EI TIC Scan IPA-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.287476977246907
1,2.102,0.25895718747303
2,2.110,0.264601499082035
3,2.117,0.239601580083246
4,2.125,0.219804147909977
5,2.132,0.231645052107342
6,2.140,0.201354281326334
7,2.147,0.20265030069122
8,2.155,0.190198205543369
9,2.162,0.194837365769949
10,2.170,0.166873538848622
11,2.177,0.174697519389481
12,2.185,0.166726263920794
13,2.193,0.17638381731311
14,2.200,0.153791843384307
15,2.208,0.151759449380282
16,2.215,0.151700539409151
17,2.223,0.158361048020168
18,2.230,0.143574645266245
19,2.238,0.127525360006197
20,2.245,0.14526462506307
21,2.253,0.150835299208162
22,2.260,0.12909751986076
23,2.268,0.125404601045475
24,2.275,0.127282356375281
25,2.283,0.13107468576685
26,2.290,0.1228162441889
27,2.298,0.131932562221448
28,2.306,0.11329860197802
29,2.313,0.117565893011834
30,2.321,0.113629970565633
31,2.328,0.111604940307999
32,2.336,0.105080661005222
33,2.343,0.107720564086538
34,2.351,0.112208767512093
35,2.358,0.106163131724757
36,2.366,0.0976690502622819
37,2.373,0.0901727564358407
38,2.381,0.0995026231137395
39,2.388,0.106236769188671
40,2.396,0.097046813692209
41,2.404,0.106192586710323
42,2.411,0.137131367173774
43,2.419,0.191247539404143
44,2.426,0.368224138301761
45,2.434,0.234877736773165
46,2.441,0.102002615013619
47,2.449,0.0909680410461115
48,2.456,0.101538698990961
49,2.464,0.102363438586797
50,2.471,0.0958686142695856
51,2.479,0.0886558246792131
52,2.486,0.0916970519388597
53,2.494,0.0896425666956602
54,2.501,0.092901024473853
55,2.509,0.0771646984354395
56,2.517,0.0753237618375905
57,2.524,0.0933097123985754
58,2.532,0.0987552028550128
59,2.539,0.0746242059304079
60,2.547,0.096461395854093
61,2.554,0.0773119733632674
62,2.562,0.0886889615379744
63,2.569,0.0780704392415812
64,2.577,0.0843480330402464
65,2.584,0.0855556874484354
66,2.592,0.0751323044314142
67,2.599,0.0760527727303387
68,2.607,0.0814835356939933
69,2.615,0.0749445288984336
70,2.622,0.07542685428707
71,2.630,0.074524795354124
72,2.637,0.0880409518555315
73,2.645,0.0881845449101638
74,2.652,0.0653642948432273
75,2.660,0.0708245127924475
76,2.667,0.070415824867725
77,2.675,0.0811263939940106
78,2.682,0.0670837296256183
79,2.690,0.0796131441105787
80,2.697,0.069587403398693
81,2.705,0.0708650133976002
82,2.712,0.0697015414677596
83,2.720,0.0727427687274062
84,2.728,0.067404052593644
85,2.735,0.0791970924394649
86,2.743,0.0871683479081511
87,2.750,0.0895615654853548
88,2.758,0.0830741049145349
89,2.765,0.0818480411403674
90,2.773,0.0717044804862193
91,2.780,0.0796904634476884
92,2.788,0.0943627281325451
93,2.795,0.079414322958011
94,2.803,0.0751543956705884
95,2.810,0.0606919977578865
96,2.818,0.0847125384866205
97,2.826,0.072562356940817
98,2.833,0.0672420501730333
99,2.841,0.0675218725359064
100,2.848,0.0678863779822805
101,2.856,0.0687442544368781
102,2.863,0.0790903181167896
103,2.871,0.0714982955872602
104,2.878,0.0667781341503754
105,2.886,0.0630447147299375
106,2.893,0.0591971572404331
107,2.901,0.0790350900188541
108,2.908,0.0751175769386314
109,2.916,0.0695726759059102
110,2.923,0.0691271692492307
111,2.931,0.0661558975803024
112,2.939,0.0787037214312413
113,2.946,0.0634386751618772
114,2.954,0.057150035743625
115,2.961,0.133416357119314
116,2.969,2.29572525685484
117,2.976,18.5102124853204
118,2.984,57.4857452597355
119,2.991,100
120,2.999,36.4177538747297
121,3.006,0.249741458864198
122,3.014,0.107462832962839
123,3.021,0.101303059106436
124,3.029,0.0847824940773388
125,3.036,0.084999724595885
126,3.044,0.0843627605330292
127,3.052,0.10562189636499
128,3.059,0.0873045772163919
129,3.067,0.0719253928779612
