#"+EI TIC Scan IPA-PEEK-2Hour.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.280474363445344
1,2.102,0.245996662664159
2,2.110,0.246359643721992
3,2.117,0.233248327936007
4,2.125,0.224206799768154
5,2.132,0.209385073239953
6,2.140,0.220978468238635
7,2.148,0.194783335231651
8,2.155,0.198171158438097
9,2.163,0.188590658396492
10,2.170,0.188084684800724
11,2.178,0.182958952287075
12,2.185,0.171838532606176
13,2.193,0.165057386480287
14,2.200,0.15999215080961
15,2.208,0.14730431292443
16,2.215,0.151907572703318
17,2.223,0.15467392834105
18,2.230,0.131179154415827
19,2.238,0.151236607717626
20,2.246,0.13884575433431
21,2.253,0.13769081460484
22,2.261,0.133313043058848
23,2.268,0.130282701197238
24,2.276,0.121917637728075
25,2.283,0.119789248798051
26,2.291,0.123985529815127
27,2.298,0.114152042975637
28,2.306,0.113607571388887
29,2.313,0.11218314572254
30,2.321,0.102487151707988
31,2.328,0.120801195989587
32,2.336,0.108415842319269
33,2.343,0.102388156874034
34,2.351,0.12188463945009
35,2.359,0.0986538517487465
36,2.366,0.101799687583303
37,2.374,0.098648352035749
38,2.381,0.107579885943652
39,2.389,0.0857130270656826
40,2.396,0.104362553840128
41,2.404,0.117880848387927
42,2.411,0.158210243798427
43,2.419,0.383384993054137
44,2.426,0.39835521183327
45,2.434,0.156840815262056
46,2.441,0.116076942524754
47,2.449,0.0931926367422516
48,2.457,0.100881235512725
49,2.464,0.0775074552734465
50,2.472,0.0973504197683444
51,2.479,0.0808017833589354
52,2.487,0.0968994433025512
53,2.494,0.0919552013178192
54,2.502,0.0849870649500156
55,2.509,0.0970534352664806
56,2.517,0.100507255028896
57,2.524,0.0893373379310201
58,2.532,0.0999187857381662
59,2.539,0.0939680962748959
60,2.547,0.102806135061842
61,2.554,0.101865684139273
62,2.562,0.085603032805733
63,2.570,0.0831006633918809
64,2.577,0.09478755351152
65,2.585,0.0818467288284561
66,2.592,0.0884683832774187
67,2.600,0.0926591645814963
68,2.607,0.0893703362090049
69,2.615,0.0897003189888536
70,2.622,0.081857728254451
71,2.630,0.0683174348546621
72,2.637,0.0814507494926377
73,2.645,0.0713917744202519
74,2.652,0.0848660712640711
75,2.660,0.0838101263685554
76,2.668,0.0724147210377826
