#"+EI TIC Scan IPA-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.272729393928697
1,2.102,0.22888987141005
2,2.110,0.244912760696335
3,2.117,0.213902767498865
4,2.125,0.204363819874754
5,2.132,0.215540579752632
6,2.140,0.186273099135654
7,2.147,0.17607603517213
8,2.155,0.18257867332122
9,2.163,0.170280124228433
10,2.170,0.156108187146749
11,2.178,0.176412571936603
12,2.185,0.160434554218915
13,2.193,0.151658423260943
14,2.200,0.147504063868396
15,2.208,0.147167527103923
16,2.215,0.137183603091232
17,2.223,0.14942232342589
18,2.230,0.127689527035718
19,2.238,0.129921887573387
20,2.245,0.118655384558317
21,2.253,0.12461956388425
22,2.260,0.116692253432226
23,2.268,0.122503121565455
24,2.276,0.110167179498838
25,2.283,0.118045879084883
26,2.291,0.110754249187974
27,2.298,0.107545932033334
28,2.306,0.105545407933413
29,2.313,0.105889423292652
30,2.321,0.103668280647132
31,2.328,0.095049200179247
32,2.336,0.0976928834290494
33,2.343,0.0936656601475258
34,2.351,0.0932917304092227
35,2.358,0.0918371437272239
36,2.366,0.0924877814718712
37,2.373,0.0942901228104918
38,2.381,0.0799723531308688
39,2.389,0.0909284944631476
40,2.396,0.103989860222072
41,2.404,0.105006949110257
42,2.411,0.131466217392579
43,2.419,0.266970875958831
44,2.426,0.32834770320389
45,2.434,0.118662863153083
46,2.441,0.0941480295099367
47,2.449,0.08493440075815
48,2.456,0.0804360260063646
49,2.464,0.0878847063933609
50,2.471,0.0916726146423706
51,2.479,0.0883820329453039
52,2.487,0.0916987897240518
53,2.494,0.0837752185694106
54,2.502,0.0750140448009707
55,2.509,0.0742362709453004
56,2.517,0.0814643327866979
57,2.524,0.0842650665265876
58,2.532,0.0605653997129416
59,2.539,0.0780466149786082
60,2.547,0.0878211383378494
61,2.554,0.0769921331165937
62,2.562,0.076906129276784
63,2.569,0.0763227988850313
64,2.577,0.0709643857351488
65,2.584,0.0756235502744046
66,2.592,0.0817447800904252
67,2.600,0.0677635471752749
68,2.607,0.07592643336243
69,2.615,0.0742474888374494
70,2.622,0.0749429981506931
71,2.630,0.0674531854924834
72,2.637,0.078016700599544
73,2.645,0.065920073565441
74,2.652,0.0787346456970858
75,2.660,0.0712597902284083
76,2.667,0.0669595982379234
77,2.675,0.0782485370372919
78,2.682,0.0594024782268192
79,2.690,0.0671241273227767
80,2.698,0.0657106729119913
81,2.705,0.057529090237921
82,2.713,0.0699024252783682
83,2.720,0.0638522421126252
84,2.728,0.056538176431418
85,2.735,0.0652731751181767
86,2.743,0.0887484840888409
87,2.750,0.0729349954560058
88,2.758,0.0622742586169865
89,2.765,0.0747709904710737
90,2.773,0.069132130017464
91,2.780,0.0718842528913743
92,2.788,0.0839696620333282
93,2.795,0.0712560509310252
94,2.803,0.069494841863618
95,2.811,0.0665520148231731
96,2.818,0.0677897222569561
97,2.826,0.0833190242886809
98,2.833,0.056287643506755
99,2.841,0.0603186060856616
100,2.848,0.0740605239682979
101,2.856,0.0712597902284083
102,2.863,0.0694798846740858
103,2.871,0.0627304528977162
104,2.878,0.0547021814163501
105,2.886,0.0665968863917695
106,2.893,0.0722544433322943
107,2.901,0.0771865765805113
108,2.909,0.0662154780587004
109,2.916,0.069375184347361
110,2.924,0.0679280762601283
111,2.931,0.0615301384377634
112,2.939,0.0630894254464871
113,2.946,0.056904627574955
114,2.954,0.0700519971736895
115,2.961,0.370250269678127
116,2.969,5.64052444094513
117,2.976,30.562014153091
118,2.984,76.2617212015768
119,2.991,100
120,2.999,3.52401855409447
121,3.006,0.121788915765297
122,3.014,0.104262828931034
123,3.022,0.0799386994544216
124,3.029,0.07567963973515
125,3.037,0.0721609608977185
126,3.044,0.0915716536130288
127,3.052,0.100246823541659
128,3.059,0.072089914247441
129,3.067,0.0694387524028725
130,3.074,0.0804098509246834
131,3.082,0.0621583403981125
132,3.089,0.0630744682569549
133,3.097,0.0744157572196858
134,3.104,0.0610739441570337
135,3.112,0.0625322701364155
136,3.119,0.0622667800222204
137,3.127,0.0697790284647282
138,3.135,0.0857757426693318
