#"+EI TIC Scan IPA-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.270933263423826
1,2.102,0.260630024152161
2,2.110,0.242946392624656
3,2.117,0.240463193906475
4,2.125,0.235655558355373
5,2.132,0.232362266940606
6,2.140,0.215586427731386
7,2.147,0.200556969260035
8,2.155,0.187595486114645
9,2.162,0.197666688784775
10,2.170,0.185234411923587
11,2.178,0.180455272095482
12,2.185,0.187701327371485
13,2.193,0.174585153158405
14,2.200,0.161460837310183
15,2.208,0.167428655868959
16,2.215,0.14786837744132
17,2.223,0.157622056340929
18,2.230,0.149582191638622
19,2.238,0.152118310985223
20,2.245,0.147742182096626
21,2.253,0.147774748637192
22,2.260,0.139075411488417
23,2.268,0.142975254721232
24,2.275,0.131841568665126
25,2.283,0.139010278407284
26,2.291,0.127958008702594
27,2.298,0.115769980895653
28,2.306,0.120215313682954
29,2.313,0.126826321417915
30,2.321,0.113775280285967
31,2.328,0.116946447173611
32,2.336,0.11740644955911
33,2.343,0.118460791309944
34,2.351,0.109338089133807
35,2.358,0.112073678541377
36,2.366,0.104147796731052
37,2.373,0.10687117368591
38,2.381,0.0995559145112027
39,2.389,0.0936043792227099
40,2.396,0.103150446426209
41,2.404,0.120768944872581
42,2.411,0.128283674108257
43,2.419,0.180662883791592
44,2.426,0.357413711897656
45,2.434,0.213730134919107
46,2.441,0.114622010340691
47,2.449,0.106574004003242
48,2.456,0.0933845550738874
49,2.464,0.105165501123749
50,2.471,0.097471655914959
51,2.479,0.103345845669607
52,2.486,0.0898917935981509
53,2.494,0.0956886378189536
54,2.502,0.0983672357805324
55,2.509,0.0852958405607307
56,2.517,0.083345918944323
57,2.524,0.0858942507436366
58,2.532,0.0914997665386123
59,2.539,0.0863705363994188
60,2.547,0.0921918055256463
61,2.554,0.0737062229366959
62,2.562,0.0915771120724573
63,2.569,0.0971093531511588
64,2.577,0.0842333571747549
65,2.584,0.0885769195227862
66,2.592,0.0908565773624277
67,2.600,0.0925663207421589
68,2.607,0.0772315509529987
69,2.615,0.0880070050628758
70,2.622,0.0713532903807802
71,2.630,0.0790227106841457
72,2.637,0.0762464131008679
73,2.645,0.0852388491147397
74,2.652,0.0773903128382595
75,2.660,0.0763848208982747
76,2.667,0.0719883379218232
77,2.675,0.0786278413797792
78,2.682,0.0854342483581375
79,2.690,0.0886501942390604
80,2.697,0.0760591554926117
81,2.705,0.069220181973687
82,2.713,0.0698593003323008
83,2.720,0.083557601458004
84,2.728,0.067624421485938
85,2.735,0.0604557117437795
86,2.743,0.0842944194383167
87,2.750,0.0858657550206411
88,2.758,0.0807202416111645
89,2.765,0.0732950703620463
90,2.773,0.0769221688176188
91,2.780,0.0674900845061019
92,2.788,0.100854505316284
93,2.795,0.0828614916533992
94,2.803,0.0694359353049388
95,2.811,0.0756724278233868
96,2.818,0.0903395835309376
97,2.826,0.0923668506811902
98,2.833,0.0816483880173042
99,2.841,0.0715731145296028
100,2.848,0.0666270711810948
101,2.856,0.0731770166524934
102,2.863,0.0809522782126994
103,2.871,0.084481677046573
104,2.878,0.0809441365775578
105,2.886,0.0648074157269524
106,2.893,0.0716382476107354
107,2.901,0.0816198922943087
108,2.908,0.0783469549673948
109,2.916,0.0776019953519405
110,2.924,0.0755462324786923
111,2.931,0.0901238301996858
112,2.939,0.0818926370715515
113,2.946,0.0675755716750885
114,2.954,0.0638344903275339
115,2.961,0.146142350791306
116,2.969,2.2869242490054
117,2.976,19.245970602998
118,2.984,59.682187201431
119,2.991,100
120,2.999,25.8464959827137
121,3.006,0.228010562957433
122,3.014,0.12478684181495
123,3.022,0.109484638566356
124,3.029,0.115114579266756
125,3.037,0.0860896499870344
126,3.044,0.081440776321194
127,3.052,0.101522119397894
128,3.059,0.0964580223398327
129,3.067,0.0822386565650686
130,3.074,0.0872009831838597
131,3.082,0.0777770405074844
132,3.089,0.0646812203822579
133,3.097,0.0758393313437891
134,3.104,0.0806306836246071
135,3.112,0.0652918430178762
136,3.119,0.0587256142761944
137,3.127,0.0769628769933267
138,3.135,0.0820880363149494
139,3.142,0.104567090940843
140,3.150,0.0695173516563546
141,3.157,0.051015485797121
142,3.165,0.066044944268472
143,3.172,0.0813227226116411
144,3.180,0.0651208686799031
145,3.187,0.0775246498180955
146,3.195,0.0654953838964156
147,3.202,0.0589902174182956
148,3.210,0.0551392239963297
149,3.217,0.0706490389410338
150,3.225,0.0622509422924972
151,3.232,0.0533847016233199
152,3.240,0.0622916504682051
153,3.248,0.0530997443933647
154,3.255,0.0477588317404903
155,3.263,0.0551473656314713
156,3.270,0.0755380908435507
157,3.278,0.058001008748594
158,3.285,0.0484834372680906
159,3.293,0.0534009848936031
160,3.300,0.0418602170804178
161,3.308,0.0515406212637527
162,3.315,0.057654989255077
163,3.323,0.0653773301868627
164,3.330,0.063101743164792
165,3.338,0.0488091026737537
166,3.346,0.0428453549325486
167,3.353,0.0479705142541713
168,3.361,0.0506368997630377
169,3.368,0.0435129690141579
170,3.376,0.0392548938351132
171,3.383,0.0495174249310709
172,3.391,0.049322025687673
173,3.398,0.0401911818763945
174,3.406,0.0277344801097818
175,3.413,0.0376754166176472
176,3.421,0.0469772347668989
177,3.428,0.039894012193727
178,3.436,0.0482880380246928
179,3.443,0.0440747418389267
180,3.451,0.0519558446559732
181,3.459,0.0461752837054535
182,3.466,0.0395357802474976
183,3.474,0.0347810653248166
184,3.481,0.0363198343665747
185,3.489,0.0618275772651352
186,3.496,0.089195683793546
187,3.504,0.0477384776526363
188,3.511,0.0387989622671848
189,3.519,0.0280031540694538
190,3.526,0.033946547722805
191,3.534,0.0372479807727144
192,3.541,0.0279095252653257
193,3.549,0.0345856660814188
194,3.557,0.0396334798691965
195,3.564,0.0387541832739062
196,3.572,0.0339221228173803
197,3.579,0.0302624578212414
198,3.587,0.0360145230487655
199,3.594,0.0365274460626849
200,3.602,0.0365803666911051
201,3.609,0.036987448448184
202,3.617,0.0300141379494233
203,3.624,0.0437572180684052
204,3.632,0.0343373462096007
205,3.639,0.027172707285013
206,3.647,0.036621074866813
207,3.654,0.0328148604381258
208,3.662,0.0307590975648776
209,3.670,0.0365070919748309
210,3.677,0.0350375268317763
211,3.685,0.0308730804568597
212,3.692,0.032810789620555
213,3.700,0.034447258284012
214,3.707,0.0329980472288113
215,3.715,0.0293872320435219
216,3.722,0.0316668898831635
217,3.730,0.0288051051308992
218,3.737,0.0337837150199735
219,3.745,0.0279298793531797
220,3.752,0.0272989026297074
221,3.760,0.0442212912714751
222,3.768,0.0154406110460006
223,3.775,0.027115715839022
224,3.783,0.0339343352700926
225,3.790,0.0311824625922396
226,3.798,0.0323629996877683
227,3.805,0.0365396585153973
228,3.813,0.0327375149042808
229,3.820,0.0274902310555345
230,3.828,0.0298390927938794
231,3.835,0.0198289523873106
232,3.843,0.0221411767675185
233,3.850,0.0306084773147585
234,3.858,0.0281822700425685
235,3.865,0.0270790784808849
236,3.873,0.0217218825577272
