#"+EI TIC Scan IPA-PLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.272653038067276
1,2.102,0.256041421098227
2,2.110,0.237116187926792
3,2.117,0.237009348962032
4,2.125,0.234949935813729
5,2.132,0.204032949873552
6,2.140,0.217152037925622
7,2.147,0.209201745306592
8,2.155,0.205628166140485
9,2.163,0.209481737076308
10,2.170,0.181670449318634
11,2.178,0.180760476067059
12,2.185,0.169196079157357
13,2.193,0.163058364837013
14,2.200,0.17089813438905
15,2.208,0.156187514172281
16,2.215,0.14782091800091
17,2.223,0.167298766507311
18,2.230,0.147032520123027
19,2.238,0.144280495754901
20,2.245,0.148484056402868
21,2.253,0.133872906946393
22,2.261,0.143525254797116
23,2.268,0.14076217812229
24,2.276,0.12871147971782
25,2.283,0.129636189378328
26,2.291,0.117489704315797
27,2.298,0.121369063967251
28,2.306,0.116343948521303
29,2.313,0.128958314567438
30,2.321,0.118248629375815
31,2.328,0.122312194138925
32,2.336,0.110162024974161
33,2.343,0.104304302423531
34,2.351,0.11660183567762
35,2.358,0.114881359934762
36,2.366,0.110766217740389
37,2.374,0.11523503374914
38,2.381,0.111609877151769
39,2.389,0.0952708837479698
40,2.396,0.116881827447335
41,2.404,0.122857441269424
42,2.411,0.135398125270897
43,2.419,0.206541823494294
44,2.426,0.349333941947022
45,2.434,0.21850410344517
46,2.441,0.108054718496827
47,2.449,0.0994376033736061
48,2.456,0.102521196942711
49,2.464,0.094136180260175
50,2.472,0.0991281387860257
51,2.479,0.100185476126925
52,2.487,0.103151178424571
53,2.494,0.0953998273261283
54,2.502,0.0995370741338998
55,2.509,0.0884295059011029
56,2.517,0.0977244958352145
57,2.524,0.0946851114929069
58,2.532,0.0816949670189958
59,2.539,0.0804497404642079
60,2.547,0.0868563942475691
61,2.554,0.0919699281471121
62,2.562,0.102001738527844
63,2.569,0.0875600577740912
64,2.577,0.0876116352053546
65,2.585,0.0912810010295224
66,2.592,0.0896157868201611
67,2.600,0.0896231550246273
68,2.607,0.0838170099052615
69,2.615,0.0860753645741519
70,2.622,0.0768172156623712
71,2.630,0.0807555209495553
72,2.637,0.0856185358972474
73,2.645,0.0817207557346275
74,2.652,0.0725362888675088
75,2.660,0.0789171539352383
76,2.667,0.0780882309327907
77,2.675,0.0788508400950425
78,2.683,0.0788361036861101
79,2.690,0.0627549974386279
80,2.698,0.0733762641766556
81,2.705,0.0680085272230287
82,2.713,0.0720057781459424
83,2.720,0.0775650884156905
84,2.728,0.0703663526522128
85,2.735,0.0839680580968186
86,2.743,0.0932188388041331
87,2.750,0.0824944172035785
88,2.758,0.0752919973378677
89,2.765,0.0685574584557607
90,2.773,0.0707716038978538
91,2.780,0.0814518162716112
92,2.788,0.102454883102515
93,2.796,0.0911004800201005
94,2.803,0.0789134698330052
95,2.811,0.0733983687900542
96,2.818,0.083139135094371
97,2.826,0.0823765259321193
98,2.833,0.0828333546090237
99,2.841,0.0746178066292104
100,2.848,0.0703147752209494
101,2.856,0.0668848760419332
102,2.863,0.0786040052454248
103,2.871,0.0655807038514157
104,2.878,0.0728162806372244
105,2.886,0.0843954139558582
106,2.894,0.0750377942837838
107,2.901,0.0805013178954713
108,2.909,0.0816323372810331
109,2.916,0.0803981630329445
110,2.924,0.0827670407688279
111,2.931,0.0905589169918347
112,2.939,0.0820265362199748
113,2.946,0.07662564234625
114,2.954,0.0604745381563389
115,2.961,0.131150355396132
116,2.969,2.2492180953523
117,2.976,18.7259085042158
118,2.984,59.2418707060637
119,2.991,100
120,2.999,27.9934260879753
121,3.007,0.234692048657412
122,3.014,0.13423763306747
123,3.022,0.113890336434058
124,3.029,0.0989328813676714
125,3.037,0.089464738628604
126,3.044,0.0911004800201005
127,3.052,0.107089483711755
128,3.059,0.102955921006217
129,3.067,0.0786592667789213
130,3.074,0.093403043915788
131,3.082,0.0775319314955926
132,3.089,0.0742125553835694
133,3.097,0.070300038812017
134,3.104,0.0693863814582082
135,3.112,0.059594037722628
136,3.120,0.0794476646568047
137,3.127,0.072506816049644
138,3.135,0.0883374033452753
139,3.142,0.108102611825858
140,3.150,0.057571465596656
141,3.157,0.0676769580220497
142,3.165,0.0661885807198773
143,3.172,0.0881274095179886
144,3.180,0.0624013236242503
145,3.187,0.0723668201647862
146,3.195,0.0691616512219891
147,3.202,0.0609424191399427
148,3.210,0.0559946698408891
149,3.218,0.0463975835236633
150,3.225,0.0629760435726139
151,3.233,0.0540347274528799
152,3.240,0.0575125199609264
153,3.248,0.0459554912556912
154,3.255,0.0521300465983671
155,3.263,0.0793702985099096
156,3.270,0.0793260892831124
157,3.278,0.0554641591193227
158,3.285,0.0462612717410386
159,3.293,0.0466665229866796
160,3.300,0.0507521923631876
161,3.308,0.0496101206709266
162,3.315,0.0567683313098402
163,3.323,0.0703074070164832
164,3.331,0.0493153924922786
165,3.338,0.046754941440274
166,3.346,0.0457086564060735
167,3.353,0.0453549825916959
168,3.361,0.0467070481112437
169,3.368,0.0396483082326238
170,3.376,0.0524174065725489
171,3.383,0.0395304169611646
172,3.391,0.0463202173767682
173,3.398,0.0405545973819664
174,3.406,0.0328253508969223
175,3.413,0.037522581244125
176,3.421,0.0491275032783905
177,3.429,0.0344979333107498
178,3.436,0.0358168419101996
179,3.444,0.038222560668414
180,3.451,0.0442350155128335
181,3.459,0.0447876308477985
182,3.466,0.0309796156781391
183,3.474,0.0425034874632764
184,3.481,0.0474328162511644
185,3.489,0.0607582140282876
186,3.496,0.104109045005177
187,3.504,0.0651091387655789
188,3.511,0.0500927380634627
189,3.519,0.0331974452224654
190,3.526,0.0278739174956357
191,3.534,0.0275865575214539
192,3.542,0.0401014528072951
193,3.549,0.0329800831907125
194,3.557,0.0356547414119432
195,3.564,0.0386572847319199
196,3.572,0.0384030816778359
197,3.579,0.0221193498075333
198,3.587,0.045727076917239
199,3.594,0.0336469056949037
200,3.602,0.0294470291491695
201,3.609,0.0421166567288009
202,3.617,0.0351537035082416
203,3.624,0.0283712712971042
204,3.632,0.0345126697196822
205,3.640,0.0313701305148478
206,3.647,0.0312559233456217
207,3.655,0.0315101263997056
208,3.662,0.0165084621065218
209,3.670,0.0292628240375145
210,3.677,0.0250371587761486
211,3.685,0.0258218725517989
212,3.692,0.0214709478145077
213,3.700,0.0303054249694818
214,3.707,0.025899238698694
215,3.715,0.0358242101146658
216,3.722,0.0242892860228293
217,3.730,0.0272697247294073
218,3.737,0.0257960838361672
219,3.745,0.0335584872413092
220,3.753,0.030570680330265
221,3.760,0.0310311931094025
222,3.768,0.0273213021606707
223,3.775,0.0211614832269272
224,3.783,0.0218909354690811
225,3.790,0.0345716153554118
226,3.798,0.0420871839109361
227,3.805,0.0284044282172021
228,3.813,0.0213862134631464
229,3.820,0.03428425538123
230,3.828,0.0267207934966754
231,3.835,0.0285960015333234
232,3.843,0.0250371587761486
233,3.850,0.0373678489503348
234,3.858,0.0334479641743162
235,3.866,0.0293733471045075
236,3.873,0.0267871073368712
237,3.881,0.0329321898616822
238,3.888,0.0222814503057897
239,3.896,0.0190025993183306
240,3.903,0.025567669497715
241,3.911,0.019238381861249
242,3.918,0.0244955957478829
243,3.926,0.0395672579834956
244,3.933,0.0187336598553143
245,3.941,0.0286475789645868
246,3.948,0.0215630503703352
247,3.956,0.0234308902025169
248,3.964,0.040834589151682
249,3.971,0.0674632800925299
250,3.979,0.076073027011285
251,3.986,0.0347521363648337
252,3.994,0.034615824582209
253,4.001,0.0275644529080553
254,4.009,0.0193083798036779
255,4.016,0.0208299140259482
256,4.024,0.031012772598237
257,4.031,0.0272144631959108
258,4.039,0.0244882275434167
259,4.046,0.0238987711861207
260,4.054,0.029981223972969
261,4.061,0.0347337158536682
262,4.069,0.0196731059247548
263,4.077,0.00793555621009772
264,4.084,0.0342068892343349
265,4.092,0.0360231516352532
266,4.099,0.0476133372605863
267,4.107,0.0599440274347725
268,4.114,0.0410998445124653
269,4.122,0.0402340804876867
270,4.129,0.0320958986547685
271,4.137,0.0313369735947499
272,4.144,0.0319853755877755
273,4.152,0.0232651056020274
274,4.159,0.0288796774052721
275,4.167,0.034321096403561
276,4.175,0.0277412898152441
277,4.182,0.024904531095757
278,4.190,0.0254166213061579
279,4.197,0.0222814503057897
280,4.205,0.0433987243059197
281,4.212,0.0265844817140507
282,4.220,0.0128906737136174
283,4.227,0.027884969802335
284,4.235,0.0291301963571229
285,4.242,0.0254829351463537
286,4.250,0.023836141448158
287,4.257,0.0189731265004658
288,4.265,0.0213898975653795
289,4.272,0.0221856636477291
290,4.280,0.033842163113258
291,4.288,0.0233940491801859
292,4.295,0.0201778279306895
293,4.303,0.0259287115165588
294,4.310,0.0103854841951093
295,4.318,0.0257592428138362
296,4.325,0.0156758550018411
297,4.333,0.0316980156135937
298,4.340,0.0307327808285214
299,4.348,0.0180410486354914
300,4.355,0.0217877806065543
301,4.363,0.0276233985437849
302,4.370,0.0296975481010203
303,4.378,0.0248566377667267
304,4.386,0.015303760676298
305,4.393,0.0281833820832161
306,4.401,0.0193599572349413
307,4.408,0.0224582872129785
308,4.416,0.0602129668977888
309,4.423,0.149430870676775
310,4.431,0.0684358830820684
311,4.438,0.0259618684366567
312,4.446,0.0379057278763674
313,4.453,0.0331274472800365
314,4.461,0.0144048397314216
315,4.468,0.01074284211172
316,4.476,0.0192825910880462
317,4.483,0.0099065509048063
318,4.491,0.0209846463197384
319,4.499,0.018247358360545
320,4.506,0.0300033285863676
321,4.514,0.0232098440685309
322,4.521,0.0309832997803722
323,4.529,0.0249708449359528
324,4.536,0.0234014173846521
325,4.544,0.0142464233353983
326,4.551,0.0135280233999437
327,4.559,0.023397733282419
328,4.566,0.0214967365301394
329,4.574,0.0164237277551605
330,4.581,0.0164237277551605
331,4.589,0.0234493107136824
332,4.597,0.0242929701250624
333,4.604,0.0274281411254306
334,4.612,0.0185973480726895
335,4.619,0.011475978456107
336,4.627,0.0270044693686241
337,4.634,0.020822545821482
338,4.642,0.0230772163881393
339,4.649,0.0105881098179298
340,4.657,0.0338568995221904
341,4.664,0.0211430627157617
342,4.672,0.0166410897869134
343,4.679,0.0217693600953888
344,4.687,0.021813569322186
345,4.694,0.021408318076545
346,4.702,0.010558637000065
347,4.710,0.0243629680674913
348,4.717,0.0173668579268341
349,4.725,0.0217804124020881
350,4.732,0.00893763201750096
351,4.740,0.0189620741937665
352,4.747,0.0149979801909507
353,4.755,0.0121317486535988
354,4.762,0.0211541150224611
355,4.770,0.0178273707059716
356,4.777,0.0139811679746151
357,4.785,0.0245840142014773
358,4.792,0.0209883304219715
359,4.800,0.0120028050754403
360,4.807,0.0161105790653469
361,4.815,0.00933919916090888
362,4.823,0.0236150953141719
363,4.830,0.0164200436529274
364,4.838,0.0314622330706753
365,4.845,0.0433655673858218
366,4.853,0.0203730853490438
367,4.860,0.0220604041718037
368,4.868,0.0230551117747407
369,4.875,0.010816524156382
370,4.883,0.0170979184638178
371,4.890,0.0161363677809786
372,4.898,0.0201630915217571
373,4.905,0.0227382789826941
374,4.913,0.00966340015742169
375,4.921,0.0137785423517946
376,4.928,0.0120433302000044
377,4.936,0.00894868432420026
378,4.943,0.0145116786961815
379,4.951,0.0266950047810437
380,4.958,0.0106765282715242
381,4.966,0.0211835878403259
382,4.973,0.00532721182906281
383,4.981,0.0160479493273842
384,4.988,0.0152006058137712
385,4.996,0.00667559324637747
386,5.003,0.0126585752729321
387,5.011,0.0218393580378177
388,5.018,0.00936498787654058
389,5.026,0.0176910589233469
390,5.034,0.0226461764268666
391,5.041,0.0244661229300181
392,5.049,0.0254424100217896
393,5.056,0.016626353377981
394,5.064,0.015414283743291
395,5.071,0.0122312194138925
396,5.079,0.0214783160189739
397,5.086,0.00539352566925862
398,5.094,0.011991752768741
399,5.101,0.0221488226253981
400,5.109,0.0154400724589227
401,5.116,0.00827080951330983
402,5.124,0.018980494704932
403,5.132,0.0119807004620417
404,5.139,0.016257943154671
405,5.147,0.0143864192202561
406,5.154,0.0170610774414868
407,5.162,0.0136017054446057
408,5.169,0.0141727412907363
409,5.177,0.0152742878584332
410,5.184,0.0141359002684053
411,5.192,0.0177721091724751
412,5.199,0.0218319898333515
413,5.207,0.0149279822485218
414,5.214,0.00899657765323056
415,5.222,0.0163279410970999
416,5.229,0.0120212255866058
417,5.237,0.0075671459867877
418,5.245,0.0110338861881349
419,5.252,0.0185862957659902
420,5.260,0.012397004014382
421,5.267,0.0220309313539389
422,5.275,0.017731584047911
423,5.282,0.0225246010531743
424,5.290,0.0197688925828154
425,5.297,0.0105549528978319
426,5.305,0.0161474200876779
427,5.312,0.0103560113772445
428,5.320,0.0143716828113237
429,5.327,0.00594982510645674
430,5.335,0.0105991621246291
431,5.343,0.0149537709641535
432,5.350,0.0109307313256081
433,5.358,0.018173676315883
434,5.365,0.00867606075895085
435,5.373,0.015156396586974
436,5.380,0.0129827762694449
437,5.388,0.0110338861881349
438,5.395,0.00913288943585527
439,5.403,0.00894868432420026
440,5.410,0.00202625622820508
441,5.418,0.0196731059247548
442,5.425,0.0166742467070113
443,5.433,0.00556667847421432
444,5.440,0.00958971811275969
445,5.448,0.00869079716788325
446,5.456,0.0049845903213845
447,5.463,0.00918815096935177
448,5.471,0.0154732293790206
449,5.478,0.0102049631856874
450,5.486,0.0129164624292491
451,5.493,0.0191941726344518
452,5.501,0.0109196790189088
453,5.508,0.0119033343151466
454,5.516,0.0207378114701207
455,5.523,0.0165931964578831
456,5.531,0.00621508046723995
457,5.538,0.0148506161016267
458,5.546,0.0123785835032165
459,5.553,0.021813569322186
460,5.561,0.017952630181897
461,5.569,0.00780292852970611
462,5.576,0.0225982830978363
463,5.584,0.0102381201057853
464,5.591,0.0130527742118738
465,5.599,0.00419619244350107
466,5.606,0.0241345537290391
467,5.614,0.0127433096242934
468,5.621,0.0142464233353983
469,5.629,0.0266213227363817
470,5.636,0.00275939257259201
471,5.644,0.0202809827932163
472,5.651,0.0140474818148109
473,5.659,0.0134248685374169
474,5.667,0.00938340838770608
475,5.674,0.0203546648378783
476,5.682,0.0172637030643073
477,5.689,0.0162911000747689
478,5.697,0.0164974097998225
479,5.704,0.00965971605518859
480,5.712,0.0202257212597198
481,5.719,0.0163500457104985
482,5.727,0.0253650438748945
483,5.734,0.0213493724408154
484,5.742,0.0114354533315429
485,5.749,0.015414283743291
486,5.757,0.0225835466889039
487,5.764,0.0254313577150903
488,5.772,0.0218761990601487
489,5.780,0.0146000971497759
490,5.787,0.0234382584069831
491,5.795,0.00680822092676907
492,5.802,0.0140216930991792
493,5.810,0.0182142014404471
494,5.817,0.00552246924741712
495,5.825,0.0204836084160368
496,5.832,0.0131080357453703
497,5.840,0.0175915881630532
498,5.847,0.0182657788717105
499,5.855,0.0101681221633564
500,5.862,0.0106470554536594
501,5.870,0.00837396437583664
502,5.878,0.0182620947694774
503,5.885,0.010300749843748
504,5.893,0.00635139224986465
505,5.900,0.00713610602551499
506,5.908,0.0107133692938552
507,5.915,0.00705137167415368
508,5.923,0.0149206140440556
509,5.930,0.00767766905378071
510,5.938,0.00467880983603719
511,5.945,0.00802029056145902
512,5.953,0.010263908821417
513,5.960,0.0101828585722888
514,5.968,0.00790976749446602
515,5.975,0.0148064068748295
516,5.983,0.0103928523995755
517,5.991,0.0166337215824472
518,5.998,0.00636612865879706
519,6.006,0.0157790098643679
520,6.013,0.0157532211487362
521,6.021,0.0099065509048063
522,6.028,0.0196104761867921
523,6.036,0.0306701510905587
524,6.043,0.0133475023905218
525,6.051,0.0138338038852911
526,6.058,0.0164605687774915
527,6.066,0.0119143866218459
528,6.073,0.0144490489582188
529,6.081,0.0119512276441769
530,6.089,0.0147216725234682
531,6.096,0.011549660500769
532,6.104,0.0126401547617666
533,6.111,0.0199825705123352
534,6.119,0.0182952516895753
535,6.126,0.0232430009886288
536,6.134,0.0420135018662741
537,6.141,0.0527010824444976
538,6.149,0.0376109996977194
539,6.156,0.0302427952315191
540,6.164,0.0283860077060366
541,6.171,0.025493987453053
542,6.179,0.0169726589878924
543,6.186,0.0218946195713142
544,6.194,0.0233056307265915
545,6.202,0.0182915675873422
546,6.209,0.0159263739536919
547,6.217,0.0236961455633002
548,6.224,0.0243813885786568
549,6.232,0.0262344920019062
550,6.239,0.0135059187865451
551,6.247,0.0286696835779854
552,6.254,0.0121317486535988
553,6.262,0.0153369175963959
554,6.269,0.0073755726706665
555,6.277,0.0117780748392212
556,6.284,0.00803502697039142
557,6.292,0.0164200436529274
558,6.299,0.0191536475098877
559,6.307,0.00865395614555225
560,6.315,0.0119659640531093
561,6.322,0.0115201876829042
562,6.330,0.0235414132695099
563,6.337,0.00518353184197191
564,6.345,0.0258071361428665
565,6.352,0.0107207374983214
566,6.360,0.00681190502900217
567,6.367,0.00676401169997187
568,6.375,0
569,6.382,0.0141469525751046
570,6.390,0.0186489255039529
571,6.397,0.0157937462733003
572,6.405,0.0220677723762699
573,6.413,0.0154805975834868
574,6.420,0.0141211638594729
575,6.428,0.0149058776351232
576,6.435,0.0211393786135286
577,6.443,0.0110670431082328
578,6.450,0.0124412132411792
579,6.458,0.0110707272104659
580,6.465,0.0119585958486431
581,6.473,0.0281723297765168
582,6.480,0.0227566994938596
583,6.488,0.0142648438465638
584,6.495,0.0112733528332865
585,6.503,0.0127764665443913
586,6.510,0.0218283057311184
587,6.518,0.00699611014065718
588,6.526,0.0133253977771232
589,6.533,0.014677463296671
590,6.541,0.0179268414662653
591,6.548,0.00870184947458255
592,6.556,0.0242966542272955
593,6.563,0.0194004823595054
594,6.571,0.0264923791582232
595,6.578,0.019238381861249
596,6.586,0.0156684867973749
597,6.593,0.0179489460796639
598,6.601,0.022145138523165
599,6.608,0.0167626651606057
600,6.616,0.013866960805389
601,6.624,0.0250997885141113
602,6.631,0.0243482316585589
603,6.639,0.0198352064230112
604,6.646,0.0137085444093657
605,6.654,0.00299149101327732
606,6.661,0.0237329865856312
607,6.669,0.0119991209732072
608,6.676,0.009932339620438
609,6.684,0.0145116786961815
610,6.691,0.0165453031288528
611,6.699,0.00709189679871778
612,6.706,0.0191389111009553
613,6.714,0.0099249714159718
614,6.721,0.0152006058137712
615,6.729,0.0159926877938877
616,6.737,0.0138227515785918
617,6.744,0.0176726384121814
618,6.752,0.0149685073730859
619,6.759,0.0208925437639109
620,6.767,0.0147990386703633
621,6.774,0.0126880480907969
622,6.782,0.0131485608699344
623,6.789,0.00964497964625619
624,6.797,0.00690769168706278
625,6.804,0.0186489255039529
626,6.812,0.0110891477216314
627,6.819,0.0155284909125171
628,6.827,0.0187926054910439
629,6.835,0.0205720268696312
630,6.842,0.0141359002684053
631,6.850,0.0200378320458317
632,6.857,0.0297417573278175
633,6.865,0.00967445246412099
634,6.872,0.0163979390395288
635,6.880,0.0160811062474821
636,6.887,0.0161326836787455
637,6.895,0.0256634561557756
638,6.902,0.0221267180119995
639,6.910,0.0252287320922698
640,6.917,0.013940642850051
641,6.925,0.0131522449721675
642,6.932,0.0195883715733935
643,6.940,0.0238766665727221
644,6.948,0.0198094177073795
645,6.955,0.0191462793054215
646,6.963,0.0284044282172021
647,6.970,0.0208667550482792
648,6.978,0.0241235014223398
649,6.985,0.0272439360137756
650,6.993,0.019496269017566
651,7.000,0.0226019672000694
652,7.008,0.0309059336334771
653,7.015,0.0187705008776453
654,7.023,0.0344868810040505
655,7.030,0.106503711456692
656,7.038,0.107067379098357
657,7.046,0.0795913446438956
658,7.053,0.0459518071534581
659,7.061,0.0435976658265072
660,7.068,0.0347963455916309
661,7.076,0.0418219285501529
662,7.083,0.0330758698487731
663,7.091,0.016663194400312
664,7.098,0.0315874925466007
665,7.106,0.0171973892241115
666,7.113,0.0282791687412767
667,7.121,0.0250776839007127
668,7.128,0.0274318252276637
669,7.136,0.0287691543382791
670,7.143,0.0314032874349457
671,7.151,0.0371799597364467
672,7.159,0.0435755612131086
673,7.166,0.0545136607431829
674,7.174,0.0676216964885532
675,7.181,0.0631491963775696
676,7.189,0.0442497519217659
677,7.196,0.0474365003533975
678,7.204,0.0356031639806798
679,7.211,0.0504316754689079
680,7.219,0.058783535231346
681,7.226,0.0732289000873316
682,7.234,0.147367773426239
683,7.241,0.155933311118197
684,7.249,0.120687505054128
685,7.256,0.0824502079767813
686,7.264,0.0688116615098446
687,7.272,0.0565546533803204
688,7.279,0.0584298614169683
689,7.287,0.0570814799996537
690,7.294,0.0381083534991879
691,7.302,0.0510542887463018
692,7.309,0.0383662406555049
693,7.317,0.0456055015435467
694,7.324,0.0492159217319849
695,7.332,0.0348810799429922
696,7.339,0.0439402873341855
697,7.347,0.0416856167675282
698,7.354,0.0305191028990016
699,7.362,0.0419545562305445
700,7.370,0.0437229253024326
701,7.377,0.0347447681603675
702,7.385,0.0422492844091925
703,7.392,0.0409856373432391
704,7.400,0.0252655731146008
705,7.407,0.0425034874632764
706,7.415,0.0507853492832855
707,7.422,0.0531026495879055
708,7.430,0.0481512161866189
709,7.437,0.0396446241303907
710,7.445,0.0428166361530899
711,7.452,0.018833130615608
712,7.460,0.0366310285037148
713,7.467,0.0404109173948755
714,7.475,0.0506306169894953
715,7.483,0.0456460266681108
716,7.490,0.0509179769636771
717,7.498,0.0487885658729453
718,7.505,0.0404993358484699
719,7.513,0.059815083856614
720,7.520,0.0375004766307264
721,7.528,0.0324974657981764
722,7.535,0.0375778427776215
723,7.543,0.0330611334398407
724,7.550,0.0519937348157424
725,7.558,0.0532205408593647
726,7.565,0.0354042224600924
727,7.573,0.0402414486921529
728,7.581,0.042009817764041
729,7.588,0.0318490638051508
730,7.596,0.0425845377124046
731,7.603,0.0367673402863395
732,7.611,0.0475507075226236
733,7.618,0.0398546179576774
734,7.626,0.0432366238076633
735,7.633,0.0352531742685353
736,7.641,0.0403777604747776
737,7.648,0.0399025112867077
738,7.656,0.0478528039057378
739,7.663,0.043188730478633
740,7.671,0.0393462118495096
741,7.678,0.0440287057877799
742,7.686,0.0427061130860969
743,7.694,0.0412103675794583
744,7.701,0.0525979275819708
745,7.709,0.0545247130498822
746,7.716,0.0511058661775653
747,7.724,0.0540863048841433
748,7.731,0.055254165292036
749,7.739,0.0518500548286515
750,7.746,0.0348552912273605
751,7.754,0.0393277913383441
752,7.761,0.0538689428523904
753,7.769,0.0470091444943579
