#"+EI TIC Scan IPA-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.274000208470866
1,2.102,0.266646500857388
2,2.110,0.247058414763007
3,2.117,0.232285596911361
4,2.125,0.221776212656634
5,2.132,0.232032161740691
6,2.140,0.220132971711321
7,2.147,0.206439297167044
8,2.155,0.198946608976102
9,2.162,0.18256733915553
10,2.170,0.177960541778992
11,2.178,0.183151875113688
12,2.185,0.172057954900803
13,2.193,0.169343745976206
14,2.200,0.172564825242143
15,2.208,0.162868886131987
16,2.215,0.158912027338297
17,2.223,0.149346893477519
18,2.230,0.141747926021456
19,2.238,0.137459966440278
20,2.245,0.148259574842063
21,2.253,0.146518229959716
22,2.260,0.13214600318429
23,2.268,0.125658880347942
24,2.275,0.141081636782436
25,2.283,0.131496064601443
26,2.291,0.111809874570029
27,2.298,0.133061639929937
28,2.306,0.129219235729454
29,2.313,0.118027211579535
30,2.321,0.125454497145789
31,2.328,0.124170970636265
32,2.336,0.121513989008271
33,2.343,0.12195136906088
34,2.351,0.109647500291246
35,2.358,0.104824056720426
36,2.366,0.113138365384026
37,2.373,0.100090541758554
38,2.381,0.10841302575024
39,2.389,0.105212384804518
40,2.396,0.094711175877877
41,2.404,0.107836665120167
42,2.411,0.13342544202977
43,2.419,0.184864606347734
44,2.426,0.356591460461048
45,2.434,0.211720559110688
46,2.441,0.110268825225792
47,2.449,0.10195042889815
48,2.456,0.098279706587475
49,2.464,0.104824056720426
50,2.471,0.089818242018325
51,2.479,0.0964116441197931
52,2.486,0.100360327585396
53,2.494,0.085828681912291
54,2.502,0.0847454509408781
55,2.509,0.0851583050092279
56,2.517,0.0850111491036775
57,2.524,0.0852073569777447
58,2.532,0.0926918698406016
59,2.539,0.0853381622271229
60,2.547,0.0847291002847058
61,2.554,0.0894871412308365
62,2.562,0.0770115905713941
63,2.569,0.0928962530427549
64,2.577,0.0835028010717855
65,2.584,0.0824849727250617
66,2.592,0.0756013464765358
67,2.600,0.0812831994963998
68,2.607,0.0860780294189181
69,2.615,0.0704672404384429
70,2.622,0.0707411139293284
71,2.630,0.0742728556625388
72,2.637,0.07645975592558
73,2.645,0.0691551002806181
74,2.652,0.0629745522474999
75,2.660,0.0678020834823628
76,2.667,0.0848844315183424
77,2.675,0.0772282367656767
78,2.682,0.0786670945088365
79,2.690,0.0840014960850398
80,2.697,0.0696210939815279
81,2.705,0.0742197160299789
82,2.713,0.0723148645859094
83,2.720,0.0770197658994803
84,2.728,0.0756830997573971
85,2.735,0.0761041291538331
86,2.743,0.0608203532968032
87,2.750,0.0883425952987776
88,2.758,0.0762921616998142
89,2.765,0.0819167874230753
90,2.773,0.0780989092068501
91,2.780,0.0767540677366809
92,2.788,0.0911589958244512
93,2.795,0.0813036378166151
94,2.803,0.0678225218025781
95,2.811,0.0732754656360303
96,2.818,0.0718733968692581
97,2.826,0.0901452551417704
98,2.833,0.0546520682558142
99,2.841,0.0689261910942064
100,2.848,0.0765864735109151
101,2.856,0.0705571690473903
102,2.863,0.0668660084165003
103,2.871,0.0671071805950413
104,2.878,0.0771546588129015
105,2.886,0.0720696047433254
106,2.893,0.0627088540847005
107,2.901,0.0900553265328229
108,2.908,0.0614784672077371
109,2.916,0.0768480840096714
110,2.924,0.0656519721957092
111,2.931,0.0677448561857598
112,2.939,0.0798933937217568
113,2.946,0.0668251317760696
114,2.954,0.0694453244276759
115,2.961,0.142675825759233
116,2.969,2.40442530509303
117,2.976,19.7092158429683
118,2.984,58.9224140926306
119,2.991,100
120,2.999,18.8179824516583
121,3.006,0.18230164099273
122,3.014,0.110023565383208
123,3.021,0.106622628899376
124,3.029,0.082930528105756
125,3.037,0.0806209979214228
126,3.044,0.0950708903136669
127,3.052,0.107072271944113
128,3.059,0.0948624194474705
129,3.067,0.0801999685249869
130,3.074,0.089577069839784
131,3.082,0.0834414861111395
132,3.089,0.0725028971318905
133,3.097,0.0711744063178936
134,3.104,0.0653045207520484
135,3.112,0.0715095947694251
136,3.119,0.0653494850565222
137,3.127,0.0691796262648765
138,3.135,0.0871367344060726
139,3.142,0.102126198452002
140,3.150,0.0789695816480235
141,3.157,0.0620221265254651
142,3.165,0.0694167107793745
143,3.172,0.076402528628977
144,3.180,0.0758343433269907
145,3.187,0.0660116866314991
146,3.195,0.0681127459496359
147,3.202,0.057901761170053
148,3.210,0.0592874792806529
149,3.217,0.038926824682133
150,3.225,0.0528616714049506
151,3.232,0.0557639128755286
152,3.240,0.0558824551327776
153,3.248,0.0543087044761965
154,3.255,0.0494157706166446
155,3.263,0.0586784173382358
156,3.270,0.0774040063195286
157,3.278,0.0576687643195981
158,3.285,0.0504949139240144
159,3.293,0.0441958236336472
160,3.300,0.0550281333477764
161,3.308,0.0477847926634606
162,3.315,0.0654189753452543
163,3.323,0.0545866656311251
164,3.330,0.039470483999861
165,3.338,0.050290530721861
166,3.346,0.0420211863627352
167,3.353,0.0453035805893185
168,3.361,0.043034927045416
169,3.368,0.043096242006062
170,3.376,0.0437257422686944
171,3.383,0.0488067086742275
172,3.391,0.0306370420027919
173,3.398,0.0343077643134666
174,3.406,0.0371568661514847
175,3.413,0.0354400472533963
176,3.421,0.0361145118205025
177,3.428,0.0442244372819487
178,3.436,0.0435050084103688
179,3.443,0.0338744719249014
180,3.451,0.040136773238881
181,3.459,0.0396748672020144
182,3.466,0.0404269973859388
183,3.474,0.0292676745483642
184,3.481,0.0471552924008282
185,3.489,0.0646382315130284
186,3.496,0.0901983947743303
187,3.504,0.0550240456837333
188,3.511,0.0376432981726098
189,3.519,0.0302528015827435
190,3.526,0.0290837296664262
191,3.534,0.0415306666775671
192,3.541,0.0350925958097356
193,3.549,0.0299257884592981
194,3.557,0.045393509198266
195,3.564,0.0381501685139502
196,3.572,0.0287199275665932
197,3.579,0.0317734126067647
198,3.587,0.0281721805848221
199,3.594,0.0368175900359101
200,3.602,0.0295824246796804
201,3.609,0.0289815380653495
202,3.617,0.016559127038467
203,3.624,0.0298154215301353
204,3.632,0.0263245564373555
205,3.639,0.0229808472501262
206,3.647,0.0358120246813155
207,3.654,0.0245505102426642
208,3.662,0.0293903044696563
209,3.670,0.0255151989568281
210,3.677,0.0299871034199441
211,3.685,0.0299830157559011
212,3.692,0.0267292351776192
213,3.700,0.023087126515246
214,3.707,0.0250083286154878
215,3.715,0.0307596719240839
216,3.722,0.0308332498768591
217,3.730,0.027317858799821
218,3.737,0.0253680430512777
219,3.745,0.0239046593238595
220,3.752,0.0325132797985599
221,3.760,0.0300729443648485
222,3.768,0.0318102015831523
223,3.775,0.0272034042066151
224,3.783,0.0189340598474893
225,3.790,0.0294884084066899
226,3.798,0.0289651874091772
227,3.805,0.0266188682484564
228,3.813,0.0192651606349777
229,3.820,0.0256010399017326
230,3.828,0.0332858483026997
231,3.835,0.0249184000065403
232,3.843,0.0376882624770835
233,3.850,0.0276530472513525
234,3.858,0.0258258614241013
235,3.865,0.0314750131316207
236,3.873,0.0272483685110888
237,3.881,0.0423441118221376
238,3.888,0.025568338589388
239,3.896,0.0208879632600756
240,3.903,0.0224331002683551
241,3.911,0.0186847123408621
242,3.918,0.0180552120782297
243,3.926,0.0272851574874764
244,3.933,0.0209411028926355
245,3.941,0.0290469406900386
246,3.948,0.0267210598495331
247,3.956,0.0191302677215565
248,3.963,0.0291654829472875
249,3.971,0.0787611107818271
250,3.978,0.0690815223278429
251,3.986,0.0329710981713835
252,3.994,0.030522587409586
253,4.001,0.027019459324677
254,4.009,0.0244973706101043
255,4.016,0.0264962383271644
256,4.024,0.0254293580119237
257,4.031,0.0331059910848047
258,4.039,0.0256214782219479
259,4.046,0.0247589811088606
260,4.054,0.0253516923951054
261,4.061,0.0306125160185335
262,4.069,0.0275467679862328
263,4.076,0.0280045863590563
264,4.084,0.0307719349162131
265,4.092,0.019338738587753
266,4.099,0.0365478042090677
267,4.107,0.052223995814232
268,4.114,0.0255233742849143
269,4.122,0.0211945380633057
270,4.129,0.0226824477749823
271,4.137,0.033363513919518
272,4.144,0.0329547475152112
273,4.152,0.0295129343909483
274,4.159,0.0269949333404186
275,4.167,0.0218403889821103
276,4.174,0.0350680698254772
277,4.182,0.0228377790086188
278,4.189,0.0184476278263642
279,4.197,0.0183536115533737
280,4.205,0.0296233013201111
281,4.212,0.0147278535471727
282,4.220,0.0255806015815172
283,4.227,0.0312215779609505
284,4.235,0.0286667879340333
285,4.242,0.0307187952836532
286,4.250,0.0210473821577552
287,4.257,0.017348046198779
288,4.265,0.0327299259928425
289,4.272,0.0238637826834288
290,4.280,0.0137018498723627
291,4.287,0.0318469905595399
292,4.295,0.0246731401639562
293,4.303,0.0225352918694318
294,4.310,0.0210555574858414
295,4.318,0.0234795422633805
296,4.325,0.0192406346507193
297,4.333,0.0368789049965561
298,4.340,0.0180552120782297
299,4.348,0.0241213055181421
300,4.355,0.0161094839937295
301,4.363,0.0198047322886627
302,4.370,0.0103458776930042
303,4.378,0.0255479002691727
304,4.385,0.0185866084038285
305,4.393,0.026353170085657
306,4.400,0.0261528745475467
307,4.408,0.0160931333375573
308,4.416,0.0699072304645426
309,4.423,0.139385256204563
310,4.431,0.0755890834844066
311,4.438,0.0219589312393593
312,4.446,0.0185947837319146
313,4.453,0.0266066052563272
314,4.461,0.0279310084062811
315,4.468,0.017646445673923
316,4.476,0.0254130073557514
317,4.483,0.0235040682476389
318,4.491,0.0220161585359622
319,4.498,0.0270071963325478
320,4.506,0.0113514430475988
321,4.514,0.0242766367517786
322,4.521,0.0247875947571621
323,4.529,0.0266270435765425
324,4.536,0.0214438855699328
325,4.544,0.0318796918718844
326,4.551,0.018496679794881
327,4.559,0.0277388881962569
328,4.566,0.0221265254651251
329,4.574,0.0208307359634726
330,4.581,0.0138898824183438
331,4.589,0.0195022451494757
332,4.596,0.0267292351776192
333,4.604,0.0214275349137605
334,4.611,0.010035215225731
335,4.619,0.0267496734978346
336,4.627,0.0274364010570699
337,4.634,0.0255969522376895
338,4.642,0.0271870535504428
339,4.649,0.0255274619489573
340,4.657,0.022845954336705
341,4.664,0.0242929874079509
342,4.672,0.026594342264198
343,4.679,0.0261201732352021
344,4.687,0.0221633144415127
345,4.694,0.0177241112907412
346,4.702,0.0233487370140023
347,4.709,0.0198537842571795
348,4.717,0.0302119249423128
349,4.724,0.0243870036809415
350,4.732,0.025629653550034
351,4.740,0.0259975433139101
352,4.747,0.020430144887252
353,4.755,0.0165836530227254
354,4.762,0.0168411758574386
355,4.770,0.0321862666751145
356,4.777,0.0224371879323982
357,4.785,0.0163710944924859
358,4.792,0.0266025175922841
359,4.800,0.0133748367489173
360,4.807,0.0136936745442766
361,4.815,0.0234918052555097
362,4.822,0.0176546210020091
363,4.830,0.0264839753350352
364,4.838,0.0255724262534311
365,4.845,0.0315077144439653
366,4.853,0.0284746677240091
367,4.860,0.0284419664116646
368,4.868,0.0106565401602773
369,4.875,0.0216523564361292
370,4.883,0.0206427034174915
371,4.890,0.0200745181155051
372,4.898,0.0251677475131674
373,4.905,0.0167921238889218
374,4.913,0.0175360787447601
375,4.920,0.017225416277487
376,4.928,0.028470580059966
377,4.935,0.0189258845194031
378,4.943,0.0141351422609279
379,4.951,0.0209084015802909
380,4.958,0.0263613454137431
381,4.966,0.0163629191643997
382,4.973,0.0136037459353291
383,4.981,0.0209615412128508
384,4.988,0.025388481371493
385,4.996,0.0220365968561776
386,5.003,0.0238474320272565
387,5.011,0.0172376792696162
388,5.018,0.0153287401615036
389,5.026,0.0181655790073925
390,5.033,0.0133012587961421
391,5.041,0.0211209601105304
392,5.049,0.0144744183765025
393,5.056,0.0182105433118663
394,5.064,0.0176914099783967
395,5.071,0.0169924194270321
396,5.079,0.0148504834684647
397,5.086,0.0297459312414031
398,5.094,0.0222287170662018
399,5.101,0.0130478236254719
400,5.109,0.0216646194282584
401,5.116,0.0250369422637892
402,5.124,0.0176995853064828
403,5.131,0.0213703076171576
404,5.139,0.0164610231014333
405,5.146,0.0223963112919675
406,5.154,0.0122916057775044
407,5.162,0.0222041910819434
408,5.169,0.0266229559124995
409,5.177,0.0218117753338089
410,5.184,0.018795079270025
411,5.192,0.00785649029077598
412,5.199,0.0141147039407125
413,5.207,0.0100638288740325
414,5.214,0.00845328924106386
415,5.222,0.0140533889800665
416,5.229,0.0298072462020491
417,5.237,0.0204342325512951
418,5.244,0.0328443805860484
419,5.252,0.0274200504008977
420,5.260,0.01928151129115
421,5.267,0.014928149085283
422,5.275,0.0255928645736464
423,5.282,0.0210392068296691
424,5.290,0.0242275847832618
425,5.297,0
426,5.305,0.0216237427878278
427,5.312,0.0152592498727715
428,5.320,0.030404045152337
429,5.327,0.0188972708711016
430,5.335,0.023393701318476
431,5.342,0.0179325821569377
432,5.350,0.0193837028922267
433,5.357,0.0308536881970745
434,5.365,0.0202748136536154
435,5.373,0.0209329275645493
436,5.380,0.0183086472488999
437,5.388,0.00892337060601663
438,5.395,0.0188318682464126
439,5.403,0.0176954976424398
440,5.410,0.0193019496113653
441,5.418,0.0229931102422554
442,5.425,0.0239414483002471
443,5.433,0.0172458545977023
444,5.440,0.0129088430480076
445,5.448,0.0106442771681481
446,5.455,0.0189013585351447
447,5.463,0.0146747139146128
448,5.470,0.0131541028905916
449,5.478,0.013297171132099
450,5.486,0.0140043370115497
451,5.493,0.0256092152298187
452,5.501,0.0231934057803657
453,5.508,0.0113432677195127
454,5.516,0.0100433905538172
455,5.523,0.0225966068300779
456,5.531,0.018014335437799
457,5.538,0.0135219926544677
458,5.546,0.0203729175906491
459,5.553,0.0125246026279592
460,5.561,0.0107505564332679
461,5.568,0.021276291344167
462,5.576,0.0150017270380582
463,5.584,0.00771750971331168
464,5.591,0.0227969023681882
465,5.599,0.0268436897708251
466,5.606,0.0201235700840219
467,5.614,0.0176137443615784
468,5.621,0.0308618635251606
469,5.629,0.0196494010550261
470,5.636,0.0374511779625856
471,5.644,0.0267537611618776
472,5.651,0.0329179585388236
473,5.659,0.028286635178028
474,5.666,0.0172826435740899
475,5.674,0.0188236929183264
476,5.681,0.0240150262530223
477,5.689,0.0266597448888871
478,5.697,0.0243624776966831
479,5.704,0.0211700120790472
480,5.712,0.026230540164365
481,5.719,0.0217995123416797
482,5.727,0.0316753086697311
483,5.734,0.0301056456771931
484,5.742,0.0210065055173245
485,5.749,0.0144580677203302
486,5.757,0.0114291086644171
487,5.764,0.0226865354390253
488,5.772,0.0204628461995966
489,5.779,0.0109876409477658
490,5.787,0.023209756436538
491,5.795,0.00385466719261277
492,5.802,0.028168092920779
493,5.810,0.0153001265132021
494,5.817,0.0225925191660348
495,5.825,0.0184149265140197
496,5.832,0.0275099790098451
497,5.840,0.0171559259887548
498,5.847,0.0149812887178429
499,5.855,0.0256214782219479
500,5.862,0.0201807973806249
501,5.870,0.0250696435761338
502,5.877,0.022547554861561
503,5.885,0.0149731133897567
504,5.892,0.0203402162783045
505,5.900,0.0185130304510533
506,5.908,0.0203565669344768
507,5.915,0.0150099023661443
508,5.923,0.0145112073528901
509,5.930,0.0140370383238942
510,5.938,0.0275181543379313
511,5.945,0.013959372707076
512,5.953,0.013779515489181
513,5.960,0.0172172409494009
514,5.968,0.0233160357016578
515,5.975,0.0111020955409717
516,5.983,0.020851174283688
517,5.990,0.0177854262513873
518,5.998,0.0043942388462977
519,6.006,0.0211046094543582
520,6.013,0.0142209832058323
521,6.021,0.0248039454133344
522,6.028,0.0265984299282411
523,6.036,0.0340706797989687
524,6.043,0.0219303175910578
525,6.051,0.0161830619465047
526,6.058,0.0160972210016003
527,6.066,0.0176587086660522
528,6.073,0.0189585858317477
529,6.081,0.0178140398996887
530,6.088,0.0110489559084118
531,6.096,0.0197352419999305
532,6.103,0.0147155905550435
533,6.111,0.0133748367489173
534,6.119,0.0252944650985025
535,6.126,0.032157653026813
536,6.134,0.0306820063072656
537,6.141,0.0474618672040582
538,6.149,0.0387714934484965
539,6.156,0.0358529013217462
540,6.164,0.024660877171827
541,6.171,0.0184149265140197
542,6.179,0.0172908189021761
543,6.186,0.0266515695608009
544,6.194,0.022543467197518
545,6.201,0.0225148535492165
546,6.209,0.0192406346507193
547,6.217,0.0229767595860831
548,6.224,0.0163383931801413
549,6.232,0.0269172677236003
550,6.239,0.0171927149651424
551,6.247,0.0311152986958308
552,6.254,0.0136364472476736
553,6.262,0.0142536845181768
554,6.269,0.0171927149651424
555,6.277,0.0165836530227254
556,6.284,0.00547746981771062
557,6.292,0.018496679794881
558,6.299,0.0200172908189022
559,6.307,0.0171722766449271
560,6.314,0.0304857984331984
561,6.322,0.0220243338640484
562,6.330,0.0177568126030858
563,6.337,0.0167062829440174
564,6.345,0.0255233742849143
565,6.352,0.0162852535475814
566,6.360,0.0135751322870276
567,6.367,0.0113923196880295
568,6.375,0.014261859846263
569,6.382,0.0174747637841141
570,6.390,0.0139103207385591
571,6.397,0.019645313390983
572,6.405,0.0198006446246196
573,6.412,0.0138735317621715
574,6.420,0.0232751590612271
575,6.427,0.0129578950165244
576,6.435,0.0082080293984798
577,6.443,0.0177322866188274
578,6.450,0.0146420126022682
579,6.458,0.00816715275804912
580,6.465,0.00454139475184814
581,6.473,0.016199412602677
582,6.480,0.0106442771681481
583,6.488,0.0146665385865267
584,6.495,0.0207203690343098
585,6.503,0.00530578792790178
586,6.510,0.0214152719216313
587,6.518,0.0140411259879373
588,6.525,0.0211005217903151
589,6.533,0.0178549165401194
590,6.541,0.0097613417348455
591,6.548,0.00789736693120666
592,6.556,0.0118501380608531
593,6.563,0.0246159128673533
594,6.571,0.0231280031556766
595,6.578,0.0308496005330314
596,6.586,0.0330978157567186
597,6.593,0.0271420892459691
598,6.601,0.0222777690347186
599,6.608,0.0141801065654016
600,6.616,0.019400053548399
601,6.623,0.026111997907116
602,6.631,0.0255846892455603
603,6.638,0.0229154446254371
604,6.646,0.0173357832066498
605,6.654,0.0216482687720862
606,6.661,0.0152510745446853
607,6.669,0.0251105202165644
608,6.676,0.023994587932807
609,6.684,0.0164814614216487
610,6.691,0.0125409532841315
611,6.699,0.0196044367505523
612,6.706,0.00295946876718096
613,6.714,0.0177404619469135
614,6.721,0.021092346462229
615,6.729,0.0214479732339758
616,6.736,0.0156475779568629
617,6.744,0.0270031086685048
618,6.752,0.013959372707076
619,6.759,0.0308046362285577
620,6.767,0.0225761685098625
621,6.774,0.012271167457289
622,6.782,0.0182268939680386
623,6.789,0.0196371380628969
624,6.797,0.0199396252020839
625,6.804,0.0113432677195127
626,6.812,0.0121321868798247
627,6.819,0.0146338372741821
628,6.827,0.0165550393744239
629,6.834,0.022543467197518
630,6.842,0.0211127847824443
631,6.849,0.0138857947543007
632,6.857,0.0110898325488425
633,6.865,0.0177854262513873
634,6.872,0.0235939968565864
635,6.880,0.0149935517099721
636,6.887,0.0127494241503279
637,6.895,0.0121975895045138
638,6.902,0.0142209832058323
639,6.910,0.0255315496130004
640,6.917,0.030220100270399
641,6.925,0.0131418398984624
642,6.932,0.0240354645732377
643,6.940,0.0181533160152633
644,6.947,0.0251677475131674
645,6.955,0.0159296267758345
646,6.963,0.0277470635243431
647,6.970,0.0212190640475641
648,6.978,0.0244074420011568
649,6.985,0.0147196782190865
650,6.993,0.0265289396395089
651,7.000,0.02266609711881
652,7.008,0.0143068241507367
653,7.015,0.0190607774328244
654,7.023,0.0423441118221376
655,7.030,0.0719142735096888
656,7.038,0.112537478769695
657,7.045,0.0657500761327428
658,7.053,0.0474577795400152
659,7.060,0.031311506569898
660,7.068,0.0356158168072482
661,7.076,0.0305430257298013
662,7.083,0.0233732629982607
663,7.091,0.0257768094555845
664,7.098,0.028773067199153
665,7.106,0.0348228099828931
666,7.113,0.0240640782215391
667,7.121,0.0316834839978172
668,7.128,0.0276530472513525
669,7.136,0.0218117753338089
670,7.143,0.0346756540773427
671,7.151,0.0259198776970918
672,7.158,0.0374961422670594
673,7.166,0.0575134330859615
674,7.173,0.0565896210122283
675,7.181,0.0425198813759895
676,7.189,0.0252781144423302
677,7.196,0.0371977427919154
678,7.204,0.0420416246829506
679,7.211,0.034875949615453
680,7.219,0.0393274157583537
681,7.226,0.0617278147143643
682,7.234,0.136082423657764
683,7.241,0.136364472476736
684,7.249,0.105212384804518
685,7.256,0.0941838672163212
686,7.264,0.0694371490995898
687,7.271,0.0569575107761043
688,7.279,0.0528780220611228
689,7.287,0.0409543060474946
690,7.294,0.0428632451556072
691,7.302,0.0397034808503159
692,7.309,0.0566468483088312
693,7.317,0.0413017574911553
694,7.324,0.0381338178577779
695,7.332,0.0360204955475119
696,7.339,0.0486840787529355
697,7.347,0.0410932866249589
698,7.354,0.0286299989576457
699,7.362,0.0335188451531546
700,7.369,0.0412077412181648
701,7.377,0.0419108194335724
702,7.384,0.0466852110358754
703,7.392,0.0394459580156026
704,7.400,0.0343731669381557
705,7.407,0.0398179354435218
706,7.415,0.036143125468804
707,7.422,0.0346511280930843
708,7.430,0.0329261338669097
709,7.437,0.0371895674638293
710,7.445,0.0448253238962796
711,7.452,0.0356485181195928
712,7.460,0.0333185496150442
713,7.467,0.0463254966000854
714,7.475,0.0380357139207443
715,7.482,0.0426220729770662
716,7.490,0.0485655364956865
717,7.498,0.0437952325574266
718,7.505,0.0378558567028493
719,7.513,0.04061502993192
720,7.520,0.039225224157277
721,7.528,0.0439301254708478
