#"+EI TIC Scan IPA-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.275330735449806
1,2.102,0.261131429499644
2,2.110,0.234236317414852
3,2.117,0.24467873921057
4,2.125,0.229453471847824
5,2.132,0.217503819467801
6,2.140,0.216966588764484
7,2.147,0.197040552747717
8,2.155,0.194078322341929
9,2.163,0.190828822740618
10,2.170,0.177621901284082
11,2.178,0.155625288598282
12,2.185,0.162415287765201
13,2.193,0.164717172098162
14,2.200,0.158124903676214
15,2.208,0.169432863827276
16,2.215,0.156897480749886
17,2.223,0.156524403872583
18,2.230,0.140907405788668
19,2.238,0.141515521098673
20,2.245,0.143380905485189
21,2.253,0.147943635694608
22,2.260,0.136400637110845
23,2.268,0.135516444911636
24,2.276,0.116608908769907
25,2.283,0.121223869742148
26,2.291,0.104935333279088
27,2.298,0.109013063548013
28,2.306,0.116273139580334
29,2.313,0.116582793388496
30,2.321,0.111960370878708
31,2.328,0.111109755598457
32,2.336,0.102066372092626
33,2.343,0.0861434509693227
34,2.351,0.0941720653688889
35,2.358,0.0906241042657349
36,2.366,0.0969402957984791
37,2.374,0.0906688734910113
38,2.381,0.0885871045156591
39,2.389,0.0877887199982301
40,2.396,0.0907733350166562
41,2.404,0.120973908234355
42,2.411,0.111576101695086
43,2.419,0.167537633290575
44,2.426,0.332008574649717
45,2.434,0.198428398731285
46,2.441,0.100006987729912
47,2.449,0.0818082976550589
48,2.456,0.0723731834280594
49,2.464,0.0786595288106194
50,2.471,0.0780103750441117
51,2.479,0.0826924898542676
52,2.487,0.0678365686000518
53,2.494,0.0753204907587552
54,2.502,0.114933793590815
55,2.509,1.63753887600965
56,2.517,3.1589389201148
57,2.524,0.687774684846106
58,2.532,0.350621380058377
59,2.539,0.276125389198462
60,2.547,0.226558395279951
61,2.554,0.197353937324652
62,2.562,0.153569635004341
63,2.569,0.141892328744749
64,2.577,0.140791751956704
65,2.585,0.121608138925771
66,2.592,0.131076830071727
67,2.600,0.114165255223571
68,2.607,0.110087524954646
69,2.615,0.10983383267808
70,2.622,0.0963993343263894
71,2.630,0.106442563863393
72,2.637,0.0875536815655291
73,2.645,0.0960411805241782
74,2.652,0.0841474896757503
75,2.660,0.150663366130149
76,2.667,1.09071636617749
77,2.675,1.02409602819745
78,2.682,0.269693543833754
79,2.690,0.21466097366275
80,2.698,0.707144836315691
