#"+EI TIC Scan MEOH-ABS.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.191529866543925
1,2.102,0.154202120363593
2,2.110,0.155684472214253
3,2.117,0.140441892214006
4,2.125,0.138909503170075
5,2.132,0.143375322669532
6,2.140,0.15096846674844
7,2.147,0.137452169916051
8,2.155,0.118882116563268
9,2.162,0.124767741421796
10,2.170,0.102138420764885
11,2.177,0.107798878253692
12,2.185,0.0912240579825992
13,2.193,0.118669458491865
14,2.200,0.11835672603392
15,2.208,0.0793652431773192
16,2.215,0.0838310626767759
17,2.223,0.0982167557422527
18,2.230,0.107561201585654
19,2.238,0.0745429086758051
20,2.245,0.0944639662469109
21,2.253,0.0833432000423815
22,2.260,0.0657989091516588
23,2.268,0.0568047236611564
24,2.275,0.0734295811255204
25,2.283,0.0785021015933906
26,2.291,0.0614832012320158
27,2.298,0.0817607738051791
28,2.306,0.0616458221101472
29,2.313,0.0757312920159966
30,2.321,0.0551660055815238
31,2.328,0.0832994174982692
32,2.336,0.0598382285032243
33,2.343,0.04800443229458
34,2.351,0.0476416626433636
35,2.358,0.0724288372600959
36,2.366,0.0439013824463396
37,2.373,0.0575177536652713
38,2.381,0.0429631850725042
39,2.388,0.0728478987537424
40,2.396,0.167949839214861
41,2.404,0.261444334842142
42,2.411,0.217136400200474
43,2.419,0.0910614371044677
44,2.426,0.0558540169890031
45,2.434,0.061020357194257
46,2.441,0.0572237851548029
47,2.449,0.068876196537839
48,2.456,0.0603448550850954
49,2.464,0.0446456856962491
50,2.471,0.0490552133532757
51,2.479,0.0685009175883049
52,2.486,0.0636848377359496
53,2.494,0.0600133586796736
54,2.502,0.061339344301361
55,2.509,0.0588875218310711
56,2.517,0.0477354823807471
57,2.524,0.0427943095452138
58,2.532,0.0553036078630197
59,2.539,0.047616644046728
60,2.547,0.0556976507600306
61,2.554,0.0519010787205765
62,2.562,0.0504687640631877
63,2.569,0.0427067444569892
64,2.577,0.0646417990572618
65,2.584,0.0654361395004424
66,2.592,0.0545280313673157
67,2.599,0.0437887987614794
68,2.607,0.0407177660244581
69,2.615,0.0535335421510502
70,2.622,0.053739945573294
71,2.630,0.0447395054336326
72,2.637,0.0568860341002221
73,2.645,0.0392479234721159
74,2.652,0.0517822403865573
75,2.660,0.0513694335420697
76,2.667,0.0500934851136535
77,2.675,0.0442141149042848
78,2.682,0.0566858853271372
79,2.690,0.0430319862132521
80,2.697,0.042656707263718
81,2.705,0.0551409869848882
82,2.713,0.0543278825942308
83,2.720,0.0596318250809805
84,2.728,0.0488675738785086
85,2.735,0.0737172949868299
86,2.743,0.0643540851959522
87,2.750,0.0773762647447881
88,2.758,0.0563856621675099
89,2.765,0.0609640653518268
90,2.773,0.0859576433908029
91,2.780,0.0752371747324433
92,2.788,0.0636473098409962
93,2.795,0.0554412101445155
94,2.803,0.0454150075427942
95,2.810,0.0948955370388752
96,2.818,0.0808788682737737
97,2.826,0.0476228986958869
98,2.833,0.0212095152978398
99,2.841,0.0519886438088011
100,2.848,0.0370025044240697
101,2.856,0.0430069676166165
102,2.863,0.0489238657209387
103,2.871,0.0360142698569631
104,2.878,0.0504812733615055
105,2.886,0.0669497645968969
106,2.893,0.0436637057783013
107,2.901,0.0470036884291555
108,2.908,0.0540964605753514
109,2.916,0.0545280313673157
110,2.923,0.068494662939146
111,2.931,0.0564044261149866
112,2.939,0.0511317568740314
113,2.946,0.0535397968002091
114,2.954,0.234086499421101
115,2.961,5.80362640805444
116,2.969,39.8984632764842
117,2.976,100
118,2.984,83.0699969671206
119,2.991,2.02908324293802
120,2.999,0.175486691451339
121,3.006,0.146027293912907
122,3.014,0.112295970998943
123,3.021,0.0939698489633576
124,3.029,0.0988922578514142
125,3.037,0.109456360280801
126,3.044,0.0998554738218852
127,3.052,0.0946766243183136
128,3.059,0.0628342054503388
129,3.067,0.0826864618806967
130,3.074,0.0704210948800881
131,3.082,0.054640615052176
132,3.089,0.063078136767536
133,3.097,0.0689262337311103
134,3.104,0.0711466341825208
135,3.112,0.0477605009773827
136,3.119,0.0655799964310972
137,3.127,0.0845628566283676
138,3.134,0.0866206362016466
139,3.142,0.0767257812322622
140,3.150,0.0489801575633688
141,3.157,0.0579805977030301
142,3.165,0.0854197435631373
143,3.172,0.0680505828488638
144,3.180,0.0546843975962883
145,3.187,0.0582370383185452
146,3.195,0.0536461258359104
147,3.202,0.0461718200910214
148,3.210,0.0468035396560706
149,3.217,0.047810538170654
150,3.225,0.0371088334597711
151,3.232,0.0567734504153619
152,3.240,0.0289340070090849
153,3.248,0.0431445698981124
154,3.255,0.0540714419787158
155,3.263,0.0695642079453184
156,3.270,0.0479168672063553
157,3.278,0.042394011999044
158,3.285,0.0445518659588655
159,3.293,0.0350760724831276
160,3.300,0.0302787565782491
161,3.308,0.0475603522042979
162,3.315,0.0618834987781856
163,3.323,0.060501221314068
164,3.330,0.0259818126060828
165,3.338,0.0387037689952913
166,3.345,0.0323803186956405
167,3.353,0.0359141954704206
168,3.361,0.0368774114408917
169,3.368,0.0430820234065234
170,3.376,0.0357703385397658
171,3.383,0.0195958158148429
172,3.391,0.0197459273946565
173,3.398,0.0289465163074027
174,3.406,0.0227106310959765
175,3.413,0.0363582755607027
176,3.421,0.0317423444814324
177,3.428,0.0130346888471537
178,3.436,0.0186888916868019
179,3.443,0.0178570233486679
180,3.451,0.0127282110383675
181,3.459,0.0205027399428838
182,3.466,0.0227231403942943
183,3.474,0.0224917183754149
184,3.481,0.0258191917279513
185,3.489,0.0650233326559548
186,3.496,0.0797092488810589
187,3.504,0.0341816576534045
188,3.511,0.0237426482071955
189,3.519,0.0185512894053061
190,3.526,0.0340753286177031
191,3.534,0.0156178589497806
192,3.541,0.0236863563647654
193,3.549,0.0235675180307462
194,3.556,0.0237238842597188
195,3.564,0.0165498016744571
196,3.572,0.0431195513014768
197,3.579,0.0375591681992121
198,3.587,0.0392229048754803
199,3.594,0
200,3.602,0.0251249256713131
201,3.609,0.0223353521464424
202,3.617,0.0212220245961576
203,3.624,0.0139728862209891
204,3.632,0.028802659376748
205,3.639,0.0146108604351972
206,3.647,0.0216223221423274
207,3.654,0.0111958219944362
208,3.662,0.0187389288800732
