#"+EI TIC Scan MEOH-ASA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.190157626848285
1,2.102,0.155275397024206
2,2.110,0.185113522209557
3,2.117,0.147825817456298
4,2.125,0.144811865417374
5,2.132,0.152915415710708
6,2.140,0.132625263116591
7,2.147,0.127876866979795
8,2.155,0.112926527526339
9,2.162,0.125966135121157
10,2.170,0.113586184953726
11,2.178,0.120848103356945
12,2.185,0.130760024873634
13,2.193,0.137760354986683
14,2.200,0.121672675141179
15,2.208,0.0845214512349668
16,2.215,0.0960085891946407
17,2.223,0.0744503020633914
18,2.230,0.102081986888171
19,2.238,0.0883827218659661
20,2.245,0.094439059453616
21,2.253,0.093227791936086
22,2.260,0.0894745686423312
23,2.268,0.0814051385607583
24,2.275,0.0839414076350229
25,2.283,0.0678878480012806
26,2.291,0.077737215796407
27,2.298,0.0514589660381629
28,2.306,0.0686157458521907
29,2.313,0.0549790345515481
30,2.321,0.0486213017600058
31,2.328,0.0752748738476254
32,2.336,0.0612855870254483
33,2.343,0.05575242601814
34,2.351,0.0855166240780079
35,2.358,0.0538018872457795
36,2.366,0.0515215197597255
37,2.373,0.0643620927859352
38,2.381,0.0716638181028764
39,2.389,0.07829451258851
40,2.396,0.168178523771978
41,2.404,0.272080255287424
42,2.411,0.23633933346735
43,2.419,0.0964635253514595
44,2.426,0.0828325007527772
45,2.434,0.0598525381314692
46,2.441,0.0727897850910029
47,2.449,0.0645497539506229
48,2.456,0.0600288258922364
49,2.464,0.0637194954644287
50,2.471,0.07393281218501
51,2.479,0.0482118592188689
52,2.486,0.0804327125255582
53,2.494,0.0480526315639824
54,2.502,0.0588289317786269
55,2.509,0.0415015509057921
56,2.517,0.0602790407784867
57,2.524,0.0446917907054837
58,2.532,0.0480469448620221
59,2.539,0.0582830083904444
60,2.547,0.0468584241523331
61,2.554,0.0407850264588025
62,2.562,0.0615585487195395
63,2.569,0.044942005591734
64,2.577,0.099505910900185
65,2.584,0.150942130130507
66,2.592,0.0743991217457493
67,2.600,0.0746777701418008
68,2.607,0.0674897788640642
69,2.615,0.0444302024153129
70,2.622,0.0589199190099907
71,2.630,0.0476659358306864
72,2.637,0.0516636873087313
73,2.645,0.0538871877751831
74,2.652,0.0586753908257006
75,2.660,0.0496164746030469
76,2.667,0.0389141015138854
77,2.675,0.0447429710231258
78,2.682,0.0484734475090397
79,2.690,0.0534379383203245
80,2.697,0.0544160510574849
81,2.705,0.0566964185435389
82,2.713,0.055923027076947
83,2.720,0.0518968420891009
84,2.728,0.0661704640092898
85,2.735,0.0913739270970495
86,2.743,0.0596876237746223
87,2.750,0.0617462098842273
88,2.758,0.0823036374704754
89,2.765,0.0716581314009162
90,2.773,0.0910270382774752
91,2.780,0.112187256271508
92,2.788,0.0566224914180559
93,2.795,0.118436941725806
94,2.803,0.123191024564562
95,2.811,0.131686957293153
96,2.818,0.114461937055602
97,2.826,0.0530057489713467
98,2.833,0.0614675614881758
99,2.841,0.0728352787066847
100,2.848,0.0751156461927388
101,2.856,0.0468299906425319
102,2.863,0.0386752600315555
103,2.871,0.0551610090142756
104,2.878,0.0290249268050374
105,2.886,0.0695028713579873
106,2.893,0.0625366614566999
107,2.901,0.0799493428589382
108,2.908,0.0712088819460577
109,2.916,0.0875126564660502
110,2.924,0.0610410588411582
111,2.931,0.044578056666279
112,2.939,0.0636683151467866
113,2.946,0.0638104826957924
114,2.954,0.18084280903742
115,2.961,4.79936604646547
116,2.969,37.0969386493002
117,2.976,94.72050002033
118,2.984,100
119,2.991,3.22705550818217
120,2.999,0.195252911804655
121,3.006,0.12290100276459
122,3.014,0.142855639943053
123,3.022,0.104362354374225
124,3.029,0.0824514917214415
125,3.037,0.100990140111806
126,3.044,0.11320517592239
127,3.052,0.0966739333239882
128,3.059,0.0618087636057899
129,3.067,0.0891219931207966
130,3.074,0.0572423419317215
131,3.082,0.0616438492489431
132,3.089,0.0724940765890707
133,3.097,0.0792953721335112
134,3.104,0.0561050015396745
135,3.112,0.0659031890171588
136,3.119,0.0772652195337075
137,3.127,0.087967592622869
138,3.135,0.0963156711004934
139,3.142,0.0591132668766387
140,3.150,0.0400286950980913
141,3.157,0.0548653005123434
142,3.165,0.0600572594020376
143,3.172,0.0607908439549079
144,3.180,0.0699464341108856
145,3.187,0.0643962129976966
146,3.195,0.0496392214108878
147,3.202,0.0454765555759961
148,3.210,0.0570148738533121
149,3.217,0.0578565057434268
150,3.225,0.0428492992703677
