#"+EI TIC Scan MEOH-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.139909111750208
1,2.102,0.126145765511344
2,2.110,0.127062409843356
3,2.117,0.114297795488623
4,2.125,0.108323645862078
5,2.132,0.108884577468235
6,2.140,0.0984777000271847
7,2.147,0.0947655185035147
8,2.155,0.0899679571240298
9,2.162,0.0890969169876404
10,2.170,0.0850381435772396
11,2.178,0.09236217739421
12,2.185,0.0828309005091116
13,2.193,0.0828856255438585
14,2.200,0.0619441789140154
15,2.208,0.0739426427822901
16,2.215,0.0748775287925509
17,2.223,0.0603115487107306
18,2.230,0.0650224621185329
19,2.238,0.0683196454620382
20,2.245,0.0505522508475198
21,2.253,0.0617982454880235
22,2.260,0.0680049765122431
23,2.268,0.0597825400415098
24,2.276,0.0472961112800747
25,2.283,0.0549211327881534
26,2.291,0.0585785892770764
27,2.298,0.0477886365927974
28,2.306,0.0480987451230303
29,2.313,0.0446145845774728
30,2.321,0.0539953676170171
31,2.328,0.0618894538792685
32,2.336,0.0576801866233135
33,2.343,0.050666261336576
34,2.351,0.0637409842215412
35,2.358,0.0562983794959523
36,2.366,0.039379222920012
37,2.373,0.0441129384256255
38,2.381,0.0566221692848719
39,2.389,0.0570782112410967
40,2.396,0.149321817726688
41,2.404,0.229667289574375
42,2.411,0.204407125619083
43,2.419,0.101017853723357
44,2.426,0.0504199986802146
45,2.434,0.042981954374188
46,2.441,0.0254790640942799
47,2.449,0.0473964405104441
48,2.456,0.0419512995531199
49,2.464,0.0602157798999234
50,2.471,0.0381433492186428
51,2.479,0.0377876364927874
52,2.487,0.0415363013729554
53,2.494,0.0473781988321951
54,2.502,0.0507073051126362
55,2.509,0.0494759918308292
56,2.517,0.0430914044436819
57,2.524,0.046420510724123
58,2.532,0.0334187545521538
59,2.539,0.0373087924387514
60,2.547,0.0418692120009995
61,2.554,0.0544012449580571
62,2.562,0.0472322654062032
63,2.569,0.0458276561810308
64,2.577,0.0409069634733651
65,2.584,0.0282974033837492
66,2.592,0.0281104261816971
67,2.600,0.0473371550561349
68,2.607,0.0506388988192025
69,2.615,0.0371126943975747
70,2.622,0.0407382279495619
71,2.630,0.0439396424822601
72,2.637,0.0411805886471
73,2.645,0.037742032297165
74,2.652,0.0347184741273945
75,2.660,0.0453761746443682
76,2.667,0.0425715166135857
77,2.675,0.0380338991491488
78,2.682,0.0386130724335543
79,2.690,0.0348552867142619
80,2.698,0.041677674379385
81,2.705,0.0522988915398608
82,2.713,0.0415271805338309
83,2.720,0.0468719922607856
84,2.728,0.0395890022198754
85,2.735,0.060503086332345
86,2.743,0.0552677246748843
87,2.750,0.058204634872972
88,2.758,0.0509991719646201
89,2.765,0.0600652860543692
90,2.773,0.0657430084093681
91,2.780,0.0867665425913316
92,2.788,0.0514141701447847
93,2.795,0.0580632618665423
94,2.803,0.0339933674169971
95,2.811,0.0691496418223674
96,2.818,0.0638048300954126
97,2.826,0.0315854658881301
98,2.833,0.0265005980762235
99,2.841,0.0432145357718626
100,2.848,0.0473143529583236
101,2.856,0.032264968402905
102,2.863,0.048313084842456
103,2.871,0.0493391792439618
104,2.878,0.0491522020419096
105,2.886,0.0417232785750075
106,2.893,0.0669013549781791
107,2.901,0.0389824664180964
108,2.908,0.0448790889120832
109,2.916,0.0439943675170071
110,2.924,0.0563303024328881
111,2.931,0.0393883437591365
112,2.939,0.0425350332570877
113,2.946,0.0379198886600926
114,2.954,0.116920036736916
115,2.961,3.66813699153773
116,2.969,28.1902335240364
117,2.976,75.3844741519296
118,2.984,100
119,2.991,6.34026922984136
120,2.999,0.181130744173369
121,3.006,0.118926621344305
122,3.014,0.11045792221721
123,3.022,0.0875874181125363
124,3.029,0.0736644571889929
125,3.037,0.0860049525244362
126,3.044,0.0943778828407236
127,3.052,0.0793056961874938
128,3.059,0.0679684931557451
129,3.067,0.0791506419223774
130,3.074,0.0701757362238732
131,3.082,0.0588430936116867
132,3.089,0.0656563604376853
133,3.097,0.0560566772591532
134,3.104,0.0540774551691375
135,3.112,0.0423708581528467
136,3.119,0.0508349968603792
137,3.127,0.0876467035668455
138,3.135,0.0778782848645101
139,3.142,0.0566632130609322
140,3.150,0.0420379475248026
141,3.157,0.0513092804948529
142,3.165,0.0645344972253723
143,3.172,0.0444139261167339
144,3.180,0.0416047076663891
145,3.187,0.0584235350119599
146,3.195,0.0249363741663724
147,3.202,0.0318454098031782
148,3.210,0.0342077071364227
149,3.217,0.0460647979982677
150,3.225,0.0421747601116701
151,3.233,0.0404418006780158
152,3.240,0.0370898922997635
153,3.248,0.0295743208611787
154,3.255,0.0397212543871806
155,3.263,0.0505431300083953
156,3.270,0.0446054637383483
157,3.278,0.0432418982892361
158,3.285,0.0350787472728121
159,3.293,0.0369758818107073
160,3.300,0.0278231197492754
161,3.308,0.0261585666090549
162,3.315,0.042320693537662
163,3.323,0.0415910264077023
164,3.330,0.0284843805858014
165,3.338,0.0310108530232868
166,3.346,0.0347412762252057
167,3.353,0.0234998420042643
168,3.361,0.0220496285834694
169,3.368,0.0248041219990672
170,3.376,0.0171289358758037
171,3.383,0.0198606271935903
172,3.391,0.0233493481587101
173,3.398,0.00829084276416698
174,3.406,0.0273670777930506
175,3.413,0.0268699920607656
176,3.421,0.0140141693147883
177,3.428,0.031731399314122
178,3.436,0.0173204734974181
179,3.444,0.0292231685548856
180,3.451,0.0202665045346304
181,3.459,0.0237096213041277
182,3.466,0.0142239486146517
183,3.474,0.027116254717127
184,3.481,0.0185198638422894
185,3.489,0.0477567136558617
186,3.496,0.0695737608416564
187,3.504,0.0248770887120632
188,3.511,0.0219857827095979
189,3.519,0.0203257899889396
190,3.526,0.0216984762771763
191,3.534,0.0237962692758104
192,3.541,0.0143242778450212
193,3.549,0.011692915757604
194,3.557,0.0281925137338175
195,3.564,0.00836380947716295
196,3.572,0.0119619805117767
197,3.579,0.0200704064934537
198,3.587,0.0239786860583003
199,3.594,0.0222913308202685
200,3.602,0.021821607605357
201,3.609,0.0248406053555652
202,3.617,0.0252145597596695
203,3.624,0.0154005368617117
204,3.632,0.0143333986841457
205,3.639,0.0250959888510511
206,3.647,0.0221545182334011
207,3.655,0.0113554447099977
208,3.662,0.00866479716827132
209,3.670,0.00996907716307426
210,3.677,0.0167048168565147
211,3.685,0.0217349596336743
212,3.692,0.0143060361667722
213,3.700,0.0187752473377753
214,3.707,0.0191720038396909
215,3.715,0.0217623221510478
216,3.722,0.0119026950574674
217,3.730,0.0113280821926242
218,3.737,0.032999195952427
219,3.745,0.0200840877521405
220,3.752,0.0226698456439351
221,3.760,0.022245726624646
222,3.768,0.0165999272065829
223,3.775,0.00291866851983876
224,3.783,0.0283566888380585
225,3.790,0.010644019258287
226,3.798,0.0169419586737516
227,3.805,0.0135034023238165
228,3.813,0.0144382883340774
229,3.820,0.0167048168565147
230,3.828,0.0167549814716994
231,3.835,0.0169921232889363
232,3.843,0.00896122443981744
233,3.850,0.0219766618704734
234,3.858,0.0212652364187627
235,3.865,0.00882897227251225
236,3.873,0.00479300095992271
237,3.881,0.0299938794609055
238,3.888,0.0130291186893427
239,3.896,0.0198332646762168
240,3.903,0.00452393620575008
241,3.911,0.0162077311242296
242,3.918,0.0214932573968751
243,3.926,0.0242568716515974
244,3.933,0.0102700648541826
245,3.941,0.0174071214691009
246,3.948,0.00793969045787388
247,3.956,0.0208776007559716
248,3.963,0.014798561479495
249,3.971,0.0552905267726955
250,3.979,0.0581043056426026
251,3.986,0.0314167303643269
252,3.994,0.0125046704396842
253,4.001,0.00544514095732419
254,4.009,0.0208684799168471
255,4.016,0.0120668701617084
256,4.024,0.0310108530232868
257,4.031,0.00937166220041977
258,4.039,0.0135216440020655
259,4.046,0.0225923185113769
260,4.054,0.00876512639864077
261,4.061,0.00615200598947264
262,4.069,0.0101879773020622
263,4.076,0.00242614320711597
264,4.084,0.0254790640942799
265,4.092,0.0251279117879868
266,4.099,0.0286713577878536
267,4.107,0.0375140113190526
268,4.114,0.0424529457049672
269,4.122,0.0257253267506413
270,4.129,0.0214339719425659
271,4.137,0.0164038291654063
272,4.144,0.00488876977072992
273,4.152,0.0140962568669088
274,4.159,0.0255201078703402
275,4.167,0.0276771863232835
276,4.174,0.0167276189543259
277,4.182,0.0301990983412067
278,4.190,0.0120851118399574
279,4.197,0.024138300742979
280,4.205,0.0225923185113769
281,4.212,0.0197055729284739
282,4.220,0.0212606759992005
283,4.227,0.0100830876521305
284,4.235,0.00910259744624713
285,4.242,0.0236366545911317
286,4.250,0.0150311428771696
287,4.257,0.00325157914788287
288,4.265,0.0182827220250525
289,4.272,0.0153731743443382
290,4.280,0.0189029390855182
291,4.287,0.00992347296745178
292,4.295,0.0112186321231302
293,4.303,0.0146389467948163
294,4.310,0.0221590786529633
295,4.318,0.0154005368617117
296,4.325,0.0197101333480361
297,4.333,0.0147210343469367
298,4.340,0.018328326220675
299,4.348,0.0168735523803178
300,4.355,0.0203805150236866
301,4.363,0.0216984762771763
302,4.370,0.0180729427251891
303,4.378,0.0231304480197222
304,4.385,0.0148350448359929
305,4.393,0.0176533841254622
306,4.401,0.0203121087302529
307,4.408,0.0116153886250458
308,4.416,0.0545289367058001
309,4.423,0.101077139177666
310,4.431,0.0659755898070427
311,4.438,0.0413174012339674
312,4.446,0.0183556887380485
313,4.453,0.0120896722595196
314,4.461,0.0120805514203951
315,4.468,0.0170468483236833
316,4.476,0.0155783932246394
317,4.483,0.0235545670390112
318,4.491,0.0127965372916681
319,4.498,0.0120212659660859
320,4.506,0.0145066946275111
321,4.514,0.0248360449360029
322,4.521,0.00911171828537163
323,4.529,0.0255018661920912
324,4.536,0.0210098529232768
325,4.544,0.012317693237632
326,4.551,0.0205264484496785
327,4.559,0.0156878432941333
328,4.566,0.0269201566759503
329,4.574,0.0222685287224573
330,4.581,0.0200795273325782
331,4.589,0.0315216200142586
332,4.596,0.0237689067584369
333,4.604,0.015956908048306
334,4.611,0.0182143157316188
335,4.619,0.0260582373786854
336,4.627,0.0160617976982377
337,4.634,0.0134851606455675
338,4.642,0.0171061337779925
339,4.649,0.0155464702877036
340,4.657,0.0319822223900457
341,4.664,0.0162396540611653
342,4.672,0.0146389467948163
343,4.679,0.0184423367097312
344,4.687,0.0133209855413266
345,4.694,0.0118251679249092
346,4.702,0.0136493357498084
347,4.709,0.0224190225680115
348,4.717,0.0254881849334044
349,4.725,0.0164494333610288
350,4.732,0.0147392760251857
351,4.740,0.018218876151181
352,4.747,0.0213427635513209
353,4.755,0.0182416782489922
354,4.762,0.013476039806443
355,4.770,0.0172520672039844
356,4.777,0.0160344351808642
357,4.785,0.0224874288614452
358,4.792,0.021675674179365
359,4.800,0.0120577493225839
360,4.807,0.0172338255257354
361,4.815,0.0296472875741747
362,4.822,0.0174116818886631
363,4.830,0.00546338263557318
364,4.838,0.0113372030317487
365,4.845,0.0279964156926409
366,4.853,0.0392743332700803
367,4.860,0.0252328014379185
368,4.868,0.0293736624004398
369,4.875,0.0180866239838758
370,4.883,0.0148988907098644
371,4.890,0.0206404589387347
372,4.898,0.0248634074533764
373,4.905,0.015938666370057
374,4.913,0.0242477508124729
375,4.920,0.0068315085042476
376,4.928,0.0159797101461172
377,4.936,0.0162715769981011
378,4.943,0.0261768082873039
379,4.951,0.0111319841514475
380,4.958,0.0139001588257321
381,4.966,0.0145203758861978
382,4.973,0.0096498477937169
383,4.981,0.0137587858193024
384,4.988,0.0109085235928974
385,4.996,0.0251233513684246
386,5.003,0.0140734547690975
387,5.011,0.0090524328310624
388,5.018,0.0260080727635007
389,5.026,0.0172383859452977
390,5.033,0.0115834656881101
391,5.041,0.0284524576488657
392,5.049,0.025387855703035
393,5.056,0.0132343375696439
394,5.064,0.0224053413093247
395,5.071,0.0295743208611787
396,5.079,0.0128238998090416
397,5.086,0.0096498477937169
398,5.094,0.0210919404753973
399,5.101,0.00733771507565713
400,5.109,0.0193817831395543
401,5.116,0.0247904407403805
402,5.124,0.0149855386815471
403,5.131,0.0137086212041177
404,5.139,0.0156969641332578
405,5.147,0.0160572372786754
406,5.154,0.0256249975202719
407,5.162,0.0189667849593897
408,5.169,0.0208274361407869
409,5.177,0.0149171323881134
410,5.184,0.00679958556731186
411,5.192,0.0127235705786721
412,5.199,0.0118981346379052
413,5.207,0.00325157914788287
414,5.214,0.0187068410443415
415,5.222,0.0207179860712929
416,5.229,0.012262968202885
417,5.237,0.0101241314281907
418,5.244,0.014743836444748
419,5.252,0.0245350572448946
420,5.260,0.0185654680379119
421,5.267,0.0168553107020688
422,5.275,0.035977149926575
423,5.282,0.011195830025319
424,5.290,0.0204945255127428
425,5.297,0.0266602127609022
426,5.305,0.0171061337779925
427,5.312,0.0168644315411933
428,5.320,0.00931693716567279
429,5.327,0.0151953179814105
430,5.335,0.0303723942845721
431,5.342,0.0195824416002932
432,5.350,0.0101834168824999
433,5.357,0.0101514939455642
434,5.365,0.0145751009209448
435,5.373,0.0245122551470833
436,5.380,0.0155099869312057
437,5.388,0.0192905747483093
438,5.395,0.029893550230536
439,5.403,0.015368613924776
440,5.410,0.00632530193283806
441,5.418,0.0185654680379119
442,5.425,0.0180911844034381
443,5.433,0.0205310088692408
444,5.440,0.0150676262336676
445,5.448,0.0137998295953626
446,5.455,0.0244347280145251
447,5.463,0.0301170107890862
448,5.471,0.00678134388906287
449,5.478,0.0140734547690975
450,5.486,0.021087380055835
451,5.493,0.0267924649282074
452,5.501,0.02059029432355
453,5.508,0.0131294479197122
454,5.516,0.0164083895849685
455,5.523,0.0195733207611687
456,5.531,0.0192768934896226
457,5.538,0.0202391420172569
458,5.546,0.0132480188283306
459,5.553,0.0154415806377719
460,5.561,0.0182051948924943
461,5.568,0.0113235217730619
462,5.576,0.0174071214691009
463,5.584,0.0152865263726555
464,5.591,0.0213746864882567
465,5.599,0.0179315697187594
466,5.606,0.0180227781100043
467,5.614,0.0108948423342106
468,5.621,0.0170194858063098
469,5.629,0.00766606528413899
470,5.636,0.0142786736493987
471,5.644,0.0211193029927708
472,5.651,0.00596502878742047
473,5.659,0.0213518843904454
474,5.666,0
475,5.674,0.0191263996440684
476,5.682,0.0231258876001599
477,5.689,0.0150037803597961
478,5.697,0.0165588834305227
479,5.704,0.0154461410573342
480,5.712,0.0289541038007129
481,5.719,0.0158383371396875
482,5.727,0.0177354716775827
483,5.734,0.0291547622614519
484,5.742,0.0183237658011127
485,5.749,0.0134714793868808
486,5.757,0.0184514575488557
487,5.764,0.00845045744884566
488,5.772,0.0127509330960456
489,5.779,0.0315991471468168
490,5.787,0.00490245102941667
491,5.795,0.0286941598856648
492,5.802,0.0190123891550122
493,5.810,0.00765238402545225
494,5.817,0.0278596031057734
495,5.825,0.0278960864622714
496,5.832,0.0195687603416064
497,5.840,0.021839849283606
498,5.847,0.0134851606455675
499,5.855,0.0138819171474831
500,5.862,0.0148259239968685
501,5.870,0.0082452385685445
502,5.877,0.0158611392374988
503,5.885,0.0165543230109605
504,5.893,0.00700480444761302
505,5.900,0.0124681870831862
506,5.908,0.00745172556471333
507,5.915,0.018328326220675
508,5.923,0.0109906111450178
509,5.930,0.00713249619535597
510,5.938,0.00992803338701403
511,5.945,0.00852342416184163
512,5.953,0.0201388127868874
513,5.960,0.0058829412353
514,5.968,0.0119391784139654
515,5.975,0.0255246682899024
516,5.983,0.00914820164186961
517,5.990,0.00950847478728721
518,5.998,0.0145386175644468
519,6.006,0.0258758205961955
520,6.013,0.00996451674351202
521,6.021,0.0161302039916714
522,6.028,0.0195140353068595
523,6.036,0.0188482140507712
524,6.043,0.0297932210001666
525,6.051,0.0246125843774528
526,6.058,0.0351699556640571
527,6.066,0.0293326186243795
528,6.073,0.0158337767201253
529,6.081,0.015865699657061
530,6.088,0.0215844657881201
531,6.096,0.0290772351288936
532,6.104,0.017612340349402
533,6.111,0.0239376422822401
534,6.119,0.0227245706786821
535,6.126,0.0361322041916914
536,6.134,0.0369165963563981
537,6.141,0.0350285826576274
538,6.149,0.0346956720295833
539,6.156,0.0374136820886831
540,6.164,0.031216071903588
541,6.171,0.0369165963563981
542,6.179,0.035977149926575
543,6.186,0.034599903218776
544,6.194,0.0379837345339641
545,6.201,0.028753445339974
546,6.209,0.0284478972293034
547,6.217,0.0354755037747277
548,6.224,0.0318499702227405
549,6.232,0.0287215224030383
550,6.239,0.0278276801688377
551,6.247,0.0268791128998901
552,6.254,0.0299391544261585
553,6.262,0.0198879897109638
554,6.269,0.0350057805598161
555,6.277,0.0435748089172802
556,6.284,0.0388958184464137
557,6.292,0.0311567864492788
558,6.299,0.0326024394505114
559,6.307,0.0174527256647233
560,6.314,0.020480844254056
561,6.322,0.0246581885730753
562,6.330,0.0197648583827831
563,6.337,0.0140232901539128
564,6.345,0.00911627870493388
565,6.352,0.018934862022454
566,6.360,0.0209323257907186
567,6.367,0.0217805638292967
568,6.375,0.00319685411313589
569,6.382,0.0222183641072726
570,6.390,0.0300303628174035
571,6.397,0.0178449217470767
572,6.405,0.0175439340559683
573,6.412,0.0214430927816904
574,6.420,0.0152637242748443
575,6.428,0.0171106941975547
576,6.435,0.0288902579268415
577,6.443,0.0273670777930506
578,6.450,0.0162943790959123
579,6.458,0.0241656632603525
580,6.465,0.0285710285574841
581,6.473,0.0326389228070094
582,6.480,0.0292459706526968
583,6.488,0.0241975861972882
584,6.495,0.0310975009949695
585,6.503,0.0222502870442083
586,6.510,0.0285619077183596
587,6.518,0.021105621734084
588,6.525,0.0288537745703435
589,6.533,0.0321691995920978
590,6.541,0.0317405201532465
591,6.548,0.0232216564109671
592,6.556,0.0223323745963288
593,6.563,0.0243936842384649
594,6.571,0.0240926965473565
595,6.578,0.0309880509254756
596,6.586,0.0230574813067262
597,6.593,0.0114056093251824
598,6.601,0.0233630294173968
599,6.608,0.0296336063154879
600,6.616,0.0263683459089183
601,6.623,0.0283749305163074
602,6.631,0.030057725334777
603,6.639,0.0168963544781291
604,6.646,0.0245532989231436
605,6.654,0.0212424343209515
606,6.661,0.0222958912398308
607,6.669,0.0264641147197255
608,6.676,0.0205218880301163
609,6.684,0.0260855998960589
610,6.691,0.028128667859946
611,6.699,0.0284615784879902
612,6.706,0.0282153158316288
613,6.714,0.028311084642436
614,6.721,0.0174937694407836
615,6.729,0.0263592250697938
616,6.736,0.0179042072013859
617,6.744,0.0280511407273878
618,6.752,0.0273077923387414
619,6.759,0.0300349232369657
620,6.767,0.0320597495226039
621,6.774,0.0243617613015291
622,6.782,0.0200658460738915
623,6.789,0.018843653631209
624,6.797,0.0299528356848453
625,6.804,0.0185700284574741
626,6.812,0.0220633098421561
627,6.819,0.0259989519243762
628,6.827,0.028183392894693
629,6.834,0.0179543718165706
630,6.842,0.0192267288744378
631,6.850,0.022245726624646
632,6.857,0.028917620444215
633,6.865,0.0291091580658294
634,6.872,0.0298342647762268
635,6.880,0.0207179860712929
636,6.887,0.0307144257517407
637,6.895,0.026418510524103
638,6.902,0.0309287654711664
639,6.910,0.0321783204312223
640,6.917,0.018770686918213
641,6.925,0.0291228393245161
642,6.932,0.025866699757071
643,6.940,0.0378286802688477
644,6.947,0.0296244854763634
645,6.955,0.0360181937026352
646,6.963,0.0258028538831995
647,6.970,0.0364240710436753
648,6.978,0.0409936114450478
649,6.985,0.0243024758472199
650,6.993,0.025976149826565
651,7.000,0.019322497685245
652,7.008,0.0301580545651464
653,7.015,0.0320825516204151
654,7.023,0.047706549040677
655,7.030,0.0625689563940434
656,7.038,0.0753153290705268
657,7.045,0.0730533609676517
658,7.053,0.0549439348859646
659,7.060,0.0567407401934904
660,7.068,0.0432464587087984
661,7.076,0.0381205471208316
662,7.083,0.0450022202402639
663,7.091,0.0501372526673552
664,7.098,0.0358631394375188
665,7.106,0.0484909412053836
666,7.113,0.0417369598336943
667,7.121,0.0343308384646034
668,7.128,0.0357582497875871
669,7.136,0.0320278265856681
670,7.143,0.0504017570019656
671,7.151,0.0380019762122131
672,7.158,0.0542826740494387
673,7.166,0.0576801866233135
674,7.174,0.0604985259127828
675,7.181,0.0558468979592898
676,7.189,0.0569687611716028
677,7.196,0.0451344724075691
678,7.204,0.0548709681729687
679,7.211,0.0414861367577706
680,7.219,0.045905183313589
681,7.226,0.0765466423523337
682,7.234,0.101838729244561
683,7.241,0.138194393994803
684,7.249,0.135809294563747
685,7.256,0.101058897499417
686,7.264,0.0808653596777826
687,7.271,0.0704721634954193
688,7.279,0.0684746997271547
689,7.287,0.0568638715216711
690,7.294,0.0723510563550655
691,7.302,0.0646804306513643
692,7.309,0.0491065978462871
693,7.317,0.0452119995401273
694,7.324,0.0575342531973215
695,7.332,0.0635038424043043
696,7.339,0.0735413258608122
697,7.347,0.0473781988321951
698,7.354,0.0482355577098978
699,7.362,0.0490792353289136
700,7.369,0.035334130768298
701,7.377,0.0537171820237199
702,7.385,0.0563759066285105
703,7.392,0.0471957820497052
704,7.400,0.0586561164096346
705,7.407,0.0519796621705034
706,7.415,0.0504428007780258
707,7.422,0.0428269001090716
708,7.430,0.0455768331051071
709,7.437,0.0580632618665423
710,7.445,0.0554136581008762
711,7.452,0.0640282906539628
712,7.460,0.0395114750873172
713,7.467,0.0554136581008762
714,7.475,0.05824111822947
715,7.482,0.0482309972903355
716,7.490,0.0631435692588867
717,7.498,0.0509444469298731
718,7.505,0.0688532145508212
719,7.513,0.0597597379436986
720,7.520,0.0548937702707799
721,7.528,0.0478844054036047
722,7.535,0.0571146945975947
723,7.543,0.0603936362628511
724,7.550,0.0574293635473898
725,7.558,0.0632256568110071
726,7.565,0.051842849583636
727,7.573,0.0705451302084153
728,7.580,0.0625096709397342
729,7.588,0.0618894538792685
730,7.596,0.0460100729635207
731,7.603,0.0556097561420529
732,7.611,0.0651182309293401
733,7.618,0.0693366190244195
734,7.626,0.0524767479027885
735,7.633,0.0439806862583203
736,7.641,0.0517470807728288
737,7.648,0.0689717854594397
738,7.656,0.0471592986932072
739,7.663,0.0646895514904888
740,7.671,0.0581134264817271
741,7.678,0.0619350580748909
