#"+EI TIC Scan MEOH-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.221867111897886
1,2.102,0.191158163571292
2,2.110,0.189875824190039
3,2.117,0.182680164343271
4,2.125,0.170276750677442
5,2.132,0.149832117136159
6,2.140,0.147093846579684
7,2.148,0.136219160647838
8,2.155,0.144097988199902
9,2.163,0.126402824685671
10,2.170,0.13391766944393
11,2.178,0.131330591740267
12,2.185,0.125198881598469
13,2.193,0.131033805769934
14,2.200,0.118188013016249
15,2.208,0.122544607071335
16,2.215,0.0954362885357683
17,2.223,0.099557693708703
18,2.230,0.0975081905928143
19,2.238,0.088425419953548
20,2.246,0.0987849302387778
21,2.253,0.0837552407222606
22,2.261,0.086353517896502
23,2.268,0.0807929807542138
24,2.276,0.085138375338721
25,2.283,0.0880446379538746
26,2.291,0.101131219325
27,2.298,0.108097290024906
28,2.306,0.0777859229038525
29,2.313,0.0760892031111905
30,2.321,0.0743084872891889
31,2.328,0.0784186929915449
32,2.336,0.0709542458508901
33,2.343,0.0631930127399018
34,2.351,0.0871374808370059
35,2.359,0.0675608062655662
36,2.366,0.0730205481726468
37,2.374,0.0823945050469574
38,2.381,0.0816665394593467
39,2.389,0.129045899742227
40,2.396,0.208685335026843
41,2.404,0.238251937354417
42,2.411,0.199025791652777
43,2.419,0.0981577598863747
44,2.426,0.0772147499043425
45,2.434,0.0699630927046817
46,2.441,0.0896293630407503
47,2.449,0.0681039805886296
48,2.456,0.0951003044184095
49,2.464,0.0773771422277326
50,2.472,0.076240395964002
51,2.479,0.0624314487405551
52,2.487,0.0780939083447647
53,2.494,0.0691399316171526
54,2.502,0.0624146495346872
55,2.509,0.0571284994215753
56,2.517,0.0601803551542511
57,2.524,0.0840240280161476
58,2.532,0.0778027221097204
59,2.539,0.060034762036729
60,2.547,0.0671968234717608
61,2.554,0.0765707803460715
62,2.562,0.0620338675350139
63,2.570,0.0644417537094187
64,2.577,0.0424627926988635
65,2.585,0.0662336690019989
66,2.592,0.0649177312090103
67,2.600,0.0583940395969602
68,2.607,0.0619050736233597
69,2.615,0.0797178315786656
70,2.622,0.0655113031496775
71,2.630,0.0556893674522218
72,2.637,0.0647273402091736
73,2.645,0.0587748215966335
74,2.652,0.07584841449375
75,2.660,0.0573356896272799
76,2.667,0.0660096795904264
77,2.675,0.0729477516138857
78,2.683,0.0533430783659995
79,2.690,0.0419420173169574
80,2.698,0.0766771753165684
81,2.705,0.0517191551320986
82,2.713,0.0531134892191376
83,2.720,0.0580244570678655
84,2.728,0.0712230331447772
85,2.735,0.0837048431046568
86,2.743,0.0818457309886047
87,2.750,0.0826968907525803
88,2.758,0.0771979506984746
89,2.765,0.080636188166113
90,2.773,0.0992161098560549
91,2.781,0.103393512381883
92,2.788,0.0539366503066667
93,2.796,0.067717598853667
94,2.803,0.0868686935431188
95,2.811,0.118518397398318
96,2.818,0.076973961286902
97,2.826,0.0505656096625
98,2.833,0.0664184602665463
99,2.841,0.0720013963499917
100,2.848,0.056854112392399
101,2.856,0.0621850603878253
102,2.863,0.0712062339389092
103,2.871,0.0571732973038898
104,2.878,0.0826744918114231
105,2.886,0.073703715877943
106,2.894,0.0682327745002838
107,2.901,0.0747284674358874
108,2.909,0.0703774731160909
109,2.916,0.0622354580054292
110,2.924,0.0708366514098146
111,2.931,0.0672640202952326
112,2.939,0.0546478166884095
113,2.946,0.0681095803239189
114,2.954,0.547777305471216
115,2.961,10.5571641417367
116,2.969,50.3659623002301
117,2.976,100
118,2.984,26.9094327372956
119,2.992,0.489747248668061
120,2.999,0.210779636025046
121,3.007,0.1660545502693
122,3.014,0.127791559037421
123,3.022,0.119039172780224
124,3.029,0.101517601059963
125,3.037,0.107464519937214
126,3.044,0.125770054597979
127,3.052,0.0903013312754679
128,3.059,0.102671146529561
129,3.067,0.102559151823775
130,3.074,0.072006996085281
131,3.082,0.0728077582316529
132,3.089,0.0867175006903074
133,3.097,0.0932635912435147
134,3.105,0.053298280483685
135,3.112,0.0507280019858901
136,3.120,0.0870478850723769
137,3.127,0.093946758948811
138,3.135,0.0782339017269976
139,3.142,0.0769235636692982
140,3.150,0.0567085192748768
141,3.157,0.0695487122932725
142,3.165,0.0718782021736269
143,3.172,0.0599339668015214
144,3.180,0.0689831390290518
145,3.187,0.0564565311868577
146,3.195,0.0622354580054292
147,3.203,0.0503024221039023
148,3.210,0.04608022169576
149,3.218,0.0578060673915823
150,3.225,0.0550285986880828
151,3.233,0.0495128594281091
152,3.240,0.0680479832357365
153,3.248,0.0622354580054292
154,3.255,0.0584556366851426
155,3.263,0.0736421187897606
156,3.270,0.0590044107434953
157,3.278,0.0656288975907531
158,3.285,0.0623810511229513
159,3.293,0.0264419500361379
160,3.300,0.0403684917006603
161,3.308,0.0467353907246097
162,3.316,0.0725333712024765
163,3.323,0.0412084519940573
164,3.331,0.0450946682848408
165,3.338,0.0576380753329029
166,3.346,0.0400997044067733
167,3.353,0.0486784988700014
168,3.361,0.0438347278447453
169,3.368,0.0305857541502298
170,3.376,0.039898113936358
171,3.383,0.0270131230356479
172,3.391,0.0342031831471263
173,3.398,0.0304793591797329
174,3.406,0.0338000022062957
175,3.413,0.0281834677111144
176,3.421,0.0533150796895529
177,3.429,0.0264531495067165
178,3.436,0.031000134561639
179,3.444,0.039612527436603
180,3.451,0.0461754171956783
181,3.459,0.0331280339715781
182,3.466,0.0332400286773644
183,3.474,0.0395285314072633
184,3.481,0.0433083527275499
185,3.489,0.0814033519007489
186,3.496,0.071094239233123
187,3.504,0.0536902619539369
188,3.511,0.0314705123259413
189,3.519,0.0313809165613123
190,3.527,0.0484825081348754
191,3.534,0.0311401279438718
192,3.542,0.0257195841838165
193,3.549,0.0244316450672744
194,3.557,0.0451674648436019
195,3.564,0.0216205779520391
196,3.572,0.0171967870734815
197,3.579,0.0211222015112902
198,3.587,0.0253388021841431
199,3.594,0.0357095119399516
200,3.602,0.0341695847353904
201,3.609,0.0209038118350069
202,3.617,0.0322656747370238
203,3.624,0.0317840975021429
204,3.632,0.0408948668178558
205,3.640,0.0408500689355413
206,3.647,0.0235860850385881
207,3.655,0.0198230629241694
208,3.662,0.0167040103680219
209,3.670,0.0364542767334303
210,3.677,0.0078116307285922
211,3.685,0.0278530833290449
212,3.692,0.0349479479406049
213,3.700,0.037075847350544
214,3.707,0.0315265096788345
215,3.715,0.032019286384294
216,3.722,0.0377422158499723
217,3.730,0.0295386036511282
218,3.738,0.0223653427455177
219,3.745,0.00951395025654347
220,3.753,0.0277746870349945
221,3.760,0.0209710086584787
222,3.768,0.0306921491207268
223,3.775,0.0277354888879693
224,3.783,0.0147329035461836
225,3.790,0.0172191860146387
226,3.798,0.0355191209401149
227,3.805,0.033716006176956
228,3.813,0.0230653096566819
229,3.820,0.0264307505655593
230,3.828,0.040077305465616
231,3.835,0.0293146142395557
232,3.843,0.0270579209179624
233,3.851,0.0167432085150471
234,3.858,0.0254675960957974
235,3.866,0.019011101307219
236,3.873,0.0154664688690836
237,3.881,0.0153376749574294
238,3.888,0.0192406904540809
239,3.896,0.0264419500361379
240,3.903,0.0203438383060756
241,3.911,0.0236588815973491
242,3.918,0.03670066508616
243,3.926,0.0273267082118494
244,3.933,0.0158864490157821
245,3.941,0.0317840975021429
246,3.949,0.0294322086806312
247,3.956,0.0156904582806562
248,3.964,0.0276850912703655
249,3.971,0.0751708465237431
250,3.979,0.0579180620973685
251,3.986,0.0323440710310742
252,3.994,0.0273659063588746
253,4.001,0.031856894060904
254,4.009,0.0200526520710313
255,4.016,0.0260723675070432
256,4.024,0.0212565951582337
257,4.031,0.0266099420948173
258,4.039,0.0183895306901052
259,4.046,0.0193470854245778
260,4.054,0.0324784646780177
261,4.062,0.00575092814212487
262,4.069,0.0177679600729914
263,4.077,0.039254144378087
264,4.084,0.0266715391829997
265,4.092,0.0297009959745183
266,4.099,0.0325792599132254
267,4.107,0.03784301108518
268,4.114,0.0291858203279015
269,4.122,0.0437507318154056
270,4.129,0.0166592124857074
271,4.137,0.0321760789723948
272,4.144,0.040827669994384
273,4.152,0.0442659074620225
274,4.159,0.0169224000443051
275,4.167,0.0248012275963691
276,4.175,0.0238492725971858
277,4.182,0.0304401610327077
278,4.190,0.0210774036289757
279,4.197,0.0154048717809012
280,4.205,0.0287826393870709
281,4.212,0.029695396239229
282,4.220,0.0228189213039521
283,4.227,0.021066204158397
284,4.235,0.0282226658581396
285,4.242,0.0179471516022495
286,4.250,0.0253164032429859
287,4.257,0.0107514917554817
288,4.265,0.0283346605639258
289,4.273,0.0293818110630274
290,4.280,0.0212285964817871
291,4.288,0.0243420493026454
292,4.295,0.0334696178242262
293,4.303,0.0150912866046996
294,4.310,0.0162560315448768
295,4.318,0.0369582529094685
296,4.325,0.0207526189821955
297,4.333,0.0171575889264563
298,4.340,0.0205958263940947
299,4.348,0.0328480472071124
300,4.355,0.0294322086806312
301,4.363,0.0243980466555385
302,4.370,0.0338783985003461
303,4.378,0.0174095770144754
304,4.386,0.0306025533560977
305,4.393,0.0348135542936614
306,4.401,0.0263355550656409
307,4.408,0.0355639188224294
308,4.416,0.0729477516138857
309,4.423,0.0999888733259801
310,4.431,0.0493616665752976
311,4.438,0.0393101417309801
312,4.446,0.0358271063810272
313,4.453,0.0296114002098893
314,4.461,0.0281106711523533
315,4.468,0.0369974510564937
316,4.476,0.0142793249877492
317,4.484,0.01459850989924
318,4.491,0.0429835680807697
319,4.499,0.0252660056253821
320,4.506,0.0269011283298616
321,4.514,0.0224997363924613
322,4.521,0.0351383389404416
323,4.529,0.0148057001049446
324,4.536,0.0246164363318217
325,4.544,0.0276906910056548
326,4.551,0.0373166359679845
327,4.559,0.0192126917776343
328,4.566,0.0216037787461711
329,4.574,0.0251708101254637
330,4.581,0.0344215728234095
331,4.589,0.0220741565104734
332,4.597,0.0269515259474654
333,4.604,0.0313473181495764
334,4.612,0.0282562642698754
335,4.619,0.0236196834503239
336,4.627,0.0188207103073823
337,4.634,0.0186751171898602
338,4.642,0.0133217702532766
339,4.649,0.0254899950369546
340,4.657,0.0352727325873851
341,4.664,0.00610371146535161
342,4.672,0.0309441372087459
343,4.679,0.0146433077815545
344,4.687,0.0111938708433375
345,4.695,0.0195206772185465
346,4.702,0.0153376749574294
347,4.710,0.0309609364146138
348,4.717,0.016849603485544
349,4.725,0.0175719693378655
350,4.732,0.0124202128716971
351,4.740,0.0382517917612999
352,4.747,0.0207750179233527
353,4.755,0.00463098108426218
354,4.762,0.0273771058294532
355,4.770,0.0231157072742857
356,4.777,0.0234404919210659
357,4.785,0.00467577896657669
358,4.792,0.0231157072742857
359,4.800,0.0252660056253821
360,4.808,0.0194590801303641
361,4.815,0.0279314796230953
362,4.823,0.0207470192469062
363,4.830,0.00987233331505953
364,4.838,0.0363086836159081
365,4.845,0.0269347267415975
366,4.853,0.0258595775660493
367,4.860,0.0116922472840864
368,4.868,0.03670066508616
369,4.875,0.0558349605697439
370,4.883,0.0354183257049073
371,4.890,0.02267332818643
372,4.898,0.0454754502845141
373,4.906,0.0315825070317276
374,4.913,0.02153098218741
375,4.921,0.0289394319751717
376,4.928,0.022566933215933
377,4.936,0.0324560657368605
378,4.943,0.0278810820054914
379,4.951,0.0235860850385881
380,4.958,0.0230653096566819
381,4.966,0.0217885700107185
382,4.973,0.0234908895386697
383,4.981,0.0110146793140795
384,4.988,0.0245156410966141
385,4.996,0.0220741565104734
386,5.003,0.0304905586503115
387,5.011,0.0207134208351703
388,5.019,0.0248852236257088
389,5.026,0.0238268736560285
390,5.034,0.0155392654278447
391,5.041,0.022852519715688
392,5.049,0.0301265758565061
393,5.056,0.0286202470636808
394,5.064,0.0409732631119062
395,5.071,0.00610371146535161
396,5.079,0.014419318369982
397,5.086,0.0258763767719172
398,5.094,0.0417236276406742
399,5.101,0.0189943021013511
400,5.109,0.02210215518692
401,5.116,0.0145425125463469
402,5.124,0.0235580863621415
403,5.132,0.020601426129384
404,5.139,0.0174823735732364
405,5.147,0.0210382054819505
406,5.154,0.0386157745551052
407,5.162,0.0106954944025886
408,5.169,0.0308097435618023
409,5.177,0.0281274703582212
410,5.184,0.0145313130757683
411,5.192,0.0128233938125277
412,5.199,0.0147105046050263
413,5.207,0.0165584172504997
414,5.214,0.0173199812498464
415,5.222,0.0217549715989826
416,5.230,0.0312185242379222
417,5.237,0.0209710086584787
418,5.245,0.0302273710917138
419,5.252,0.0209374102467428
420,5.260,0.0207358197763275
421,5.267,0.00161272376332226
