#"+EI TIC Scan MEOH-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.198423696684498
1,2.102,0.199575222461797
2,2.110,0.183222427477302
3,2.117,0.177504311730221
4,2.125,0.161631319152933
5,2.133,0.176313272813504
6,2.140,0.148704877829324
7,2.148,0.136393712533782
8,2.155,0.1219149693045
9,2.163,0.138973356064302
10,2.170,0.136523541420439
11,2.178,0.118855523366772
12,2.185,0.126746861781796
13,2.193,0.0977724411206242
14,2.200,0.117026629485179
15,2.208,0.104800135202674
16,2.215,0.124601862784866
17,2.223,0.108141817850524
18,2.231,0.115796077429045
19,2.238,0.0924607462361195
20,2.246,0.0933356800374991
21,2.253,0.10188745235421
22,2.261,0.100414176727371
23,2.268,0.0941146533574371
24,2.276,0.103434109525681
25,2.283,0.0950460345008412
26,2.291,0.096852349445625
27,2.298,0.105979884650986
28,2.306,0.0803527913718657
29,2.313,0.0796923574701792
30,2.321,0.0976990595759924
31,2.328,0.094013048141793
32,2.336,0.0772256086237088
33,2.344,0.0765764641904271
34,2.351,0.075532188362974
35,2.359,0.077705411030917
36,2.366,0.0809059753237057
37,2.374,0.0716147428264742
38,2.381,0.0803076334982461
39,2.389,0.0998948611807452
40,2.396,0.18649072858052
41,2.404,0.27019649206864
42,2.411,0.180546823465341
43,2.419,0.0999287295859599
44,2.426,0.0852975785332113
45,2.434,0.080770501702847
46,2.442,0.0656369693060804
47,2.449,0.0912189047115806
48,2.457,0.0740814916729446
49,2.464,0.0718800453339893
50,2.472,0.0550022900686659
51,2.479,0.070581756467426
52,2.487,0.0886053927758466
53,2.494,0.0757636224652744
54,2.502,0.0732855841503992
55,2.509,0.0816849486436438
56,2.517,0.0686681915727957
57,2.524,0.0597664457355331
58,2.532,0.0737766760260123
59,2.539,0.0670707317935025
60,2.547,0.0749677149427291
61,2.555,0.0643273909711122
62,2.562,0.0798334758252404
63,2.570,0.0962257839491531
64,2.577,0.0731218868585282
65,2.585,0.0698310068185002
66,2.592,0.0830735532574463
67,2.600,0.0674376395166617
68,2.607,0.0675505342007107
69,2.615,0.0736524918735584
70,2.622,0.099251361481666
71,2.630,0.0808156595764666
72,2.637,0.075142701703005
73,2.645,0.0498938056154493
74,2.652,0.0689334940803108
75,2.660,0.0838976844510039
76,2.668,0.0940412718128053
77,2.675,0.0642991673000999
78,2.683,0.0614203528568508
79,2.690,0.0718800453339893
80,2.698,0.0793706076206395
81,2.705,0.0799181468382771
82,2.713,0.06874721785163
83,2.720,0.0753967147421152
84,2.728,0.0718066637893575
85,2.735,0.0737202286839878
86,2.743,0.078986765694873
87,2.750,0.0930873117325913
88,2.758,0.0849476050126595
89,2.766,0.0903891287838206
90,2.773,0.128937018652347
91,2.781,0.0988449406190896
92,2.788,0.077039332395028
93,2.796,0.0649765354043938
94,2.803,0.0834235267779981
95,2.811,0.096739454761576
96,2.818,0.0560014080224995
97,2.826,0.0568706970896767
98,2.833,0.0713381508505542
99,2.841,0.0777957267781562
100,2.848,0.0507348710116143
101,2.856,0.048985003408855
102,2.863,0.0555272503494937
103,2.871,0.0516267390156013
104,2.879,0.0516267390156013
105,2.886,0.075594280439201
106,2.894,0.0837678555643475
107,2.901,0.0638588780323089
