#"+EI TIC Scan MEOH-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.152310441224383
1,2.102,0.157299676874662
2,2.110,0.148761884270753
3,2.117,0.155758623022919
4,2.125,0.117285416517334
5,2.132,0.134390523829593
6,2.140,0.0985506890400132
7,2.147,0.114404059124037
8,2.155,0.0858148531848033
9,2.163,0.114728802272871
10,2.170,0.0994127344896472
11,2.178,0.118814661527301
12,2.185,0.106911349017286
13,2.193,0.11763377734972
14,2.200,0.0676528545336092
15,2.208,0.0775899948879524
16,2.215,0.0765212947072417
17,2.223,0.0769464130111708
18,2.230,0.0587194657302098
19,2.238,0.0586486126795549
20,2.245,0.0737993566779177
21,2.253,0.0831224372599189
22,2.260,0.0563340796914964
23,2.268,0.0702153731989597
24,2.276,0.0612819843955603
25,2.283,0.0809850368984975
26,2.291,0.0382606473536208
27,2.298,0.0610930429271474
28,2.306,0.064393614203486
29,2.313,0.0457002176723805
30,2.321,0.0523249779086092
31,2.328,0.0579518910147822
32,2.336,0.0577983760716967
33,2.343,0.0470523300557106
34,2.351,0.0416970203103812
35,2.358,0.0666254852991138
36,2.366,0.058766701097313
37,2.374,0.0516164474020607
38,2.381,0.054320672168721
39,2.389,0.0774423843657548
40,2.396,0.171476191426521
41,2.404,0.248812296216294
42,2.411,0.208851175646956
43,2.419,0.0827740764275325
44,2.426,0.0599771073793334
45,2.434,0.0431849343741332
46,2.441,0.0662476023622879
47,2.449,0.0424764038675846
48,2.456,0.059138679613251
49,2.464,0.0520533745477656
50,2.471,0.0536180460830603
51,2.479,0.0557318287609301
52,2.487,0.0570130880936054
53,2.494,0.0305081427278023
54,2.502,0.0383964490340426
55,2.509,0.0441119284535342
56,2.517,0.0408113571771956
57,2.524,0.0551059601468122
58,2.532,0.035963827628226
59,2.539,0.0443540097099382
60,2.547,0.032810866874085
61,2.554,0.0440115532984398
62,2.562,0.053021699573382
63,2.569,0.0397485614173728
64,2.577,0.0473416466792179
65,2.584,0.0543856207984879
66,2.592,0.0401500620377503
67,2.600,0.0453223347355546
68,2.607,0.0369144393911786
69,2.615,0.0341865969409668
70,2.622,0.0605085052592448
71,2.630,0.0432439785830122
72,2.637,0.0425472569182395
73,2.645,0.0500812979712056
74,2.652,0.0528268536840811
75,2.660,0.0361763867801906
76,2.667,0.0430137061683839
77,2.675,0.0423406021871628
78,2.682,0.039364774059659
79,2.690,0.0333776912793239
80,2.698,0.036270857514397
81,2.705,0.0450271136911593
82,2.713,0.033123801181144
83,2.720,0.0516223518229486
84,2.728,0.0517109181362672
85,2.735,0.0596995995976019
86,2.743,0.0553244237196647
87,2.750,0.0527796183169779
88,2.758,0.0690167757587151
89,2.765,0.0481918832870761
90,2.773,0.0968738335078483
91,2.780,0.0908926551484011
92,2.788,0.0493314365184417
93,2.795,0.0456706955679409
94,2.803,0.0713844485347648
95,2.811,0.0781568192931912
96,2.818,0.0774423843657548
97,2.826,0.0394002005849864
98,2.833,0.0500812979712056
99,2.841,0.0525021105352464
100,2.848,0.0462079978687402
101,2.856,0.0508724903701848
102,2.863,0.0446551351752214
103,2.871,0.0502289084934032
104,2.878,0.0385204418726886
105,2.886,0.0593394299234397
106,2.893,0.0455230850457433
107,2.901,0.0459541077705603
108,2.909,0.0411420047469182
109,2.916,0.0565820653687884
110,2.924,0.0429723752221686
111,2.931,0.062226691737625
112,2.939,0.0467630134322033
113,2.946,0.059138679613251
114,2.954,0.168712922450982
115,2.961,5.18928333438235
116,2.969,38.4910083345624
117,2.976,100
118,2.984,89.5478170116049
119,2.991,2.1900264647953
120,2.999,0.154353370851598
121,3.006,0.115260200152783
122,3.014,0.121388989034428
123,3.022,0.0869957373623842
124,3.029,0.0817230895094855
125,3.037,0.0739233495165637
126,3.044,0.104366543614599
127,3.052,0.0707703887624228
128,3.059,0.0591150619296994
129,3.067,0.0664365438307009
130,3.074,0.0733151941651096
131,3.082,0.0571488897740272
132,3.089,0.0506835489017718
133,3.097,0.0562159912737383
134,3.104,0.0390872662779275
135,3.112,0.0493314365184417
136,3.120,0.0658815282672379
137,3.127,0.0813333977308838
138,3.135,0.0874090468245375
139,3.142,0.0373454621159957
140,3.150,0.0324979325670261
141,3.157,0.0482863540212826
142,3.165,0.0648482546118546
143,3.172,0.0337260521117102
144,3.180,0.046343799549162
145,3.187,0.044306774342835
146,3.195,0.0281404699517526
147,3.202,0.0372982267488924
148,3.210,0.0461666669225249
149,3.217,0.0359756364700018
150,3.225,0.0371742339102464
151,3.233,0.0274024173407646
152,3.240,0.0483040672839463
153,3.248,0.0410888649589271
154,3.255,0.0272075714514637
155,3.263,0.0730140686998264
156,3.270,0.0413958948450981
157,3.278,0.029350876233773
158,3.285,0.0462493288149556
159,3.293,0.0128598286938559
160,3.300,0.0274260350243162
161,3.308,0.028423882154372
162,3.315,0.0444189583397052
163,3.323,0.0420158590383281
164,3.331,0.028978897717835
165,3.338,0.0326986828772148
166,3.346,0.0357866950015889
167,3.353,0.00409176367531779
168,3.361,0.0346117152448959
169,3.368,0.031204864392575
170,3.376,0.0267765487266467
171,3.383,0.0211614444622496
172,3.391,0.0242966919537268
173,3.398,0.0363771370903793
174,3.406,0.032444792779035
175,3.413,0.00578633247014636
176,3.421,0.0263927613689329
177,3.428,0.00431613166905815
178,3.436,0.0087562561767623
179,3.444,0.0132022851053544
180,3.451,0.0237121542858243
181,3.459,0.0202167371201848
182,3.466,0.0269300636697322
183,3.474,0.0226316452633378
184,3.481,0.026941872511508
185,3.489,0.0682551054641755
186,3.496,0.0694182763790926
187,3.504,0.0411301959051424
188,3.511,0.0196262950313944
189,3.519,0.0124996590196937
190,3.526,0.029911796218124
191,3.534,0.0176778361383859
192,3.541,0.0331415144438077
193,3.549,0.00803591682843796
194,3.557,0.0189768087337249
195,3.564,0.00657752486912556
196,3.572,0.0130782922667084
197,3.579,0.0147787654824248
198,3.587,0.03361386811484
199,3.594,0.00950021320863826
200,3.602,0.0163847679639349
201,3.609,0.018108858863203
202,3.617,0.0112538262123459
203,3.624,0.02175188655104
204,3.632,0.0246096262607858
205,3.639,0.0371683294893585
206,3.647,0.0198624718669106
207,3.655,0.0144363090709264
208,3.662,0
209,3.670,0.0145484930677966
210,3.677,0.0176778361383859
211,3.685,0.0185280727462442
212,3.692,0.0151861705236902
213,3.700,0.00193665005123266
214,3.707,0.0314646589116428
215,3.715,0.01853988158802
216,3.722,0.0207245173165446
217,3.730,0.315237031205219
218,3.737,1.38395492517859
219,3.745,3.25174762001651
220,3.752,5.41497391840161
221,3.760,3.68021373058907
222,3.768,0.733541633429697
223,3.775,0.465557682590378
224,3.783,0.373655371470145
225,3.790,0.29627203131327
226,3.798,0.269330158801762
227,3.805,0.236968027915157
228,3.813,0.225666966335708
229,3.820,0.205999340358098
230,3.828,0.18207462692031
231,3.835,0.185788507658801
232,3.843,0.170366160299595
233,3.850,0.159826769014686
234,3.858,0.130529032568904
235,3.866,0.137655668580604
236,3.873,0.11219580571196
237,3.881,0.113164130737577
238,3.888,0.116228525178399
239,3.896,0.0948663304059608
240,3.903,0.105193162538906
241,3.911,0.0851417492035822
242,3.918,0.107507695526964
243,3.926,0.10095378834139
244,3.933,0.121961717860554
245,3.941,0.0691289597555853
246,3.948,0.089723579812596
247,3.956,0.100806177819193
248,3.963,0.0878873049164578
249,3.971,0.149954577290109
250,3.979,0.132790425768971
251,3.986,0.0599003499077907
252,3.994,0.0705283075060187
253,4.001,0.071744618208927
254,4.009,0.0610280942973804
255,4.016,0.0559384834920068
256,4.024,0.0643168567319432
257,4.031,0.0675997147456181
258,4.039,0.0624628685731412
259,4.046,0.0467512045904274
260,4.054,0.0646415998807779
261,4.061,0.0602605195819528
262,4.069,0.0489240314771763
263,4.077,0.0497270327179313
264,4.084,0.0527264785289868
265,4.092,0.0606029759934513
266,4.099,0.0635551864374035
267,4.107,0.0409825853829448
268,4.114,0.047831713612914
269,4.122,0.0604199389459263
270,4.129,0.0654505055424209
271,4.137,0.0379536174674498
272,4.144,0.0505359383795742
273,4.152,0.0500812979712056
274,4.159,0.0462139022896281
275,4.167,0.0429841840639444
276,4.174,0.0390105088063847
277,4.182,0.0555842182387325
278,4.190,0.0553480414032163
279,4.197,0.0356272756376155
280,4.205,0.0488649872682972
281,4.212,0.0478671401382414
282,4.220,0.0373336532742198
283,4.227,0.0548048346815291
284,4.235,0.040415760977706
285,4.242,0.0413250417944433
286,4.250,0.03583983478958
287,4.257,0.0320019612124421
288,4.265,0.0393529652178832
289,4.272,0.02879586067031
290,4.280,0.0410711516962634
291,4.287,0.0277153516478235
292,4.295,0.0473239334165542
293,4.303,0.0293922071799884
294,4.310,0.0285124484676906
295,4.318,0.0367609244480931
296,4.325,0.050488703012471
297,4.333,0.0214625699275327
298,4.340,0.0229977193583878
299,4.348,0.0388924203886266
300,4.355,0.0272666156603428
301,4.363,0.0285301617303543
302,4.370,0.0335312062224094
303,4.378,0.0271012918754814
304,4.385,0.0432085520576848
305,4.393,0.0291324126609206
306,4.401,0.0181501898094183
307,4.408,0.0349541716563944
308,4.416,0.0993418814389924
309,4.423,0.164343650993932
310,4.431,0.09948949196119
311,4.438,0.0254008186597649
312,4.446,0.0457946884065869
313,4.453,0.0281522787935284
314,4.461,0.0350958777577041
315,4.468,0.0258141281219183
316,4.476,0.0312993351267815
317,4.483,0.0303369145220531
318,4.491,0.0262569596885111
319,4.498,0.0357335552135977
320,4.506,0.0171346294166987
321,4.514,0.0302601570505103
322,4.521,0.049868738819241
323,4.529,0.0316122694338404
324,4.536,0.0277035428060477
325,4.544,0.0217046511839368
326,4.551,0.030094833265649
327,4.559,0.0298291343256933
328,4.566,0.0255248114984109
329,4.574,0.0181324765467546
330,4.581,0.0162843928088405
331,4.589,0.0403390035061632
332,4.596,0.0271898581888
333,4.604,0.0203230166961671
334,4.612,0.0402386283510688
335,4.619,0.0271662405052484
336,4.627,0.0252945390837827
337,4.634,0.0285655882556817
338,4.642,0.0312284820761266
339,4.649,0.0245564864727946
340,4.657,0.0337791918997014
341,4.664,0.0204470095348131
342,4.672,0.0498510255565773
343,4.679,0.0275736455465138
344,4.687,0.0489063182145126
345,4.694,0.0385086330309128
346,4.702,0.0316240782756162
347,4.709,0.0329939039216101
348,4.717,0.0615299700728523
349,4.725,0.0361173425713115
350,4.732,0.0345703842986806
351,4.740,0.0371506162266948
352,4.747,0.0294512513888674
353,4.755,0.0453459524191062
354,4.762,0.0336551990610554
355,4.770,0.0371092852804795
356,4.777,0.0177132626637134
357,4.785,0.030153877474528
358,4.792,0.0369085349702907
359,4.800,0.0284652131005874
360,4.807,0.0296165751737287
361,4.815,0.0343519207258281
362,4.823,0.0264990409449152
363,4.830,0.0522482204370665
364,4.838,0.0525729635859012
365,4.845,0.0780151131918815
366,4.853,0.0271485272425847
367,4.860,0.028423882154372
368,4.868,0.0148968539001829
369,4.875,0.0276444985971686
370,4.883,0.0364361812992584
371,4.890,0.178224944501396
372,4.898,3.04686421520622
373,4.905,11.6651576935017
374,4.913,5.33513433915537
375,4.920,0.932502904089414
376,4.928,0.489759903809898
377,4.936,0.368837364025615
378,4.943,0.282355311280479
379,4.951,0.241378630318422
380,4.958,0.174629152180662
381,4.966,0.168606642875
382,4.973,0.141676579205267
383,4.981,0.126325084896716
384,4.988,0.121926291335227
385,4.996,0.128527433887904
386,5.003,0.110660656281105
387,5.011,0.0945888226242293
388,5.018,0.0708943816010687
389,5.026,0.0770172660618257
390,5.034,0.0790601956890406
391,5.041,0.0725830459750094
392,5.049,0.0653383215455507
393,5.056,0.0780564441380968
394,5.064,0.0686329884010013
395,5.071,0.0768283245934127
396,5.079,0.0627049498295453
397,5.086,0.0696190266892814
398,5.094,0.0845808292192313
399,5.101,0.0852244110960129
400,5.109,0.0768637511187402
401,5.116,0.0593571431861035
402,5.124,0.0569186173593989
403,5.131,0.0532401631462344
404,5.139,0.0637913632729197
405,5.147,0.0534350090355353
406,5.154,0.0484044424390407
407,5.162,0.0460308652421031
408,5.169,0.0681429214673053
409,5.177,0.0548697833112961
410,5.184,0.0595815111798438
411,5.192,0.0415139832628562
412,5.199,0.046219806710516
413,5.207,0.0563931239003754
414,5.214,0.0500045404996628
415,5.222,0.0462079978687402
416,5.229,0.0505241295377984
417,5.237,0.0728487449149651
418,5.244,0.105866266520127
419,5.252,0.0640747754755391
420,5.260,0.071124654015697
421,5.267,0.0507898284777541
422,5.275,0.0560093365426616
423,5.282,0.0580581705907645
424,5.290,0.0432144564785727
425,5.297,0.051905764025568
426,5.305,0.0392821121672283
427,5.312,0.036518843191689
428,5.320,0.0556314536058357
429,5.327,0.0261624889543046
430,5.335,0.0615417789146281
431,5.342,0.0477726694040349
432,5.350,0.0452514816848997
433,5.358,0.0516223518229486
434,5.365,0.0578928468059031
435,5.373,0.0428660956461863
436,5.380,0.0449975915867198
437,5.388,0.0439702223522244
438,5.395,0.0331119923393682
439,5.403,0.0353970032229872
440,5.410,0.0431495078488057
441,5.418,0.0396481862622784
442,5.425,0.0521242275984205
443,5.433,0.0663952128844855
444,5.440,0.0456116513590619
445,5.448,0.0355623270078485
446,5.455,0.0580995015369798
447,5.463,0.049685701771716
448,5.471,0.0582825385845048
449,5.478,0.0604199389459263
450,5.486,0.0573496400842159
451,5.493,0.039854840993355
452,5.501,0.059014686774605
453,5.508,0.0400969222497591
454,5.516,0.0339090891592353
455,5.523,0.0304372896771474
456,5.531,0.0488649872682972
457,5.538,0.0532992073551135
458,5.546,0.0582293987965137
459,5.553,0.0390518397526
460,5.561,0.062474677414917
461,5.569,0.0248753252007415
462,5.576,0.0545686578460129
463,5.584,0.0457769751439232
464,5.591,0.0505418428004621
465,5.599,0.0509905787879428
466,5.606,0.0246981925741043
467,5.614,0.0686447972427772
468,5.621,0.0888083945749708
469,5.629,0.105447052637086
470,5.636,0.0631832079214655
471,5.644,0.0943172192633857
472,5.651,0.0664129261471493
473,5.659,0.0437694720420357
474,5.666,0.0555487917134051
475,5.674,0.045853732615466
476,5.682,0.0358929745775712
477,5.689,0.0434388244723131
478,5.697,0.0381661766194144
479,5.704,0.0392230679583493
480,5.712,0.029167839186248
481,5.719,0.0298999873763481
482,5.727,0.0345467666151289
483,5.734,0.0473593599418816
484,5.742,0.0532578764088982
485,5.749,0.0288371916165253
486,5.757,0.0526201989530045
487,5.764,0.047707720774268
488,5.772,0.0544859959535823
489,5.780,0.0388865159677387
490,5.787,0.0419391015667853
491,5.795,0.0372391825400134
492,5.802,0.023729867548488
493,5.810,0.0551354822512518
494,5.817,0.0423701242916023
495,5.825,0.0294925823350827
496,5.832,0.0382724561953967
497,5.840,0.0413781815824344
498,5.847,0.0545568490042371
499,5.855,0.0503174748067217
500,5.862,0.0334072133837634
501,5.870,0.0558912481249035
502,5.877,0.0537420389217063
503,5.885,0.0535235753488539
504,5.893,0.0323680353074922
505,5.900,0.0462434243940677
506,5.908,0.0373926974830989
507,5.915,0.0277094472269356
508,5.923,0.034298780937837
509,5.930,0.0389455601766178
510,5.938,0.0370325278089367
