#"+EI TIC Scan MEOH-PEEK-2Hour.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.17829373360045
1,2.102,0.179988136996928
2,2.110,0.154593879019489
3,2.117,0.162384865697828
4,2.125,0.154141674897599
5,2.132,0.15754137817542
6,2.140,0.142280851122253
7,2.147,0.121790011333979
8,2.155,0.137938601903627
9,2.163,0.142253609910091
10,2.170,0.130708784195826
11,2.178,0.106856378826757
12,2.185,0.132359601652844
13,2.193,0.116091149749683
14,2.200,0.11730610781211
15,2.208,0.103058953851371
16,2.215,0.117186246478597
17,2.223,0.0909747521362967
18,2.230,0.104072326943798
19,2.238,0.110893526469169
20,2.245,0.105668661976493
21,2.253,0.0978504340859917
22,2.260,0.0919826769862916
23,2.268,0.0945760403841163
24,2.276,0.089901448377113
25,2.283,0.096199616628973
26,2.291,0.0958400326284343
27,2.298,0.0895636573463039
28,2.306,0.106665690341623
29,2.313,0.094679556990332
30,2.321,0.0914650939552132
31,2.328,0.0827206648512033
32,2.336,0.105848453976762
33,2.343,0.0860331962501055
34,2.351,0.0773704907825817
35,2.358,0.0753491928401595
36,2.366,0.0728702425334153
37,2.374,0.0759593959925889
38,2.381,0.0850960985517318
39,2.389,0.148791500828977
40,2.396,0.219019345782676
41,2.404,0.268004493492429
42,2.411,0.177530979659913
43,2.419,0.129602790982047
44,2.426,0.100209523059223
45,2.434,0.106998033129999
46,2.441,0.08792373637415
47,2.449,0.0957256195373538
48,2.456,0.0792337896944642
49,2.464,0.0827642507906626
50,2.471,0.0911599923789985
51,2.479,0.0710178401063976
52,2.487,0.0874170498279363
53,2.494,0.0824264597598535
54,2.502,0.0763843589023164
55,2.509,0.0956112064462733
56,2.517,0.0910019933484588
57,2.524,0.0930178430484486
58,2.532,0.0950445892333032
59,2.539,0.0856354745525399
60,2.547,0.0615052088194187
61,2.554,0.0889044200119829
62,2.562,0.0885993184357682
63,2.569,0.0915250246219696
64,2.577,0.0794680641190576
65,2.585,0.0862293329776721
66,2.592,0.0902065499533276
67,2.600,0.0865126415841571
68,2.607,0.0878365644952315
69,2.615,0.0992778736032818
70,2.622,0.0729574144123338
71,2.630,0.0860713339471323
72,2.637,0.070914323500182
73,2.645,0.0771961470247448
74,2.652,0.084829134672544
75,2.660,0.0759430512652916
76,2.667,0.0697865373166741
77,2.675,0.0822575642444489
78,2.682,0.0766622192663691
79,2.690,0.080078267271487
80,2.698,0.103451227306504
81,2.705,0.0745428529601636
82,2.713,0.0789668258152764
83,2.720,0.0721565227747703
84,2.728,0.0920698488652101
85,2.735,0.0806557809693219
86,2.743,0.107847958949455
87,2.750,0.0979811919043694
88,2.758,0.084316999883898
89,2.765,0.111296696409167
90,2.773,0.11769293302481
91,2.780,0.0974581606308585
92,2.788,0.0663922822812859
93,2.796,0.0613417615464466
94,2.803,0.102666680396238
95,2.811,0.104807839672173
96,2.818,0.0737419613226001
97,2.826,0.0570049605702523
98,2.833,0.0665175918572312
99,2.841,0.0741505795050304
100,2.848,0.0826280447298524
101,2.856,0.0702387414385637
102,2.863,0.0726795540482811
103,2.871,0.0682719259204656
104,2.878,0.0816637058193168
105,2.886,0.0859623690984842
106,2.893,0.0922768820776415
107,2.901,0.0916339894706177
108,2.909,0.0886973867995515
109,2.916,0.0784383462993331
110,2.924,0.0667137285847978
111,2.931,0.069906398650187
112,2.939,0.0657602861591269
113,2.946,0.108272921859182
114,2.954,1.50522952273996
115,2.961,17.1369889187652
116,2.969,57.5232845623016
117,2.976,100
118,2.984,18.7119450481551
119,2.991,0.285760315579636
120,2.999,0.153357127987333
121,3.006,0.126895014493142
122,3.014,0.107896993131346
123,3.022,0.0956493441433001
124,3.029,0.107575546827834
125,3.037,0.117671140055081
126,3.044,0.113470545139696
127,3.052,0.0982536040259896
128,3.059,0.0889806954060365
129,3.067,0.111242213984843
130,3.074,0.0829767322455264
131,3.082,0.0780787622987944
132,3.089,0.0887682139511728
133,3.097,0.0886047666782006
134,3.104,0.0772015952671772
135,3.112,0.0824210115174211
136,3.120,0.100204074816791
137,3.127,0.123833102246131
138,3.135,0.0849980301879486
139,3.142,0.0708325998636959
140,3.150,0.0644036737934581
141,3.157,0.0971312660849142
142,3.165,0.0814185349098586
143,3.172,0.0685824757391126
144,3.180,0.0858534042498361
145,3.187,0.0917701955314278
146,3.195,0.0761010502958314
147,3.202,0.0634665760950845
148,3.210,0.0592387399675383
149,3.217,0.0687840607091116
150,3.225,0.0911436476517013
151,3.233,0.0759376030228592
152,3.240,0.0701570178020777
153,3.248,0.0918464709254815
154,3.255,0.242108997211208
155,3.263,0.462849987602524
156,3.270,0.254612713593577
157,3.278,0.0797077867860834
158,3.285,0.0772996636309605
159,3.293,0.0631124403369782
160,3.300,0.0745918871420552
161,3.308,0.070135224832348
162,3.315,0.0850797538244346
163,3.323,0.067846963010738
164,3.331,0.0783130367233878
165,3.338,0.0538558764443223
166,3.346,0.0531585014129744
167,3.353,0.0711921838642346
168,3.361,0.070914323500182
169,3.368,0.0625567196088729
170,3.376,0.0601159069991555
171,3.383,0.0576042672378168
172,3.391,0.0613090720918521
173,3.398,0.0710668742882893
174,3.406,0.0554031772951252
175,3.413,0.0497642463775862
176,3.421,0.0570812359643059
177,3.428,0.0551362134159374
178,3.436,0.0527389867456793
179,3.444,0.0490069406794819
180,3.451,0.0516003040773066
181,3.459,0.0532511215343253
182,3.466,0.0423709813968128
183,3.474,0.0552833159616123
184,3.481,0.0794299264220308
185,3.489,0.110234289134848
186,3.496,0.0691545411945152
187,3.504,0.0558281402048528
188,3.511,0.0432263554587003
189,3.519,0.0387751413914255
190,3.526,0.0517855443200084
191,3.534,0.0521941625024388
192,3.542,0.0454710313408511
193,3.549,0.0436622148532927
194,3.557,0.0458306153413899
195,3.564,0.045939580190038
196,3.572,0.0577241285713297
197,3.579,0.0418642948505991
198,3.587,0.0360401236903583
199,3.594,0.0425562216395145
200,3.602,0.0470292286765189
201,3.609,0.0553977290526928
202,3.617,0.035053991810093
203,3.624,0.0264839064639201
204,3.632,0.0518727161989269
205,3.639,0.0424690497605961
206,3.647,0.0500094172870444
207,3.655,0.0381104558146722
208,3.662,0.0426924277003247
209,3.670,0.0365577067214368
210,3.677,0.0513551331678484
211,3.685,0.0540029789899972
212,3.692,0.0524175404421674
