#"+EI TIC Scan MEOH-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.166957281413572
1,2.102,0.172538898309742
2,2.110,0.154514702162439
3,2.117,0.15910307195136
4,2.125,0.153440483823621
5,2.132,0.139470247336883
6,2.140,0.148150363361101
7,2.148,0.120744300515981
8,2.155,0.113240966390569
9,2.163,0.0977430726682256
10,2.170,0.123578293620903
11,2.178,0.0972680414430196
12,2.185,0.105267999122056
13,2.193,0.0965177080304784
14,2.200,0.103729545722241
15,2.208,0.0974839647272042
16,2.215,0.0895109974586909
17,2.223,0.0822397808637774
18,2.230,0.0973004299356473
19,2.238,0.0950116431232914
20,2.245,0.0938618516350089
21,2.253,0.0712061010419486
22,2.261,0.0834111646804784
23,2.268,0.0640104575964996
24,2.276,0.085451639716022
25,2.283,0.0814786512870269
26,2.291,0.0863801098380154
27,2.298,0.0681831750633654
28,2.306,0.0748444083804577
29,2.313,0.0650468893605853
30,2.321,0.0606150639526981
31,2.328,0.052696077505231
32,2.336,0.073473295525886
33,2.343,0.0786338620178959
34,2.351,0.0673734627476735
35,2.359,0.0621535173525128
36,2.366,0.0668930334403629
37,2.374,0.0741912404457995
38,2.381,0.0657918246910219
39,2.389,0.126304325083732
40,2.396,0.199329579794936
41,2.404,0.268322467173993
42,2.411,0.183675141691558
43,2.419,0.0873301722884273
44,2.426,0.0908659160669487
45,2.434,0.0777053918959025
46,2.441,0.0680428249286455
47,2.449,0.0697216284631801
48,2.456,0.0743963675657748
49,2.464,0.0655543090784189
50,2.472,0.060059061495923
51,2.479,0.0628390737797986
52,2.487,0.0656892611310342
53,2.494,0.0545638139134271
54,2.502,0.0575921379741149
55,2.509,0.0538512670756182
56,2.517,0.0634922417144568
57,2.524,0.0571656894878505
58,2.532,0.0628876565187401
59,2.539,0.0579106248182871
60,2.547,0.0671467432992797
61,2.554,0.0562426174479617
62,2.562,0.0628012872050663
63,2.569,0.0815434282722823
64,2.577,0.0719834248650129
65,2.585,0.0551899914375622
66,2.592,0.0738619574374181
67,2.600,0.0795407398114709
68,2.607,0.048917420032002
69,2.615,0.0641670019775334
70,2.622,0.0524909503852557
71,2.630,0.0670549759035013
72,2.637,0.0483614175752269
73,2.645,0.0553303415722821
74,2.652,0.0646150427922163
75,2.660,0.0650252970321668
76,2.667,0.0550658355491561
77,2.675,0.0586609582308283
78,2.683,0.0620887403672574
79,2.690,0.0678430958907748
80,2.698,0.0676811534276364
81,2.705,0.0513951397180193
82,2.713,0.0639564767754535
83,2.720,0.0679834460254947
84,2.728,0.0754759839866974
85,2.735,0.0892248991071464
86,2.743,0.0732519741595969
87,2.750,0.0546987659660424
88,2.758,0.0765502023255154
89,2.765,0.0786230658536867
90,2.773,0.106720083208197
91,2.780,0.0901155826544076
92,2.788,0.0578620420793455
93,2.796,0.0619645844788513
94,2.803,0.082677025514251
95,2.811,0.0934947820518952
96,2.818,0.0705907196820227
97,2.826,0.0502129597371091
98,2.833,0.0553141473259683
99,2.841,0.0584504330287484
100,2.848,0.0621913039272451
101,2.856,0.0612466395589378
102,2.863,0.0473843647142919
103,2.871,0.045473443649259
104,2.878,0.0687175851917221
105,2.886,0.0666339254993415
106,2.894,0.0633464934976322
107,2.901,0.0638485151333612
108,2.909,0.076749931363386
109,2.916,0.0653599781226528
110,2.924,0.0693491607979618
111,2.931,0.0762101231529247
112,2.939,0.0596703995843909
113,2.946,0.0652628126447698
114,2.954,0.512439934190902
115,2.961,9.78038550727235
116,2.969,47.3000304775716
117,2.976,100
118,2.984,51.7334753100901
119,2.991,0.673443131043085
120,2.999,0.157143568147386
121,3.007,0.136387942455149
122,3.014,0.110563517666681
123,3.022,0.0923449905636127
124,3.029,0.0752708568667221
125,3.037,0.110935985331899
126,3.044,0.108010224831199
127,3.052,0.0925555157656926
128,3.059,0.0749955546793869
129,3.067,0.0971114970619859
130,3.074,0.0942451154644364
131,3.082,0.0727391563596587
132,3.089,0.0889711892482296
133,3.097,0.0714436166545516
134,3.105,0.0660077479752064
135,3.112,0.0694895109326817
136,3.120,0.0691872183348234
137,3.127,0.102687715876051
138,3.135,0.077057622043349
139,3.142,0.067783716987624
140,3.150,0.0498135016613677
