#"+EI TIC Scan MEOH-PLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.128899825265727
1,2.102,0.12253105208581
2,2.110,0.128939290939964
3,2.117,0.106685583879851
4,2.125,0.125791903419602
5,2.132,0.105180955049584
6,2.140,0.115782421791367
7,2.147,0.122614916643563
8,2.155,0.109458047494966
9,2.163,0.100168814421547
10,2.170,0.108338208988505
11,2.178,0.0831985744998466
12,2.185,0.0841457506815229
13,2.193,0.0934596498013397
14,2.200,0.0873967355967555
15,2.208,0.06777242908265
16,2.215,0.0846834704929953
17,2.223,0.0872388728998095
18,2.230,0.0901198671190748
19,2.238,0.0642599840756004
20,2.245,0.0806826377672689
21,2.253,0.0624988283627961
22,2.260,0.0715710002279143
23,2.268,0.0851373257467152
24,2.276,0.0672347092711775
25,2.283,0.0700861042347655
26,2.291,0.0520848235736365
27,2.298,0.0571660291315874
28,2.306,0.0730213637561061
29,2.313,0.0771849923880581
30,2.321,0.0504913969763374
31,2.328,0.0561892536942338
32,2.336,0.0805099754424842
33,2.343,0.0674961693629944
34,2.351,0.0658139449986631
35,2.358,0.0560955227179221
36,2.366,0.0627750880824517
37,2.374,0.0519910925973248
38,2.381,0.0573436246656517
39,2.389,0.0881416501979697
40,2.396,0.164458397752825
41,2.404,0.248771877549853
42,2.411,0.208003836063536
43,2.419,0.111633592787253
44,2.426,0.064921034119062
45,2.434,0.051695100040551
46,2.441,0.0506147272083265
47,2.449,0.0577580142451351
48,2.456,0.0523857493396899
49,2.464,0.0636630657527732
50,2.471,0.0547536897938806
51,2.479,0.0542357028195264
52,2.487,0.0572893593635765
53,2.494,0.0615812514367972
54,2.502,0.043639169287023
55,2.509,0.0571956283872648
56,2.517,0.0687936034035197
57,2.524,0.0640133236116222
58,2.532,0.0649013012819438
59,2.539,0.0465201635062884
60,2.547,0.0551384801176866
61,2.554,0.0554936711858152
62,2.562,0.0458837795092246
63,2.569,0.0520897567829161
64,2.577,0.0398455313510383
65,2.585,0.0423910673392933
66,2.592,0.0407927075327146
67,2.600,0.043718100635496
68,2.607,0.0462537702051919
69,2.615,0.0528790702676463
70,2.622,0.0598694278167885
71,2.630,0.0460613750432889
72,2.637,0.0616552495759907
73,2.645,0.0538311796586022
74,2.652,0.0414192251112192
75,2.660,0.0395643384221031
76,2.667,0.0535450535203875
77,2.675,0.0519368272952496
78,2.682,0.0330574353823583
79,2.690,0.0518282966910992
80,2.698,0.0503187346515526
81,2.705,0.061063264462443
82,2.713,0.044793540258441
83,2.720,0.0454545903019025
84,2.728,0.0643093161683961
85,2.735,0.0650147650953737
86,2.743,0.068122686941499
87,2.750,0.0610139323696473
88,2.758,0.0649851658396964
89,2.765,0.048074124429351
90,2.773,0.0805593075352798
91,2.780,0.0963702432762824
92,2.788,0.0616009842739155
93,2.796,0.037699585314428
94,2.803,0.0520157586437226
95,2.811,0.0809588974869245
96,2.818,0.0792865395411523
97,2.826,0.050654192882563
98,2.833,0.0446899428635701
99,2.841,0.0484983804273935
100,2.848,0.0544724968649455
101,2.856,0.0403388522789947
102,2.863,0.0454644567204617
103,2.871,0.0593909065166708
104,2.878,0.0443495514232802
105,2.886,0.0445123473295058
106,2.893,0.057713615361619
107,2.901,0.0572400272707809
108,2.909,0.0473538758745347
109,2.916,0.0474920057343625
110,2.924,0.0630562810113868
111,2.931,0.0520256250622818
112,2.939,0.0435849039849478
113,2.946,0.0429189207322067
114,2.954,0.14595392974518
115,2.961,3.75534143234745
116,2.969,30.0454595235112
117,2.976,79.0252175791953
118,2.984,100
119,2.991,4.88599846675856
120,2.999,0.175109196587403
121,3.006,0.133990897242237
122,3.014,0.121667740461887
123,3.022,0.0910423772543533
124,3.029,0.0754830351866085
125,3.037,0.084269080913512
126,3.044,0.104500172169004
127,3.052,0.0733370891499982
128,3.059,0.0632733422196877
129,3.067,0.0794345358195393
130,3.074,0.0672939077825323
131,3.082,0.0558143297889869
132,3.089,0.0597460975847994
133,3.097,0.0567713723892223
134,3.104,0.0937408427302748
135,3.112,0.119432996658244
136,3.120,0.0921474161329756
137,3.127,0.104529771424681
138,3.135,0.10171784213533
139,3.142,0.055360474535267
140,3.150,0.042677193477508
141,3.157,0.0698838426543034
142,3.165,0.0639837243559449
143,3.172,0.0570673649459962
144,3.180,0.0519417605045292
145,3.187,0.0555134040229335
146,3.195,0.0598250289332724
147,3.202,0.0393127447488454
148,3.210,0.0415178892968105
149,3.217,0.0424897315248846
150,3.225,0.0530270665460333
151,3.233,0.0484441151253183
152,3.240,0.041364959809144
153,3.248,0.0484342487067592
154,3.255,0.064921034119062
