#"+EI TIC Scan MEOH-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.160805417559987
1,2.102,0.19402781557633
2,2.110,0.154053304646136
3,2.117,0.148552741855334
4,2.125,0.132908365317218
5,2.132,0.158490049832345
6,2.140,0.114717084278697
7,2.147,0.118258971126926
8,2.155,0.129159972698686
9,2.162,0.130755699105573
10,2.170,0.103960010971088
11,2.178,0.0960940184477237
12,2.185,0.0998424110662563
13,2.193,0.127263874262266
14,2.200,0.113784679437025
15,2.208,0.0991478007479639
16,2.215,0.123071181350051
17,2.223,0.0995482967873397
18,2.230,0.0877336636257545
19,2.238,0.0966697315043263
20,2.245,0.0808376224477529
21,2.253,0.0865634642607034
22,2.260,0.0739040347660599
23,2.268,0.0881591906675912
24,2.276,0.0933781546807067
25,2.283,0.0783595532041154
26,2.291,0.0688790610220171
27,2.298,0.087721148124524
28,2.306,0.0840791372664506
29,2.313,0.0778401599030499
30,2.321,0.0802368783886893
31,2.328,0.0558942284953808
32,2.336,0.0609880374961914
33,2.343,0.0820703993189565
34,2.351,0.0695048360835417
35,2.358,0.0642483255667348
36,2.366,0.0691356287972422
37,2.373,0.05345996350605
38,2.381,0.0530406942148285
39,2.389,0.0895046070498692
40,2.396,0.161512543379509
41,2.404,0.286642524681976
42,2.411,0.254646645786222
43,2.419,0.124648134505093
44,2.426,0.0786161209793405
45,2.434,0.0684472762295651
46,2.441,0.0669016118275992
47,2.449,0.0689854427824763
48,2.456,0.0731843934453066
49,2.464,0.0699991983821462
50,2.471,0.0766386717849226
51,2.479,0.0547740911352517
52,2.487,0.0713008105101174
53,2.494,0.0596363633632982
54,2.502,0.0588854332894686
55,2.509,0.055593856465849
56,2.517,0.063034321947377
57,2.524,0.0561257652681449
58,2.532,0.0551808449252427
59,2.539,0.0546927403772535
60,2.547,0.0641169128038146
61,2.554,0.0637039012632083
62,2.562,0.0465639223280484
63,2.569,0.0434350470204252
64,2.577,0.0525400741656087
65,2.584,0.0706625199473623
66,2.592,0.0711819132484278
67,2.600,0.0395302106365115
68,2.607,0.0670580555929804
69,2.615,0.0677151194075813
70,2.622,0.045105866434696
71,2.630,0.0570519123592014
72,2.637,0.0682658014617229
73,2.645,0.046908098611887
74,2.652,0.0572146138751978
75,2.660,0.0551933604264732
76,2.667,0.0623835158833913
77,2.675,0.0422773631566047
78,2.682,0.0662070015093069
79,2.690,0.0563197555372176
80,2.698,0.0595737858571457
81,2.705,0.0804246109071467
82,2.713,0.0605312217012784
83,2.720,0.063441075737368
84,2.728,0.0855059044067268
85,2.735,0.072990403176234
86,2.743,0.0696425065970771
87,2.750,0.0664260227808405
88,2.758,0.0763007532516993
89,2.765,0.0678653054223472
90,2.773,0.107157721535479
91,2.780,0.104980024321374
92,2.788,0.0644485735864226
93,2.795,0.0745360675781998
94,2.803,0.0685098537357176
95,2.811,0.100280453609323
96,2.818,0.0713133260113479
97,2.826,0.066920385079445
98,2.833,0.0533911282492823
99,2.841,0.0514574833091711
100,2.848,0.0601995609186703
101,2.856,0.0630280641967617
102,2.863,0.0566514163198256
103,2.871,0.040356233717724
104,2.878,0.0673146233682055
105,2.886,0.0525087854125325
106,2.893,0.0562947245347566
107,2.901,0.0439356670696449
108,2.909,0.0801492698800758
109,2.916,0.0555375367103118
110,2.924,0.0511258225265631
111,2.931,0.0755748541803307
112,2.939,0.0602746539260533
113,2.946,0.0601745299162093
114,2.954,0.177751406226074
115,2.961,5.22552839351089
116,2.969,38.7359080931676
117,2.976,100
118,2.984,97.805700973512
119,2.991,2.78708322676906
120,2.999,0.183527310043946
121,3.006,0.141500256911952
122,3.014,0.121218887167938
123,3.022,0.111919869753682
124,3.029,0.0986221496962832
125,3.037,0.0919263565379696
126,3.044,0.114385423496089
127,3.052,0.0939663832385399
128,3.059,0.071644986793956
129,3.067,0.0901804441163158
130,3.074,0.0841229415207573
131,3.082,0.0463073545528233
132,3.089,0.0721205758407147
133,3.097,0.0744922633238931
134,3.104,0.0469456451155785
135,3.112,0.0565825810630579
136,3.119,0.0602746539260533
137,3.127,0.0990101302344285
138,3.135,0.103302947156488
139,3.142,0.0707250974535148
140,3.150,0.0583284934847117
141,3.157,0.0668640653239077
142,3.165,0.0832218254321618
143,3.172,0.0617765140737124
144,3.180,0.0419144136209204
145,3.187,0.0674460361311257
146,3.195,0.0527653531877576
147,3.202,0.0582471427267135
148,3.210,0.0372461316619466
149,3.217,0.0466577885872771
150,3.225,0.0550932364166293
151,3.233,0.0289483543461298
152,3.240,0.0341047408530929
153,3.248,0.030400152488867
154,3.255,0.0678402744198862
155,3.263,0.0551933604264732
156,3.270,0.0535851185183549
157,3.278,0.0262324905791129
158,3.285,0.0505563672205756
159,3.293,0.0413136695618567
160,3.300,0.0403750069695697
161,3.308,0.0420270531319948
162,3.315,0.0778026133993584
163,3.323,0.0728840214157748
164,3.330,0.0341422873567843
165,3.338,0.0400871504412684
166,3.346,0.033447677038492
167,3.353,0.0274652674503164
168,3.361,0.03301589224604
169,3.368,0.0223464274470449
170,3.376,0.0308945147874715
171,3.383,0.0232099970319489
172,3.391,0.0344113706332399
173,3.398,0.0266455021197192
174,3.406,0.0319082703871414
175,3.413,0.0308256795307037
176,3.421,0.0322774776734409
177,3.428,0.0594986928497627
178,3.436,0.0332787177718803
179,3.444,0.042058341885071
180,3.451,0.0272024419244761
181,3.459,0.0439168938177992
182,3.466,0.0365577790942695
183,3.474,0.025243765981904
184,3.481,0.0500932936750474
185,3.489,0.0699616518784547
186,3.496,0.05028728394412
187,3.504,0.037815586967934
188,3.511,0.0247932079376062
189,3.519,0.0294552321459648
190,3.526,0.0284164455438339
191,3.534,0.0224715824593498
192,3.541,0.0289671275979756
193,3.549,0.0277406084773873
194,3.557,0.0160135838244155
195,3.564,0.0350308879441493
196,3.572,0.0352436514650677
197,3.579,0.0164641418687133
198,3.587,0.0198808737046378
199,3.594,0.0158383668071886
200,3.602,0.0226405417259615
201,3.609,0.0406378324954101
202,3.617,0.01396729937323
203,3.624,0
204,3.632,0.023084842019644
205,3.639,0.0154065820147366
206,3.647,0.0255691690138968
207,3.655,0.0287668795782877
208,3.662,0.0222963654421229
209,3.670,0.0284790230499864
210,3.677,0.0476840596881775
211,3.685,0.0192801296455741
212,3.692,0.0238670608465498
213,3.700,0.0273088236849353
214,3.707,0.0213639606004512
215,3.715,0.0211950013338395
216,3.722,0.0271523799195541
217,3.730,0.0103315462657718
218,3.737,0.033829399826022
219,3.745,0.0155129637751958
220,3.752,0.0444362871188647
221,3.760,0.0269083276455595
222,3.768,0.0149747972222846
223,3.775,0.0245053514093049
224,3.783,0.0269834206529425
225,3.790,0.0173151959523868
226,3.798,0.0303813792370213
227,3.805,0.0111200228432928
228,3.813,0.0269145853961748
229,3.820,0.0206818657833893
230,3.828,0.0383474957702299
231,3.835,0.0222087569335095
232,3.843,0.0170586281771617
233,3.850,0.0220773441705893
234,3.858,0.0315453208514571
235,3.865,0.0206192882772369
236,3.873,0.0296554801656527
237,3.881,0.022577964219809
238,3.888,0.0201812457341696
239,3.896,0.0211261660770718
240,3.903,0.0167832871500908
241,3.911,0.029893274689032
242,3.918,0.0418768671172289
243,3.926,0.0346741961590803
244,3.933,0.0147244871976748
245,3.941,0.0254127252485156
246,3.948,0.0194428311615706
247,3.956,0.00732156821983828
248,3.963,0.0285791470598303
249,3.971,0.0822706473386444
250,3.979,0.075506018923563
251,3.986,0.030450214493789
252,3.994,0.0294927786496563
253,4.001,0.0353750642279879
254,4.009,0.0406378324954101
255,4.016,0.043885605064723
256,4.024,0.011276466608674
257,4.031,0.0200623484724799
258,4.039,0.0347367736652327
259,4.046,0.0432911187562746
260,4.054,0.0258945720458896
261,4.061,0.0215204043658324
262,4.069,0.0372961936668685
263,4.076,0.0310947628071593
264,4.084,0.0364639128350408
265,4.092,0.0458317655060646
266,4.099,0.0359570350352058
267,4.107,0.0407817607595608
268,4.114,0.030325059481484
269,4.122,0.0277718972304635
270,4.129,0.020394009255088
271,4.137,0.0275904224626214
272,4.144,0.0240610511156224
273,4.152,0.0223339119458144
274,4.159,0.0124529237243403
275,4.167,0.0318832393846804
276,4.174,0.0577715536799547
277,4.182,0.0214390536078342
278,4.190,0.031695506866223
279,4.197,0.0404876464806442
280,4.205,0.0401747589498819
281,4.212,0.0365702945954999
282,4.220,0.0501746444330456
283,4.227,0.0424713534256773
284,4.235,0.0302562242247163
285,4.242,0.0198933892058683
286,4.250,0.0263639033420331
287,4.257,0.0250497757128313
288,4.265,0.0326967469646624
289,4.272,0.0273213391861658
290,4.280,0.0427279212009024
291,4.287,0.0179221977620657
292,4.295,0.0256442620212797
293,4.303,0.0283663835389119
294,4.310,0.0289859008498213
295,4.318,0.0354376417341403
296,4.325,0.0455188779753023
297,4.333,0.0307130400196293
298,4.340,0.0318957548859109
299,4.348,0.0233226365430233
300,4.355,0.0193364494011114
301,4.363,0.0301999044691791
302,4.370,0.0392048076045187
303,4.378,0.0187982828482002
304,4.385,0.0280472382575344
305,4.393,0.0329846034929638
306,4.401,0.0372085851582551
307,4.408,0.0366078410991914
308,4.416,0.0763195265035451
309,4.423,0.123759533917728
310,4.431,0.0703058281622933
311,4.438,0.0484662785150833
312,4.446,0.0503060571959658
313,4.453,0.033065954250962
314,4.461,0.0367580271139573
315,4.468,0.035631632003213
316,4.476,0.023059811017183
317,4.483,0.030881999286241
