#"+EI TIC Scan MEOH-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.196057869520051
1,2.102,0.16538798807844
2,2.110,0.151447132877708
3,2.117,0.160395376388325
4,2.125,0.149592930461847
5,2.132,0.131833791767712
6,2.140,0.13579629100457
7,2.147,0.134649432473279
8,2.155,0.131998609760233
9,2.162,0.123256388740267
10,2.170,0.111506239356792
11,2.177,0.187143963091208
12,2.185,0.452370450139227
13,2.193,0.394018013370448
14,2.200,0.224461503564498
15,2.208,0.163822217149491
16,2.215,0.156721308638379
17,2.223,0.135851230335411
18,2.230,0.129402726378028
19,2.238,0.115482473426361
20,2.245,0.118359920879123
21,2.253,0.10091668333732
22,2.260,0.123091570747746
23,2.268,0.0804243129338791
24,2.275,0.0733646089208975
25,2.283,0.0943102288037709
26,2.291,0.112110571996036
27,2.298,0.0930054196963132
28,2.306,0.0757476023960965
29,2.313,0.0648764823060674
30,2.321,0.0619921674369504
31,2.328,0.0622256595930218
32,2.336,0.0667306847219284
33,2.343,0.0608453089056587
34,2.351,0.0785838453507282
35,2.358,0.0341241918681962
36,2.366,0.0528653711011016
37,2.373,0.0418019633531314
38,2.381,0.0645262440719604
39,2.388,0.0681179028256465
40,2.396,0.155395897281856
41,2.404,0.263262405970477
42,2.411,0.207086940186246
43,2.419,0.0998247641368684
44,2.426,0.053105730673528
45,2.434,0.0618891561916248
46,2.441,0.0598357987014677
47,2.449,0.0771073508343945
48,2.456,0.04665035929979
49,2.464,0.0338769648794147
50,2.471,0.0540259644651035
51,2.479,0.0482916718086447
52,2.486,0.0461833749876472
53,2.494,0.328901171491954
54,2.502,2.92459226603931
55,2.509,2.14428895011419
56,2.517,0.794024413802491
57,2.524,0.484434417100911
58,2.532,0.357476490945277
59,2.539,0.293094462616773
60,2.547,0.232674933525127
61,2.554,0.20526707485216
62,2.562,0.166486774695246
63,2.569,0.167983871460645
64,2.577,0.154043016259913
65,2.584,0.137032425948478
66,2.592,0.138481450799391
67,2.599,0.132149692920044
68,2.607,0.0926002421313658
69,2.615,0.0979842965537176
70,2.622,0.100621384434053
71,2.630,0.0906704981355995
72,2.637,0.100628251850408
73,2.645,0.0917692847524059
74,2.652,0.0892970148645914
75,2.660,0.267169965876495
76,2.667,0.242337388336669
77,2.675,0.146207294198812
78,2.682,0.127102141899089
79,2.690,0.204545996134881
80,2.697,0.185063135935631
81,2.705,0.11789293656698
82,2.712,0.0894137609426271
83,2.720,0.0928886736182775
84,2.728,0.0948596221121742
85,2.735,0.113580199096015
86,2.743,0.101170777742456
87,2.750,0.0980392358845579
88,2.758,0.0898876126711249
89,2.765,0.0765854271914114
90,2.773,0.113648873259565
91,2.780,0.107502535621804
92,2.788,0.0823471895132904
93,2.795,0.0921263904028681
94,2.803,0.0828553783235634
95,2.810,0.118050887143146
96,2.818,0.0704734266354254
97,2.826,0.0785357734362429
98,2.833,0.074477130370414
99,2.841,0.0625758978271289
100,2.848,0.0653365992018551
101,2.856,0.0573772636463632
102,2.863,0.0584279783486844
103,2.871,0.0335404614780177
104,2.878,0.0610238617308897
105,2.886,0.0621775876785365
106,2.893,0.0614015696304169
107,2.901,0.0667718892200586
108,2.908,0.0640729945925277
109,2.916,0.0583180996870038
110,2.923,0.0445695321442127
111,2.931,0.0617380730318139
112,2.939,0.0555299286468573
113,2.946,0.0420079858437826
114,2.954,0.2154033813922
115,2.961,5.54918144860869
116,2.969,39.1625130815697
117,2.976,100
118,2.984,71.1063826660368
119,2.991,1.71594758980126
120,2.999,0.159536949343945
121,3.006,0.112096837163326
122,3.014,0.0918791634140866
123,3.021,0.0766472339386068
124,3.029,0.0706039075461712
125,3.037,0.0742711078797628
126,3.044,0.0818733377847926
127,3.052,0.0756239889017058
128,3.059,0.0744015887905086
129,3.067,0.0803899758521039
130,3.074,0.0673968241083673
131,3.082,0.0657829812649328
132,3.089,0.054630297104347
133,3.097,0.0676028465990185
134,3.104,0.0483603459721951
135,3.112,0.0313291534116947
136,3.119,0.0405246239110939
137,3.127,0.0866530595679008
138,3.134,0.0854169246239935
139,3.142,0.0450365164563555
140,3.150,0.0372488663097396
141,3.157,0.0459567502479309
142,3.165,0.0569308815832856
143,3.172,0.0375029607148761
144,3.180,0.0297496476500354
145,3.187,0.0527760946884861
146,3.195,0.0450090467909353
147,3.202,0.0358753830387315
148,3.210,0.043250988204045
149,3.217,0.0409435363087513
150,3.225,0.022387777317432
151,3.232,0.0556741443903132
152,3.240,0.00665452644803423
153,3.248,0.0270507530225045
154,3.255,0.0564501624384328
155,3.263,0.0390000574802749
156,3.270,0.0482435998941594
157,3.278,0.00905125475594335
158,3.285,0.0220444064996799
159,3.293,0.0392747541344765
160,3.300,0.0356624931317252
161,3.308,0.0456683187610192
162,3.315,0.0524807957852194
163,3.323,0.0436492983526373
164,3.330,0.0474538470133297
165,3.338,0.0328399850098036
166,3.345,0.0228753638786398
167,3.353,0.0146894035834316
168,3.361,0.0331284164967153
169,3.368,0.0156371070404272
170,3.376,0.0204305636562454
171,3.383,0.0170174577277903
172,3.391,0.0114960549783378
173,3.398,0.0309171084303922
174,3.406,0.0175462487871284
175,3.413,0.00990968180032342
176,3.421,0.022216091908556
177,3.428,0.0248257101234713
178,3.436,0.0248737820379566
179,3.443,0.0115784639745983
180,3.451,0.0237955976702153
181,3.459,0.0335129918125976
182,3.466,0.0278061688215589
183,3.474,0.0352435807340677
184,3.481,0.028163274472021
185,3.489,0.0635922754476749
186,3.496,0.0689145231228312
187,3.504,0.0325446861065368
188,3.511,0.0189678039726218
189,3.519,0.0160560194380846
190,3.526,0.0280602632266954
191,3.534,0.0187137095674853
192,3.541,0.0237681280047951
193,3.549,0.0354770728901391
194,3.556,0.0231637953655515
195,3.564,0.0283761643790273
196,3.572,0.0232599391945221
197,3.579,0.0267623215355928
198,3.587,0.0189265994744916
199,3.594,0.0111320819115206
200,3.602,0.0151220508137991
201,3.609,0.0420148532601377
202,3.617,0.0319540883000034
203,3.624,0.0322631220359802
204,3.632,0.0102873896998506
205,3.639,0.0240428246589967
206,3.647,0.0225045233954677
207,3.654,0.034268407611652
208,3.662,0.0307934949360015
209,3.669,0.0297015757355501
210,3.677,0.0176904645305843
211,3.685,0.0369192303246976
212,3.692,0.0140232641969927
213,3.700,0.032908659173354
214,3.707,0.0133914618923289
215,3.715,0.00889330417977742
216,3.722,0.0132747158142933
217,3.730,0.0135906169666251
218,3.737,0.00687428377139552
219,3.745,0.00626308371579692
220,3.752,0.015437951966131
221,3.760,0.0152113272264147
222,3.767,0.0159255385273389
223,3.775,0.0258283529113073
224,3.783,0.0114411156474974
225,3.790,0.0136043517993352
226,3.798,0.0297839847318106
227,3.805,0.0119973763722557
228,3.813,0.00670259836251951
229,3.820,0
230,3.828,0.019853700682422
231,3.835,0.00316587893967366
232,3.843,0.0086186075255758
233,3.850,0.0171067341404058
234,3.858,0.0235346358487237
235,3.865,0.00261648563127042
236,3.873,0.00841258503492459
237,3.880,0.0153280733044504
238,3.888,0.0247433011272109
239,3.896,0.0372763359751597
240,3.903,0.0219482626707094
241,3.911,0.0264876248813911
242,3.918,0.0128352011675707
243,3.926,0.012210266279262
244,3.933,0.0156851789549125
245,3.941,0.0160766216871498
246,3.948,0.0167358936572337
247,3.956,0.00836451312043931
248,3.963,0.026631840624847
249,3.971,0.0842082593455064
250,3.978,0.054623429687992
251,3.986,0.00784258947745623
252,3.994,0.0167564959062988
253,4.001,0.0682758534018125
254,4.009,0.380660888559894
255,4.016,0.350320643103325
256,4.024,0.137588686673236
257,4.031,0.101088368746196
258,4.039,0.070068249070478
259,4.046,0.0487792583698525
260,4.054,0.0478521571619221
261,4.061,0.0365277875924603
262,4.069,0.0548569218440634
263,4.076,0.0382858461793507
264,4.084,0.014751210330627
265,4.091,0.0170792644749857
266,4.099,0.0326889018499927
267,4.107,0.0307591578542263
268,4.114,0.0349620166635111
269,4.122,0.021371399696886
270,4.129,0.0296329015719997
271,4.137,0.0341516615336163
272,4.144,0.0223259705702366
273,4.152,0.0309308432631023
274,4.159,0.0426672578138665
275,4.167,0.0269271395281137
276,4.174,0.0360882729457377
277,4.182,0.0216392289347326
278,4.189,0.0334923895635324
279,4.197,0.0283006227991218
280,4.205,0.0459292805825107
281,4.212,0.0498643101539489
282,4.220,0.0279229148995946
283,4.227,0.0204236962398904
284,4.235,0.0288774857729452
285,4.242,0.0361500796929331
286,4.250,0.0155066261296814
287,4.257,0.0195309321137351
288,4.265,0.0279503845650148
289,4.272,0.0165916779137778
290,4.280,0.0175737184525486
291,4.287,0.0173814307946075
292,4.295,0.019853700682422
293,4.302,0.0170037228950802
294,4.310,0.0125193000152388
295,4.318,0.0184115432478635
296,4.325,0.0181711836754371
297,4.333,0.0213370626151108
298,4.340,0.0225182582281777
299,4.348,0.0133914618923289
300,4.355,0.0284585733752878
301,4.363,0.0385262057517771
302,4.370,0.00898258059239295
303,4.378,0.0243106538968433
304,4.385,0.018143714010017
305,4.393,0.0302921735420836
306,4.400,0.0109123245881593
307,4.408,0.030875903932262
308,4.415,0.0807402140862109
309,4.423,0.137492542844265
310,4.431,0.0658928599266134
311,4.438,0.0317068613112219
312,4.446,0.0250111303650574
313,4.453,0.0151838575609945
314,4.461,0.0212409187861402
315,4.468,0.017141071222181
316,4.476,0.0094839019863109
317,4.483,0.0122995426918775
318,4.491,0.0451463951180361
319,4.498,0.0308072297687116
320,4.506,0.0348040660873452
321,4.513,0.0671564645359409
322,4.521,0.0871818506272389
323,4.529,0.0838305514459792
324,4.536,0.0771210856671046
325,4.544,0.0748479708535862
326,4.551,0.0424543679068603
327,4.559,0.035792974042471
328,4.566,0.0453112131105571
329,4.574,0.0604813358388415
330,4.581,0.0430106286316185
331,4.589,0.0389863226475648
332,4.596,0.0241389684879673
333,4.604,0.0356006863845299
334,4.611,0.0429900263825534
335,4.619,0.0288500161075251
336,4.626,0.0233835526889128
337,4.634,0.0222435615739761
338,4.642,0.0235689729304989
339,4.649,0.0310269870920729
340,4.657,0.0264807574650361
341,4.664,0.0239672830790913
342,4.672,0.0475362560095902
343,4.679,0.0297702498991005
344,4.687,0.0169213138988197
345,4.694,0.0128695382493459
346,4.702,0.0289942318509809
347,4.709,0.0174020330436726
348,4.717,0.0257116068332716
349,4.724,0.028671463282294
350,4.732,0.0445832669769228
351,4.740,0.0291109779290166
352,4.747,0.0914739858491392
353,4.755,0.116759812868398
354,4.762,0.0843456076726072
355,4.770,0.0315077062369257
356,4.777,0.0425436443194758
357,4.785,0.0426878600629316
358,4.792,0.0302921735420836
359,4.800,0.0316793916458017
360,4.807,0.0368436887447922
361,4.815,0.0385742776662624
362,4.822,0.024427399974879
363,4.830,0.0428526780554526
364,4.837,0.0274215935056766
365,4.845,0.0427015948956417
366,4.853,0.243607860362351
367,4.860,0.812435957050354
368,4.868,0.413583282565958
369,4.875,0.114843803705342
370,4.883,0.0812346680637739
371,4.890,0.0717782357428831
372,4.898,0.0761871170428191
373,4.905,0.0596915829580119
374,4.913,0.0928474691201473
375,4.920,0.0476117975894957
376,4.928,0.0594512233855854
377,4.935,0.042076660007333
378,4.943,0.0318304748056126
379,4.951,0.0269889462753091
380,4.958,0.0288156790257499
381,4.966,0.0646841946481263
382,4.973,0.056656184929084
383,4.981,0.0360402010312524
384,4.988,0.0210967030426844
385,4.996,0.0171960105530214
386,5.003,0.0187068421511303
387,5.011,0.0812003309819987
388,5.018,0.76087539505671
389,5.026,1.13666728542088
390,5.033,0.356432643659311
391,5.041,0.134251122324686
392,5.048,0.0995019955681815
393,5.056,0.112144909077811
