#"+EI TIC Scan MEOH-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.16458594353703
1,2.102,0.179706525407088
2,2.110,0.149112644460825
3,2.117,0.161741076890732
4,2.125,0.157612550904032
5,2.132,0.142168163074232
6,2.140,0.132852959482392
7,2.147,0.126423098281816
8,2.155,0.126625477006654
9,2.163,0.113759972356223
10,2.170,0.12692037171999
11,2.178,0.106335564279299
12,2.185,0.114818123974663
13,2.193,0.10295294844986
14,2.200,0.0911455954178681
15,2.208,0.0752386276455814
16,2.215,0.0736600735918431
17,2.223,0.0972227394122968
18,2.230,0.0829405836879972
19,2.238,0.0806161194769979
20,2.245,0.0856582408501109
21,2.253,0.0835766311089175
22,2.261,0.0946669852300537
23,2.268,0.0643795634956889
24,2.276,0.0854442976267105
25,2.283,0.0604823274802322
26,2.291,0.0815644083590971
27,2.298,0.0490508206515115
28,2.306,0.0802113620273214
29,2.313,0.0877051570956178
30,2.321,0.0906078462347265
31,2.328,0.0736947670875296
32,2.336,0.0773780598795858
33,2.343,0.0859010953199168
34,2.351,0.0740127907979897
35,2.358,0.0673285106290463
36,2.366,0.0696529748400456
37,2.374,0.0758920218143449
38,2.381,0.0881850837859485
39,2.389,0.105803597345439
40,2.396,0.216684009559677
41,2.404,0.243825887685127
42,2.411,0.172889253504679
43,2.419,0.0723995432485648
44,2.426,0.0749668619293701
45,2.434,0.0658887305580541
46,2.441,0.0607078352021949
47,2.449,0.0505310764674713
48,2.456,0.047530089090584
49,2.464,0.0584932337275363
50,2.472,0.0570418891579819
51,2.479,0.0570534536565441
52,2.487,0.0615983015914832
53,2.494,0.0676060585945387
54,2.502,0.0585105804753795
55,2.509,0.0516065748337546
56,2.517,0.049952851539362
57,2.524,0.0561514227686936
58,2.532,0.0612108908896499
59,2.539,0.0437022400665005
60,2.547,0.0539657325404405
61,2.554,0.0509647451635532
62,2.562,0.0533990721108934
63,2.569,0.0576201140860912
64,2.577,0.065882948308773
65,2.585,0.0669815756721807
66,2.592,0.0496753035738695
67,2.600,0.0487848371845812
68,2.607,0.0537113135720724
69,2.615,0.0430199346513315
70,2.622,0.0515545345902247
71,2.630,0.0448760366705624
72,2.637,0.0537286603199157
73,2.645,0.0405277852111805
74,2.652,0.0591408456470187
75,2.660,0.0638244675647039
76,2.667,0.0484494667262778
77,2.675,0.0511902528855159
78,2.683,0.0413662113569389
79,2.690,0.0562901967514398
80,2.698,0.0388393684211013
81,2.705,0.0576721543296211
82,2.713,0.0549140214225397
83,2.720,0.048588240709024
84,2.728,0.067247559139111
85,2.735,0.0592449261340783
86,2.743,0.0618700673076945
87,2.750,0.059349006621138
88,2.758,0.0623789052444307
89,2.765,0.0699941275476301
90,2.773,0.0934874063767108
91,2.780,0.0841837672834322
92,2.788,0.0405566964575859
93,2.796,0.0492763283734741
94,2.803,0.0524103074838265
95,2.811,0.0813389006371345
96,2.818,0.0581405165213896
97,2.826,0.0505484232153145
98,2.833,0.0579901780400812
99,2.841,0.0685948232216056
100,2.848,0.0343870364746598
101,2.856,0.0667907614459046
102,2.863,0.0538847810505052
103,2.871,0.039070658392345
104,2.878,0.0566255672097432
105,2.886,0.0495134005939989
106,2.893,0.050698761696623
107,2.901,0.0613670116202394
108,2.909,0.0515314055931003
109,2.916,0.0492763283734741
110,2.924,0.044477061470167
111,2.931,0.0721277775323534
112,2.939,0.056735429946084
113,2.946,0.0421872907548541
114,2.954,0.405341456853897
115,2.961,8.75044552230711
116,2.969,45.5458408627856
117,2.976,100
118,2.984,47.9721825238685
