#"+EI TIC Scan TCM-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.150963832952854
1,2.102,0.130011529746522
2,2.110,0.139860771154323
3,2.117,0.11271652417223
4,2.125,0.126504690561371
5,2.132,0.122770234751441
6,2.140,0.100398221071914
7,2.147,0.10077629614358
8,2.155,0.0963204113703686
9,2.163,0.097705400663514
10,2.170,0.0997269449242612
11,2.178,0.0941831298427848
12,2.185,0.0907071539287903
13,2.193,0.0949354220772231
14,2.200,0.0898777035164608
15,2.208,0.0746273896562827
16,2.215,0.0787283468111953
17,2.223,0.0782769714705323
18,2.230,0.0693189070173743
19,2.238,0.065796636196645
20,2.245,0.0627643198055244
21,2.253,0.0636169176712211
22,2.260,0.0741567247711469
23,2.268,0.0646546951638566
24,2.276,0.0667495396936003
25,2.283,0.0587366629196084
26,2.291,0.0556541937128585
27,2.298,0.0517615636382519
28,2.306,0.060345410928638
29,2.313,0.0591417433535367
30,2.321,0.0672356362143142
31,2.328,0.058435746025833
32,2.336,0.116339100624217
33,2.343,0.116894639505033
34,2.351,0.0890482531041314
35,2.358,0.0741760143156197
36,2.366,0.0726289928489029
37,2.373,0.068227118800215
38,2.381,0.0728643252914708
39,2.389,0.0803949634536433
40,2.396,0.114533599261565
41,2.404,0.321452542821053
42,2.411,0.183621031745266
43,2.419,0.0581078237697958
44,2.426,0.0423058289376962
45,2.434,0.0619734484821405
46,2.441,0.0470201936068431
47,2.449,0.0442270675671849
48,2.456,0.0499792097289672
49,2.464,0.0462331801923538
50,2.471,0.0684585933338884
51,2.479,0.044651437545586
52,2.487,0.0476683223011285
53,2.494,0.0420280594972882
54,2.502,0.0515378049223677
55,2.509,0.0469893303356867
56,2.517,0.0539335663458867
57,2.524,0.0465996815373366
58,2.532,0.0418621694148224
59,2.539,0.0346131586019525
60,2.547,0.0508433813213477
61,2.554,0.0426954777360464
62,2.562,0.053852550259101
63,2.569,0.0678181804573921
64,2.577,0.182386500899009
65,2.584,0.136091594164342
66,2.592,0.0708852180285638
67,2.600,0.0508009443235076
68,2.607,0.0532005636559211
69,2.615,0.0443659522873889
70,2.622,0.057914928325068
71,2.630,0.0534629014607509
72,2.637,0.0364418074179718
73,2.645,0.0466729818063331
74,2.652,0.0423559817533255
75,2.660,0.0476065957588156
76,2.667,0.0493195073079982
77,2.675,0.0437949817709947
78,2.682,0.0388722900215418
79,2.690,0.0472362365049382
80,2.698,0.0462331801923538
81,2.705,0.0458280997584255
82,2.713,0.0631886897839255
83,2.720,0.0435905125995832
84,2.728,0.0640374297407277
85,2.735,0.0627643198055244
86,2.743,0.0820075693715675
87,2.750,0.053574780818693
88,2.758,0.0450295126172525
89,2.765,0.0436406654152125
90,2.773,0.0770540143509581
91,2.780,0.051873442996194
92,2.788,0.0497168719241375
93,2.795,0.0673359418455727
94,2.803,0.06110927688976
95,2.811,0.0660281107303184
96,2.818,0.0533548800117034
97,2.826,0.0448327592636301
98,2.833,0.049026306232012
99,2.841,0.0450835233417762
100,2.848,0.0433358906125426
101,2.856,0.0611131347986546
102,2.863,0.0612790248811205
103,2.871,0.05728994708415
104,2.878,0.0386562471234467
105,2.886,0.0551218022854098
106,2.893,0.0628839149812556
107,2.901,0.0506852070566709
108,2.909,0.0528340623109384
109,2.916,0.0569118720124836
110,2.924,0.0540878827016689
111,2.931,0.0528764993087785
112,2.939,0.0415496787943634
113,2.946,0.0557892205241679
114,2.954,0.0676330008304535
115,2.961,1.90133953541055
116,2.969,20.9602929356519
117,2.976,64.6218334958928
118,2.984,100
119,2.991,7.69034015877147
120,2.999,0.162892487254819
121,3.006,0.0992948591280709
122,3.014,0.0880644863360197
123,3.022,0.0910427920026166
124,3.029,0.0629572152502521
125,3.037,0.0672472099409979
126,3.044,0.083157226222145
127,3.052,0.0652526710425127
128,3.059,0.067393810478991
129,3.067,0.0722046228705018
130,3.074,0.0495355502060934
131,3.082,0.04305426326324
132,3.089,0.0505270327919941
133,3.097,0.0362797752444005
134,3.104,0.0489684375985937
135,3.112,0.0378306546200118
136,3.120,0.0376454749930731
137,3.127,0.0642071777320881
138,3.135,0.0795037864990009
139,3.142,0.0394856975357761
140,3.150,0.033748987009572
141,3.157,0.0426491828293117
142,3.165,0.0558740945198481
143,3.172,0.0475988799410265
144,3.180,0.0510285609482864
145,3.187,0.030381032544625
146,3.195,0.0296403140368703
147,3.202,0.0406700755664047
148,3.210,0.0386330996700794
149,3.217,0.0308054025230261
150,3.225,0.0388954374749091
151,3.233,0.034686458870949
152,3.240,0.0253888984350701
153,3.248,0.0267468823659537
154,3.255,0.0382897457784639
155,3.263,0.0483473142665702
156,3.270,0.0276959279540143
157,3.278,0.0324257242587395
158,3.285,0.0359287055349959
159,3.293,0.0235563917101562
160,3.300,0.0351416921205066
161,3.308,0.0368546036696892
162,3.315,0.0507932285057185
163,3.323,0.0271828260710385
164,3.330,0.0297251880325506
165,3.338,0.0264691129255457
166,3.346,0.0221636865992217
167,3.353,0.0241890887688633
168,3.361,0.0294705660455099
169,3.368,0.0268587617238958
170,3.376,0.0242662469467545
171,3.383,0.0284520780973472
172,3.391,0.0258209842312603
173,3.398,0.0178582602728977
174,3.406,0.0102851851128851
175,3.413,0.0311950513213762
176,3.421,0.0237531450637786
177,3.428,0.0193204077439342
178,3.436,0.0252384399881825
179,3.444,0.0332667483977526
180,3.451,0.0260370271293555
181,3.459,0.0245941692027917
182,3.466,0.0190233487590535
183,3.474,0.0245285847515842
184,3.481,0.0298370673904927
185,3.489,0.0647742903395878
186,3.496,0.0841371350813622
187,3.504,0.0375528851796038
188,3.511,0.0292506652385202
189,3.519,0.0234175069899522
190,3.526,0.0281318716590991
191,3.534,0.0157016892008411
192,3.541,0.0211837777400046
193,3.549,0.0122025658334792
194,3.557,0.0115660108658776
195,3.564,0.0142511154564882
196,3.572,0.0228156732024016
197,3.579,0.0241273622265505
198,3.587,0.0183443567936117
199,3.594,0.0168513460514187
200,3.602,0.0165195658864869
201,3.609,0.0157827052876268
202,3.617,0.0220981021480142
203,3.624,0.0190349224857371
204,3.632,0.0218666276143409
205,3.639,0.0267893193637938
206,3.647,0.0229275525603437
207,3.655,0.0320939440938077
208,3.662,0.0105282333732421
209,3.670,0.00817876685645778
210,3.677,0.0221829761436945
211,3.685,0.023992335415241
212,3.692,0.011492710596881
213,3.700,0.0108175765403338
214,3.707,0.0227925257490342
215,3.715,0.00817105103866867
