#"+EI TIC Scan TCM-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.191680870100275
1,2.102,0.179806508565486
2,2.110,0.177665079589011
3,2.117,0.173446556412178
4,2.125,0.162969178587365
5,2.132,0.165174942339957
6,2.140,0.137281221551966
7,2.147,0.142253380677601
8,2.155,0.144914083204166
9,2.162,0.141338907788506
10,2.170,0.200315516123444
11,2.178,0.186625994833917
12,2.185,0.133108651786646
13,2.193,0.132056318663013
14,2.200,0.173841755751184
15,2.208,0.193675248159911
16,2.215,0.133094865763192
17,2.223,0.134606733001948
18,2.230,0.138416270816321
19,2.238,0.127796437415819
20,2.245,0.127529907629048
21,2.253,0.154651611103631
22,2.260,0.153139743864875
23,2.268,0.106901421201158
24,2.275,0.0984827562120971
25,2.283,0.098147296308057
26,2.291,0.0937219827794186
27,2.298,0.109686197938806
28,2.306,0.107337978610525
29,2.313,0.164954365964698
30,2.321,0.137616681456006
31,2.328,0.0928304865960792
32,2.336,0.0932900207112026
33,2.343,0.0980370081204274
34,2.351,0.101428369890038
35,2.358,0.0881800013510303
36,2.366,0.0797337643150621
37,2.373,0.0956795981098443
38,2.381,0.0758690824068743
39,2.389,0.105325219186285
40,2.396,0.28777404891373
41,2.404,0.394238912705521
42,2.411,0.153723352191082
43,2.419,0.1132016339195
44,2.426,0.118325439303126
45,2.434,0.0839063340803826
46,2.441,0.0730843056692264
47,2.449,0.0942274703060543
48,2.456,0.0715678430893192
49,2.464,0.191763586240997
50,2.471,0.357912740905016
51,2.479,0.197461809268527
52,2.486,0.17412207156141
53,2.494,0.124446433716569
54,2.502,0.11268236036941
55,2.509,0.0987263092931125
56,2.517,0.0991950340905383
57,2.524,0.0878123740589316
58,2.532,0.0844347983127745
59,2.539,0.0943561398582889
60,2.547,0.0956244540160295
61,2.554,0.097283372171625
62,2.562,0.105384958621251
63,2.569,0.0917184140374805
64,2.577,0.106501626521
65,2.584,0.0861212885152774
66,2.592,0.0961804902953288
67,2.599,0.09115778241703
68,2.607,0.078690621873732
69,2.615,0.0918930370012274
70,2.622,0.0876561324597896
71,2.630,0.0968973635149213
72,2.637,0.078258659805516
73,2.645,0.0868427570760212
74,2.652,0.101823569229044
75,2.660,0.0814432312233212
76,2.667,0.0898756822358357
77,2.675,0.0816454262339755
78,2.682,0.0822703926305433
79,2.690,0.0876331557540335
80,2.697,0.0895310316494931
81,2.705,0.0913507867453818
82,2.713,0.0971317259136342
83,2.720,0.141026424590222
84,2.728,0.129515095006381
85,2.735,0.106607319367479
86,2.743,0.0949719155725542
87,2.750,0.092081445988428
88,2.758,0.0834651813298642
89,2.765,0.0930924210416995
90,2.773,0.111726529409954
91,2.780,0.0826793779930031
92,2.788,0.0938598430139556
93,2.795,0.0928304865960792
94,2.803,0.082302560018602
95,2.810,0.106133999228902
96,2.818,0.0914840516387676
97,2.826,0.179912201411965
98,2.833,0.212047422082544
99,2.841,0.10128591431435
100,2.848,0.0806436418630064
101,2.856,0.0787871240379079
102,2.863,0.0774452844217475
103,2.871,0.0846737560526387
104,2.878,0.0916816513082706
105,2.886,0.0999762420862481
106,2.893,0.0986022350820291
107,2.901,0.103964998205519
108,2.908,0.0781713483236425
109,2.916,0.0944985954339771
110,2.924,0.0929499654660113
111,2.931,0.0907350110311164
112,2.939,0.0883776010205334
113,2.946,0.0773120195283618
114,2.954,0.290894285555418
115,2.961,7.21623423740543
116,2.969,41.7546850651872
117,2.976,100
118,2.984,85.6201849441
119,2.991,1.26996388521389
120,2.999,0.18697064542026
121,3.006,0.134537802884679
122,3.014,0.128219208801733
123,3.021,0.125163306936162
124,3.029,0.105219526339806
125,3.037,0.117939430646422
126,3.044,0.120434700891542
127,3.052,0.105054094058362
128,3.059,0.0966492150927547
129,3.067,0.112916722768123
130,3.074,0.0970536051140633
131,3.082,0.0769076295070532
132,3.089,0.0823944668416266
133,3.097,0.0747753912128806
134,3.104,0.0809469343789879
135,3.112,0.0855330848479195
136,3.119,0.0887222516068759
137,3.127,0.122047665635625
138,3.135,0.108767129708559
139,3.142,0.0765216208503495
140,3.150,0.076080468099831
141,3.157,0.0968789821503164
142,3.165,0.0941401588241809
143,3.172,0.0749270374708713
144,3.180,0.0829091450505648
145,3.187,0.0956979794744492
146,3.195,0.0687325175990078
147,3.202,0.0869668312871045
148,3.210,0.0669816926203876
149,3.217,0.0711266903388007
150,3.225,0.0741090667459516
151,3.232,0.0529659021091237
152,3.240,0.0607136472901044
153,3.248,0.078768742673303
154,3.255,0.0819441234088057
155,3.263,0.0883730056793821
156,3.270,0.0740539226521368
157,3.278,0.0721560467566772
158,3.285,0.0753222368098774
159,3.293,0.0731072823749826
160,3.300,0.0674182500297548
161,3.308,0.0725512460956833
162,3.315,0.0822566066070896
163,3.323,0.0598956765651847
164,3.330,0.066205079965829
165,3.338,0.0670598134199586
166,3.345,0.0594958818850273
167,3.353,0.0434903086552791
168,3.361,0.0506728268746579
169,3.368,0.0554657676953951
170,3.376,0.0525707027701176
171,3.383,0.0493172012350439
172,3.391,0.0527958744865281
173,3.398,0.0520514292200282
174,3.406,0.0511415516720838
175,3.413,0.0490460761071211
176,3.421,0.0527728977807719
177,3.428,0.0570603510748733
178,3.436,0.0441014890283932
179,3.443,0.0695275116181713
180,3.451,0.24092914121805
181,3.459,0.545223441570467
182,3.466,0.306624138316092
