#"+EI TIC Scan TCM-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.142945626970757
1,2.102,0.135033054719465
2,2.110,0.102691693512504
3,2.117,0.122082607008952
4,2.125,0.106416940706782
5,2.132,0.114235461711676
6,2.140,0.0969627458514915
7,2.148,0.0983735145474583
8,2.155,0.103566779022466
9,2.163,0.10110508987762
10,2.170,0.105517320089064
11,2.178,0.0880933043977177
12,2.185,0.0831453910002689
13,2.193,0.0749465758251576
14,2.200,0.0643392309053377
15,2.208,0.072125038433224
16,2.215,0.0729346969891702
17,2.223,0.0704280268134379
18,2.230,0.06247047353126
19,2.238,0.0663674664798291
20,2.245,0.0704893645828277
21,2.253,0.0643146957975818
22,2.261,0.0733845072980291
23,2.268,0.0651734245690398
24,2.276,0.0575470952415671
25,2.283,0.0629857107941348
26,2.291,0.0638730638579748
27,2.298,0.0544965635105781
28,2.306,0.0623069061462203
29,2.313,0.057162711886724
30,2.321,0.055420719236052
31,2.328,0.0651897813075438
32,2.336,0.114640290989649
33,2.343,0.134096631440113
34,2.351,0.0934215119653836
35,2.359,0.0667068688037863
36,2.366,0.065537362000753
37,2.374,0.0706488427832414
38,2.381,0.0491111073581483
39,2.389,0.0578496949038905
40,2.396,0.100548960768485
41,2.404,0.332295321077256
42,2.411,0.205914981026388
43,2.419,0.0649239843068544
44,2.426,0.0423026149558738
45,2.434,0.0408018841981352
46,2.441,0.0514910128104749
47,2.449,0.0538545615242975
48,2.456,0.0590069341530458
49,2.464,0.0513069995023053
50,2.472,0.0461178242119231
51,2.479,0.0559155105757969
52,2.487,0.0541898746636288
53,2.494,0.037395593404685
54,2.502,0.0377145498055122
55,2.509,0.0383361058686628
56,2.517,0.0529467625373276
57,2.524,0.0452018468557012
58,2.532,0.0349543501829685
59,2.539,0.047050158306649
60,2.547,0.038266589730021
61,2.554,0.0527463924906541
62,2.562,0.0418037344315029
63,2.570,0.0768153331992353
64,2.577,0.173585887373305
65,2.585,0.128555786271896
66,2.592,0.047074693414405
67,2.600,0.0521698174583894
68,2.607,0.0384260679304346
69,2.615,0.0514092291179551
70,2.622,0.04311227351182
71,2.630,0.0290618351369159
72,2.637,0.0398409258110274
73,2.645,0.0305502983407765
74,2.652,0.0508367432703164
75,2.660,0.0407977950135092
76,2.667,0.0456598355338122
77,2.675,0.030775203495206
78,2.683,0.0368680885879322
79,2.690,0.0439464671755221
80,2.698,0.0382952140224029
81,2.705,0.0396978043491177
82,2.713,0.0372647394966533
83,2.720,0.0413948159689039
84,2.728,0.0572894766101297
85,2.735,0.0798699541148504
86,2.743,0.0736952853296044
87,2.750,0.046162805242809
88,2.758,0.0341487808116483
89,2.765,0.0484527486333638
90,2.773,0.0729306078045442
91,2.780,0.0640775230892743
92,2.788,0.034758069320921
93,2.796,0.0544311365565622
94,2.803,0.0529753868297095
95,2.811,0.0636522478881713
96,2.818,0.049274674743188
97,2.826,0.0371093504808656
98,2.833,0.0481787732634225
99,2.841,0.0478925303396031
100,2.848,0.0474181849229882
101,2.856,0.0460687539964112
102,2.863,0.0492174261584241
103,2.871,0.0426829091260909
104,2.878,0.0449278714857598
105,2.886,0.0559972942683167
106,2.894,0.0764391282136442
107,2.901,0.0512988211330534
108,2.909,0.0558787079141629
109,2.916,0.0363937431713172
110,2.924,0.0617017068215737
111,2.931,0.0494014394665937
112,2.939,0.0333104979633203
113,2.946,0.0398245690725234
114,2.954,0.0747339382246061
115,2.961,1.81702101018972
116,2.969,20.6313431176344
117,2.976,65.8156882631364
118,2.984,100
119,2.991,9.24235873492568
120,2.999,0.160614993739663
121,3.007,0.104748553379378
122,3.014,0.100033723505611
123,3.022,0.08092087456373
124,3.029,0.0676514704523902
125,3.037,0.055874618729537
126,3.044,0.0797472785760707
127,3.052,0.0816855520887903
128,3.059,0.0592073041997194
129,3.067,0.0562058426842422
130,3.074,0.073875209453148
131,3.082,0.053204381168765
132,3.089,0.048387321679348
133,3.097,0.042650195649083
134,3.105,0.0306934198026862
135,3.112,0.0355472819537372
136,3.120,0.0512170374405335
137,3.127,0.0647236142601808
138,3.135,0.0838201064635574
139,3.142,0.0335762949640096
140,3.150,0.0356536007540129
141,3.157,0.0314090271122346
142,3.165,0.0638444395655928
143,3.172,0.0497858228214368
144,3.180,0.0504196464384654
145,3.187,0.0419673018165426
146,3.195,0.0359643787855882
147,3.202,0.0405851574129577
148,3.210,0.0453531466868629
149,3.218,0.0248336182336415
150,3.225,0.0352610390299178
151,3.233,0.0277369393180949
152,3.240,0.023324709106651
153,3.248,0.0245391969405702
154,3.255,0.0394483640869323
155,3.263,0.0509185269628362
156,3.270,0.0376532120361224
157,3.278,0.0264529353455338
158,3.285,0.0299614557546339
159,3.293,0.0288737326441203
160,3.300,0.02288716635167
161,3.308,0.0336867029489114
162,3.316,0.0526932330905162
163,3.323,0.0379680792523237
164,3.331,0.0267105539769713
165,3.338,0.0322963801760746
166,3.346,0.0196362645740073
167,3.353,0.00670217360199876
168,3.361,0.0266696621307114
169,3.368,0.0282194631039618
170,3.376,0.0200738073289884
171,3.383,0.0134288823117535
172,3.391,0.0229812175980677
173,3.398,0.0184340442939661
174,3.406,0.0139114060976204
175,3.413,0.0182541201704225
176,3.421,0.024207972985865
177,3.429,0.0173299644449486
178,3.436,0.02639568676077
179,3.444,0.0232102119371232
180,3.451,0.0398981743957913
181,3.459,0.019345932465562
182,3.466,0.0183318146783163
183,3.474,0.0209816063159583
184,3.481,0.0374855554664568
185,3.489,0.0740142417304317
186,3.496,0.0825647267833783
187,3.504,0.0326807635309177
188,3.511,0.0207526119769028
189,3.519,0.0238276788156478
190,3.526,0.0146924403611846
191,3.534,0.018037393385245
192,3.542,0.0220570618725938
193,3.549,0.0216317866714908
194,3.557,0.0208262173001706
195,3.564,0.0218730485644243
196,3.572,0.0242570432013768
197,3.579,0.0172400023831768
198,3.587,0.0228462745054101
199,3.594,0.0289391595981362
200,3.602,0.0243756295555306
201,3.609,0.00741369172692114
202,3.617,0.0124433888168897
203,3.624,0.00619102552374992
204,3.632,0.00401557930272287
205,3.640,0.0143039678217155
206,3.647,0.0191864542651484
207,3.655,0.0148600969308502
208,3.662,0.018012858277489
209,3.670,0.0256555443434657
210,3.677,0.0234269387223007
211,3.685,0.0169619378286094
212,3.692,0.0327380121156816
213,3.700,0.0188797654181991
214,3.707,0.0195176782198536
215,3.715,0.0331387522090286
216,3.722,0.02109201430086
217,3.730,0.0123534267551179
218,3.737,0.0156206852712845
219,3.745,0.0157310932561862
220,3.753,0.0148600969308502
221,3.760,0.013212155526576
222,3.768,0.0179924123543591
223,3.775,0.0170682566288852
224,3.783,0.0173872130297125
225,3.790,0.019345932465562
226,3.798,0.0227604016282642
227,3.805,0.0251730205575988
228,3.813,0.0194481620812118
229,3.820,0.0200165587442245
230,3.828,0.0217789973180265
231,3.835,0.0219221187799362
232,3.843,0.0159110173797298
233,3.851,0.0116459978148215
234,3.858,0.0238195004463958
235,3.866,0.017162307875283
236,3.873,0.02639568676077
237,3.881,0.0400740093347089
238,3.888,0.0375591607897246
239,3.896,0.00919657622385309
240,3.903,0.0141485788059278
241,3.911,0.0150809129006537
242,3.918,0.0212474033166477
243,3.926,0.0336785245796594
244,3.933,0.0205972229611152
245,3.941,0.00689027609479433
246,3.948,0.0202987124834178
247,3.956,0.0156533987482924
248,3.964,0.0195749268046175
249,3.971,0.0640161853198844
250,3.979,0.0542553016176446
251,3.986,0.0420081936628025
252,3.994,0.0239994245699394
253,4.001,0.0351465418603901
254,4.009,0.0383892652688007
255,4.016,0.0164262546426046
256,4.024,0.0126069562019293
257,4.031,0.014937791438744
258,4.039,0.00770402383536648
259,4.046,0.0348889232289527
260,4.054,0.0340956214115105
261,4.062,0.018037393385245
262,4.069,0.0212555816858997
263,4.077,0.0225927450585986
264,4.084,0.0194604296350897
265,4.092,0.0456107653183003
266,4.099,0.0532779864920329
267,4.107,0.0345863235666294
268,4.114,0.0207853254539107
269,4.122,0.0243388268938967
270,4.129,0.0264856488225418
271,4.137,0.0353346443531857
272,4.144,0.0201801261292641
273,4.152,0.0299532773853819
274,4.159,0.0131385502033081
275,4.167,0.0283789413043755
276,4.175,0.0282726225040997
277,4.182,0.033858448703203
278,4.190,0.0204909041608394
279,4.197,0.0225314072892088
280,4.205,0.0173299644449486
281,4.212,0.0119894893234047
282,4.220,0.0286897193359508
283,4.227,0.0166634273509121
284,4.235,0.0193745567579439
285,4.242,0.0230957147675955
286,4.250,0.0197303158204051
287,4.257,0.0143039678217155
288,4.265,0.00996534293353934
289,4.273,0.0229975743365717
290,4.280,0.020216928790898
291,4.288,0.0127950586947249
292,4.295,0.00808022882095763
293,4.303,0.0242652215706288
294,4.310,0.0159559984106157
295,4.318,0.0254306391890362
296,4.325,0.0225886558739726
297,4.333,0.0139236736514983
298,4.340,0.00806796126707965
299,4.348,0.0189860842184748
300,4.355,0.00285016168431552
301,4.363,0.0209039118080645
302,4.370,0.01669614082792
303,4.378,0.0239830678314355
304,4.386,0.014512516237641
305,4.393,0.00544270473719362
306,4.401,0.0138950493591164
307,4.408,0.00728283781888944
308,4.416,0.0621515171304327
309,4.423,0.134239752902023
310,4.431,0.0679377133762095
311,4.438,0.035162898598894
312,4.446,0.019362289204066
313,4.453,0.0248622425260235
314,4.461,0.0221838265959996
315,4.468,0.0265060947456717
316,4.476,0.0192805055115462
317,4.483,0.0183890632630802
318,4.491,0.0185362739096159
319,4.499,0.0206176688842451
320,4.506,0.0351465418603901
321,4.514,0.0239094625081676
322,4.521,0.0206994525767649
323,4.529,0.0204868149762134
324,4.536,0.024608713079212
325,4.544,0.0117564057997233
326,4.551,0.00551222087583547
327,4.559,0.0231325174292294
328,4.566,0.0152976396858312
329,4.574,0.00686574098703839
330,4.581,0.0260276601444308
331,4.589,0.0134902200811433
332,4.597,0.0227481340743863
333,4.604,0.0216522325946208
334,4.612,0.0232674605218871
335,4.619,0.0153671558244731
336,4.627,0.0307547575720761
337,4.634,0.0280599849035482
338,4.642,0.0198529913591849
339,4.649,0.0214518625479472
340,4.657,0.0261380681293326
341,4.664,0.028579311351049
342,4.672,0.0267800701156131
343,4.679,0.0229934851519457
344,4.687,0.00468620558138534
345,4.694,0.0210388549007222
346,4.702,0.0204786366069614
347,4.710,0.0174894426453622
348,4.717,0.0119117948155109
349,4.725,0.0230711796598395
350,4.732,0.0175344236762481
351,4.740,0.0163812736117188
352,4.747,0.00710291369534585
353,4.755,0.00922928970086101
354,4.762,0.0133307418807297
355,4.770,0.0255942065740758
356,4.777,0.0350279555062364
