#"+EI TIC Scan TCM-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.175901079570292
1,2.102,0.177276971606962
2,2.110,0.174798512887707
3,2.117,0.161317550508209
4,2.125,0.150551311137091
5,2.132,0.152909321395223
6,2.140,0.141957776699301
7,2.148,0.155800084462167
8,2.155,0.143310505570371
9,2.163,0.137237123549916
10,2.170,0.207291801592106
11,2.178,0.189604408339555
12,2.185,0.134990296486667
13,2.193,0.140540190964549
14,2.200,0.177818989682014
15,2.208,0.173228050259993
16,2.215,0.137042552958872
17,2.223,0.120948785499636
18,2.230,0.149309765460903
19,2.238,0.119350527073201
20,2.245,0.120647664346829
21,2.253,0.168465703412527
22,2.261,0.16362923443514
23,2.268,0.0916798094468284
24,2.276,0.109070714179693
25,2.283,0.105586974073376
26,2.291,0.0975447229768782
27,2.298,0.0962336878038892
28,2.306,0.104197184137345
29,2.313,0.176985115720396
30,2.321,0.145571230532981
31,2.328,0.11026593352468
32,2.336,0.0932317415420627
33,2.343,0.0807606931827468
34,2.351,0.0842861269871448
35,2.359,0.0901510405171946
36,2.366,0.0977392935679225
37,2.374,0.0933707205356658
38,2.381,0.0904475290368811
39,2.389,0.10034746601454
40,2.396,0.296886926134889
41,2.404,0.437255709673994
42,2.411,0.15410454074021
43,2.419,0.118572244709023
44,2.426,0.13469380796698
45,2.434,0.0883211504347541
46,2.441,0.0946817557086548
47,2.449,0.100273343884619
48,2.456,0.0760122442346418
49,2.464,0.199819364369381
50,2.472,0.395140441979142
51,2.479,0.204535384885645
52,2.487,0.185337753235941
53,2.494,0.127295492874176
54,2.502,0.106629316525399
55,2.509,0.0903826721731997
56,2.517,0.0807792237152272
57,2.524,0.0712869584521372
58,2.532,0.0950199379264223
59,2.539,0.0876169902004985
60,2.547,0.0749004122858172
61,2.554,0.0812888133584385
62,2.562,0.0892523096918947
63,2.570,0.0900722857541528
64,2.577,0.103608839731092
65,2.585,0.081673321907407
66,2.592,0.0851802251793246
67,2.600,0.0730195632390555
68,2.607,0.0794913517078387
69,2.615,0.0739831509280369
70,2.622,0.08677848360576
71,2.630,0.0794728211753583
72,2.637,0.0929862119866973
73,2.645,0.0683961953851933
74,2.652,0.0654266775552075
75,2.660,0.0626239345175455
76,2.667,0.0773927689044323
77,2.675,0.0634300126804434
78,2.683,0.0830028876128764
79,2.690,0.102566497279069
80,2.698,0.084564084974351
81,2.705,0.0737561519051518
82,2.713,0.092610968703969
83,2.720,0.153117789885628
84,2.728,0.129051260826695
85,2.735,0.107944984331508
86,2.743,0.0795886370033609
87,2.750,0.0859816707091023
88,2.758,0.0645835383273489
89,2.765,0.0858658548810998
90,2.773,0.105475790878494
91,2.780,0.0833040087656831
92,2.788,0.0756508988512738
93,2.796,0.0838969858050562
94,2.803,0.0990040024097105
95,2.811,0.107291783061574
96,2.818,0.0848559408609174
97,2.826,0.206068786448399
98,2.833,0.268776108362107
99,2.841,0.0924951528759664
