#"+EI TIC Scan TCM-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.108633962370062
1,2.102,0.120209563460597
2,2.110,0.113505603532536
3,2.117,0.106877990219708
4,2.125,0.10551102225173
5,2.132,0.101181078502098
6,2.140,0.0991851598467265
7,2.148,0.0869842436219038
8,2.155,0.0877258964555938
9,2.163,0.085370058042696
10,2.170,0.0702425215672826
11,2.178,0.0785279470965946
12,2.185,0.0813673140726335
13,2.193,0.0781680273390685
14,2.200,0.0774590944833354
15,2.208,0.0728637553569421
16,2.215,0.0533371996228768
17,2.223,0.0646183209117996
18,2.230,0.0693118199720637
19,2.238,0.0621279670339678
20,2.245,0.063847583653259
21,2.253,0.05786346324025
22,2.261,0.0624878867914939
23,2.268,0.0544242300016676
24,2.276,0.0480002076627934
25,2.283,0.0477857100295203
26,2.291,0.0524064980276579
27,2.298,0.0479529454724112
28,2.306,0.0512685699053785
29,2.313,0.0515303297290339
30,2.321,0.0412053589070742
31,2.328,0.0529627376529255
32,2.336,0.123885107651091
33,2.343,0.132883101589242
34,2.351,0.0888020201750657
35,2.359,0.0655381158476996
36,2.366,0.0605465014327169
37,2.374,0.0429649666105349
38,2.381,0.0484619229072966
39,2.389,0.0495853088171506
40,2.396,0.110967987464322
41,2.404,0.344814034369283
42,2.411,0.186540229885475
43,2.419,0.0546205498694091
44,2.426,0.0518538939554967
45,2.434,0.0455898359533007
46,2.441,0.0380278854921472
47,2.449,0.0483928473982764
48,2.456,0.0398529331515217
49,2.464,0.0516939296188184
50,2.472,0.0336325017866017
51,2.479,0.0469568039212785
52,2.487,0.0344904923196941
53,2.494,0.0377843034340235
54,2.502,0.0358901802656288
55,2.509,0.0426886645744543
56,2.517,0.0422196782237386
57,2.524,0.043975650374093
58,2.532,0.0382460186785266
59,2.539,0.048690962752995
60,2.547,0.0380060721735092
61,2.554,0.0345668389349269
62,2.562,0.0482037986367476
63,2.570,0.0546823542722166
64,2.577,0.168304295504155
65,2.585,0.132046924374788
66,2.592,0.0446191432739123
67,2.600,0.0515012453041833
68,2.607,0.0482801452519804
69,2.615,0.0430849398630436
70,2.622,0.0433503352398053
71,2.630,0.0455425737629185
72,2.637,0.0434775795985266
73,2.645,0.0389113248969839
74,2.652,0.037969716642446
75,2.660,0.0422015004582069
76,2.667,0.0356647759730367
77,2.675,0.039496648947102
78,2.683,0.0384168896745238
79,2.690,0.0419688250594022
80,2.698,0.0398165776204585
81,2.705,0.043055855438193
82,2.713,0.0465496219733702
83,2.720,0.0331344310110353
84,2.728,0.0449536141596941
85,2.735,0.0592304312082277
86,2.743,0.0615535496431686
87,2.750,0.0427395623179429
88,2.758,0.0370317439410145
89,2.765,0.0515121519635022
90,2.773,0.0683956605892701
91,2.781,0.0517920895526892
92,2.788,0.0332943953477136
93,2.796,0.0580452408955662
94,2.803,0.0609209634026683
95,2.811,0.058088867532842
96,2.818,0.0494871488832799
97,2.826,0.0334070974940096
98,2.833,0.044986334137651
99,2.841,0.0403873594581513
100,2.848,0.0469604394743848
101,2.856,0.0387404539009867
102,2.863,0.0418888428910631
103,2.871,0.0403546394801944
104,2.878,0.0376752368408338
105,2.886,0.0582488318695203
106,2.894,0.0543406122802222
107,2.901,0.0482110697429602
108,2.909,0.0466223330354967
109,2.916,0.0488509270896732
110,2.924,0.0564455975287837
111,2.931,0.036969939538207
112,2.939,0.037340765955052
113,2.946,0.047513043546546
114,2.954,0.0818399359764556
115,2.961,1.80942932322979
116,2.969,19.868617654733
117,2.976,61.4118176053186
118,2.984,100
119,2.991,16.414896737022
120,2.999,0.177520422628686
121,3.007,0.0961458374498398
122,3.014,0.085762697778179
123,3.022,0.0680175630662124
124,3.029,0.046255142171758
125,3.037,0.0520465782701318
126,3.044,0.0869478880908405
127,3.052,0.0614481186030853
128,3.059,0.0448845386506739
129,3.067,0.050465112668881
130,3.074,0.0516030407911603
131,3.082,0.0245254412552605
132,3.089,0.0416089053018762
133,3.097,0.0373734859330089
134,3.105,0.0326072758106184
135,3.112,0.0267358575439054
136,3.120,0.0393766756945933
137,3.127,0.0513303743081861
138,3.135,0.064094801264489
139,3.142,0.0379515388769144
140,3.150,0.0227294780207365
141,3.157,0.0333852841753717
142,3.165,0.0482110697429602
143,3.172,0.0450263252218205
144,3.180,0.0363773443818762
145,3.187,0.0520974760136204
146,3.195,0.0247544811009589
147,3.202,0.0183486365276163
148,3.210,0.0235511130227657
149,3.218,0.0289608160449756
150,3.225,0.0179996234294092
151,3.233,0.0309676413596663
152,3.240,0.0292734736121194
153,3.248,0.0327054357444891
154,3.255,0.0251943830268241
155,3.263,0.0560820422181513
156,3.270,0.0255070405939679
157,3.278,0.0293534557804585
158,3.285,0.0184649742270187
159,3.293,0.0333561997505211
160,3.300,0.0231184822031132
161,3.308,0.0283900342072827
162,3.316,0.0399147375543292
163,3.323,0.0338251861012368
164,3.331,0.0191375515516886
165,3.338,0.0359119935842667
166,3.346,0.0209262436799999
167,3.353,0.0248017432913411
168,3.361,0.016963490794107
169,3.368,0.0179160057079638
170,3.376,0.0277538124136761
171,3.383,0.0234820375137456
172,3.391,0.0222604916700208
173,3.398,0.0249289876500625
174,3.406,0.0223659227101042
175,3.413,0.00996868661753992
176,3.421,0.0220314518243224
177,3.429,0.0260560091130228
178,3.436,0.017199801746018
179,3.444,0.0206790260687699
180,3.451,0.0224604470908686
181,3.459,0.0215042966239054
182,3.466,0.0260741868785545
183,3.474,0.0196574356458929
184,3.481,0.0305313749869075
185,3.489,0.0724456667497148
186,3.496,0.0835668237019594
187,3.504,0.0347268032716052
188,3.511,0.013640595254927
189,3.519,0.0141168527118554
190,3.527,0.0202463952491174
191,3.534,0.00729655508439191
192,3.542,0.00592595156330783
193,3.549,0.0103649619061292
194,3.557,0.0183631787400416
195,3.564,0.0139350750565392
196,3.572,0.0242636814316052
197,3.579,0.0191048315737317
198,3.587,0.0141750215615566
199,3.594,0.0121536540344405
200,3.602,0.0169671263472133
201,3.609,0.0205954083473245
202,3.617,0.0192938803352605
203,3.624,0.00511522322059762
204,3.632,0.00908888276580956
205,3.640,0.0102922508440027
206,3.647,0.0218751230407504
207,3.655,0.019624715667936
208,3.662,0.0178687435175816
209,3.670,0.0144985857880194
210,3.677,0.00969602013456564
211,3.685,0.0121972806717164
212,3.692,0.0204499862230715
213,3.700,0.0227440202331618
214,3.707,0.0190648404895621
215,3.715,0.0133424799002084
216,3.722,0.0150148343291174
217,3.730,0.179294572544572
218,3.737,1.01185804721137
219,3.745,1.51586568100036
220,3.753,0.399801775102431
221,3.760,0.235100312726643
222,3.768,0.188910610510798
223,3.775,0.164014342838693
224,3.783,0.136609543523224
225,3.790,0.122783535059874
226,3.798,0.114250891919332
227,3.805,0.0965202994197912
228,3.813,0.107539660885059
229,3.820,0.086762474882418
230,3.828,0.0756849445674493
231,3.835,0.0858608577120497
232,3.843,0.0726674354892006
233,3.851,0.0734999771505487
234,3.858,0.0588923247693396
235,3.866,0.0535771461278942
236,3.873,0.0539988702882277
237,3.881,0.0786697336677412
238,3.888,0.0716676583849615
239,3.896,0.0351921540692146
240,3.903,0.0466332396948157
241,3.911,0.0511340544404446
242,3.918,0.042448718069437
243,3.926,0.051588498578735
244,3.933,0.0553113049596106
245,3.941,0.0517121073843501
246,3.948,0.0575180856951492
247,3.956,0.0433503352398053
248,3.964,0.039754773217651
249,3.971,0.108615784604531
250,3.979,0.0994941818607641
251,3.986,0.0624915223446002
252,3.994,0.0418306740413619
253,4.001,0.0431431087127448
254,4.009,0.0507704991298122
255,4.016,0.0477457189453508
256,4.024,0.0373662148267963
257,4.031,0.0346795410812229
258,4.039,0.0448772675444613
259,4.046,0.0392457957827657
260,4.054,0.0407400081094648
261,4.062,0.0358538247345655
262,4.069,0.0248817254596802
263,4.077,0.0435284773420151
264,4.084,0.0398202131735648
265,4.092,0.066374293062154
266,4.099,0.0666615017575536
267,4.107,0.0379878944079776
268,4.114,0.0301060152734676
269,4.122,0.0359628913277553
270,4.129,0.0362900911073244
271,4.137,0.0390967381054064
272,4.144,0.0379188188989575
273,4.152,0.0339269815882139
274,4.159,0.0339306171413202
275,4.167,0.0412780699692007
276,4.175,0.0388895115783459
277,4.182,0.0333198442194578
278,4.190,0.028662700690257
279,4.197,0.0264704621671438
280,4.205,0.0264668266140374
281,4.212,0.0267685775218623
282,4.220,0.0278519723475468
283,4.227,0.0194574802250451
284,4.235,0.0189375961308408
285,4.242,0.0148694122048644
286,4.250,0.0207735504495343
287,4.257,0.0192502536979846
288,4.265,0.0272957327222793
289,4.273,0.0276701946922306
290,4.280,0.0324545825801528
291,4.288,0.0187340051568867
292,4.295,0.0222823049886587
293,4.303,0.0156401494634051
294,4.310,0.0179378190266017
295,4.318,0.0228894423574148
296,4.325,0.0168217042229603
297,4.333,0.0164726911247532
298,4.340,0.0216388120888394
299,4.348,0.0145131280004447
300,4.355,0.0194756579905767
301,4.363,0.0231548377341764
302,4.370,0.0201082442310771
303,4.378,0.0139641594813898
304,4.386,0.0211734612912299
305,4.393,0.021017132507658
306,4.401,0.0204936128603474
307,4.408,0.0312912055861291
308,4.416,0.0773682056556773
309,4.423,0.152707772678026
310,4.431,0.0910415208885612
311,4.438,0.0240891748825016
312,4.446,0.0242200547943293
313,4.453,0.0282082565519665
314,4.461,0.0116374054933426
315,4.468,0.0157419449503822
316,4.476,0.0181995788502571
317,4.484,0.0246744989326198
318,4.491,0.0215551943673939
319,4.499,0.00783098139102151
320,4.506,0.00866352305236967
321,4.514,0.0150911809443502
322,4.521,0.0155892517199166
323,4.529,0.0170216596438081
324,4.536,0.0264595555078248
325,4.544,0
326,4.551,0.02240954934738
327,4.559,0.0224895315157192
328,4.566,0.0217987764255176
329,4.574,0.0248962676721055
330,4.581,0.0192720670166226
331,4.589,0.0210462169325086
332,4.597,0.03669000194902
333,4.604,0.0265977065258651
334,4.612,0.03336710640984
335,4.619,0.0256742760368588
336,4.627,0.0293534557804585
337,4.634,0.0367445352456149
338,4.642,0.0294770645860736
339,4.649,0.0261650757062126
340,4.657,0.0336179595741764
341,4.664,0.022565878130952
342,4.672,0.0154511007018762
343,4.679,0.0223332027321472
344,4.687,0.0191993559544961
345,4.694,0.0171270906838915
346,4.702,0.0286408873716191
347,4.710,0.0158691893091035
348,4.717,0.0194065824815566
349,4.725,0.027012159579986
350,4.732,0.0191157382330507
351,4.740,0.0348104209930506
352,4.747,0.0197955866639332
353,4.755,0.0126335470444753
354,4.762,0.0249980631590826
355,4.770,0.0324618536863654
356,4.777,0.0299096954057261
357,4.785,0.029571588966838
358,4.792,0.029291651377651
359,4.800,0.0241873348163724
360,4.808,0.0221405184175121
361,4.815,0.0335779684900068
362,4.823,0.0276956435639749
363,4.830,0.0436266372758859
