#"+EI TIC Scan TCM-PEEK-2Hour.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.118233222527849
1,2.102,0.11257878526124
2,2.110,0.102603966273607
3,2.117,0.105443423948614
4,2.125,0.106504140896174
5,2.132,0.0828868700906909
6,2.140,0.0835600173843348
7,2.147,0.0953421348633876
8,2.155,0.0817404798512124
9,2.163,0.0821810853525066
10,2.170,0.133107737877097
11,2.178,0.144082078603777
12,2.185,0.0952523818909018
13,2.193,0.0770080503928671
14,2.200,0.115691581534272
15,2.208,0.124809667602722
16,2.215,0.0844901845537337
17,2.223,0.0953706926273604
18,2.230,0.118649349945738
19,2.238,0.0801004482630617
20,2.245,0.0654299169421913
21,2.253,0.108490945332566
22,2.260,0.117649828206691
23,2.268,0.0733118597986767
24,2.276,0.0663233669864823
25,2.283,0.0688568486189241
26,2.291,0.0568666674309268
27,2.298,0.0566218865968745
28,2.306,0.0756291183610389
29,2.313,0.126841348525357
30,2.321,0.0969454493264305
31,2.328,0.0688854063828969
32,2.336,0.0652300125943819
33,2.343,0.0594899020358544
34,2.351,0.0470876731105357
35,2.358,0.0466021911229986
36,2.366,0.0530480864197103
37,2.374,0.0542352734648641
38,2.381,0.0585434161441854
39,2.389,0.0843147582893295
40,2.396,0.316411865457194
41,2.404,0.329593313370912
42,2.411,0.0850613398331892
43,2.419,0.0765062496830598
44,2.426,0.0776934367282137
45,2.434,0.0440034346014762
46,2.441,0.0518119432077459
47,2.449,0.0353259540343206
48,2.456,0.0516487559850444
49,2.464,0.167095556685264
50,2.471,0.367456828718242
51,2.479,0.168535683925606
52,2.487,0.139745378160483
53,2.494,0.0789010221762052
54,2.502,0.0623823955582396
55,2.509,0.0555489306076117
56,2.517,0.0463614899695138
57,2.524,0.033384026084172
58,2.532,0.0500576805637042
59,2.539,0.0505880390374842
60,2.547,0.0437545740868563
61,2.554,0.0369659856224713
62,2.562,0.0483809318504456
63,2.569,0.0392954832265361
64,2.577,0.0561241655676347
65,2.585,0.0477975375292875
66,2.592,0.0369211091362284
67,2.600,0.0539292974222987
68,2.607,0.0424735543886491
69,2.615,0.059449105230179
70,2.622,0.0471815057635891
71,2.630,0.0387977621972964
72,2.637,0.0465165178310803
73,2.645,0.0430039128624291
74,2.652,0.0365988143713928
75,2.660,0.0372882803873069
76,2.667,0.0461534262605693
77,2.675,0.0373780333597928
78,2.682,0.0400420647703958
79,2.690,0.0509878477331031
80,2.698,0.0468306532347808
81,2.705,0.0499108120632727
82,2.713,0.0579477827813247
83,2.720,0.114716537878631
84,2.728,0.0958480152537625
85,2.735,0.071353613126258
86,2.743,0.0551164844674526
87,2.750,0.058661726880644
88,2.758,0.0526890745297668
89,2.765,0.0555489306076117
90,2.773,0.0860731006139389
91,2.780,0.0431344626405904
92,2.788,0.0441788608658804
93,2.796,0.0515997998182339
94,2.803,0.0597795593561497
95,2.811,0.0651076221773557
96,2.818,0.0604608660109287
97,2.826,0.180587060322116
98,2.833,0.171485292975936
99,2.841,0.0684121634370623
100,2.848,0.0564342212907677
101,2.856,0.0487685015043618
102,2.863,0.0567728347778734
103,2.871,0.0489153700047932
104,2.878,0.0548961817168055
105,2.886,0.071671828210526
106,2.893,0.0575561334468409
107,2.901,0.0655971838454604
108,2.909,0.0597183641476366
109,2.916,0.0576907629055697
110,2.924,0.0677594145462561
111,2.931,0.0552837513707217
112,2.939,0.0572868745293833
113,2.946,0.0451743029243599
114,2.954,0.429190555066243
115,2.961,8.66230415544432
116,2.969,40.1432694062347
117,2.976,84.8617006646167
118,2.984,100
119,2.991,2.19473759555785
120,2.999,0.136644820929153
121,3.006,0.0884433950236791
122,3.014,0.0808796672514617
123,3.022,0.0764124170300064
124,3.029,0.071981883933659
125,3.037,0.0851388537639724
126,3.044,0.0891818172064036
127,3.052,0.0630922599769914
128,3.059,0.0667966099323169
129,3.067,0.063936753854472
130,3.074,0.0620478617517014
131,3.082,0.0483482944059053
132,3.089,0.0613991925414627
133,3.097,0.0584332647688618
134,3.104,0.0587270017697246
135,3.112,0.0510000867748057
136,3.120,0.0561160062064996
137,3.127,0.0941182306931259
138,3.135,0.0618846745289999
139,3.142,0.0449662392154154
140,3.150,0.0538803412554882
141,3.157,0.0674983149899336
142,3.165,0.0716473501271208
143,3.172,0.0467531393039975
144,3.180,0.0666782991958582
145,3.187,0.054537169826862
146,3.195,0.0389201526143225
147,3.202,0.0404051563409068
148,3.210,0.0556590819829353
149,3.217,0.0417759290115999
150,3.225,0.0474099678753713
151,3.233,0.0334452212926851
152,3.240,0.0427264945838365
153,3.248,0.0478097765709901
154,3.255,0.0853102003478091
155,3.263,0.144155512853992
156,3.270,0.0854489094871054
157,3.278,0.0401766942291246
158,3.285,0.0432160562519412
159,3.293,0.0507553059407533
160,3.300,0.0458270518151662
161,3.308,0.0578335517254336
162,3.315,0.062158013127025
163,3.323,0.0435179526139391
164,3.331,0.0275052063863483
165,3.338,0.0316134447178601
166,3.346,0.0262813022160866
167,3.353,0.0308505444517303
168,3.361,0.0336859224461699
169,3.368,0.0401277380623141
170,3.376,0.0411272598013612
171,3.383,0.0297327119762246
172,3.391,0.0289167758627168
173,3.398,0.0364274677875562
174,3.406,0.0263017006189243
175,3.413,0.0364233881069886
176,3.421,0.0292717080720927
177,3.428,0.0292064331830121
178,3.436,0.0374841050545488
179,3.444,0.0516813934295847
180,3.451,0.270817355434377
181,3.459,0.557304763928672
182,3.466,0.24292865907468
183,3.474,0.0656828571373787
184,3.481,0.067645183490365
185,3.489,0.106699965563416
186,3.496,0.0607097265255486
187,3.504,0.0333105918339563
188,3.511,0.0362357228008818
189,3.519,0.029357381364011
190,3.526,0.0162248896171028
191,3.534,0.032278432650369
192,3.542,0.0265668798558143
193,3.549,0.0703663304289135
194,3.557,0.133107737877097
195,3.564,0.0636838136592846
196,3.572,0.0406336184526889
197,3.579,0.0247147048781516
198,3.587,0.024657589350206
199,3.594,0.0220588328286836
200,3.602,0.0338858267939794
201,3.609,0.0208675661029622
202,3.617,0.0204963151713162
203,3.624,0.0314869746202664
204,3.632,0.0303405843807879
205,3.639,0.022878848622759
206,3.647,0.027888696359697
207,3.655,0.0239191671674815
208,3.662,0.0220057969813056
209,3.670,0.0263017006189243
210,3.677,0.0322743529698014
211,3.685,0.0284068157917744
212,3.692,0.0158536386854568
213,3.700,0.027321620760809
214,3.707,0.0341999621976799
215,3.715,0.0400869412566387
216,3.722,0.0271421148158373
217,3.730,0.0229971593592176
218,3.737,0.0207247772830984
219,3.745,0.019904761489023
220,3.753,0.023348011888026
221,3.760,0.0295776841146581
222,3.768,0.0156863717821876
223,3.775,0.0273420191636467
224,3.783,0.0120350576742402
225,3.790,0.0245066411692071
226,3.798,0.0214346417018502
227,3.805,0.0124634241338318
228,3.813,0.0286271185424215
229,3.820,0.0264159316748154
230,3.828,0.0229726812758124
231,3.835,0.0179261164137666
232,3.843,0.021002195561691
233,3.850,0.0317725522599941
234,3.858,0.0228094940531108
235,3.866,0.0169306743552871
236,3.873,0.0123777508419135
237,3.881,0.0190357895281372
238,3.888,0.0137199657486338
239,3.896,0.0184768732903844
240,3.903,0.0179342757749017
241,3.911,0.0159107542134023
242,3.918,0.00871011801169587
243,3.926,0.0195457495990796
244,3.933,0.0223199323850061
245,3.941,0.0124022289253187
246,3.948,0.0182606502203048
247,3.956,0.0168450010633687
248,3.963,0.0464594023031347
249,3.971,0.0784236995498032
250,3.979,0.0380103838477613
251,3.986,0.0281905927216948
252,3.994,0.019480474709999
253,4.001,0.0323192294560444
254,4.009,0.0292880267943628
255,4.016,0.0303528234224905
256,4.024,0.0320010143717763
257,4.031,0.025852935756495
258,4.039,0.0253552147272552
259,4.046,0.0285618436533409
260,4.054,0.014046340194037
261,4.061,0.0190561879309749
262,4.069,0.00855509015012939
263,4.077,0.0175140686764451
264,4.084,0.0253633740883903
265,4.092,0.0323273888171794
266,4.099,0.0585638145470231
267,4.107,0.0257305453394688
268,4.114,0.0188154867774901
269,4.122,0.0238416532366982
270,4.129,0.0216019086051193
271,4.137,0.0130223403715846
272,4.144,0.0284761703614226
273,4.152,0.0165716624653436
274,4.159,0.0200149128643466
275,4.167,0.0266362344254625
276,4.174,0.0168572401050714
277,4.182,0.0232052230681621
278,4.190,0.0164655907705876
279,4.197,0.027268584913431
280,4.205,0.0214509604241203
281,4.212,0.00760452457789279
282,4.220,0.016302403547886
283,4.227,0.0200067535032115
284,4.235,0.02428633841856
285,4.242,0.0392750848236984
286,4.250,0.357877738745661
287,4.257,1.09165724498437
288,4.265,0.620250155405232
289,4.272,0.0942447007907196
290,4.280,0.0386223359328922
291,4.288,0.0149520292800306
292,4.295,0.0224219243991946
293,4.303,0.0259508480901159
294,4.310,0.0283456205832613
295,4.318,0.0252369039907966
296,4.325,0.0274848079835106
297,4.333,0.0179465148166043
298,4.340,0.0284516922780173
299,4.348,0.0159719494219154
300,4.355,0.0197415742663215
301,4.363,0.0272441068300258
302,4.370,0.0199251598918607
303,4.378,0.0220098766618732
304,4.385,0.0102522372662256
