#"+EI TIC Scan TCM-PEEK-2Hour.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.101064669718995
1,2.102,0.103002806830566
2,2.110,0.0889421321221948
3,2.117,0.0951768131884722
4,2.125,0.0904151163269894
5,2.133,0.0798594095740709
6,2.140,0.101974574089269
7,2.148,0.0774561195557218
8,2.155,0.071804919767244
9,2.163,0.0810386129956378
10,2.170,0.123367527512366
11,2.178,0.12038891679353
12,2.185,0.0868367031757295
13,2.193,0.0762973175774347
14,2.200,0.117149167600713
15,2.208,0.127990494559547
16,2.215,0.0789454249151402
17,2.223,0.0869305498148161
18,2.230,0.107152460393658
19,2.238,0.0840580266010339
20,2.246,0.071666189952942
21,2.253,0.113937980428487
22,2.261,0.110339165833948
23,2.268,0.0681000176676499
24,2.276,0.0626936351985285
25,2.283,0.0549900502161125
26,2.291,0.0673818868642043
27,2.298,0.0526561251049144
28,2.306,0.0655090343711276
29,2.313,0.115064140097527
30,2.321,0.0872447320413235
31,2.328,0.0693893888829271
32,2.336,0.0594865283149591
33,2.343,0.0540515838252461
34,2.351,0.0526683659708822
35,2.359,0.0487186465519317
36,2.366,0.0509464841580753
37,2.374,0.0568996253070927
38,2.381,0.0541372698870209
39,2.389,0.0639340429499344
40,2.396,0.26849931471552
41,2.404,0.315549123207172
42,2.411,0.0856574997541626
43,2.419,0.0663291723909716
44,2.426,0.08666533105218
45,2.434,0.0617347673643824
46,2.441,0.0538965328563204
47,2.449,0.0548472401131546
48,2.457,0.0497958427571
49,2.464,0.150170943693241
50,2.472,0.318221712276813
51,2.479,0.15969025712755
52,2.487,0.136644786798797
53,2.494,0.079027030688259
54,2.502,0.078545556626858
55,2.509,0.0557245021741818
56,2.517,0.0505058129832337
57,2.524,0.0532436866713699
58,2.532,0.0535456280319095
59,2.539,0.051583009188402
60,2.547,0.0606330894272784
61,2.554,0.0467478671311123
62,2.562,0.0634321674452537
63,2.570,0.0442303290303969
64,2.577,0.0612084101277661
65,2.585,0.0561529324830556
66,2.592,0.0603066663348032
67,2.600,0.0481963696039713
68,2.607,0.0533824164856719
69,2.615,0.0623223289308379
70,2.622,0.0542351968147635
71,2.630,0.05255003759986
72,2.637,0.0483922234594564
73,2.645,0.0471191733988029
74,2.652,0.0546595468349813
75,2.660,0.0489553032939762
76,2.668,0.0393462235092359
77,2.675,0.049036909067095
78,2.683,0.0484126249027361
79,2.690,0.052064483249803
80,2.698,0.0519543154560926
81,2.705,0.0513341115803896
82,2.713,0.0547166708761645
83,2.720,0.0973312055988089
84,2.728,0.103235383283955
85,2.735,0.0804959346043976
86,2.743,0.0671697118540954
87,2.750,0.0546513862576694
88,2.758,0.0551736632056298
89,2.765,0.0716947519735336
90,2.773,0.0829073852000586
91,2.781,0.0593886013872165
92,2.788,0.0512973889824862
93,2.796,0.0532640881146496
94,2.803,0.0606126879839987
95,2.811,0.0555816920712239
96,2.818,0.0635015323524047
97,2.826,0.193442404889491
98,2.833,0.195335658825848
99,2.841,0.0769134411644817
100,2.848,0.0505792581790406
101,2.856,0.0576707998630655
102,2.863,0.0564752752868749
103,2.871,0.0573076541726868
104,2.879,0.0515993303430258
105,2.886,0.0484371066346718
106,2.894,0.0619265409312116
107,2.901,0.0566629685650482
108,2.909,0.0582787628728007
109,2.916,0.0691119292543232
