#"+EI TIC Scan TCM-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.202655000888624
1,2.102,0.197912304560624
2,2.110,0.201644939715188
3,2.117,0.169630591704395
4,2.125,0.18927628152774
5,2.133,0.199170289840268
6,2.140,0.164915442499306
7,2.148,0.174648759261515
8,2.155,0.159181049746477
9,2.163,0.152262130708435
10,2.170,0.2260746465509
11,2.178,0.190970429586822
12,2.185,0.162013812219252
13,2.193,0.132933232798578
14,2.200,0.183128681931231
15,2.208,0.210437063111239
16,2.215,0.142478310887555
17,2.223,0.144117364700814
18,2.230,0.166251477960534
19,2.238,0.159461112162748
20,2.246,0.121863880575142
21,2.253,0.176136303898758
22,2.261,0.177775357712017
23,2.268,0.118948476733631
24,2.276,0.124421171818797
25,2.283,0.106437491744472
26,2.291,0.114054271229615
27,2.298,0.120422247809418
28,2.306,0.109922202792828
29,2.313,0.180594346623336
30,2.321,0.141417746655446
31,2.328,0.121868471762294
32,2.336,0.107773527205699
33,2.344,0.0984258701642575
34,2.351,0.0762779833430812
35,2.359,0.10816836930077
36,2.366,0.107273087806133
37,2.374,0.0919063844084386
38,2.381,0.100707690178794
39,2.389,0.113338046033905
40,2.396,0.315662481447587
41,2.404,0.417233314810954
42,2.411,0.147886729352593
43,2.419,0.112084651941413
44,2.426,0.140320452926122
45,2.434,0.104339319216014
46,2.441,0.0906300343801867
47,2.449,0.0896061996452941
48,2.457,0.0912085239613369
49,2.464,0.230450047906742
50,2.472,0.405668114375103
51,2.479,0.214982338391704
52,2.487,0.203261037592686
53,2.494,0.149736977774843
54,2.502,0.115872381341801
55,2.509,0.104766299621149
56,2.517,0.121542497474503
57,2.524,0.1125162235337
58,2.532,0.110496101186826
59,2.539,0.120913504834681
60,2.547,0.100758193237466
61,2.555,0.113062574804786
62,2.562,0.105780951981738
63,2.570,0.100395489452459
64,2.577,0.130835060270121
65,2.585,0.100289892147963
66,2.592,0.105353971576603
67,2.600,0.0990594539912315
68,2.607,0.104325545654558
69,2.615,0.119958537907068
70,2.622,0.110702704608666
71,2.630,0.108393337471217
72,2.637,0.112075469567109
73,2.645,0.112511632346548
74,2.652,0.111749495279318
75,2.660,0.105234600710651
76,2.668,0.106786421968022
77,2.675,0.100634231184362
78,2.683,0.102222781938949
79,2.690,0.109738555306749
80,2.698,0.098288134549698
81,2.705,0.0906851286260106
82,2.713,0.109187612848511
83,2.720,0.163331482931871
84,2.728,0.156352878460854
85,2.735,0.119999858591436
86,2.743,0.112681506271171
87,2.750,0.113200310419346
88,2.758,0.0867780283596712
89,2.765,0.107511829538036
90,2.773,0.121326711678359
