#"+EI TIC Scan TCM-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.116349700932856
1,2.102,0.0995587747280969
2,2.110,0.106139279075465
3,2.117,0.10857013702468
4,2.125,0.102812195720732
5,2.132,0.102865396315581
6,2.140,0.0844743599119276
7,2.147,0.0867578931369473
8,2.155,0.0739160880112992
9,2.162,0.0955564530541377
10,2.170,0.0825673232042947
11,2.178,0.0874535932234228
12,2.185,0.0653712540079998
13,2.193,0.0702861705012769
14,2.200,0.0562330287544714
15,2.208,0.071988589536417
16,2.215,0.0654080851890485
17,2.223,0.0656863652236387
18,2.230,0.0469311093629487
19,2.238,0.0566013405649584
20,2.245,0.0596951597730495
21,2.253,0.063517417895215
22,2.260,0.0612216076098458
23,2.268,0.0518542105631254
24,2.275,0.0455724480175965
25,2.283,0.060280366316379
26,2.291,0.0404529138518266
27,2.298,0.0458016198107884
28,2.306,0.0467755999318541
29,2.313,0.0403014967741819
30,2.321,0.0457975274573385
31,2.328,0.0434853477581699
32,2.336,0.104526891816222
33,2.343,0.107469293946669
34,2.351,0.079264793970261
35,2.358,0.0681172231728532
36,2.366,0.0469924946646965
37,2.373,0.0532947189774748
38,2.381,0.0485107577945931
39,2.389,0.0559342869526319
40,2.396,0.0977704162705098
41,2.404,0.320263488632281
42,2.411,0.182036066156495
43,2.419,0.0560243187285287
44,2.426,0.0434035006891728
45,2.434,0.0539494955294517
46,2.441,0.036831181048704
47,2.449,0.033025292340338
48,2.456,0.0558401628232852
49,2.464,0.0604072292733245
50,2.471,0.0451059197243129
51,2.479,0.0458466356987368
52,2.486,0.0494192602604611
53,2.494,0.0433339306805252
54,2.502,0.0341343201252489
55,2.509,0.0339706259872547
56,2.517,0.0478068730012178
57,2.524,0.0543014379261393
58,2.532,0.0530409930635837
59,2.539,0.0376619287990248
60,2.547,0.0306108038049229
61,2.554,0.0248528625009755
62,2.562,0.0252866519666603
63,2.569,0.0540354349518987
64,2.577,0.175488300636725
65,2.584,0.128757716592819
66,2.592,0.0546615650297267
67,2.600,0.0358408315138389
68,2.607,0.0397653984722508
69,2.615,0.0426382305940497
70,2.622,0.0374245722989332
71,2.630,0.0379033776525663
72,2.637,0.0358981244621369
73,2.645,0.0338928712717074
74,2.652,0.0466978452163069
75,2.660,0.0402523885327837
76,2.667,0.029927380778797
77,2.675,0.0317648474777823
78,2.682,0.0315233986242408
79,2.690,0.0451550279657112
80,2.697,0.0424909058698549
81,2.705,0.0366838563245092
82,2.713,0.0310773320982065
83,2.720,0.0324441781504584
84,2.728,0.0490795949241231
85,2.735,0.0649742957233638
86,2.743,0.0604972610492213
87,2.750,0.0417583746023307
88,2.758,0.0449626873535679
89,2.765,0.0455765403710463
90,2.773,0.0777792696679632
91,2.780,0.06025171984223
92,2.788,0.0461658392678256
93,2.795,0.0494438143811603
94,2.803,0.0492310120017677
95,2.811,0.0569860217892449
96,2.818,0.0392825007651678
97,2.826,0.0469392940698484
98,2.833,0.0414555404470413
99,2.841,0.0436613189565137
100,2.848,0.0540968202536465
101,2.856,0.0523125541495093
102,2.863,0.0631450137312781
103,2.871,0.0472707746992867
104,2.878,0.0428960488613906
105,2.886,0.0630140584208828
106,2.893,0.068890677974876
107,2.901,0.0483225095358997
108,2.908,0.0345762942978334
109,2.916,0.0395485037394084
110,2.924,0.0593923256177602
111,2.931,0.0437799972065595
112,2.939,0.0323009457797134
113,2.946,0.0369580440056496
114,2.954,0.0714115676999873
115,2.961,1.83973386279657
116,2.969,20.3836032983878
117,2.976,63.983831602602
118,2.984,100
119,2.991,13.1025453333523
120,2.999,0.164430761615214
121,3.006,0.0948321064935132
122,3.014,0.0738587950630012
123,3.022,0.0843720510756812
124,3.029,0.055447296892099
