#"+EI TIC Scan TCM-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.135997734013956
1,2.102,0.117529578815378
2,2.110,0.104448842329666
3,2.117,0.105304121253732
4,2.125,0.108146665913127
5,2.132,0.112121197383786
6,2.140,0.0880769590037979
7,2.148,0.0832597262403096
8,2.155,0.0853056875880749
9,2.163,0.110804738647724
10,2.170,0.264578858142264
11,2.178,0.215907617801675
12,2.185,0.12491684089481
13,2.193,0.102017166957322
14,2.200,0.0836035148274341
15,2.208,0.0788785180263449
16,2.215,0.0899971440392006
17,2.223,0.0700280581797618
18,2.230,0.07937743073205
19,2.238,0.0566035331069248
20,2.246,0.0589639352355966
21,2.253,0.0739355089504939
22,2.261,0.0714828708594228
23,2.268,0.0537190630100754
24,2.276,0.0622341193570248
25,2.283,0.0682126867379947
26,2.291,0.0634541495869422
27,2.298,0.0545282239529415
28,2.306,0.0628126903938928
29,2.313,0.0564022910071446
30,2.321,0.0430280764592526
31,2.328,0.0475350609855798
32,2.336,0.125378020706806
33,2.343,0.119667776125543
34,2.351,0.0874354998107486
35,2.359,0.066003216184158
36,2.366,0.061559119814012
37,2.374,0.0587626931358164
38,2.381,0.0562848997822728
39,2.389,0.0617268215638289
40,2.396,0.107773529519784
41,2.404,0.31740910187831
42,2.411,0.186593351933693
43,2.419,0.0601210773093327
44,2.426,0.0493043144461474
45,2.434,0.0490737245401492
46,2.441,0.040650904155599
47,2.449,0.037192055565627
48,2.457,0.0537274480975662
49,2.464,0.0379550985272935
50,2.472,0.0557314840078773
51,2.479,0.049799034608107
52,2.487,0.0550732546398462
53,2.494,0.298840325629842
54,2.502,0.416885587325907
55,2.509,0.345960324784625
56,2.517,0.264847180941971
57,2.524,0.224443636867351
58,2.532,0.193892570594471
59,2.539,0.169244605915143
60,2.547,0.134966368252583
61,2.554,0.112796196926798
62,2.562,0.118980198951294
63,2.570,0.131172116162977
64,2.577,0.230355123548395
65,2.585,0.175927520645343
66,2.592,0.0976569214620842
67,2.600,0.0845174893639358
68,2.607,0.0984241569674962
69,2.615,0.0918586334621674
70,2.622,0.0816959074232676
71,2.630,0.0606786856274737
72,2.637,0.0620580325197171
73,2.645,0.0813437337486523
74,2.652,0.186400494921404
75,2.660,0.210616627594954
76,2.667,0.0925462106364164
77,2.675,0.0721536778586901
78,2.683,0.129239353496338
79,2.690,0.130178483295313
80,2.698,0.0780777421709696
81,2.705,0.0733862857198438
82,2.713,0.0732563168637358
83,2.720,0.0648125337604585
84,2.728,0.0682378420004672
85,2.735,0.0855195073190913
86,2.743,0.0827272731846411
87,2.750,0.0547001182465038
88,2.758,0.0588465440107249
89,2.765,0.0547126958777401
90,2.773,0.0673238674639655
91,2.781,0.0561004278574743
92,2.788,0.0490108363839679
93,2.796,0.0693572511804945
94,2.803,0.0638859815927205
95,2.811,0.0709923432412086
96,2.818,0.0709588028912452
97,2.826,0.0479040048351769
98,2.833,0.0471703096797282
99,2.841,0.0423782321787124
100,2.848,0.0441139452893165
101,2.856,0.0510106797505336
102,2.863,0.0773775873654843
103,2.871,0.0643345837734805
104,2.878,0.0376490428338778
105,2.886,0.0586830348046535
106,2.894,0.0623179702319332
107,2.901,0.0604648658964572
108,2.909,0.0540209261597456
109,2.916,0.0479375451851402
110,2.924,0.0508429780007168
111,2.931,0.0361774599792352
112,2.939,0.0412001273862492
113,2.946,0.0530566410982989
114,2.954,0.070866566928846
115,2.961,1.75232396892352
116,2.969,20.716603831616
117,2.976,64.7209686050585
118,2.984,100
119,2.992,9.58007565696741
120,2.999,0.143586238193168
121,3.007,0.0924959001114714
122,3.014,0.0928522663298321
123,3.022,0.0756670295173527
124,3.029,0.0649886205977662
125,3.037,0.0705395485167032
126,3.044,0.0771218421970137
127,3.052,0.0752226198803381
128,3.059,0.0498367675018158
129,3.067,0.0524780700614308
130,3.074,0.0575678181683716
131,3.082,0.0568425081004138
132,3.089,0.0401100660124398
133,3.097,0.0410450032676686
134,3.105,0.0282954777378443
135,3.112,0.0432586663652507
136,3.120,0.0432251260152874
137,3.127,0.0526373867237568
138,3.135,0.0671603582578941
139,3.142,0.040969537480251
140,3.150,0.0215790226576803
141,3.157,0.033754169694382
142,3.165,0.051912076655799
143,3.172,0.0510526051879878
144,3.180,0.0395105322568446
145,3.187,0.0410114629177052
146,3.195,0.0334523065447117
147,3.203,0.0305091408354264
148,3.210,0.0228493634125428
149,3.218,0.034731032387065
150,3.225,0.0275533974949048
151,3.233,0.0323915929771203
152,3.240,0.0388397252575773
153,3.248,0.0215203270452444
154,3.255,0.0296832097175785
155,3.263,0.0542724787844709
156,3.270,0.0269161308456009
157,3.278,0.0317291710653438
158,3.285,0.0266939260270936
159,3.293,0.0145774746028278
160,3.300,0.0326012201643913
161,3.308,0.0281655088817362
162,3.316,0.0418499716667894
163,3.323,0.0361439196292718
164,3.331,0.0257128707906651
165,3.338,0.0256709453532109
166,3.346,0.0266939260270936
167,3.353,0.0289956325433295
168,3.361,0.0189377200980653
169,3.368,0.0281445461630091
170,3.376,0.0344123990624131
171,3.383,0.018845484135666
172,3.391,0.0260482742902988
173,3.398,0.0180195530178181
174,3.406,0.0167366346317194
175,3.414,0.010732911988277
176,3.421,0.0220024695759678
177,3.429,0.0185897389671954
178,3.436,0.0233356984870116
179,3.444,0.0119906751119032
180,3.451,0.0154327535268936
181,3.459,0.017499677593386
182,3.466,0.0250211010726707
183,3.474,0.0191599249165726
184,3.481,0.0157513868515455
185,3.489,0.066581787221026
186,3.496,0.0827691986220953
187,3.504,0.0276540185447949
188,3.511,0.00885884493407393
189,3.519,0.0212184638955741
190,3.527,0.0202374086591457
