#"+EI TIC Scan TCM-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.258283780743718
1,2.102,0.278105703675159
2,2.110,0.239925548697794
3,2.117,0.259587796259906
4,2.125,0.258536600078489
5,2.132,0.233347810566819
6,2.140,0.221740298301977
7,2.147,0.222866896741132
8,2.155,0.208438452951475
9,2.162,0.197026099471368
10,2.170,0.263428875977657
11,2.178,0.236554624234179
12,2.185,0.178330774979083
13,2.193,0.173553820179986
14,2.200,0.213548064770007
15,2.208,0.223190682906716
16,2.215,0.158792719370893
17,2.223,0.161728971995779
18,2.230,0.193575337323089
19,2.238,0.16817364731898
20,2.245,0.142980422380384
21,2.253,0.181874681092804
22,2.260,0.176507814512575
23,2.268,0.150902094869879
24,2.276,0.10922238804805
25,2.283,0.133736992666997
26,2.291,0.134593030063679
27,2.298,0.238927577639487
28,2.306,0.212235178399968
29,2.313,0.24653433481725
30,2.321,0.181253721323191
31,2.328,0.136225267172376
32,2.336,0.133887797182475
33,2.343,0.116545277902561
34,2.351,0.115853351302135
35,2.358,0.114859815670754
36,2.366,0.113870715466298
37,2.373,0.0879722576464986
38,2.381,0.110215923679431
39,2.389,0.124542352649795
40,2.396,0.277027894932188
41,2.404,0.42375625306488
42,2.411,0.15115491420465
43,2.419,0.117946872811117
44,2.426,0.127802391440265
45,2.434,0.108370786078295
46,2.441,0.0985330091568502
47,2.449,0.0758502358582622
48,2.456,0.0894403839589414
49,2.464,0.204020767733369
50,2.471,0.419440582666068
51,2.479,0.215996420433054
52,2.487,0.187680654938688
53,2.494,0.135160764710182
54,2.502,0.100524515846538
55,2.509,0.105762755045919
56,2.517,0.0913032632677813
57,2.524,0.0888105533354765
58,2.532,0.095747561047442
59,2.539,0.0916492265679944
60,2.547,0.106388150242458
61,2.554,0.0665491455948404
62,2.562,0.0718273036365533
63,2.569,0.0994866259458991
64,2.577,0.0969939160135944
65,2.584,0.0855904333873391
66,2.592,0.101216442446965
67,2.600,0.0877016966040242
68,2.607,0.0838827940209026
69,2.615,0.091170200460007
70,2.622,0.0743022718611548
71,2.630,0.0925096993916014
72,2.637,0.0913697946716684
73,2.645,0.0876706486155436
74,2.652,0.0745329140612969
75,2.660,0.0758191878697815
76,2.667,0.0858033338797779
77,2.675,0.0816384679964431
78,2.682,0.0822150734967983
79,2.690,0.076018782081443
80,2.698,0.084290853298077
81,2.705,0.0701107934162652
82,2.713,0.102405136863082
83,2.720,0.156796777254279
84,2.728,0.119472659673595
85,2.735,0.0937250063692731
86,2.743,0.081944512454324
87,2.750,0.0790703558063997
88,2.758,0.0786312485407445
89,2.765,0.0891032915125799
90,2.773,0.104214791048812
91,2.780,0.0868279174996398
