#"+EI TIC Scan TOL-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0928354925412268
1,2.102,0.0762852673533659
2,2.110,0.0800856894335413
3,2.117,0.0830437703034386
4,2.125,0.0701753275886717
5,2.132,0.0625468008533351
6,2.140,0.0712074921702803
7,2.147,0.0690640699356756
8,2.155,0.0535776465579783
9,2.162,0.0586989229303271
10,2.170,0.0487055133605005
11,2.177,0.0513630405591247
12,2.185,0.0570458777383257
13,2.193,0.054736360053807
14,2.200,0.0643026670381405
15,2.208,0.0617637794465976
16,2.215,0.0442802560163628
17,2.223,0.0563379947494064
18,2.230,0.0617479608323201
19,2.238,0.104798319588605
20,2.245,0.106336679827095
21,2.253,0.0691273443927857
22,2.260,0.0501489619133247
23,2.268,0.0765225465675288
24,2.275,0.0656393399445913
25,2.283,0.0657698435123809
26,2.291,0.0613762233967983
27,2.298,0.0665054090762859
28,2.306,0.0535301907151457
29,2.313,0.061467180428894
30,2.321,0.0444779886948318
31,2.328,0.0390284760762244
32,2.336,0.0434300054989458
33,2.343,0.0467360958829486
34,2.351,0.054601901832448
35,2.358,0.0716583226771897
36,2.366,0.0526245750477574
37,2.373,0.059984185340376
38,2.381,0.0528578996083509
39,2.388,0.0335750088040475
40,2.396,0.0376838938626347
41,2.404,0.0424650700280167
42,2.411,0.0511653078806557
43,2.419,0.059620357211993
44,2.426,0.0544911715325054
45,2.434,0.048804379699735
46,2.441,0.139437130202816
47,2.449,0.400527313506941
48,2.456,0.184433178515237
49,2.464,0.0517861884910485
50,2.471,0.0504653341988752
51,2.479,0.0202003704323998
52,2.486,0.0379369916910751
53,2.494,0.0432995019311562
54,2.502,0.0432362274740461
55,2.509,0.0551160067964676
56,2.517,0.0786343315735784
57,2.524,0.0734735086655358
58,2.532,0.0831386819891037
59,2.539,0.0617084142966263
60,2.547,0.045423150897914
61,2.554,0.0430424494491464
62,2.562,0.048503826028462
63,2.569,0.0432995019311562
64,2.577,0.047020830939944
65,2.584,0.0429594017241894
66,2.592,0.0502676015204061
67,2.599,0.0463999503295512
68,2.607,0.0365845001703467
69,2.615,0.0339111543574449
70,2.622,0.0382810465516113
71,2.630,0.0381544976373911
72,2.637,0.0484128689963663
73,2.645,0.0638953377204942
74,2.652,0.0603163762402041
75,2.660,0.0511692625342251
76,2.667,0.0413735856428675
77,2.675,0.0500026397312576
78,2.682,0.0404086501719384
79,2.690,0.0338281066324879
80,2.697,0.0399855022400146
81,2.705,0.0384510966550947
82,2.713,0.0318112333121034
83,2.720,0.0367031397774281
84,2.728,0.0454785160478853
85,2.735,0.0293000282955463
86,2.743,0.0432797286633093
87,2.750,0.0553058301677979
88,2.758,0.0719707403091709
89,2.765,0.0531544986260545
90,2.773,0.0540719782541509
91,2.780,0.056820462484871
92,2.788,0.0437384684773575
93,2.795,0.0705905662134568
94,2.803,0.100444246008716
95,2.810,0.0395148984652583
96,2.818,0.0478908547252079
97,2.826,0.0403967862112303
98,2.833,0.0572515197239335
99,2.841,0.0482625921607298
100,2.848,0.0348444525998189
101,2.856,0.0499433199277168
102,2.863,0.0360506219384802
103,2.871,0.0544160331146871
104,2.878,0.0542262097433568
105,2.886,0.0472581101541069
106,2.893,0.0494727161529605
107,2.901,0.0440667047236162
108,2.908,0.0634880084028479
109,2.916,0.0603203308937734
110,2.923,0.0606722950614484
111,2.931,0.0655365189517874
112,2.939,0.0632705024565319
113,2.946,0.0658054353945054
114,2.954,0.0581452714306137
115,2.961,0.0547956798573477
116,2.969,0.0628354905639
117,2.976,0.664464847381021
118,2.984,12.2674777397494
119,2.991,51.8663730468213
120,2.999,100
121,3.006,68.8129375700591
122,3.014,0.408424756684996
123,3.021,0.104715271863648
124,3.029,0.072532301116023
125,3.037,0.0839217033958412
126,3.044,0.0792117109947081
127,3.052,0.056686004263512
128,3.059,0.0887384714433477
129,3.067,0.0908107099137035
130,3.074,0.0608621184327787
131,3.082,0.0675257096971862
132,3.089,0.0681070437718853
133,3.097,0.0447469051375498
134,3.104,0.0315383622158161
135,3.112,0.0479383105680405
136,3.119,0.0381703162516686
137,3.127,0.044604537609052
138,3.134,0.0777998996704389
139,3.142,0.0770682887601034
140,3.150,0.0951450102257455
141,3.157,0.0518652815624362
142,3.165,0.0465779097401733
143,3.172,0.0523675225657476
144,3.180,0.0660466692622376
145,3.187,0.0379765382267689
146,3.195,0.0630569511637853
147,3.202,0.0606999776364341
148,3.210,0.0504851074667221
149,3.217,0.0407447957253359
150,3.225,0.0471434252005949
151,3.232,0.044956501776727
152,3.240,0.0278961262784159
153,3.248,0.041606910203461
154,3.255,0.0314988156801223
155,3.263,0.0357540229207766
156,3.270,0.0551397347178839
157,3.278,0.0600632784117637
158,3.285,0.0357026124243747
159,3.293,0.0424492514137392
160,3.300,0.0299169542523698
161,3.308,0.0488755634639839
162,3.315,0.0736435587690192
163,3.323,0.0517782791839098
164,3.330,0.0495834464529031
165,3.338,0.0341721614930241
166,3.345,0.0239849738982978
167,3.353,0.0360624858991884
168,3.361,0.0398629079793638
169,3.368,0.02652781614341
170,3.376,0.0347060397248906
171,3.383,0.040456106014771
172,3.391,0.0539889305291939
173,3.398,0.0302372811914897
174,3.406,0.0290508851206753
175,3.413,0.0351291876568144
176,3.421,0.036192989466978
177,3.428,0.0352992377602978
178,3.436,0.0265673626791038
179,3.443,0.022078830877856
180,3.451,0.0421368337817581
181,3.459,0.101606914158115
182,3.466,0.282801231400028
183,3.474,0.181364367345397
184,3.481,0.0681861368432729
185,3.489,0.0483219119642705
186,3.496,0.0987556089345906
187,3.504,0.0636699224670394
188,3.511,0.021560771260267
189,3.519,0.0248747709514086
190,3.526,0.0286554197637371
191,3.534,0.0191998430793464
192,3.541,0.0210427116426781
193,3.549,0.0226008451490143
194,3.556,0.0447469051375498
195,3.564,0.0416741393141405
196,3.572,0.0425758003279594
197,3.579,0.0111402591049472
198,3.587,0.0257724773116581
199,3.594,0.0174439768945411
200,3.602,0.0137740583821552
201,3.609,0.0183100460262356
202,3.617,0.0134141849073415
203,3.624,0.0235460073520964
204,3.632,0.0180490388906564
205,3.639,0.018677828808188
206,3.647,0.0255272887903565
207,3.654,0.0253651479940119
208,3.662,0.0171908790661006
209,3.670,0.0252227804655141
210,3.677,0.0167163206377749
211,3.685,0.00289876106635652
212,3.692,0.0171513325304068
213,3.700,0.0206749288607256
214,3.707,0.0278565797427221
215,3.715,0.0170445568840335
216,3.722,0.0107329297873009
217,3.730,0.0167123659842055
218,3.737,0.0295887180061111
219,3.745,0.0311705794338637
220,3.752,0.0026693911593324
221,3.760,0.022494069502641
222,3.767,0.0196704468541027
223,3.775,0.0198523609182943
224,3.783,0.0190891127794037
225,3.790,0.0205681532143523
226,3.798,0.0197614038861985
227,3.805,0.0262312171257064
228,3.813,0.0219720552314827
229,3.820,0.0197020840826578
230,3.828,0.0143751657247011
231,3.835,0.0166016356842628
232,3.843,0.0253018735369018
233,3.850,0.0120419201187662
234,3.858,0.00828104457428451
235,3.865,0.0104679679981524
236,3.873,0.0179580818585606
237,3.880,0.0168665974734114
238,3.888,0.0129554450932932
239,3.896,0.00896915429535686
240,3.903,0.0145887170174477
241,3.911,0.0212127617461615
242,3.918,0.0126707100362978
243,3.926,0.0212048524390227
244,3.933,0.0116662280296749
245,3.941,0.0235815992342209
246,3.948,0.0216398643316546
247,3.956,0.0254323771046913
248,3.963,0.0213907211567836
249,3.971,0.0590311138301551
