#"+EI TIC Scan TOL-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0899807406396446
1,2.102,0.0756039126875261
2,2.110,0.0898712244824049
3,2.117,0.0825902882355742
4,2.125,0.0865253170577722
5,2.132,0.0692368698907644
6,2.140,0.0697240279695202
7,2.147,0.0602603214163264
8,2.155,0.0687761467465148
9,2.162,0.0666424698899487
10,2.170,0.0599582078791135
11,2.178,0.0773184070112093
12,2.185,0.0675676925976632
13,2.193,0.071030669017966
14,2.200,0.0562988576596224
15,2.208,0.0538895022003495
16,2.215,0.0573335965245765
17,2.223,0.044127458529158
18,2.230,0.09233344981069
19,2.238,0.109062986933854
20,2.245,0.0804037415099959
21,2.253,0.0602678742547567
22,2.260,0.0587422008918316
23,2.268,0.0765820052642529
24,2.276,0.0560609432490672
25,2.283,0.0691046952182338
26,2.291,0.0699166253494934
27,2.298,0.0539348192309315
28,2.306,0.0676545502396119
29,2.313,0.0607021624645002
30,2.321,0.048908405255552
31,2.328,0.0461705013245602
32,2.336,0.0444295720663709
33,2.343,0.054134969449335
34,2.351,0.0547882899735579
35,2.358,0.0639800943432601
36,2.366,0.0660231371386623
37,2.373,0.0638516960899446
38,2.381,0.0536855755627308
39,2.389,0.0476168698839669
40,2.396,0.0385232524138588
41,2.404,0.043168248048507
42,2.411,0.0505775825486532
43,2.419,0.0655737432520581
44,2.426,0.0551206148644921
45,2.434,0.065687035828513
46,2.441,0.26972696602367
47,2.449,0.297521411447256
48,2.456,0.0820238253533001
49,2.464,0.0630662008931911
50,2.471,0.0500375546008852
51,2.479,0.0526055196671947
52,2.487,0.0376169118022202
53,2.494,0.0428057118038516
54,2.502,0.0428359231575729
55,2.509,0.0741575441281194
56,2.517,0.0804641642174385
57,2.524,0.0715555912888734
58,2.532,0.0793312384528902
59,2.539,0.041034571191941
60,2.547,0.0404567790520213
61,2.554,0.0511629275270032
62,2.562,0.049048132766513
63,2.569,0.0437082759962751
64,2.577,0.0522580890993999
65,2.584,0.0455247336387676
66,2.592,0.038621439313453
67,2.600,0.0458117414991199
68,2.607,0.0400338200999233
69,2.615,0.0419220297075039
70,2.622,0.0390972681345633
71,2.630,0.0428510288344335
72,2.637,0.0543275668293082
73,2.645,0.0542331563489292
74,2.652,0.0617671126831757
75,2.660,0.061189320543256
76,2.667,0.0445541939004712
77,2.675,0.0434212681359228
