#"+EI TIC Scan TOL-End-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.067359692916952
1,2.102,0.0685081650768264
2,2.110,0.0527656930317192
3,2.117,0.0669955432077236
4,2.125,0.0479917303601857
5,2.132,0.0502526598735272
6,2.140,0.0523655285160835
7,2.147,0.0529497687089116
8,2.155,0.0535140006759579
9,2.163,0.0499165216803932
10,2.170,0.053650056611274
11,2.178,0.0335377880554253
12,2.185,0.0405046522726423
13,2.193,0.0453346379763648
14,2.200,0.0486199886497337
15,2.208,0.039188111016201
16,2.215,0.0367190959547289
17,2.223,0.0367551107611361
18,2.230,0.0497924706805462
19,2.238,0.119865279013508
20,2.245,0.103522560194947
21,2.253,0.0566993102204178
22,2.261,0.0499525364868005
23,2.268,0.0413409961103209
24,2.276,0.0533899496761108
25,2.283,0.0462430114268578
26,2.291,0.0517772866780991
27,2.298,0.0326614277661832
28,2.306,0.0324173274116455
29,2.313,0.0569234023491738
30,2.321,0.0432257709789649
31,2.328,0.042497471560508
32,2.336,0.0279835045784023
33,2.343,0.0411489171428158
34,2.351,0.0477716398765861
35,2.358,0.049588386777572
36,2.366,0.0556388742539833
37,2.374,0.0455587301051208
38,2.381,0.0343741318931039
39,2.389,0.030448517994718
40,2.396,0.0361988820844025
41,2.404,0.0444422711064973
42,2.411,0.0361388574070572
43,2.419,0.0414330339489171
44,2.426,0.0534459727082998
45,2.434,0.0253144072591124
46,2.441,0.1160517111795
47,2.449,0.393093608644386
48,2.456,0.159709659835352
49,2.464,0.0354625793756329
50,2.472,0.052269489032331
51,2.479,0.0417251540453311
52,2.487,0.0316290033158432
53,2.494,0.0268550406443097
54,2.502,0.0303604818012781
55,2.509,0.0571675027037115
56,2.517,0.0830621485104956
57,2.524,0.0575716688645036
58,2.532,0.0888525290517437
59,2.539,0.0658470710478492
60,2.547,0.0356026369561054
61,2.554,0.0470393388129728
62,2.562,0.0359027603428321
63,2.569,0.0428736262052055
64,2.577,0.0375754480181892
65,2.585,0.0362068853747153
66,2.592,0.0445823286869698
67,2.600,0.0230174629393636
68,2.607,0.0284917135132596
69,2.615,0.0349903852471828
70,2.622,0.0461789851043561
71,2.630,0.0266349501607101
72,2.637,0.0511570316788638
73,2.645,0.0630979408254321
74,2.652,0.0420772988190905
75,2.660,0.0507848786793226
76,2.667,0.0479717221344039
77,2.675,0.0504567437765014
78,2.682,0.0431617446564632
79,2.690,0.0444542760419664
80,2.698,0.044854440557602
81,2.705,0.0467192072004643
82,2.713,0.0383517671785224
83,2.720,0.0325773932178997
84,2.728,0.0480597583278437
85,2.735,0.0500765874866475
86,2.743,0.0521654462582657
87,2.750,0.0585960900245309
88,2.758,0.0727819221038153
89,2.765,0.0593764108300204
90,2.773,0.0612131659567881
91,2.780,0.0669235135949091
92,2.788,0.0569274039943301
93,2.796,0.0773718090981564
94,2.803,0.108812735091651
95,2.811,0.0587001327985962
96,2.818,0.064610562694535
97,2.826,0.0630659276641813
98,2.833,0.074046441973224
99,2.841,0.0820217207698429
100,2.848,0.0573915948324675
101,2.856,0.0702128659134343
102,2.863,0.068156020303067
103,2.871,0.0792445790313314
104,2.878,0.0767995738407974
105,2.886,0.0781361233230206
106,2.893,0.0671436040785088
107,2.901,0.0761633122609367
108,2.909,0.0877480749885893
109,2.916,0.0936625065296845
110,2.924,0.102998344679465
111,2.931,0.0995489265546852
112,2.939,0.106903950352069
113,2.946,0.0908133351783585
114,2.954,0.114286985665547
115,2.961,0.0841626009284937
116,2.969,0.0955232715273903
117,2.976,0.764370247896315
118,2.984,12.4511669237457
119,2.991,51.3409272820242
120,2.999,100
121,3.007,79.9416816241493
122,3.014,0.555328306573398
123,3.022,0.165640097957072
124,3.029,0.145391773465907
125,3.037,0.126467993521497
126,3.044,0.128680903292962
127,3.052,0.121217835076357
128,3.059,0.167808989631817
129,3.067,0.158012962289056
130,3.074,0.144143260177124
131,3.082,0.135751810284244
132,3.089,0.140545781181559
133,3.097,0.129733335969084
134,3.104,0.139913521246855
135,3.112,0.148425020494426
136,3.120,0.125359537813186
137,3.127,0.13778864766883
138,3.135,0.174695820945907
139,3.142,0.179329726036968
140,3.150,0.200310351591746
141,3.157,0.144527418112134
142,3.165,0.163427188185607
143,3.172,0.151614331684042
144,3.180,0.174523750204184
145,3.187,0.167849006083381
146,3.195,0.167324790567898
147,3.202,0.175596191106088
148,3.210,0.170930272853776
149,3.218,0.173703412947131
150,3.225,0.171702590368952
151,3.233,0.185560287545416
152,3.240,0.1723308486585
153,3.248,0.166984650729608
154,3.255,0.175252049622641
155,3.263,0.182951214903471
156,3.270,0.204344009909354
157,3.278,0.225004503851623
158,3.285,0.199101854754527
159,3.293,0.175027957493885
160,3.300,0.204059893103253
161,3.308,0.210002336160442
162,3.315,0.217805544215338
163,3.323,0.196536800209302
164,3.331,0.192531153407789
165,3.338,0.181610663776092
166,3.346,0.168113114663701
167,3.353,0.195500374113806
168,3.361,0.178389339425225
169,3.368,0.150641931911047
170,3.376,0.173279238560557
171,3.383,0.194535977631124
172,3.391,0.17169458707864
173,3.398,0.175828286525156
174,3.406,0.132830609320104
175,3.413,0.124515190685194
176,3.421,0.116091727631064
177,3.429,0.0960474870428731
178,3.436,0.0870317805056015
179,3.444,0.0788444145156957
180,3.451,0.109885175993554
181,3.459,0.168069096566981
182,3.466,0.329355404593937
183,3.474,0.226068941463214
184,3.481,0.115251382148229
185,3.489,0.0962675775264727
186,3.496,0.138388894442283
187,3.504,0.0886444435036132
188,3.511,0.0690723970438727
189,3.519,0.0644144820818735
190,3.526,0.0659511138219145
191,3.534,0.0728419467811607
192,3.542,0.0532779036117329
193,3.549,0.0768555968729864
194,3.557,0.0722777148141144
195,3.564,0.0700688066878055
196,3.572,0.0563111506402512
197,3.579,0.0482878521017561
198,3.587,0.0564632131561928
199,3.594,0.0423173975284719
200,3.602,0.0552787261899112
201,3.609,0.0439780802683599
202,3.617,0.04130898294907
203,3.624,0.049476340713194
204,3.632,0.0373313476636515
205,3.639,0.0414530421746989
206,3.647,0.0422453679156575
207,3.655,0.0442101756874286
208,3.662,0.0392281274677645
209,3.670,0.0442942102357121
210,3.677,0.0375514381472511
211,3.685,0.0436779568816332
212,3.692,0.0284717052874778
213,3.700,0.0490001449395876
214,3.707,0.0236617278095371
215,3.715,0.0386638955007183
216,3.722,0.0331216169591642
217,3.730,0.0335497929908944
218,3.737,0.0273992643855742
219,3.745,0.0399644301765342
220,3.753,0.0416411194970476
221,3.760,0.0290999635770258
222,3.768,0.0361068442458063
223,3.775,0.0285117217390414
224,3.783,0.0342580841835695
225,3.790,0.017647255139533
226,3.798,0.0424894682701952
227,3.805,0.0319531365735081
228,3.813,0.0327134491532159
229,3.820,0.0214888344896354
230,3.828,0.0243219992603359
231,3.835,0.0241339219379871
232,3.843,0.0338299081518394
233,3.850,0.0231054991328035
234,3.858,0.0265629205478956
235,3.866,0.016346720463717
236,3.873,0.0241699367443944
237,3.881,0.0228894102943602
238,3.888,0.0280275226751222
239,3.896,0.0279034716752751
240,3.903,0.0218970022955838
241,3.911,0.0261427478064782
242,3.918,0.0243980305183067
243,3.926,0.0234096241646866
244,3.933,0.0207085136841458
245,3.941,0.0302484357369002
246,3.948,0.0322492583150785
247,3.956,0.0372713229863061
248,3.964,0.0446823698158787
249,3.971,0.105879529192041
250,3.979,0.0966677420421083
251,3.986,0.0350904263760917
252,3.994,0.0296481889634467
253,4.001,0.0485239491659811
254,4.009,0.0424214403025372
255,4.016,0.0337938933454322
256,4.024,0.0346702536346743
257,4.031,0.0352905086339096
258,4.039,0.0443862480743083
259,4.046,0.0391120797582302
260,4.054,0.0255585076136501
261,4.061,0.0326774343468087
262,4.069,0.0203923837167936
263,4.077,0.033881929538872
264,4.084,0.0258666342906896
265,4.092,0.0526096288706213
266,4.099,0.0558669680278956
267,4.107,0.0575836737999726
268,4.114,0.039020041919634
269,4.122,0.0475875641993937
270,4.129,0.0284917135132596
271,4.137,0.0434018433658446
272,4.144,0.0292080079962474
273,4.152,0.0421973481737812
274,4.159,0.0230534777457708
275,4.167,0.0317770641866284
276,4.175,0.0447944158802567
277,4.182,0.0356186435367308
278,4.190,0.0254464615492721
279,4.197,0.0311007861552041
280,4.205,0.034902349053743
281,4.212,0.0309487236392626
282,4.220,0.0384758181783695
283,4.227,0.0219530253277728
284,4.235,0.0256505454522463
285,4.242,0.0246341275825317
286,4.250,0.0953672073662924
287,4.257,0.423069932510654
288,4.265,0.473470653254966
289,4.272,0.119333060207713
290,4.280,0.0456547695888734
291,4.288,0.0272872183211962
292,4.295,0.0418652116258036
293,4.303,0.0292120096414038
294,4.310,0.0278474486430861
295,4.318,0.0260146951614748
296,4.325,0.0184195726547098
297,4.333,0.0394642245319896
298,4.340,0.0164387583023132
299,4.348,0.0232495583584323
300,4.355,0.0210086370708726
301,4.363,0.0177993176554745
302,4.370,0.00711892673315854
303,4.378,0.023089492552178
304,4.385,0.0162306727541827
305,4.393,0.0265269057414884
306,4.401,0.0236177097128171
307,4.408,0.0295921659312577
308,4.416,0.111637896572039
309,4.423,0.171218391305033
310,4.431,0.073990418941035
311,4.438,0.0266429534510228
312,4.446,0.0122930539203277
313,4.453,0.0284757069326341
314,4.461,0.0292320178671856
315,4.468,0.0287398155129537
316,4.476,0.0350784214406227
317,4.483,0.0197201073305257
318,4.491,0.023717750841726
319,4.499,0.0262347856450744
320,4.506,0.0195000168469261
321,4.514,0.0308806956716045
322,4.521,0.0370392275672374
323,4.529,0.0385718576621221
324,4.536,0.0191998934601994
325,4.544,0.0234096241646866
326,4.551,0.0287118039968592
327,4.559,0.0265349090318012
328,4.566,0.0130933829515991
329,4.574,0.0164947813345022
330,4.581,0.0179193670101652
331,4.589,0.0224292211013792
332,4.596,0.0161706480768373
333,4.604,0.0131614109192571
334,4.612,0.0247501752920661
335,4.619,0.0133815014028567
336,4.627,0.0187036894608111
337,4.634,0.00722296950722381
338,4.642,0.0248542180661313
339,4.649,0.0198761714916236
340,4.657,0.0206965087486768
341,4.664,0.0236777343901625
342,4.672,0.0193399510406718
343,4.679,0.0216048821991697
344,4.687,0.0160385937866776
345,4.694,0.00900370160180253
346,4.702,0.0162266711090263
347,4.710,0.0187957272994073
348,4.717,0.0268990587410296
349,4.725,0.012173004565637
350,4.732,0.00656669970158131
351,4.740,0.00803130182880786
352,4.747,0.0168629326888871
353,4.755,0.0221931240371542
354,4.762,0.0186276582028404
355,4.770,0.0138176807248996
356,4.777,0.022001045069649
357,4.785,0.0108564633091957
358,4.792,0.0149981660460248
359,4.800,0.0111445817604534
360,4.807,0.0243540124215868
361,4.815,0.0160826118833975
362,4.823,0.0169229573662324
363,4.830,0.0133895046931695
364,4.838,0.0160185855608958
365,4.845,0.0253024023236433
366,4.853,0.0203123508136665
367,4.860,0.0196440760725549
368,4.868,0.00803530347396422
369,4.875,0.00324133257664891
370,4.883,0.0187437059123747
371,4.890,0.0129453220808139
372,4.898,0.024334004195805
373,4.905,0.0155583963679148
374,4.913,0.0131814191450389
375,4.921,0.0190878473958214
376,4.928,0.00951991382697254
377,4.936,0.0219290154568346
378,4.943,0.0137296445314598
379,4.951,0.0216048821991697
380,4.958,0.0400364597893486
381,4.966,0.0382717342753953
382,4.973,0.0360828343748682
383,4.981,0.0298402679309518
384,4.988,0.0181434591389212
385,4.996,0.0119969321787573
386,5.003,0.0105963563740325
387,5.011,0.0110405389863881
388,5.018,0.0131654125644135
389,5.026,0.0210406502321234
390,5.034,0.0169429655920142
391,5.041,0.0233375945518722
392,5.049,0.0197401155563075
393,5.056,0.0154223404325986
394,5.064,0.0218729924246456
395,5.071,0.0217489414247986
396,5.079,0.0237017442611006
397,5.086,0
398,5.094,0.0197401155563075
399,5.101,0.0171590544304574
400,5.109,0.0190038128475379
401,5.116,0.00388959909197869
402,5.124,0.016962973817796
403,5.131,0.0133414849512932
404,5.139,0.00543823576748873
405,5.147,0.0185036072029933
406,5.154,0.026230783999918
407,5.162,0.0117408268887505
408,5.169,0.013373498112544
409,5.177,0.00901970818242796
410,5.184,0.0146820360786727
411,5.192,0.0121569979850116
412,5.199,0.0176832699459402
413,5.207,0.0132294388869152
414,5.214,0.0268190258379025
415,5.222,0.0254824763556793
416,5.229,0.00426575373667622
417,5.237,0.0128212710809668
418,5.245,0.0185276170739314
419,5.252,0.0225812836173208
420,5.260,0.0200802553945978
421,5.267,0.0236457212289116
422,5.275,0.0196160645564604
423,5.282,0.0174471728817151
424,5.290,0.0255024845814611
425,5.297,0.01777130613938
426,5.305,0.0208205597485238
427,5.312,0.0213887933607265
428,5.320,0.0223091717466885
429,5.327,0.00627457960516728
430,5.335,0.0252583842269234
431,5.342,0.0267790093863389
432,5.350,0.0400564680151304
433,5.358,0.0448064208157258
434,5.365,0.0295521494796941
435,5.373,0.021764948005424
436,5.380,0.0132974668545733
437,5.388,0.0124171049201748
438,5.395,0.0197761303627147
439,5.403,0.0139417317247467
440,5.410,0.0171190379788939
441,5.418,0.0192679214278574
442,5.425,0.00781121134520824
443,5.433,0.0113846804698348
444,5.440,0.00651067666939232
445,5.448,0.0325893981533688
446,5.456,0.0362188903101843
447,5.463,0.031020753252077
448,5.471,0.0232375534229632
449,5.478,0.0383517671785224
450,5.486,0.010400275761371
451,5.493,0.0271871771922873
452,5.501,0.0221771174565287
453,5.508,0.0241739383895507
454,5.516,0.0137016330153653
455,5.523,0.0181954805259538
456,5.531,0.0208805844258692
457,5.538,0.0176112403331258
458,5.546,0.0148901216268032
459,5.553,0.0251023200658255
460,5.561,0.0115407446309327
461,5.569,0.0136095951767691
462,5.576,0.0207525317808657
463,5.584,0.00572235257359005
464,5.591,0.0092838167627475
465,5.599,0.0145299735627311
466,5.606,0.0157504753354199
467,5.614,0.0122970555654841
468,5.621,0.0164667698184077
469,5.629,0.0270631261924402
470,5.636,0.0165748142376294
471,5.644,0.0169149540759197
472,5.651,0.0246661407437826
473,5.659,0.0290079257384296
474,5.667,0.00957993850431789
475,5.674,0.0112566278248313
476,5.682,0.0225412671657572
477,5.689,0.0168949458501379
478,5.697,0.0119329058562556
479,5.704,0.0176512567846893
480,5.712,0.0231054991328035
481,5.719,0.0213287686833811
482,5.727,0.0211206831352506
483,5.734,0.0343741318931039
484,5.742,0.0274392808371378
485,5.749,0.0221971256823105
486,5.757,0.0280795440621548
487,5.764,0.0285717464163867
488,5.772,0.0202483244911648
489,5.780,0.021652901941046
490,5.787,0.0289559043513969
491,5.795,0.00917577234352587
492,5.802,0.0203763771361682
493,5.810,0.0190078144926942
494,5.817,0.0230574793909272
495,5.825,0.012060958501259
496,5.832,0.0114166936310856
497,5.840,0.0143659061113205
498,5.847,0.017995398268136
499,5.855,0.0164067451410624
500,5.862,0.0163147073024662
501,5.870,0.00927181182727843
502,5.878,0.0255384993878683
503,5.885,0.0227133379074805
504,5.893,0.0159345510126123
505,5.900,0.0100121161812044
506,5.908,0.00722697115238017
507,5.915,0.0106203662449706
508,5.923,0.02091259758712
509,5.930,0.0138096774345869
510,5.938,0.0179313719456343
511,5.945,0.0223852030046593
512,5.953,0.0237497640029769
513,5.960,0.00725498266847466
514,5.968,0.0361308541167445
515,5.975,0.0131133911773808
516,5.983,0.0114607117278055
517,5.991,0.015022175916963
518,5.998,0.0169669754629523
519,6.006,0.0211406913610323
520,6.013,0.010220201729335
521,6.021,0.0314409259934944
522,6.028,0.0414130257231353
523,6.036,0.0250022789369165
524,6.043,0.0349783803117137
525,6.051,0.0245380880987792
526,6.058,0.0243219992603359
527,6.066,0.0275793384176102
528,6.073,0.0147140492399235
529,6.081,0.0215728690379189
530,6.088,0.0314529309289635
531,6.096,0.0179753900423542
532,6.104,0.0185436236545569
533,6.111,0.024682147324408
534,6.119,0.0278834634494934
535,6.126,0.0362589067617479
536,6.134,0.0650267337907961
537,6.141,0.057127486252148
538,6.149,0.0500885924221166
539,6.156,0.02874381715811
540,6.164,0.0391400912743247
541,6.171,0.0233776110034357
542,6.179,0.0302044176401802
543,6.186,0.0278954683849624
