#"+EI TIC Scan TOL-End-Blank2.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0748477375758806
1,2.102,0.0646231563342793
2,2.110,0.0766627519974666
3,2.117,0.0641737241917914
4,2.125,0.0592602208647835
5,2.132,0.0715547828395745
6,2.140,0.0572291332977706
7,2.147,0.058011318084216
8,2.155,0.0720820013144162
9,2.162,0.0493338205638714
10,2.170,0.0501246482761339
11,2.178,0.0641348310256145
12,2.185,0.0625358897494554
13,2.193,0.0557209427426908
14,2.200,0.0579162459002281
15,2.208,0.0485991718694199
16,2.215,0.041187862981277
17,2.223,0.0485300284628833
18,2.230,0.0777690465020524
19,2.238,0.117340682355536
20,2.245,0.0808761783332913
21,2.253,0.0671771409132254
22,2.260,0.0591565057549786
23,2.268,0.0556993354281481
24,2.275,0.0549603652707881
25,2.283,0.0609455913991134
26,2.291,0.0692903362755005
27,2.298,0.0597096530072715
28,2.306,0.0514902305552319
29,2.313,0.0585903941139601
30,2.321,0.0393555627080568
31,2.328,0.0381887677227515
32,2.336,0.0422552643196859
33,2.343,0.048944888902103
34,2.351,0.0612524152656196
35,2.358,0.0497227522256398
36,2.366,0.0638885076398279
37,2.373,0.0472249466645048
38,2.381,0.0475490563826451
39,2.389,0.0432751295661009
40,2.396,0.0476052354004561
41,2.404,0.0262399227806436
42,2.411,0.0511790852258172
43,2.419,0.0577520303097037
44,2.426,0.0464125116376996
45,2.434,0.06175370496301
46,2.441,0.255493530078592
47,2.449,0.323292961650647
48,2.456,0.0896530695005322
49,2.464,0.0482664192254625
50,2.471,0.0434047734533571
51,2.479,0.0271560729172537
52,2.486,0.0348180266540918
53,2.494,0.0355699612001774
54,2.502,0.0362095377106411
55,2.509,0.0709800282727389
56,2.517,0.0705435605189766
57,2.524,0.0637070061976693
58,2.532,0.079316130223309
59,2.539,0.0326184020336459
60,2.547,0.0393598841709654
61,2.554,0.0325449371642007
62,2.562,0.0455957551479859
63,2.569,0.034048806256372
64,2.577,0.0428127330348873
65,2.584,0.0587978243335699
66,2.592,0.0417669390110211
67,2.600,0.0381023384645808
68,2.607,0.0302199901194072
69,2.615,0.0353711739063847
70,2.622,0.0399692104410692
71,2.630,0.0421731565244237
72,2.637,0.0517192680893845
73,2.645,0.0671166404325058
74,2.652,0.055578334466709
75,2.660,0.0649948021444136
76,2.667,0.0384480554972638
77,2.675,0.0382492682034711
78,2.682,0.0308379593153282
79,2.690,0.0451852161716748
80,2.697,0.0329209044372435
81,2.705,0.0290272663566507
82,2.713,0.034385880363238
83,2.720,0.0411230410376489
84,2.728,0.039718565592374
85,2.735,0.038633878402331
86,2.743,0.0338068043334939
87,2.750,0.0569568811345327
88,2.758,0.0701848790975679
89,2.765,0.0510883345047379
90,2.773,0.0507555818607804
91,2.780,0.0385431276812517
92,2.788,0.0435430602664303
93,2.795,0.0792815585200407
94,2.803,0.0721425017951357
95,2.810,0.0415681517172284
96,2.818,0.0438801343732963
97,2.826,0.054212752187611
98,2.833,0.0570735606330632
99,2.841,0.0515248022585002
100,2.848,0.038240625277654
101,2.856,0.0428948408301496
102,2.863,0.0349692778558906
103,2.871,0.0418576897321004
104,2.878,0.0421126560437042
105,2.886,0.0461229736228276
106,2.893,0.0397531372956423
107,2.901,0.0421558706727896
108,2.908,0.0586033585026857
109,2.916,0.0602152641675704
110,2.924,0.0545325404428428
111,2.931,0.0579335317518623
112,2.939,0.0391654183400812
113,2.946,0.0608634836038512
114,2.954,0.0420867272662529
115,2.961,0.0474755915132
116,2.969,0.0843247057343047
117,2.976,2.8618974541052
118,2.984,25.2067863216365
119,2.991,66.9113925516648
120,2.999,100
121,3.006,10.123242936396
122,3.014,0.14618212580712
123,3.021,0.0976477758813278
124,3.029,0.079597025312364
125,3.037,0.0824621552207248
126,3.044,0.0653102689367369
127,3.052,0.0708849560887511
128,3.059,0.0972069866646569
129,3.067,0.0886764188832026
130,3.074,0.0613215586721562
131,3.082,0.0604054085355461
132,3.089,0.0529768137957691
133,3.097,0.0489405674391944
134,3.104,0.0670820687292375
135,3.112,0.0516846963861161
136,3.119,0.0469267657238157
137,3.127,0.0548091140689892
138,3.135,0.0724536471245504
139,3.142,0.101783415884799
140,3.150,0.0889270637318978
141,3.157,0.0472724827564987
142,3.165,0.0443943884594123
143,3.172,0.0696490176969092
144,3.180,0.0654615201385357
145,3.187,0.0455871122221688
146,3.195,0.0606517319213328
147,3.202,0.0492560342315177
148,3.210,0.0393642056338739
149,3.217,0.0428861979043325
150,3.225,0.040280355770484
151,3.232,0.0362138591735496
152,3.240,0.0322294703718774
153,3.248,0.0338413760367622
154,3.255,0.0232365060592096
155,3.263,0.0424670160022043
156,3.270,0.056364840716063
157,3.278,0.0518964480686345
158,3.285,0.0328171893274386
159,3.293,0.0456865058690652
160,3.300,0.038586342310337
161,3.308,0.0625272468236383
162,3.315,0.0616932044822905
163,3.323,0.0599991910221435
164,3.330,0.0456821844061567
165,3.338,0.0365120401142387
166,3.346,0.0194465830884216
167,3.353,0.0280290084247784
168,3.361,0.0214301345634406
169,3.368,0.0248311258724601
170,3.376,0.0219659959640994
171,3.383,0.0278431855197112
172,3.391,0.0230938977832278
173,3.398,0.0276227909113758
174,3.406,0.0159850912986826
175,3.413,0.0194509045513302
176,3.421,0.0196496918451229
177,3.428,0.0150602982362554
178,3.436,0.024757661003015
