#"+EI TIC Scan TOL-PA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0743623460803327
1,2.102,0.0750572566555406
2,2.110,0.0574113682184204
3,2.117,0.061217818682619
4,2.125,0.0539955888736174
5,2.132,0.0643708457701295
6,2.140,0.0687062580154564
7,2.147,0.0542306829985633
8,2.155,0.0491623302460519
9,2.163,0.0594442409458943
10,2.170,0.0640182045827105
11,2.178,0.0584416336483306
12,2.185,0.0567925175071656
13,2.193,0.0671885180029376
14,2.200,0.0572799920897741
15,2.208,0.0348354176905217
16,2.215,0.0430049385323938
17,2.223,0.0395200138567243
18,2.230,0.0606127970375374
19,2.238,0.103714539033144
20,2.245,0.097716181580479
21,2.253,0.0651176153434872
22,2.261,0.0578573556025091
23,2.268,0.0567717739079057
24,2.276,0.0554891280203329
25,2.283,0.0510327114459896
26,2.291,0.0610138399565629
27,2.298,0.0447750590025751
28,2.306,0.0400282320385928
29,2.313,0.0524432761956654
30,2.321,0.038852761413863
31,2.328,0.0428839342033775
32,2.336,0.0416877199793878
33,2.343,0.0411034419335662
34,2.351,0.0434198105175926
35,2.358,0.051914314414537
36,2.366,0.0527094857195012
37,2.374,0.048584966733317
38,2.381,0.0392019453347386
39,2.389,0.0349806228853413
40,2.396,0.0382788551676714
41,2.404,0.0351050844809009
42,2.411,0.0285397353151307
43,2.419,0.0433990669183326
44,2.426,0.0545556660536357
45,2.434,0.0344896910361895
46,2.441,0.115846087333664
47,2.449,0.374162671651123
48,2.456,0.181271399399507
49,2.464,0.0494665697018643
50,2.472,0.0426177246795416
51,2.479,0.029442081882938
52,2.487,0.0393851804615347
53,2.494,0.0295872870777576
54,2.502,0.0273850082896609
55,2.509,0.0438070243704447
56,2.517,0.0745939829387353
57,2.524,0.0655082864628827
58,2.532,0.0832129484312394
59,2.539,0.0506316685269642
60,2.547,0.0429185068688107
61,2.554,0.0308042449010072
62,2.562,0.0458952133626118
63,2.569,0.0351223708136175
64,2.577,0.0338258958598715
65,2.585,0.0509255361831466
66,2.592,0.0372140170723279
67,2.600,0.0214004799031689
68,2.607,0.044367101550463
69,2.615,0.0326988269667482
70,2.622,0.035737764258329
71,2.630,0.0348630758228683
72,2.637,0.0417534080437109
73,2.645,0.0489652660530825
74,2.652,0.0588046466353796
75,2.660,0.0520871777417031
76,2.667,0.0412763052607323
77,2.675,0.0375009701954237
78,2.683,0.0308077021675505
79,2.690,0.0341301353156839
80,2.698,0.0285708507140206
81,2.705,0.0365502218960099
82,2.713,0.0330480108876238
83,2.720,0.0314300101453487
84,2.728,0.0336219171338154
85,2.735,0.0337290923966584
86,2.743,0.0406609118160209
87,2.750,0.0385761800903971
88,2.758,0.0650795854115107
89,2.765,0.0576983213415162
90,2.773,0.043499327648089
91,2.780,0.0447577726698585
92,2.788,0.0479695732886055
93,2.796,0.0647960895549582
94,2.803,0.0731246446578231
95,2.811,0.0562670129925805
96,2.818,0.0376703762560465
97,2.826,0.0361180635780946
98,2.833,0.0494181679702578
99,2.841,0.0329684937571274
100,2.848,0.0313781511471988
101,2.856,0.0355095846664697
102,2.863,0.0373799658664074
103,2.871,0.0454976277101296
104,2.878,0.0304758045793915
105,2.886,0.0576084324113898
106,2.893,0.0461130211548411
107,2.901,0.0480248895532987
108,2.909,0.0431224855948668
109,2.916,0.0357896232564789
110,2.924,0.048595338532947
111,2.931,0.0516100749587246
112,2.939,0.0544242899249894
113,2.946,0.0511053140433994
114,2.954,0.0538330973460812
115,2.961,0.0348769048890416
116,2.969,0.0383341714323645
117,2.976,0.470001557498578
118,2.984,9.43556493550383
119,2.991,43.3203657027404
120,2.999,83.9645823786236
121,3.007,100
122,3.014,1.37353742499676
123,3.022,0.0933911411347821
124,3.029,0.0649620383490377
125,3.037,0.0628219903587208
126,3.044,0.0597035359366435
127,3.052,0.0528062891827143
128,3.059,0.0525815668573983
129,3.067,0.0756449919679055
130,3.074,0.0462340254838574
131,3.082,0.0546040677852422
132,3.089,0.0456808628369257
133,3.097,0.0552298330295837
134,3.104,0.037525171061227
135,3.112,0.0310531680921265
136,3.120,0.0339019557238246
137,3.127,0.0381543935721117
138,3.135,0.0576914068084296
139,3.142,0.0730969865254765
140,3.150,0.0875760188089129
141,3.157,0.0385727228238538
142,3.165,0.0420127030344601
143,3.172,0.0293487356862683
144,3.180,0.0481078639503384
145,3.187,0.0402391252977355
146,3.195,0.0507319292567205
147,3.202,0.0479557442224322
148,3.210,0.0512712628374789
149,3.218,0.0254178236265101
150,3.225,0.0280315171332622
151,3.233,0.0280591752656088
152,3.240,0.032194066051423
153,3.248,0.0230323097116173
154,3.255,0.0307074414377942
155,3.263,0.0333349640107196
156,3.270,0.0494942278342109
157,3.278,0.0513196645690854
158,3.285,0.0265137771207435
159,3.293,0.0300782189269094
160,3.300,0.0277514785432531
161,3.308,0.0252622466320606
162,3.315,0.0566334832461728
163,3.323,0.0488062317920897
164,3.331,0.0528443191146908
165,3.338,0.0255215416228098
166,3.346,0.0285985088463672
167,3.353,0.0230599678439639
168,3.361,0.0187660427971568
169,3.368,0.0138705533718116
170,3.376,0.0227280702558049
171,3.383,0.0114642958576588
172,3.391,0.020256124677329
173,3.398,0.00774427705704334
174,3.406,0.015706361906316
175,3.413,0.0282873548574681
176,3.421,0.0078134223879098
177,3.429,0.014154049228364
178,3.436,0.018714183799007
179,3.444,0.0201109194825094
180,3.451,0.0215111124325552
181,3.459,0.0709707676013329
182,3.466,0.21148790898815
183,3.474,0.149098076947344
184,3.481,0.0405433647535479
185,3.489,0.0424863485508954
186,3.496,0.0905769261685172
187,3.504,0.0556135896158925
188,3.511,0.0254904262239199
189,3.519,0.0159691141636086
190,3.526,0.00288681756367464
191,3.534,0.0279450854696792
192,3.542,0.025908755475662
193,3.549,0.0130304376017841
194,3.557,0.019025337787906
195,3.564,0.033424852940846
196,3.572,0.0176147730382303
197,3.579,0.0134764249858727
198,3.587,0.0111220264698698
199,3.594,0.0226554676583951
200,3.602,0.013842895239465
201,3.609,0.0150667675958013
202,3.617,0.0178948116282394
203,3.624,0.0178394953635463
204,3.632,0.0154332378493935
205,3.640,0.0190011369221028
206,3.647,0.0116509882509982
207,3.655,0.00973220531945402
208,3.662,0.0165153622774536
209,3.670,0.0218706681530608
210,3.677,0.014624237478256
211,3.685,0.0103372269645355
212,3.692,0.0108800178118372
213,3.700,0.0206087658647479
214,3.707,0.0131376128646271
215,3.715,0.0113640351279024
216,3.722,0.0190184232548194
217,3.730,0.0194955260377979
218,3.737,0.0182370810160284
219,3.745,0.0227004121234583
220,3.753,0.0209130053205603
221,3.760,0.013950070502308
222,3.768,0.0175698285731671
223,3.775,0.0128679460742479
224,3.783,0.00616776351328809
225,3.790,0.0140399594324344
226,3.798,0.0118342233777944
227,3.805,0.0108800178118372
228,3.813,0.0257220630823225
229,3.820,0.0186242948688806
230,3.828,0.0242423530017803
231,3.835,0.00663449449663668
232,3.843,0.0102853679663857
233,3.850,0.0109595349423337
234,3.858,0.0161730928896646
235,3.866,0.0197167910965706
236,3.873,0.0139569850353946
237,3.881,0.0145585494139328
238,3.888,0.0217392920244145
239,3.896,0.0223927154011026
240,3.903,0.0123147834273162
241,3.911,0.00711505454615857
242,3.918,0.00867082449065388
243,3.926,0.0189873078559295
244,3.933,0.0112395735323428
245,3.941,0.00820755077384861
246,3.948,0.010727898083931
247,3.956,0.0180227304903424
248,3.964,0.0162491527536177
249,3.971,0.0601149506552989
250,3.979,0.0632506914100928
251,3.986,0.0198101372932403
252,3.994,0.029110184294779
253,4.001,0.0213244200392158
254,4.009,0.0167435418693129
255,4.016,0.0113432915286425
256,4.024,0.015052938529628
257,4.031,0.00987395324773026
258,4.039,0.0285673934474773
259,4.046,0.00758178552950716
260,4.054,0.0180192732237991
261,4.061,0.00578746419352257
262,4.069,0.00924473073684549
263,4.077,0.0113778641940757
264,4.084,0.012515304886829
265,4.092,0.0310808262244731
266,4.099,0.0251861867681075
267,4.107,0.019464410638908
268,4.114,0.029773979471097
269,4.122,0.0179362988267593
270,4.129,0.0268629610416191
271,4.137,0.0101678209039127
272,4.144,0.0122594671626231
273,4.152,0.0203356418078254
274,4.159,0.0241282632058507
275,4.167,0.0123528133592928
276,4.175,0.0135801429821724
