#"+EI TIC Scan TOL-PEEK-2Hour.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0782887694711838
1,2.102,0.0764512739897034
2,2.110,0.0676040735233163
3,2.117,0.0595484646776059
4,2.125,0.0578220069347724
5,2.132,0.0573456192173516
6,2.140,0.0605513861879655
7,2.148,0.0610098645927014
8,2.155,0.0510021406643266
9,2.163,0.0534915351275408
10,2.170,0.0433942646357411
11,2.178,0.0522916111776462
12,2.185,0.0556621438249621
13,2.193,0.065497938351561
14,2.200,0.0429644411313012
15,2.208,0.0516289666083014
16,2.215,0.0573850197052586
17,2.223,0.0465140669054671
18,2.230,0.068478047982344
19,2.238,0.118348320084979
20,2.246,0.0788009758139747
21,2.253,0.0704588179653044
22,2.261,0.0418433181572206
23,2.268,0.0639792286358735
24,2.276,0.0617835469006931
25,2.283,0.0611495572316444
26,2.291,0.0525101047924031
27,2.298,0.0495693956495271
28,2.306,0.0447195537744306
29,2.313,0.0418397362946836
30,2.321,0.0440963096929928
31,2.328,0.0357362425316375
32,2.336,0.0443291307578978
33,2.343,0.0493150834094002
34,2.351,0.0533052782756169
35,2.359,0.0476817540925287
36,2.366,0.0454574174570524
37,2.374,0.0447553723998006
38,2.381,0.0419507740333305
39,2.389,0.0384190575718497
40,2.396,0.0354138749033076
41,2.404,0.0382614556202217
42,2.411,0.0500816019923179
43,2.419,0.062123823841708
44,2.426,0.0375379193877479
45,2.434,0.0755665539430647
46,2.441,0.320881155377042
47,2.449,0.313803395003932
48,2.456,0.0831207020335953
49,2.464,0.0419328647206455
50,2.472,0.0375773198756549
51,2.479,0.0270717170546373
52,2.487,0.0355535675422506
53,2.494,0.0321472162695647
54,2.502,0.0418110813943876
55,2.509,0.0744919951819651
56,2.517,0.065454956001117
57,2.524,0.0787329204257717
58,2.532,0.0897722207648022
59,2.539,0.0457188934222533
60,2.547,0.0395473442710043
61,2.554,0.0349410690484238
62,2.562,0.0348192857221658
63,2.570,0.0452102689419995
64,2.577,0.049956236803523
65,2.585,0.0339094926377681
66,2.592,0.0418540637448316
67,2.600,0.0452854880552764
68,2.607,0.0415746784669456
69,2.615,0.0368179650178112
70,2.622,0.0293211267278726
71,2.630,0.0333686313946813
72,2.637,0.0381038536685938
73,2.645,0.0557767634261461
74,2.652,0.0555761791240741
75,2.660,0.0603293107106716
76,2.667,0.0450526669903715
77,2.675,0.0421871769607724
78,2.683,0.031144294759205
79,2.690,0.040596829994345
80,2.698,0.0450061027773905
81,2.705,0.0431614435708361
82,2.713,0.0245321765159051
83,2.720,0.0402565530533301
84,2.728,0.0411376912374318
85,2.735,0.037244206659714
86,2.743,0.0385086041352746
87,2.750,0.0558125820515161
88,2.758,0.0748860000610349
89,2.765,0.0544228193871605
90,2.773,0.0525853239056801
91,2.781,0.037208388034344
92,2.788,0.0462955732907101
93,2.796,0.0855921871841245
94,2.803,0.0527106890944751
95,2.811,0.040324608441533
96,2.818,0.0267815861891404
97,2.826,0.0535524267906698
98,2.833,0.049823707889654
99,2.841,0.0476638447798437
100,2.848,0.0455935282334584
101,2.856,0.037362408123435
102,2.863,0.0551105369942643
103,2.871,0.0401670064899051
104,2.878,0.0410839632993768
105,2.886,0.0354246204909186
106,2.894,0.0413526029896517
107,2.901,0.0388094805883825
108,2.909,0.0520910268755743
109,2.916,0.0504684431463138
110,2.924,0.0502786044318528
111,2.931,0.0553147031588732
112,2.939,0.0557588541134611
113,2.946,0.0519764072743903
114,2.954,0.0409729255607298
115,2.961,0.0421871769607724
116,2.969,0.133725255956315
117,2.976,3.42825436209965
118,2.984,25.5264800650008
119,2.992,64.6737087994471
120,2.999,100
121,3.007,14.0065116828178
122,3.014,0.149789909434755
123,3.022,0.0824222388388805
124,3.029,0.0707346213806533
125,3.037,0.0765121656528324
126,3.044,0.0694558964549447
127,3.052,0.0582697397518973
128,3.059,0.0896826742013772
129,3.067,0.0666333887757896
130,3.074,0.0677330205746482
131,3.082,0.0737756226745653
132,3.089,0.0534843714024668
133,3.097,0.0421191215725695
134,3.105,0.062091587078875
135,3.112,0.0491753907704572
136,3.120,0.0487706403037763
137,3.127,0.052793071932826
138,3.135,0.0803089399420512
139,3.142,0.0914162956692846
140,3.150,0.0780416209561309
141,3.157,0.0488709324548123
142,3.165,0.040342517754218
143,3.172,0.062306498831095
144,3.180,0.0583915230781552
145,3.187,0.0432688994469461
146,3.195,0.0587855279572251
147,3.203,0.043473065611555
148,3.210,0.0401383515896091
149,3.218,0.0337590544112142
150,3.225,0.0348371950348508
151,3.233,0.0336945808855482
152,3.240,0.0276627243732421
153,3.248,0.0320111054931587
154,3.255,0.0390315560656765
155,3.263,0.131239443355638
156,3.270,0.251400185884338
157,3.278,0.130451433597498
158,3.285,0.0357935523322295
159,3.293,0.0363129224000943
160,3.300,0.0325734579114675
161,3.308,0.055894964889867
162,3.316,0.0555188693234822
163,3.323,0.0557230354880911
164,3.331,0.0349159960106648
165,3.338,0.0261010323071106
166,3.346,0.0385515864857186
167,3.353,0.0273582660575972
168,3.361,0.028096129740219
169,3.368,0.0142092486842744
170,3.376,0.021799215400175
171,3.383,0.01545573684715
172,3.391,0.0148647295285452
173,3.398,0.0182173528631761
174,3.406,0.0159392882896449
175,3.413,0.0327632966259285
176,3.421,0.0148289109031752
177,3.429,0.0237799853831354
178,3.436,0.0266848759006414
179,3.444,0.0223687315435578
180,3.451,0.0524778680295701
181,3.459,0.173953154109349
182,3.466,0.204843136628427
183,3.474,0.0721852757081378
184,3.481,0.0288590664605997
185,3.489,0.062399627257057
186,3.496,0.0945325160764736
187,3.504,0.0385515864857186
188,3.511,0.018528974903895
189,3.519,0.0255744985141718
190,3.527,0.0192166925109988
191,3.534,0.00861437940148223
192,3.542,0.0244748667153131
193,3.549,0.0151942608819491
194,3.557,0.0308577457562451
195,3.564,0.0309150555568371
196,3.572,0.0179093126849942
197,3.579,0.0242492093754822
198,3.587,0.0292065071266886
199,3.594,0.0193778763251638
200,3.602,0.0299013884588664
201,3.609,0.0195569694520137
202,3.617,0.0202769238219505
203,3.624,0.0122535517390731
204,3.632,0.0219639810768769
205,3.640,0.0180919876743812
206,3.647,0.0202088684337475
207,3.655,0.0177445470082923
208,3.662,0.0113616679673604
209,3.670,0.0167058068725626
210,3.677,0.0104948572334066
211,3.685,0.015699303499666
212,3.692,0.0130272340470648
213,3.700,0.00944178964752897
214,3.707,0.0204094527358194
215,3.715,0.0162938926808078
216,3.722,0.0145817623881223
217,3.730,0.012396826240553
218,3.738,0.0120852041998341
219,3.745,0.00950984503573194
220,3.753,0.0145960898382703
221,3.760,0.0262908710215716
222,3.768,0.0122535517390731
223,3.775,0.0198005361045296
224,3.783,0.00764727651649254
225,3.790,0.0283576057054199
226,3.798,0.0198900826679546
227,3.805,0.0131669266860078
228,3.813,0.0193528032874048
229,3.820,0.0119347659732802
230,3.828,0.00849975980029827
231,3.835,0.0104841116457956
232,3.843,0.0145495256252893
233,3.851,0.0132027453113778
234,3.858,0.00731774516308865
235,3.866,0.00578112613471614
236,3.873,0.00631482365272897
237,3.881,0.0197862086543816
238,3.888,0.0141734300589044
239,3.896,0.00845677744985428
240,3.903,0.0170210107758185
241,3.911,0.0172108494902795
242,3.918,0.006225277089304
243,3.926,0.0203485610726905
244,3.933,0.0227878094603867
245,3.941,0.0107133508481636
246,3.949,0.00680553882029781
247,3.956,0.0117700002965782
248,3.964,0.0316923197273658
249,3.971,0.0760071230351156
250,3.979,0.043469483749018
251,3.986,0.00605334768752806
252,3.994,0.0046707487482465
253,4.001,0.00423734338126964
254,4.009,0.00102441268558167
255,4.016,0.0106596229101086
256,4.024,0.00846035931239128
257,4.031,0.0187617959688
258,4.039,0.00988952246465382
259,4.046,0.0114153959054153
260,4.054,0.0101653258800027
261,4.062,0.015667066736833
262,4.069,0.00938089798439999
263,4.077,0.0111575018027514
264,4.084,0.0184824106909141
265,4.092,0.0775759788263211
266,4.099,0.111915294968529
267,4.107,0.0569766873760407
268,4.114,0.0142952133851624
269,4.122,0.0100686155915038
270,4.129,0.0096602832622859
271,4.137,0.0112649576788614
272,4.144,0.0128588865078259
273,4.152,0.0102656180310387
274,4.159,0.0114189777679523
275,4.167,0.00316278462016998
276,4.175,0.00678762950761282
277,4.182,0.0115228517815253
278,4.190,0.0149900947173402
279,4.197,0.0146247447385663
280,4.205,0.0096531195372119
281,4.212,0.00782278778080549
282,4.220,0.0112327209160284
283,4.227,0.0172932323286304
284,4.235,0.0185003200035991
285,4.242,0.0360478645723564
286,4.250,0.160761154385582
287,4.257,0.422563069077365
288,4.265,0.228039278418032
289,4.273,0.0473235678388288
290,4.280,0.0129305237585658
291,4.288,0.021720414424361
292,4.295,0.0163476206188627
293,4.303,0.0177875293587363
294,4.310,0.0228737741612746
295,4.318,0.00819171962211637
296,4.325,0.0141770119214414
