#"+EI TIC Scan TOL-PEEK.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0809335924640283
1,2.102,0.0796544963844466
2,2.110,0.0720470444825613
3,2.117,0.0702906180875671
4,2.125,0.0814109227794407
5,2.132,0.0610945512296999
6,2.140,0.0711483209980738
7,2.147,0.0599124128704363
8,2.155,0.0481395081379598
9,2.162,0.0661214361138868
10,2.170,0.0523795438303341
11,2.178,0.0570894515519426
12,2.185,0.0491277310565871
13,2.193,0.0591665842526044
14,2.200,0.0536660981960942
15,2.208,0.0452382348145937
16,2.215,0.0409720951205953
17,2.223,0.0615122152556857
18,2.230,0.110811486894374
19,2.238,0.121044255531028
20,2.245,0.07400484460437
21,2.253,0.0610647180849866
22,2.260,0.0637720759677164
23,2.268,0.0628174153368915
24,2.275,0.0629292896295663
25,2.283,0.0709096558403676
26,2.291,0.0585550047859822
27,2.298,0.0357438365095937
28,2.306,0.0528606032888357
29,2.313,0.0521483369588062
30,2.321,0.0411212608441617
31,2.328,0.0360160639551023
32,2.336,0.042228816341642
33,2.343,0.0488890658988809
34,2.351,0.0710215301330424
35,2.358,0.0525100638384547
36,2.366,0.0577196767340105
37,2.373,0.0498325391004382
38,2.381,0.0365754354184762
39,2.389,0.0401852459287826
40,2.396,0.0440225341675277
41,2.404,0.0391709190085312
42,2.411,0.0446080096325258
43,2.419,0.0692800203104049
44,2.426,0.0454433376844975
45,2.434,0.0701824729379815
46,2.441,0.313665683515383
47,2.449,0.302284338807268
48,2.456,0.0782411511536552
49,2.464,0.0433923089854598
50,2.471,0.0350651324673666
51,2.479,0.0437652232943757
52,2.486,0.040591722525501
53,2.494,0.042743438087946
54,2.502,0.0531402890205227
55,2.509,0.0815712759322746
56,2.517,0.0765033704741069
57,2.524,0.0822686256899474
58,2.532,0.0805644072982015
59,2.539,0.0513055506206562
60,2.547,0.0409534494051495
61,2.554,0.038275924667133
62,2.562,0.039540104174358
63,2.569,0.0491090853411413
64,2.577,0.0562951440739516
65,2.584,0.0465471640388887
66,2.592,0.0296280418433721
67,2.600,0.0448615913625886
68,2.607,0.0569104526836629
69,2.615,0.0393014390166518
70,2.622,0.0431014358245053
71,2.630,0.0378806354996821
72,2.637,0.057708489304743
73,2.645,0.0669940555967502
74,2.652,0.0530806227310961
75,2.660,0.0460474588649413
76,2.667,0.0462600200210234
77,2.675,0.0386003601158898
78,2.682,0.0377016366314024
79,2.690,0.0399614973434331
80,2.697,0.0498661013882406
81,2.705,0.0369595371566597
82,2.713,0.0398831853385607
83,2.720,0.0427695420895701
84,2.728,0.0536511816237375
85,2.735,0.0550384228529048
86,2.743,0.0422362746278203
87,2.750,0.0646409663074905
88,2.758,0.0718568581850141
89,2.765,0.0609640312215793
90,2.773,0.0571491178413691
91,2.780,0.0423854403513867
92,2.788,0.047841176690827
