#"+EI TIC Scan TOL-PET.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0738629299175261
1,2.102,0.0715305952835366
2,2.110,0.0653189693705644
3,2.117,0.0643533964317116
4,2.125,0.0607358978157278
5,2.132,0.0653053697517073
6,2.140,0.0457865167870805
7,2.148,0.0623406528408635
8,2.155,0.0550886560853246
9,2.163,0.0444809533768007
10,2.170,0.0448039443246564
11,2.178,0.0407002593345319
12,2.185,0.0457355182163665
13,2.193,0.0407104590486747
14,2.200,0.0614090789491534
15,2.208,0.0441919614760877
16,2.215,0.0437363742443754
17,2.223,0.052630524976907
18,2.230,0.0405914623836752
19,2.238,0.0847732241456201
20,2.246,0.0889857060866012
21,2.253,0.0555170440793226
22,2.261,0.0443177579505157
23,2.268,0.0488838299817809
24,2.276,0.063591817775715
25,2.283,0.0612628830464397
26,2.291,0.0479352565664995
27,2.298,0.0378749385169731
28,2.306,0.0490742246457801
29,2.313,0.042498808928381
30,2.321,0.0435187803426621
31,2.328,0.044032165954517
32,2.336,0.0355800028348406
33,2.343,0.0374091515711181
34,2.351,0.0392009013555386
35,2.359,0.0484350425594972
36,2.366,0.051297762328913
37,2.374,0.0385481196503987
38,2.381,0.0336216577194208
39,2.389,0.0383101263203997
40,2.396,0.0467248904882192
41,2.404,0.034869422749558
42,2.411,0.0327784813502817
43,2.419,0.0451167355583692
44,2.426,0.0544120750471847
45,2.434,0.0483126459897835
46,2.441,0.105709837376098
47,2.449,0.375080887983033
48,2.456,0.196436294676405
49,2.464,0.047061481054932
50,2.472,0.0405710629553896
51,2.479,0.037721942804831
52,2.487,0.0300211586270083
53,2.494,0.0438927698612319
54,2.502,0.0251932939327442
55,2.509,0.0472790749566453
56,2.517,0.0699360399725437
57,2.524,0.0634728211107155
58,2.532,0.0702318316826853
59,2.539,0.0523687323139082
60,2.547,0.0390377059292536
61,2.554,0.0368685667215491
62,2.562,0.0361341873032666
63,2.570,0.0328362797304243
64,2.577,0.0406152617166751
65,2.585,0.0353692087425558
66,2.592,0.0262064655375968
67,2.600,0.0371473589081192
68,2.607,0.0334346629601359
69,2.615,0.0375451477596889
70,2.622,0.0387521139332549
71,2.630,0.0305277444294346
72,2.637,0.0448821421330846
73,2.645,0.0522123366970517
74,2.652,0.0494176150219214
75,2.660,0.0531371107793333
76,2.667,0.0396802879202507
77,2.675,0.0405166644799613
78,2.683,0.0306501409991484
79,2.690,0.0306671405227197
80,2.698,0.0328056805879958
81,2.705,0.0420874204579542
82,2.713,0.0317075113652865
83,2.720,0.0469152851522183
84,2.728,0.0395170924939658
85,2.735,0.0366509728198358
86,2.743,0.036276983301266
87,2.750,0.0540312857191864
88,2.758,0.0693070576004037
89,2.765,0.0621468582721501
90,2.773,0.0339786477144192
91,2.781,0.0405778627648182
92,2.788,0.0359607921628388
93,2.796,0.0646525880465674
94,2.803,0.081818706948919
95,2.811,0.0549152609448968
96,2.818,0.0435119805332336
97,2.826,0.0456573204079382
98,2.833,0.054089084099329
99,2.841,0.0454839252675105
100,2.848,0.0293037787322972
101,2.856,0.0332238688678511
102,2.863,0.0412238446605295
103,2.871,0.0430461935873785
104,2.878,0.0488770301723524
105,2.886,0.0298341638677234
106,2.894,0.043090392348664
107,2.901,0.0393878961148235
108,2.909,0.0495808104482064
109,2.916,0.0604027071537293
110,2.924,0.0670053221088426
111,2.931,0.057570586526742
112,2.939,0.0513045621383415
113,2.946,0.0480814524692131
114,2.954,0.0557006389338932
115,2.961,0.0536878953430451
116,2.969,0.0427980005432368
117,2.976,0.57794300256941
118,2.984,10.721813710449
119,2.992,43.2064820951328
120,2.999,84.3248481118068
121,3.007,100
122,3.014,1.44713544258209
123,3.022,0.0949525388601459
124,3.029,0.0671583178209847
125,3.037,0.0647375856644242
126,3.044,0.0647613849974241
127,3.052,0.0502811908193461
128,3.059,0.0699666391149722
129,3.067,0.076990842254655
130,3.074,0.0533105059197611
131,3.082,0.0550920559900388
132,3.089,0.0581349707093109
133,3.097,0.0425668070226664
134,3.105,0.0440491654780883
135,3.112,0.0485438395103539
136,3.120,0.0280288144644458
137,3.127,0.0382693274638285
138,3.135,0.0612764826652968
139,3.142,0.0613308811407252
140,3.150,0.0971794764479931
141,3.157,0.055748237599893
142,3.165,0.0343832363754173
143,3.172,0.0483432451322119
144,3.180,0.05769638300117
145,3.187,0.0356582006432688
146,3.195,0.041883426175098
147,3.203,0.0557380378857502
148,3.210,0.0347912249411298
149,3.218,0.0325166886872829
150,3.225,0.0368209680555493
151,3.233,0.0227691618714694
152,3.240,0.0229935555826112
153,3.248,0.027263835903735
154,3.255,0.0317177110794293
155,3.263,0.0272230370471637
156,3.270,0.0485404396056396
157,3.278,0.0500805964412041
158,3.285,0.035773797403554
159,3.293,0.0305889427142915
160,3.300,0.027804420753304
161,3.308,0.0405642631459611
162,3.316,0.0591957409801633
163,3.323,0.0454295267920821
164,3.331,0.0544188748566133
165,3.338,0.0250130989828879
166,3.346,0.0275970265657335
167,3.353,0.0301945537674361
168,3.361,0.0316667125087152
169,3.368,0.0275834269468764
170,3.376,0.0203688291431944
171,3.383,0.0207224192334786
172,3.391,0.0202566322876235
173,3.398,0.0261520670621685
174,3.406,0.0127904415350855
175,3.413,0.0264750580100242
176,3.421,0.0253326900260293
177,3.429,0.0179990955573479
178,3.436,0.0145617918912205
179,3.444,0.0120696617356602
180,3.451,0.0241767224231774
181,3.459,0.0911344458660202
182,3.466,0.21573075392989
183,3.474,0.140864852121654
184,3.481,0.0419038256033836
185,3.489,0.0472212765765027
186,3.496,0.0851608132830469
187,3.504,0.0633538244457161
188,3.511,0.023204349674896
189,3.519,0.0242583201363199
190,3.527,0.0166493333857825
191,3.534,0.00734379418282423
192,3.542,0.0174891098502073
193,3.549,0.0175027094690644
194,3.557,0.0246561089878895
195,3.564,0.0283484055075872
196,3.572,0.0247581061293176
197,3.579,0.0169995235713524
198,3.587,0.0200322385764817
199,3.594,0.0175537080397785
200,3.602,0.020627221901479
201,3.609,0.00440627650969454
202,3.617,0.0191142643036286
203,3.624,0.0150615778842182
204,3.632,0.0208176165654781
205,3.640,0.0267164512447374
206,3.647,0.016152947297499
207,3.655,0.0158027571119292
208,3.662,0.00544324744754704
209,3.670,0.0199812400057676
210,3.677,0.0243093187070339
211,3.685,0.0220959807380438
212,3.692,0.0206748205674788
213,3.700,0.00864595768838983
214,3.707,0.0188116727840586
215,3.715,0.0170403224279236
216,3.722,0.0159047542533573
217,3.730,0.0199778401010533
218,3.738,0.0170063233807809
219,3.745,0.015850355777929
220,3.753,0.0174789101360645
221,3.760,0.00388609108841116
222,3.768,0.0115732756473767
223,3.775,0.0165745354820686
224,3.783,0.0200696375283386
225,3.790,0.0128448400105139
226,3.798,0.011753470597233
227,3.805,0.0145855912242203
228,3.813,0.0143951965602212
229,3.820,0.0100739176683834
230,3.828,0.0204708262846225
231,3.835,0.0153029711189314
232,3.843,0.0223305741633285
233,3.851,0.0116480735510907
234,3.858,0.0159931517759283
235,3.866,0.0119642646895178
236,3.873,0.0151737747397891
237,3.881,0.0210692095143342
238,3.888,0.00544324744754704
239,3.896,0.0189510688773436
240,3.903,0.0132902275280833
241,3.911,0.0111822866052356
242,3.918,0.021796789123188
243,3.926,0.0188966704019153
244,3.933,0.0279472167513033
245,3.941,0.0158605554920718
246,3.949,0.0226739645394698
247,3.956,0.0183152866957751
248,3.964,0.0269204455275936
249,3.971,0.0805063437292106
250,3.979,0.0674065108651265
251,3.986,0.0208822147550493
252,3.994,0.0167207313847822
253,4.001,0.00902334711167385
254,4.009,0.0201682347650525
255,4.016,0.0106383018509523
256,4.024,0.0192264611591996
257,4.031,0.0197670460087686
258,4.039,0.0177543024179204
259,4.046,0.0173939125182078
260,4.054,0.0110088914648078
261,4.062,0.0143407980847929
262,4.069,0.0141402037066509
263,4.077,0.0134636226685111
264,4.084,0.0256998797351705
265,4.092,0.0382081291789716
266,4.099,0.0300245585317226
267,4.107,0.0164045402463551
268,4.114,0.0166697328140682
269,4.122,0.0164147399604979
270,4.129,0.0249043020320312
271,4.137,0.0182608882203467
272,4.144,0.0184954816456314
273,4.152,0.0173769129946364
274,4.159,0.0198656432454824
275,4.167,0.0223509735916141
276,4.175,0.0188116727840586
277,4.182,0.0230343544391825
278,4.190,0.0257542782105989
279,4.197,0.0287529941685854
280,4.205,0.0308371357584332
281,4.212,0.0181078925082046
282,4.220,0.00563024220683191
283,4.227,0.0167581303366392
284,4.235,0.019168662779057
285,4.242,0.00750358970439494
286,4.250,0.064621988904139
287,4.257,0.322484362053269
288,4.265,0.379470164969157
289,4.273,0.112723840801638
290,4.280,0.0317177110794293
