#"+EI TIC Scan TOL-PLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.043612743674152
1,2.102,0.0461323655278712
2,2.110,0.0464070162512624
3,2.117,0.0350358792360769
4,2.125,0.0410990924883326
5,2.132,0.0229243794013152
6,2.140,0.0277098697230118
7,2.147,0.0262022760783101
8,2.155,0.0273964096582718
9,2.162,0.0197509694125669
10,2.170,0.0302145649069815
11,2.178,0.0299817088588889
12,2.185,0.0186971465282507
13,2.193,0.0245036210608145
14,2.200,0.0248051397897549
15,2.208,0.0247185651052076
16,2.215,0.015443132522855
17,2.223,0.00841864173873014
18,2.230,0.0166611487744159
19,2.238,0.0506282784564271
20,2.245,0.0892017784231406
21,2.253,0.0402094629712611
22,2.260,0.0241394103189262
23,2.268,0.0288442966239754
24,2.276,0.0251185998544948
25,2.283,0.0231811181210069
26,2.291,0.0252827932217396
27,2.298,0.0219033951904479
28,2.306,0.0178642383562274
29,2.313,0.0270083162447842
30,2.321,0.0149774204266699
31,2.328,0.0150848924488665
32,2.336,0.0161387153331827
33,2.343,0.0204555082247443
34,2.351,0.0159237712887896
35,2.358,0.0243036036861709
36,2.366,0.0226348020081744
37,2.373,0.0209033083172299
38,2.381,0.0196464827243202
39,2.389,0.00499744903213981
40,2.396,0.0134996801214673
41,2.404,0.010636744863509
42,2.411,0.0059617118979589
43,2.419,0.0353314272971174
44,2.426,0.0297010874675979
45,2.434,0.0169656528373062
46,2.441,0.0598499750276815
47,2.449,0.326828390167623
48,2.456,0.197333559422624
49,2.464,0.0303668169384266
50,2.471,0.0178821503599268
51,2.479,0.0176492943118343
52,2.487,0.0147833737199261
53,2.494,0.00641548265834435
54,2.502,0.0132727947412745
55,2.509,0.0144191629780378
56,2.517,0.0343193990880999
57,2.524,0.035471737992763
58,2.532,0.0478608738848658
59,2.539,0.0282740978395437
60,2.547,0.0142370576070936
61,2.554,0.0147356083767276
62,2.562,0.00414961419036698
63,2.569,0.010762128889405
64,2.577,0.0170044621786549
65,2.584,0.0199718841248598
66,2.592,0.00274352189996206
67,2.600,0.00503028770558875
68,2.607,0.00680357607183191
69,2.615,0.00774694160000167
70,2.622,0.0164462047300228
71,2.630,0.00667520671198603
72,2.637,0.0113114303361874
73,2.645,0.0343761204331481
74,2.652,0.0243901783707182
75,2.660,0.016908931492258
76,2.667,0.0221780459138391
77,2.675,0.00875598447506933
78,2.682,0.0100874434167266
79,2.690,0.0074902028803099
80,2.697,0.00627517196269885
81,2.705,0.0136101374776137
82,2.713,0.00881270582011751
83,2.720,0.00927841791630258
84,2.728,0.0110397649467461
85,2.735,0.0156879299067471
86,2.743,0.00776186826975119
87,2.750,0.0154013378475563
88,2.758,0.0366837835764241
89,2.765,0.0432425622643639
90,2.773,0.0193300373256304
91,2.780,0.0186792345245512
92,2.788,0
93,2.795,0.0313878011492939
94,2.803,0.0536165977402813
95,2.811,0.0264620001319518
96,2.818,0.0145236496662844
97,2.826,0.0235990648739935
98,2.833,0.0335611242648242
99,2.841,0.0218078645040509
100,2.848,0.0120577638236635
101,2.856,0.0126160212722956
102,2.863,0.0154073085154561
103,2.871,0.0236080208758432
104,2.878,0.023273663473454
105,2.886,0.0271068322651311
106,2.893,0.023458754178348
107,2.901,0.0244648117194658
108,2.908,0.0271008615972313
109,2.916,0.0330894415007393
110,2.924,0.0242856916824715
111,2.931,0.023646830217192
112,2.939,0.0247752864502558
113,2.946,0.0322057826515676
114,2.954,0.0231423087796582
115,2.961,0.0263037774326068
116,2.969,0.0215959057936077
117,2.976,0.351448439252484
118,2.984,8.20653674692339
119,2.991,37.7152970601327
120,2.999,79.277382005422
121,3.006,100
122,3.014,3.22698479181326
123,3.022,0.0790277603218668
124,3.029,0.0402303603089104
125,3.037,0.0313071971326464
126,3.044,0.0225750953291764
127,3.052,0.0199360601174609
128,3.059,0.0399109295762707
129,3.067,0.0573482651776617
130,3.074,0.0189479145800426
131,3.082,0.0165148674108706
132,3.089,0.0314355664924923
133,3.097,0.0229154233994654
134,3.104,0.0161357299992328
135,3.112,0.0228885553939163
136,3.119,0.015661061901198
137,3.127,0.00847834841772823
138,3.135,0.0423529327472924
139,3.142,0.0427649088323792
140,3.150,0.0692955716451787
141,3.157,0.0407169697427448
142,3.165,0.0769828065661823
143,3.172,0.0627218662874895
144,3.180,0.0677730513307275
145,3.187,0.0494072768709162
146,3.195,0.0514193919531517
147,3.202,0.0673431632419413
148,3.210,0.0633875957583181
149,3.217,0.0532464163304932
150,3.225,0.0568974797512261
151,3.233,0.0388541213580045
152,3.240,0.0291577566887153
153,3.248,0.0244737677213155
154,3.255,0.0360210394395453
155,3.263,0.0329551014729936
156,3.270,0.0494431008783151
157,3.278,0.050007328994847
158,3.285,0.022930350069215
159,3.293,0.0209988390036269
160,3.300,0.0262440707536087
161,3.308,0.0349433338836299
162,3.315,0.0507715744860225
163,3.323,0.0348895978725316
164,3.330,0.0455502254076399
165,3.338,0.0134698267819682
166,3.346,0.0744572140445633
167,3.353,1.0419054311882
168,3.361,3.05781487287403
169,3.368,0.873652009771595
170,3.376,0.60023124396776
171,3.383,0.605401842368994
172,3.391,0.631248863707265
173,3.398,0.560786026487674
174,3.406,0.475345768841413
175,3.413,0.364207756554375
176,3.421,0.335611242648242
177,3.428,0.305614607119603
178,3.436,0.272050497520829
179,3.444,0.23834607722641
180,3.451,0.227228693596966
181,3.459,0.271817641472737
182,3.466,0.407315978790993
183,3.474,0.314594491640916
184,3.481,0.209113687188947
185,3.489,0.184971291536071
186,3.496,0.248269327275892
187,3.504,0.192742115807672
188,3.511,0.156383733631787
189,3.519,0.164300839266933
190,3.526,0.174334546672562
191,3.534,0.168620617492445
192,3.541,0.151556448634792
193,3.549,0.163700787143003
194,3.557,0.168053404041963
195,3.564,0.166978683819997
196,3.572,0.156774812379225
197,3.579,0.149962280305543
198,3.587,0.144669283212363
199,3.594,0.129536625420298
200,3.602,0.130954659046502
201,3.609,0.137077578977756
202,3.617,0.13353398757922
203,3.624,0.129575434761646
204,3.632,0.118055031048966
205,3.639,0.128584303890278
206,3.647,0.11822818041806
207,3.654,0.111624621720872
208,3.662,0.119685023385613
209,3.670,0.108358666379677
210,3.677,0.121168734358716
211,3.685,0.10699138343062
212,3.692,0.10793773429274
213,3.700,0.0843565814224459
214,3.707,0.100056452664993
215,3.715,0.107167518133665
216,3.722,0.120885127633475
217,3.730,0.118467007134053
218,3.737,0.110069262732972
219,3.745,0.104546394925649
220,3.752,0.103313452004338
221,3.760,0.101928257051583
222,3.768,0.0884644009375143
223,3.775,0.0828370464419447
224,3.783,0.0949664582804058
225,3.790,0.0969397640212926
226,3.798,0.0895421064934297
227,3.805,0.101507324964646
228,3.813,0.0973786081119285
229,3.820,0.0901361879494607
230,3.828,0.0741825633211721
231,3.835,0.0942977434756273
232,3.843,0.0786904175855276
233,3.850,0.0798099178167417
