#"+EI TIC Scan TOL-PP.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.086697731408217
1,2.102,0.0701663843176672
2,2.110,0.0689338290517259
3,2.117,0.0760373300133765
4,2.125,0.0585927247034941
5,2.132,0.0539955338926433
6,2.140,0.0635229457672593
7,2.147,0.0575799007384448
8,2.155,0.0647486344300477
9,2.162,0.0546032282716729
10,2.170,0.0583764267041785
11,2.177,0.0640894405273716
12,2.185,0.0560589481400827
13,2.193,0.0537758025917513
14,2.200,0.059344617748734
15,2.208,0.051595656090713
16,2.215,0.0372478888027779
17,2.223,0.0471392306444963
18,2.230,0.0462534388377752
19,2.238,0.0924656780566332
20,2.245,0.112011463931296
21,2.253,0.0663691527741266
22,2.260,0.0500472370797394
23,2.268,0.0575181013100689
24,2.275,0.0653322956980422
25,2.283,0.0511321603778939
26,2.291,0.0582940274663439
27,2.298,0.0501914357459498
28,2.306,0.0425042735163047
29,2.313,0.052958676816559
30,2.321,0.0390641053367137
31,2.328,0.0358162020454031
32,2.336,0.0395928337794852
33,2.343,0.0477434917219494
34,2.351,0.0317614728836296
35,2.358,0.0575078014053396
36,2.366,0.0461607396952114
37,2.373,0.0404545924751711
38,2.381,0.0409112215848374
39,2.388,0.0366333278205954
40,2.396,0.0399018309213646
41,2.404,0.0410931865683886
42,2.411,0.0448251853819769
43,2.419,0.0511355936794703
44,2.426,0.0540882330352072
45,2.434,0.0375980855635746
46,2.441,0.108131833149921
47,2.449,0.395210777765376
48,2.456,0.219755334003079
49,2.464,0.0533294733868143
50,2.471,0.0392975698439115
51,2.479,0.0371963892791313
52,2.486,0.0465384028686196
53,2.494,0.0376427184840683
54,2.502,0.0597634805410595
55,2.509,0.0515132568528785
56,2.517,0.0976602633417842
57,2.524,0.102429119231457
58,2.532,0.0798173950490349
59,2.539,0.0575215346116454
60,2.547,0.0338042873216104
61,2.554,0.0366779607410891
62,2.562,0.0362522313456108
63,2.569,0.0525295141195042
64,2.577,0.0565258771544783
65,2.584,0.0605600065067931
66,2.592,0.041158419298341
67,2.599,0.0348548776040005
68,2.607,0.028966765400409
69,2.615,0.0365337620748787
70,2.622,0.031270510758199
71,2.630,0.0378315500707724
72,2.637,0.0371517563586376
73,2.645,0.0490275465115373
74,2.652,0.0486945162586228
75,2.660,0.0517432880584999
76,2.667,0.0493708766691811
77,2.675,0.0327605636423732
78,2.682,0.0321151029460028
79,2.690,0.0304156186656659
80,2.697,0.0353939059515012
81,2.705,0.0458311427438733
82,2.713,0.0304465183798538
83,2.720,0.0309443471084374
84,2.728,0.0451376158254328
85,2.735,0.0401455953332917
86,2.743,0.0433831987198729
87,2.750,0.0457247103950037
88,2.758,0.0579678638165823
89,2.765,0.0681167032765336
90,2.773,0.0576863330873144
91,2.780,0.0449865505560695
92,2.788,0.0311675117109058
93,2.795,0.0656069598241573
94,2.803,0.0858256728078017
95,2.810,0.0548504259851764
96,2.818,0.0407361232044391
97,2.826,0.0435376972908126
98,2.833,0.0632723147521793
99,2.841,0.0550770238892214
100,2.848,0.0386246427349296
101,2.856,0.0336944216711643
102,2.863,0.0473417954375061
103,2.871,0.0522205169776248
104,2.878,0.0601857766349614
105,2.886,0.0595128495259795
106,2.893,0.0433625989104143
107,2.901,0.0476919921983028
108,2.908,0.0652773628728192
109,2.916,0.0631246827843925
110,2.923,0.0529861432291705
111,2.931,0.0505484991098994
112,2.939,0.0459959412195424
113,2.946,0.0507956968234029
114,2.954,0.0465590026780782
115,2.961,0.0435376972908126
116,2.969,0.0527423788172434
117,2.976,0.524989577354739
118,2.984,10.7696044180823
119,2.991,47.2625170708046
120,2.999,93.0906041762749
121,3.006,100
122,3.014,1.19905997576158
123,3.021,0.0990232840676301
124,3.029,0.0763634936631381
125,3.037,0.0661528547748109
126,3.044,0.0545036625259562
127,3.052,0.0413541174881979
128,3.059,0.0714607390119844
129,3.067,0.0723739972313169
130,3.074,0.0474928607068694
131,3.082,0.0584450927357072
132,3.089,0.0634371132278483
133,3.097,0.0399498971434347
134,3.104,0.0315692079953491
135,3.112,0.0477743914361373
136,3.119,0.035548404522441
137,3.127,0.0354385388719949
138,3.134,0.066952814042121
139,3.142,0.0657202587761797
140,3.150,0.0975194979771502
141,3.157,0.0503356344121602
142,3.165,0.0248571034134125
143,3.172,0.0409112215848374
144,3.180,0.0588021560996568
145,3.187,0.0391739709871597
146,3.195,0.0381611470221104
147,3.202,0.0526634128809853
148,3.210,0.042960902625971
149,3.217,0.0363517970913275
150,3.225,0.034185383796595
151,3.232,0.0376701848966798
152,3.240,0.0263437229960102
153,3.248,0.0140147370350207
154,3.255,0.0176197036902808
155,3.263,0.0342471832249709
156,3.270,0.0572709035965654
157,3.278,0.0547233938268482
158,3.285,0.0312018447266702
159,3.293,0.0318782051372285
160,3.300,0.0236794809726942
161,3.308,0.041518915963867
162,3.315,0.0676978404842081
163,3.323,0.0496867404142134
164,3.330,0.0450002837623753
165,3.338,0.0254407646814069
166,3.345,0.0233086844024388
167,3.353,0.0295813263825914
168,3.361,0.0134928751954021
169,3.368,0.0265256879795614
170,3.376,0.0300036224764933
171,3.383,0.0188934585751393
172,3.391,0.00459032420769785
173,3.398,0.0142516348437949
174,3.406,0.0263505895991631
175,3.413,0.0159614190288611
176,3.421,0.0190651236539612
177,3.428,0.0198170166992012
178,3.436,0.0174137055956945
179,3.443,0.0160369516635428
180,3.451,0.0139529376066448
181,3.459,0.0796079636528722
182,3.466,0.227006466932516
183,3.474,0.159675989716987
184,3.481,0.0535869710050472
185,3.489,0.0428373037692192
186,3.496,0.09897521784556
187,3.504,0.0600793442860918
188,3.511,0.0282938382914271
189,3.519,0.0239713116066914
190,3.526,0.0183853299418265
191,3.534,0.0184471293702024
192,3.541,0.0190513904476555
193,3.549,0.0131598449424876
194,3.556,0.0272569812153428
195,3.564,0.0345046808432038
196,3.572,0.0297701579692955
197,3.579,0.0175544709603284
198,3.587,0.0194221870179108
199,3.594,0.00496112077795318
200,3.602,0.0158412534736858
201,3.609,0.00798242616521878
202,3.617,0.00688033635918212
203,3.624,0.0170738087396271
204,3.632,0.0093145471768768
205,3.639,0.0238168130357517
206,3.647,0.00376976513092913
207,3.654,0
208,3.662,0.0123736188814832
209,3.669,0.0199337489528001
210,3.677,0.012387352087789
211,3.685,0.012967580054207
212,3.692,0.0130946122125352
213,3.700,0.00627264198015256
214,3.707,0.018052299688912
215,3.715,0.0303709857451722
216,3.722,0.0152335590946562
217,3.730,0.0152747587135735
218,3.737,0.0276174778808688
219,3.745,0.0175544709603284
220,3.752,0.0305701172366056
221,3.760,0.0124560181193177
222,3.767,0.0195835521920034
223,3.775,0.0242700088438415
224,3.783,0.0240159445271851
225,3.790,0.0138259054483166
226,3.798,0.00979864269915458
227,3.805,0.0162807160754699
228,3.813,0.0125418506587287
229,3.820,0.0159373859178261
230,3.828,0.0195148861604746
231,3.835,0.0137812725278229
232,3.843,0.012552150563458
233,3.850,0.00808885851408836
234,3.858,0.0238957789720098
235,3.865,0.00878581873410532
236,3.873,0.0153537246498316
237,3.880,0.0210736050761776
238,3.888,0.0133933094496854
239,3.896,0.0117624912008772
240,3.903,0.0212967696786461
241,3.911,0.0154361238876661
242,3.918,0.0138327720514694
243,3.926,0.0165622468047378
244,3.933,0.0208435738705562
245,3.941,0.0182582977834983
246,3.948,0.0169502098828753
247,3.956,0.00696273559701664
248,3.963,0.0181552987362051
249,3.971,0.0805280884753576
250,3.978,0.0698882868899757
251,3.986,0.0259591932194491
252,3.994,0.0152026593804683
253,4.001,0.0200092815874817
254,4.009,0.0308482146642971
255,4.016,0.0222752606279309
256,4.024,0.0206581755854286
257,4.031,0.013383009544956
258,4.039,0.0192779883517004
259,4.046,0.038071881181123
260,4.054,0.0175647708650578
261,4.061,0.0133418099260388
262,4.069,0.0101145064441869
263,4.076,0.0171081417553915
264,4.084,0.0341716505902893
265,4.091,0.0476198928651976
266,4.099,0.0344669145258629
267,4.107,0.0214547015511622
268,4.114,0.014330600780053
269,4.122,0.01657941331262
270,4.129,0.0232606181803687
271,4.137,0.0213723023133277
272,4.144,0.00890941759085709
273,4.152,0.00756013007131688
274,4.159,0.0142653680501007
275,4.167,0.0238065131310224
276,4.174,0.0107531005374044
277,4.182,0.0160403849651192
278,4.189,0.01277188186435
279,4.197,0.0282457720693569
280,4.205,0.00865191997262423
281,4.212,0.00347793449693188
282,4.220,0.0199886817780231
283,4.227,0.0209568728225787
284,4.235,0.0178531681974786
285,4.242,0.0183132306087213
286,4.250,0.0559147494738723
287,4.257,0.349777898004369
288,4.265,0.435236207543492
289,4.272,0.126410730742878
290,4.280,0.0313563432976099
291,4.287,0.0128508478006081
292,4.295,0.0126551496107512
293,4.302,0.0183509969260621
294,4.310,0.00421609433586609
295,4.318,0.0210289721556839
296,4.325,0.0151545931583981
297,4.333,0.0169742429939104
298,4.340,0.0131220786251467
299,4.348,0.0208058075532154
300,4.355,0.0209259731083907
301,4.363,0.00853175441744889
302,4.370,0.0263643228054688
303,4.378,0.00987417533383622
304,4.385,0.0159751522351669
305,4.393,0.0215577005984554
306,4.400,0.0176986696265388
307,4.408,0.0346832125251785
308,4.416,0.0880916518482509
309,4.423,0.17201184228113
310,4.431,0.0760544965212587
311,4.438,0.0265977873126666
312,4.446,0.0266836198520776
313,4.453,0.0158446867752622
314,4.461,0.0218048983119589
315,4.468,0.00670180467720734
316,4.476,0.00432252668473567
317,4.483,0.0303778523483251
318,4.491,0.0175956705792457
319,4.498,0.0176849364202331
320,4.506,0.0215165009795381
321,4.513,0.0103170712371967
322,4.521,0.0177364359438797
323,4.529,0.0224434924051764
324,4.536,0.0126414164044454
325,4.544,0.0165073139795148
326,4.551,0.0122912196436487
327,4.559,0.019940615555953
328,4.566,0.0224572256114822
329,4.574,0.013077445704653
330,4.581,0.0296671589220024
331,4.589,0.0087034194962708
332,4.596,0.00985357552437759
333,4.604,0.0249978687780464
334,4.611,0.0181999316566988
335,4.619,0.0150378609047992
336,4.626,0.0113779614243161
337,4.634,0.014910828746471
338,4.642,0.0190960233681492
339,4.649,0.0152850586183028
340,4.657,0.0184436960686259
341,4.664,0.00688376966075856
342,4.672,0.00720306670736731
343,4.679,0.0119547560891578
344,4.687,0.0126345498012925
345,4.694,0.025880227283191
346,4.702,0.0282663718788156
347,4.709,0.00910511578071407
348,4.717,0.0224263258972942
349,4.724,0.021633233233137
350,4.732,0.0323623006595063
351,4.740,0.0227902558643967
352,4.747,0.0188762920672571
353,4.755,0.0236520145600827
354,4.762,0.0155459895381121
355,4.770,0.0210564385682954
356,4.777,0.0182960641008391
357,4.785,0.0162875826786228
358,4.792,0.015882453092603
359,4.800,0.0102278053962094
360,4.807,0.0141280359870431
361,4.815,0.020967172727308
362,4.822,0.0169845428986397
363,4.830,0.0222237611042844
364,4.837,0.0243901743990169
365,4.845,0.0175304378492934
366,4.853,0.0205551765381354
367,4.860,0.0181346989267465
368,4.868,0.00617650953601229
369,4.875,0.00319297046608751
370,4.883,0.0191749893044073
371,4.890,0.0119272896765463
372,4.898,0.0228829550069605
373,4.905,0.0165416469952792
374,4.913,0.0204212777766543
375,4.920,0.00871371940100011
376,4.928,0.00368736589309461
377,4.935,0.0132353775771692
378,4.943,0.0160575514730014
379,4.951,0.01402503693975
380,4.958,0.0282560719740863
381,4.966,0.0385113437829071
382,4.973,0.0244313740179341
383,4.981,0.028661201560106
384,4.988,0.0100218073016231
385,4.996,0.0206925086011929
386,5.003,0.0223576598657655
387,5.011,0.0168060112166649
388,5.018,0.0283419045134972
389,5.026,0.0231644857362284
390,5.033,0.0122362868184257
391,5.041,0.013249110783475
392,5.048,0.0199749485717174
393,5.056,0.0283419045134972
394,5.064,0.0193878540021464
395,5.071,0.0160850178856129
396,5.079,0.0107084676169107
397,5.086,0.0274114797862825
398,5.094,0.0143615004942409
399,5.101,0.0107908668547452
400,5.109,0.0288912327657273
401,5.116,0.0114809604716093
402,5.124,0.0247369378582371
403,5.131,0.0204350109829601
404,5.139,0.0123083861515309
405,5.146,0.0124697513256235
406,5.154,0.0124697513256235
407,5.162,0.00981237590546033
408,5.169,0.0144301665257697
409,5.177,0.0186771605758237
410,5.184,0.0123839187862125
411,5.192,0.0164626810590211
412,5.199,0.0194462201289459
413,5.207,0.0156970548074754
414,5.214,0.0183338304181799
415,5.222,0.0119444561844284
416,5.229,0.0269308175655811
417,5.237,0.00477915579440195
418,5.244,0.0213791689164806
419,5.252,0.017441172008306
420,5.259,0.0224194592941413
421,5.267,0.0111582301234241
422,5.275,0.00565464769639369
423,5.282,0.022330193453154
424,5.290,0.025049368301693
425,5.297,0.0189518247019388
426,5.305,0.0120920881522153
427,5.312,0.0125143842461172
428,5.320,0.0265668875984787
429,5.327,0.0272913142311071
430,5.335,0.0220692625333447
