#"+EI TIC Scan TOL-SLA.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0759009960325824
1,2.102,0.0673748339199071
2,2.110,0.0711635886499215
3,2.117,0.0558094697904198
4,2.125,0.0760913121511688
5,2.132,0.0742701332933104
6,2.140,0.0644791009771064
7,2.147,0.0619288649880473
8,2.155,0.0512565226457735
9,2.162,0.047968445704656
10,2.170,0.0432603177248545
11,2.177,0.0489317380587323
12,2.185,0.0445222599880973
13,2.193,0.0472247488720256
14,2.200,0.057159250262241
15,2.208,0.0508846742294583
16,2.215,0.0323947313237083
17,2.223,0.0552121699720868
18,2.230,0.0506709345885843
19,2.238,0.249864568122074
20,2.245,0.279878883993308
21,2.253,0.127113599574067
22,2.260,0.0616946297651716
23,2.268,0.0749259919173623
24,2.275,0.0640486937550723
25,2.283,0.055961722685289
26,2.290,0.0657820344043524
27,2.298,0.0541463997080024
28,2.306,0.0497866966222285
29,2.313,0.0461589786079412
30,2.321,0.054005858574277
31,2.328,0.0469056033808575
32,2.336,0.0378084929124228
33,2.343,0.0422091871621999
34,2.351,0.04764051639263
35,2.358,0.0574461884102637
36,2.366,0.04078620818323
37,2.373,0.0448619010612671
38,2.381,0.0474677679157592
39,2.388,0.031812071206805
40,2.396,0.0407247214372252
41,2.404,0.0380251604935828
42,2.411,0.0404758465129197
43,2.419,0.0538858130225532
44,2.426,0.0519182371503973
45,2.434,0.0285825530714064
46,2.441,0.071081606321915
47,2.449,0.329103416080635
48,2.456,0.271393713044636
49,2.464,0.058462183689487
50,2.471,0.0440625733632038
51,2.479,0.0373136710040979
52,2.486,0.0298415673943633
53,2.494,0.0231541517812622
54,2.501,0.0474414164531857
55,2.509,0.0432632456651405
56,2.517,0.0576160089468486
57,2.524,0.1654198423351
58,2.532,1.4372146246401
59,2.539,0.754723455747198
60,2.547,0.269385146008477
61,2.554,0.180721258269455
62,2.562,0.140994964469737
63,2.569,0.121852090880221
64,2.577,0.103915528688515
65,2.584,0.10103736338743
66,2.592,0.0952400416212568
67,2.599,0.0696527714623733
68,2.607,0.0736816172958352
69,2.615,0.0759624827785872
70,2.622,0.0643736951268123
71,2.630,0.0636329262344679
72,2.637,0.0836395422083381
73,2.645,0.171372344936429
74,2.652,0.10279998343957
75,2.660,0.0785419981705058
76,2.667,0.0706863343833122
77,2.675,0.0659196475977919
78,2.682,0.170467611388071
79,2.690,0.219106555418209
80,2.697,0.100873398731417
81,2.705,0.0828343586297029
82,2.712,0.15078014090537
83,2.720,0.135162507420133
84,2.728,0.0732746335960886
85,2.735,0.0580376323480248
86,2.743,0.0603565610544942
87,2.750,0.0518479665835346
88,2.758,0.081630975172179
89,2.765,0.0800293918357664
90,2.773,0.0657117638374897
91,2.780,0.0673748339199071
92,2.788,0.049054711550742
93,2.795,0.0669122193547276
94,2.803,0.0909388973412018
95,2.810,0.0551770346886554
96,2.818,0.0441269880494946
97,2.826,0.049596380503642
98,2.833,0.0631234646247133
99,2.841,0.0538506777391218
100,2.848,0.0439161763489065
101,2.856,0.028497642803114
102,2.863,0.059984712638179
103,2.871,0.050629943424581
104,2.878,0.0427303605330983
105,2.886,0.0423614400570691
106,2.893,0.0446159540772476
107,2.901,0.0457724904901963
108,2.908,0.0430143707408351
109,2.916,0.0616917018248856
110,2.923,0.0469202430822872
111,2.931,0.0539385159477002
112,2.939,0.0493680011613382
113,2.946,0.0518362548223908
114,2.954,0.0490752071327436
115,2.961,0.0525213928493023
116,2.969,0.0474706958560451
117,2.976,0.288173738823393
118,2.984,7.14184658518131
119,2.991,35.6347227015098
120,2.999,76.228369035954
121,3.006,100
122,3.014,4.0906429411371
123,3.021,0.0917587206212668
124,3.029,0.0676764117693596
125,3.037,0.0712309312764982
126,3.044,0.0377089429427006
127,3.052,0.0424053591613583
128,3.059,0.069831375819816
129,3.067,0.075265632990532
130,3.074,0.0567142033387772
131,3.082,0.0533880631739423
132,3.089,0.0514585505255038
133,3.097,0.0377821414498493
134,3.104,0.0340109543615506
135,3.112,0.0455938861327536
136,3.119,0.0371321387063692
137,3.127,0.0401039980966046
138,3.134,0.061018275559118
139,3.142,0.0741208083387271
140,3.150,0.0800206080149086
141,3.157,0.0549720788686392
142,3.165,0.0394920585768418
143,3.172,0.0476697957954895
144,3.180,0.0631849513707182
145,3.187,0.0477664178249257
146,3.195,0.0435326161714475
147,3.202,0.0490781350730296
148,3.210,0.033770863258103
149,3.217,0.027572413672755
150,3.225,0.0201822923910269
151,3.232,0.0395886806062781
152,3.240,0.0264070934389484
153,3.247,0.0251744305785651
154,3.255,0.0303276054818303
155,3.263,0.0317242329982267
156,3.270,0.0822897617365169
157,3.278,0.0799561933286178
158,3.285,0.0400044481268824
159,3.293,0.0307433730024347
160,3.300,0.0304769304364136
161,3.308,0.0433686515154346
162,3.315,0.0651876625263054
163,3.323,0.0490166483270247
164,3.330,0.0491864688636096
165,3.338,0.028497642803114
166,3.345,0.0170493962850645
167,3.353,0.0384819191781904
168,3.361,0.076788161939224
169,3.368,0.0585207424952059
170,3.376,0.0586993468526487
171,3.383,0.0359111876071297
172,3.391,0.0288665632791432
173,3.398,0.0257365951134668
174,3.406,0.0296658909772065
175,3.413,0.0219507683237384
176,3.421,0.0308634185541585
177,3.428,0.0184577355626046
178,3.436,0.0222172108897595
179,3.443,0.0215437846239919
180,3.451,0.0253706025777235
181,3.458,0.0898731270771174
182,3.466,0.225012210974963
183,3.474,0.138143150631226
184,3.481,0.0492450276693285
185,3.489,0.0377206547038444
186,3.496,0.0867343750905832
187,3.504,0.0603565610544942
188,3.511,0.0141126721782605
189,3.519,0.00967098676448017
190,3.526,0.0131230283616107
191,3.534,0.0211660803271048
192,3.541,0.0167624581370418
193,3.549,0.0156761922909558
194,3.556,0.0233561796609925
195,3.564,0.0355012759670972
196,3.572,0.0211602244465329
197,3.579,0.0151667306812011
198,3.587,0.0225217166794979
199,3.594,0.0152399291883498
200,3.602,0.0161036715727039
201,3.609,0.0132811371370518
202,3.617,0.0130996048393231
203,3.624,0.00924350748273203
204,3.632,0.00912053399072229
205,3.639,0.0128126666913004
206,3.647,0.0161300230352774
207,3.654,0.0121450963061047
208,3.662,0.0101833763145208
209,3.669,0.0135095164793556
210,3.677,0.0112227951160316
211,3.685,0.0064883156736567
212,3.692,0.0202613467787474
213,3.700,0.00355451950713864
214,3.707,0.00550745567786473
215,3.715,0.0121392404255328
216,3.722,0.0100838263447986
217,3.730,0.0135446517627869
218,3.737,0.0146953322951638
219,3.745,0.0217487404440081
220,3.752,0.0187388178300554
221,3.760,0.0189730530529311
222,3.767,0.0145811426240119
223,3.775,0.0222377064717611
224,3.783,0.0149617748611849
225,3.790,0.0102712145230991
226,3.798,0.00200563909587312
227,3.805,0.0105845041336954
228,3.813,0.00987301464421046
229,3.820,0.0131874430479015
230,3.828,0.00661421710595238
231,3.835,0.012071897798956
232,3.843,0.0066405685685259
233,3.850,0.0146572690714465
234,3.858,0.00609011579476802
235,3.865,0.013052757794748
236,3.873,0.0141507354019778
237,3.880,0.00768291531032273
238,3.888,0.0101482410310894
239,3.896,0.0114541023986214
240,3.903,0.00609304373505396
241,3.911,0.0147597469814546
242,3.918,0.010277070403671
243,3.926,0.0150759645323368
244,3.933,0.0245771307602321
245,3.941,0.00391465616231002
246,3.948,0.0168473684053342
247,3.956,0.0021373964087407
248,3.963,0.0213505405651194
249,3.971,0.0709849842924788
250,3.978,0.0697962405363846
251,3.986,0.0194268837972528
252,3.993,0.0167800257787575
253,4.001,0.0171138109713553
254,4.009,0.0180858871462894
255,4.016,0.0336742412286668
256,4.024,0.0198280116164274
257,4.031,0.0130088386904588
258,4.039,0.0132430739133345
259,4.046,0.0141126721782605
260,4.054,0.0272913314053042
261,4.061,0.0136061385087918
262,4.069,0.0179512018931359
263,4.076,0.0168561522261921
264,4.084,0.0194385955583966
265,4.091,0.0409677404809587
266,4.099,0.0306438230327125
267,4.107,0.0228906371555271
268,4.114,0.0155942099629493
269,4.122,0.0145342955794367
270,4.129,0.0219039212791632
271,4.137,0.0202525629578896
272,4.144,0.0276895312841929
273,4.152,0.0274611519418891
274,4.159,0.02207959769632
275,4.167,0.0170171889419191
276,4.174,0.0130644695558918
277,4.182,0.0227618077829455
278,4.189,0.00993742933050127
279,4.197,0.00767705942975084
280,4.204,0.0110149113557295
281,4.212,0.00752773447516758
282,4.220,0.0130644695558918
283,4.227,0.00858472091839415
284,4.235,0.00785566378719355
285,4.242,0.0106020717754111
286,4.250,0.0611588166928434
287,4.257,0.314487138173191
288,4.265,0.401329847054354
289,4.272,0.110377492899598
290,4.280,0.0266003374978209
291,4.287,0.0180858871462894
292,4.295,0.0148973601748941
293,4.302,0.00921130013958663
294,4.310,0.01163563469635
295,4.318,0.0127423961244377
296,4.325,0.00245946984019478
297,4.333,0.0137788869856626
298,4.340,0.0128682975567334
299,4.348,0.0260996597089241
300,4.355,0.0128243784524442
301,4.363,0.00578561000502962
302,4.370,0.0108040996551413
303,4.378,0.0102097277770943
304,4.385,0.0221937873674719
305,4.393,0.0198894983624323
306,4.400,0.0235201443170055
307,4.408,0.0180185445197127
308,4.415,0.0898555594354018
309,4.423,0.163197535658067
310,4.431,0.0760942400914548
311,4.438,0.0214413067139837
312,4.446,0.0160656083489866
313,4.453,0.0090766148864331
314,4.461,0.0127423961244377
315,4.468,0.0162149333035698
316,4.476,0.0162412847661434
317,4.483,0.0115682920697733
318,4.491,0.0162032215424261
319,4.498,0.0163788979595828
320,4.506,0.0262314170217917
321,4.513,0.0282136325953772
322,4.521,0.0462087535928023
323,4.529,0.0244687969696521
324,4.536,0.0268755638846998
325,4.544,0.0228496459915238
326,4.551,0.0198572910192869
327,4.559,0.0192804867829555
328,4.566,0.0183142664885932
329,4.574,0.0236753251521607
330,4.581,0.0285415619074032
331,4.589,0.0109592804902965
332,4.596,0
333,4.604,0.0230136106475368
334,4.611,0.0194649470209701
335,4.619,0.0151433071589135
336,4.626,0.0115712200100592
337,4.634,0.0122124389326814
338,4.642,0.00613403489905721
339,4.649,0.0298767026777946
340,4.657,0.0108685143414322
341,4.664,0.00592907907904098
342,4.672,0.0161797980201385
343,4.679,0.0138286619705237
344,4.687,0.0117205449646425
345,4.694,0.013380687106774
346,4.702,0.0171928653590759
347,4.709,0.00357501508914026
348,4.717,0.00811917841292871
349,4.724,0.0267174551092587
350,4.732,0.0250748806088429
351,4.740,0.0321604961008326
352,4.747,0.00863449590325523
353,4.755,0.0179863371765673
354,4.762,0.0109270731471511
355,4.770,0.0273850254944545
356,4.777,0.0108919378637197
357,4.785,0.021807299249727
358,4.792,0.0165516464364537
359,4.800,0.0139984825071086
360,4.807,0.0174066049999499
361,4.815,0.0302339113926801
362,4.822,0.0297771527080725
363,4.830,0.0324269386668537
364,4.837,0.0270043932572815
365,4.845,0.0327636517997376
366,4.853,0.102571604097266
367,4.860,0.249542494690619
368,4.868,0.157089852221583
369,4.875,0.0678315926045147
370,4.883,0.0437404999317497
371,4.890,0.0288372838762837
372,4.898,0.0305735524658498
373,4.905,0.0263368228720857
374,4.913,0.020668330478494
375,4.920,0.0230516738712541
376,4.928,0.0236723972118747
377,4.935,0.0249489791765472
378,4.943,0.0183230503094511
379,4.950,0.0262431287829355
380,4.958,0.0439718072143395
381,4.966,0.0576394324691361
382,4.973,0.0289397617862919
383,4.981,0.0258976318291938
384,4.988,0.0166189890630304
385,4.996,0.0151345233380557
386,5.003,0.0188032325163463
387,5.011,0.0426542340856637
388,5.018,0.239265424286948
389,5.026,0.394097834548067
390,5.033,0.144731016274605
391,5.041,0.0734678776549611
392,5.048,0.048237816210963
393,5.056,0.0453274435667325
394,5.064,0.03708821960208
395,5.071,0.0454562729393142
396,5.079,0.037957817867006
397,5.086,0.0286762471605567
398,5.094,0.0279618297307858
399,5.101,0.0275314225087518
400,5.109,0.0360517287408551
401,5.116,0.0213066214608302
402,5.124,0.0161417347964212
403,5.131,0.0213007655802583
404,5.139,0.032465001890571
405,5.146,0.0628189588349749
406,5.154,0.249448800601469
407,5.161,0.263394580183431
408,5.169,0.110687854569909
409,5.177,0.0532094588164996
410,5.184,0.0468206931125651
411,5.192,0.053677929262251
412,5.199,0.0452161818358666
413,5.207,0.0379021870015731
414,5.214,0.0366314609174724
415,5.222,0.0364587124406016
416,5.229,0.0300435952740936
417,5.237,0.0345379836130209
418,5.244,0.286607290770412
419,5.252,1.08749850894641
420,5.259,0.731569303965936
421,5.267,0.240178941656164
422,5.275,0.142968396222465
423,5.282,0.114016922675029
424,5.290,0.0935798994791253
425,5.297,0.0811273694429963
426,5.305,0.0695737170746527
427,5.312,0.0653077080780291
428,5.320,0.0578707397517259
429,5.327,0.0641423878442226
430,5.335,0.0498101201445161
431,5.342,0.0480943471369517
432,5.350,0.034535055672735
433,5.357,0.0527087810276028
434,5.365,0.0457432110873369
435,5.372,0.0452044700747228
436,5.380,0.0433276603514313
437,5.388,0.0392373277719645
438,5.395,0.0386371000133456
439,5.403,0.0312967537164785
440,5.410,0.0340138823018366
441,5.418,0.0368569123194903
442,5.425,0.027900342984781
443,5.433,0.0269136271084171
444,5.440,0.0274025931361701
445,5.448,0.0284566516391107
446,5.455,0.0287377339065616
447,5.463,0.0278915591639231
448,5.470,0.0288460676971416
449,5.478,0.0477986251680711
450,5.486,0.0293321057846086
451,5.493,0.0295985483506297
452,5.501,0.0365933976937551
453,5.508,0.028280975221954
454,5.516,0.0204867981807653
455,5.523,0.0273118269873058
456,5.531,0.0162734921092888
457,5.538,0.0200915262421626
458,5.546,0.025396954040297
459,5.553,0.0337210882732419
460,5.561,0.0276134048367583
461,5.568,0.0168620081067639
462,5.576,0.02599425385863
463,5.583,0.0253178996525765
464,5.591,0.0321985593245499
465,5.599,0.0338733411681111
466,5.606,0.0340197381824085
467,5.614,0.537771864379446
468,5.621,2.59204112046185
469,5.629,2.32412287253663
470,5.636,0.715319235378935
471,5.644,0.328400710412007
472,5.651,0.223144185072529
473,5.659,0.174080689700929
474,5.666,0.126876436410905
475,5.674,0.124053901975253
476,5.681,0.0905553371637429
477,5.689,0.0886726715598795
478,5.696,0.0714534547382301
479,5.704,0.0686572717651515
480,5.712,0.0657644667626367
481,5.719,0.0584299763463416
482,5.727,0.0743228362184574
483,5.734,0.0732277865515135
484,5.742,0.0675534382773498
485,5.749,0.0408652625709506
486,5.757,0.0470842077383002
487,5.764,0.0450463612992817
488,5.772,0.0458603286987747
489,5.779,0.042475629728221
490,5.787,0.0421535562967669
491,5.794,0.0407686405415144
492,5.802,0.036054656681141
493,5.810,0.0294902145600497
494,5.817,0.0224426622917773
495,5.825,0.0305589127644201
496,5.832,0.0310625184936028
497,5.840,0.039863906993157
498,5.847,0.0301782805272471
499,5.855,0.0406046758855014
500,5.862,0.0343330277930047
501,5.870,0.0294960704406216
502,5.877,0.0293350337248946
503,5.885,0.0311854919856126
504,5.892,0.0248142939233937
505,5.900,0.0358994758459859
506,5.907,0.0344589292253004
507,5.915,0.0303422451832601
508,5.923,0.0318823417736678
509,5.930,0.0296571071563487
510,5.938,0.0237397398384515
511,5.945,0.0240705970907634
512,5.953,0.0203696805693274
513,5.960,0.0262226332009338
514,5.968,0.0318091432665191
515,5.975,0.0213768920276929
516,5.983,0.0227296004398001
517,5.990,0.0349069040890501
518,5.998,0.0298357115137914
519,6.005,0.0229433400806741
520,6.013,0.0259854700377722
521,6.021,0.0318091432665191
522,6.028,0.0495495334590669
523,6.036,0.0353812304153734
524,6.043,0.0199392733472934
525,6.051,0.0242287058662045
526,6.058,0.0282575516996664
527,6.066,0.0252242055634262
528,6.073,0.0334195104237895
529,6.081,0.0310625184936028
530,6.088,0.0269575462127063
531,6.096,0.0193741808721058
532,6.103,0.031923332937671
533,6.111,0.0280818752825096
534,6.118,0.0293496734263243
535,6.126,0.0476990751983489
536,6.134,0.0662856401335352
537,6.141,0.0634162586533079
538,6.149,0.0496900745927923
539,6.156,0.03295689585861
540,6.164,0.0420891416104761
541,6.171,0.0384057927307558
542,6.179,0.0297273777232114
543,6.186,0.0432808133068562
544,6.194,0.0296336836340611
545,6.201,0.0365260550671784
546,6.209,0.0327900032623111
547,6.216,0.0345701909561663
548,6.224,0.0330798693506197
549,6.232,0.0223431123220552
550,6.239,0.0354397892210923
551,6.247,0.0330740134700478
552,6.254,0.0402621068720457
553,6.262,0.0194385955583966
554,6.269,0.0341397837341322
555,6.277,0.0416616623287279
556,6.284,0.0538916689031251
557,6.292,0.0404582788712041
558,6.299,0.0353812304153734
559,6.307,0.0289953926517248
560,6.314,0.0279793973725015
561,6.322,0.0297273777232114
562,6.329,0.0254438010848721
563,6.337,0.0224309505306335
564,6.345,0.0255140716517349
565,6.352,0.0240588853296196
566,6.360,0.0330008149628992
567,6.367,0.0300494511546655
568,6.375,0.0259298391723392
569,6.382,0.0359931699351362
570,6.390,0.0284010207736778
571,6.397,0.0228584298123817
572,6.405,0.0242345617467764
573,6.412,0.0477371384220662
574,6.420,0.0573495663808275
575,6.427,0.0404670626920619
576,6.435,0.0343300998527187
577,6.442,0.0272298446592993
578,6.450,0.0355071318476691
579,6.458,0.034860057044475
580,6.465,0.0222113550091876
581,6.473,0.0243048323136391
582,6.480,0.0331384281563387
583,6.488,0.0347224438510355
584,6.495,0.0443290159292249
585,6.503,0.0412605345095533
586,6.510,0.0426864414288091
587,6.518,0.042639594384234
588,6.525,0.0442997365263654
589,6.533,0.0354924921462394
590,6.540,0.0437873469763249
591,6.548,0.0358174935179794
592,6.556,0.0401596289620376
593,6.563,0.045954022787925
594,6.571,0.0338411338249657
595,6.578,0.0484310602698355
596,6.586,0.0443700070932281
597,6.593,0.0536486498593915
598,6.601,0.0529283765490488
599,6.608,0.0597329097735876
600,6.616,0.0682854233488364
601,6.623,0.0692487157029127
602,6.631,0.0465571784868299
603,6.638,0.0437756352151811
604,6.646,0.0364147933363124
605,6.653,0.0504366993657086
606,6.661,0.0416733740898717
607,6.669,0.055525459582683
608,6.676,0.0430290104422648
609,6.684,0.0460799242202207
610,6.691,0.0441299159897806
611,6.699,0.0551711788080835
612,6.706,0.0555869463286879
613,6.714,0.046334655025098
614,6.721,0.0525126090284444
615,6.729,0.0542283820360089
616,6.736,0.0527556280721779
617,6.744,0.0550423494355019
618,6.751,0.0464839799796813
619,6.759,0.050249311187408
620,6.767,0.0406163876466452
621,6.774,0.0490634953715998
622,6.782,0.0415679682395777
623,6.789,0.0368803358417779
624,6.797,0.0378055649721368
625,6.804,0.0384643515364747
626,6.812,0.04448419676438
627,6.819,0.0259239832917673
628,6.827,0.0276983151050507
629,6.834,0.0314109433876304
630,6.842,0.0305764804061358
631,6.849,0.0556191536718333
632,6.857,0.046659656396838
633,6.864,0.0462526726970915
634,6.872,0.0668009576238617
635,6.880,0.0622626501806451
636,6.887,0.0602540831444861
637,6.895,0.069450743582643
638,6.902,0.0546792848400446
639,6.910,0.0537628395305434
640,6.917,0.0601164699510466
641,6.925,0.0511511167954794
642,6.932,0.0713334091865063
643,6.940,0.0944729212663389
644,6.947,0.0857388753933615
645,6.955,0.0709879122327647
646,6.962,0.0583626337197648
647,6.970,0.059334709894699
648,6.978,0.0596538553858671
649,6.985,0.0676383485456423
650,6.993,0.0651173919594426
651,7.000,0.0666545606095644
652,7.008,0.0634865292201706
653,7.015,0.0661480269400957
654,7.023,0.086582122195714
655,7.030,0.141164785006322
656,7.038,0.147090936145077
657,7.045,0.0991869051267122
658,7.053,0.0828431424505607
659,7.060,0.0799298418660443
660,7.068,0.0743843229644622
661,7.075,0.0599525052950336
662,7.083,0.0660543328509454
663,7.091,0.0617385488694608
664,7.098,0.0684493880048494
665,7.106,0.0642712172168042
666,7.113,0.0611793122748451
667,7.121,0.0784131687979242
668,7.128,0.0694419597617851
669,7.136,0.0588779512100914
670,7.143,0.0583802013614805
671,7.151,0.0667014076541395
672,7.158,0.0841548596986646
673,7.166,0.117837884748189
674,7.173,0.0984578479955116
675,7.181,0.0921598484404414
676,7.189,0.0790075406759712
677,7.196,0.0693072745086316
678,7.204,0.072712469061187
679,7.211,0.0602540831444861
680,7.219,0.0868309971200194
681,7.226,0.159224320690038
682,7.234,0.21363130708349
683,7.241,0.157997513710227
684,7.249,0.112286509966035
685,7.256,0.122932500845736
686,7.264,0.11190002184829
687,7.271,0.0868778441645945
688,7.279,0.077932986591029
689,7.286,0.0901424975834245
690,7.294,0.0807408813252514
691,7.302,0.0753124800351072
692,7.309,0.086690455986294
693,7.317,0.102290521829815
694,7.324,0.113062414141811
695,7.332,0.104506972626276
696,7.339,0.087068160283181
697,7.347,0.0708766505018987
698,7.354,0.069119886330331
699,7.362,0.0956353135598595
700,7.369,0.0737284643404103
701,7.377,0.0720273310342756
702,7.384,0.0716349870359588
703,7.392,0.0692165083597673
704,7.399,0.0617971076751797
705,7.407,0.0708854343227566
706,7.415,0.0678784396490899
707,7.422,0.0770663162663889
708,7.430,0.0610973299468386
709,7.437,0.0689500657937462
710,7.445,0.0664232533269746
711,7.452,0.0714358870965145
712,7.460,0.0666369929678487
713,7.467,0.0681273145733953
714,7.475,0.0684523159451353
715,7.482,0.0756521211082769
716,7.490,0.077499651428709
717,7.497,0.0654541050923265
718,7.505,0.0522461664624233
719,7.513,0.0607225535902375
720,7.520,0.0588515997475179
721,7.528,0.0584533998686292
722,7.535,0.066783389982146
723,7.543,0.0488995307155869
724,7.550,0.065694196195774
725,7.558,0.0531128367870634
726,7.565,0.0563189314001744
727,7.573,0.0562750122958852
728,7.580,0.0620167031966257
729,7.588,0.0628599499989781
730,7.595,0.0480006530478014
731,7.603,0.0478952471975073
732,7.610,0.0679165028728072
733,7.618,0.0806881784001043
734,7.626,0.0692165083597673
735,7.633,0.0610475549619775
736,7.641,0.0724840897188832
737,7.648,0.0591883128804017
738,7.656,0.0735059408786784
739,7.663,0.064388334828242
740,7.671,0.0642185142916572
741,7.678,0.0612144475582764
742,7.686,0.0543484275877327
743,7.693,0.0715969238122415
744,7.701,0.0571299708593815
745,7.708,0.0562603725944555
746,7.716,0.0760444651065937
747,7.724,0.186328263917042
748,7.731,0.380263316696972
749,7.739,0.325903177348095
750,7.746,0.190591344973379
751,7.754,0.167349354983539
752,7.761,0.138040672721218
753,7.769,0.121404116016472
754,7.776,0.160702930534441
755,7.784,0.282033848043764
756,7.791,0.372855627773528
757,7.799,0.279659288471862
758,7.806,0.474200424890983
759,7.814,0.692756527535434
760,7.821,0.426319817394905
761,7.829,0.268395502191827
762,7.837,0.218597093808454
763,7.844,0.200944541824485
764,7.852,0.175696912738771
765,7.859,0.176209302288812
766,7.867,0.173512669285456
767,7.874,0.298582566539932
768,7.882,0.610007079174023
769,7.889,0.57818622414636
770,7.897,0.332230456306025
771,7.904,0.249396097676322
772,7.912,0.307146791876324
773,7.919,0.370826565155367
774,7.927,0.300983477574408
775,7.935,0.225621222554439
776,7.942,0.183338836885091
777,7.950,0.188910707249246
778,7.957,0.17716381082203
779,7.965,0.163589879656384
780,7.972,0.151166629023114
781,7.980,0.177585434223207
782,7.987,0.206293888726909
783,7.995,0.217695288200383
784,8.002,0.215961947551103
785,8.010,0.191258915358575
786,8.017,0.162691001988598
787,8.025,0.177260432851467
788,8.032,0.328157691368274
789,8.040,0.604364938243005
790,8.048,0.483487851478004
791,8.055,0.277668289077418
792,8.063,0.231728905990923
793,8.070,0.211318234257592
794,8.078,0.19447672173283
795,8.085,0.188614985280366
796,8.093,0.197264120885051
797,8.100,0.177998273803525
798,8.108,0.170801396580669
799,8.115,0.15793017108365
800,8.123,0.159320942719474
801,8.130,0.16664079343434
802,8.138,0.15248420215179
803,8.145,0.148874051779219
804,8.153,0.14805715643944
805,8.161,0.155060789603423
806,8.168,0.155789846734623
807,8.176,0.149989597028164
808,8.183,0.153224971044135
809,8.191,0.158817336990292
810,8.198,0.142201275867547
811,8.206,0.154779707335972
812,8.213,0.139003965075294
813,8.221,0.136872424547125
814,8.228,0.144845205945757
815,8.236,0.166816469851497
816,8.243,0.169346210258554
817,8.251,0.151772712662305
818,8.259,0.15511349252857
819,8.266,0.158430848872547
820,8.274,0.149439144254406
821,8.281,0.148513915124047
822,8.289,0.143082585893617
823,8.296,0.154059434025629
824,8.304,0.146306248148444
825,8.311,0.159025220750594
826,8.319,0.145951967373844
827,8.326,0.15229681397349
828,8.334,0.146470212804457
829,8.341,0.144441150186296
830,8.349,0.15153847743943
831,8.356,0.154709436769109
832,8.364,0.139738878087067
833,8.372,0.141548345183781
834,8.379,0.146830349459628
835,8.387,0.154082857547917
836,8.394,0.149237116374676
837,8.402,0.152662806509233
838,8.409,0.154381507457083
839,8.417,0.150458067473915
840,8.424,0.153061006388122
841,8.432,0.163774339894399
842,8.439,0.152449066868359
843,8.447,0.148669095959202
844,8.454,0.153737360594175
845,8.462,0.154829482320833
846,8.470,0.165024570396498
847,8.477,0.168333142919617
848,8.485,0.165378851171097
849,8.492,0.168356566441904
850,8.500,0.1556698011829
851,8.507,0.169073911811961
852,8.515,0.158258100395676
853,8.522,0.169138326498252
854,8.530,0.161434915605928
855,8.537,0.171665138965023
856,8.545,0.177509307775772
857,8.552,0.163062850404914
858,8.560,0.156316875986094
859,8.567,0.175641281873338
860,8.575,0.172777756273683
861,8.583,0.180820808239177
862,8.590,0.180284995166849
863,8.598,0.172903657705979
864,8.605,0.175787678887636
865,8.613,0.175869661215642
866,8.620,0.186143803679027
867,8.628,0.192277838578084
868,8.635,0.179189945499905
869,8.643,0.192863426635274
870,8.650,0.198555342551153
871,8.658,0.201822923910269
872,8.665,0.197504211988498
873,8.673,0.196619974022143
874,8.681,0.203983743841297
875,8.688,0.194096089495657
876,8.696,0.203585543962409
877,8.703,0.19839137789514
878,8.711,0.207930607346753
879,8.718,0.21819596598928
880,8.726,0.211985804642788
881,8.733,0.217903171960685
882,8.741,0.223413555578836
883,8.748,0.212987160220582
884,8.756,0.213373648338327
885,8.763,0.216491904742859
886,8.771,0.222248235345029
