#"+EI TIC Scan TOL-TPU.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0659887495047573
1,2.102,0.0561735665307155
2,2.110,0.0711875050610856
3,2.117,0.0709300991447414
4,2.125,0.0574183984212325
5,2.132,0.0683644795195405
6,2.140,0.0573508821153061
7,2.147,0.0580724626348939
8,2.155,0.0614567174694517
9,2.163,0.0530340583051407
10,2.170,0.064089853400579
11,2.178,0.0583889453189236
12,2.185,0.0519706764868008
13,2.193,0.0579500893304024
14,2.200,0.0624399236745041
15,2.208,0.051270194812815
16,2.215,0.0434003254032759
17,2.223,0.0549498334858006
18,2.230,0.0879864059293833
19,2.238,0.0995148151663059
20,2.245,0.0781374648023783
21,2.253,0.0566293015957183
22,2.260,0.0450924528205549
23,2.268,0.0615368930827392
24,2.276,0.063376712419232
25,2.283,0.0588109222309632
26,2.291,0.0670310324774952
27,2.298,0.0439109174668439
28,2.306,0.0499451873090106
29,2.313,0.0491054532540517
30,2.321,0.0426998437292902
31,2.328,0.0345683486342865
32,2.336,0.0368807821122637
33,2.343,0.0658959145841086
34,2.351,0.0947295969837765
35,2.358,0.0656638272824868
36,2.366,0.0681155131414371
37,2.374,0.0575829694169279
38,2.381,0.0448266073659699
39,2.389,0.0548274601813091
40,2.396,0.035319467537717
41,2.404,0.0337708122705316
42,2.411,0.0516584135718915
43,2.419,0.0670479115539768
44,2.426,0.0491645300217373
45,2.434,0.0614946953915353
46,2.441,0.290767411010027
47,2.449,0.316208399036897
48,2.456,0.0766605456102396
49,2.464,0.0453793971207418
50,2.471,0.0466579871642219
51,2.479,0.0404338277116373
52,2.487,0.0341590310296081
53,2.494,0.0483965320418252
54,2.502,0.0426112285777618
55,2.509,0.0680648759119923
56,2.517,0.0781416845714987
57,2.524,0.0711368678316408
58,2.532,0.0802051516713725
59,2.539,0.0415773851432647
60,2.547,0.0289349568585574
61,2.554,0.0324964419961719
62,2.562,0.0423200645084545
63,2.569,0.0384505362250511
64,2.577,0.0404760254028413
65,2.585,0.039876818187745
66,2.592,0.0443497734553651
67,2.600,0.0405646405543696
68,2.607,0.0421217353597959
69,2.615,0.0491434311761353
70,2.622,0.0414296932240509
71,2.630,0.0423749215070196
72,2.637,0.0541185389690826
73,2.645,0.0528230698491209
74,2.652,0.0461727137153763
75,2.660,0.0445396630657829
76,2.667,0.0332138027466393
77,2.675,0.041463451377014
78,2.682,0.0311039181864411
79,2.690,0.0395350168889929
80,2.698,0.043826522084436
81,2.705,0.0420753178994715
82,2.713,0.037129748490367
83,2.720,0.026630962918821
84,2.728,0.0324458047667271
85,2.735,0.035116918619938
86,2.743,0.0348637324727142
87,2.750,0.0488396077994668
88,2.758,0.0700439476294582
89,2.765,0.0399569938010326
90,2.773,0.0489155636436339
91,2.780,0.0503671642210502
92,2.788,0.0374335718670356
93,2.796,0.0757321964037524
94,2.803,0.0622247154493638
95,2.811,0.0439193570050847
96,2.818,0.0456790007282899
97,2.826,0.0449996178999061
98,2.833,0.0575323321874832
99,2.841,0.0325302001491351
100,2.848,0.0344544148680358
101,2.856,0.0314246206395912
102,2.863,0.0422019109730834
103,2.871,0.0498903303104455
104,2.878,0.042666085576327
105,2.886,0.0395054785051502
106,2.893,0.037129748490367
107,2.901,0.0437294673946669
108,2.909,0.0534180572950968
109,2.916,0.0541902750441293
110,2.924,0.0527555535431945
111,2.931,0.0489408822583563
112,2.939,0.0536923422879225
113,2.946,0.049907209386927
114,2.954,0.0563085991425682
115,2.961,0.0398894774951062
116,2.969,0.0890202493638804
117,2.976,2.47440509589446
118,2.984,23.2757443155807
119,2.991,66.7814837712532
120,2.999,100
121,3.007,16.160496217842
122,3.014,0.162722736820722
123,3.022,0.097151744458884
124,3.029,0.0863449157415491
125,3.037,0.0721960298808603
126,3.044,0.0538948912057015
127,3.052,0.0566082027501164
128,3.059,0.0983670379655582
129,3.067,0.0730864011652639
130,3.074,0.0695882125644554
131,3.082,0.0701874197795517
132,3.089,0.0577855183347069
133,3.097,0.0454300343501866
134,3.104,0.0641700290138665
135,3.112,0.057540771725724
136,3.120,0.0502194723018364
137,3.127,0.0612288499369503
138,3.135,0.0838805705752377
139,3.142,0.0879357686999385
140,3.150,0.0738501793760556
141,3.157,0.0498270337736395
142,3.165,0.0478015445958493
143,3.172,0.0631488448867306
144,3.180,0.0664613636462417
