#"+EI TIC Scan ACE-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0873143890802919
1,2.102,0.0758943523702116
2,2.110,0.0760423732702244
3,2.117,0.087543148653039
4,2.125,0.0816043707252517
5,2.133,0.0682286639422747
6,2.140,0.084587216134601
7,2.148,0.0627832890145302
8,2.155,0.0684484525513847
9,2.163,0.0745307658973662
10,2.170,0.0661653423057323
11,2.178,0.0645057140328613
12,2.185,0.0667977952421508
13,2.193,0.0484521746041977
14,2.200,0.0576967526322714
15,2.208,0.0489949179042447
16,2.215,0.0470751316858966
17,2.223,0.054839500713842
18,2.230,0.0441505975401887
19,2.238,0.0545300024683606
20,2.246,0.131397704393202
21,2.253,0.299809604753247
22,2.261,0.113146278873439
23,2.268,0.0498875287861403
24,2.276,0.042194927467292
25,2.283,0.0465323883858496
26,2.291,0.0373775199941473
27,2.298,0.0359825351485719
28,2.306,0.0370814781941217
29,2.313,0.0432848995492046
30,2.321,0.0507397703316686
31,2.328,0.0412081214672065
32,2.336,0.0404769879307795
33,2.343,0.0462946578494653
34,2.351,0.028882017429775
35,2.359,0.0404949298580538
36,2.366,0.0363593156213319
37,2.374,0.0297925702389448
38,2.381,0.0577416074504571
39,2.389,0.270909645396198
40,2.396,0.334136997110767
41,2.404,0.0905977617714854
42,2.411,0.0488110131496833
43,2.419,0.0467118076585924
44,2.426,0.0507846251498543
45,2.434,0.0527088968500211
46,2.441,0.0373999474032402
47,2.449,0.0494479515679204
48,2.457,0.0433073269582974
49,2.464,0.0519508504226826
50,2.472,0.0538975495319422
51,2.479,0.0487302744769491
52,2.487,0.0461600933949082
53,2.494,0.0411139263490165
54,2.502,0.0432669576219303
55,2.509,0.0413516568854007
56,2.517,0.0418002050672578
57,2.524,0.0570149593958487
58,2.532,0.0558891034593875
59,2.539,0.0460748692403554
60,2.547,0.0311965260481573
61,2.554,0.0373102377668688
62,2.562,0.0340223795938567
63,2.570,0.0461645788767268
64,2.577,0.0371577313850374
65,2.585,0.0412305488762993
66,2.592,0.0482906972587292
67,2.600,0.0450656358311771
68,2.607,0.0451060051675442
69,2.615,0.0321025933755085
70,2.622,0.0318020660936643
71,2.630,0.0270878247023468
72,2.637,0.0354981031121663
73,2.645,0.0361709253849519
74,2.652,0.0393511319943183
75,2.660,0.0367002122395432
76,2.668,0.0344395294029837
77,2.675,0.035282799984875
78,2.683,0.0344664422938951
79,2.690,0.0307120940117517
80,2.698,0.0257466656385942
