#"+EI TIC Scan ACE-EndBlank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0758490239131171
1,2.102,0.0680865485561225
2,2.110,0.0656766297361405
3,2.117,0.0673847125488997
4,2.125,0.0638713045850312
5,2.132,0.0713124574326949
6,2.140,0.0712109871665904
7,2.147,0.0664587963706961
8,2.155,0.0558720652737928
9,2.162,0.0585652552533165
10,2.170,0.0578634192460937
11,2.178,0.0630637703839495
12,2.185,0.0585102921925099
13,2.193,0.0434757810980258
14,2.200,0.0500840321780817
15,2.208,0.0532888014158823
16,2.215,0.0515046159035447
17,2.223,0.0381105407777501
18,2.230,0.0441607053942312
19,2.238,0.0294010096037802
20,2.245,0.135094975534885
21,2.253,0.288133276459249
22,2.260,0.12759463169866
23,2.268,0.0465452566476871
24,2.275,0.0429430622009772
25,2.283,0.0371592570330204
26,2.291,0.0364447372425345
27,2.298,0.0370789264056877
28,2.306,0.0374721236868426
29,2.313,0.0430064811172925
30,2.321,0.0441184261166877
31,2.328,0.0416028091028468
32,2.336,0.0309822545839087
33,2.343,0.0336373932136432
34,2.351,0.0406515253581171
35,2.358,0.0416239487416186
36,2.366,0.0321745302106366
37,2.373,0.0320265527392342
38,2.381,0.0534748302370739
39,2.388,0.239524791067437
40,2.396,0.326746940639767
41,2.404,0.106552235265238
42,2.411,0.053225382499567
43,2.419,0.0478347746127652
44,2.426,0.035544188630857
45,2.434,0.0468538953737549
46,2.441,0.0416493163081447
47,2.449,0.0439366252232504
48,2.456,0.0376496966525255
49,2.464,0.047475400753645
50,2.471,0.0423934315929111
51,2.479,0.0493695123875958
52,2.486,0.0274054277037249
53,2.494,0.043585707219639
54,2.502,0.0349311391064757
55,2.509,0.0393831470318108
56,2.517,0.0470441521227009
57,2.524,0.055242104038394
58,2.532,0.0479869800119219
59,2.539,0.0430699000336078
60,2.547,0.0446638287969994
61,2.554,0.0365631192196564
62,2.562,0.0382289227548721
63,2.569,0.0364235976037628
64,2.577,0.0504307222539387
65,2.584,0.0375820498084558
66,2.592,0.0388631119180252
67,2.599,0.0431755982274667
68,2.607,0.0376708362912973
69,2.615,0.0448963648234889
70,2.622,0.0337853706850456
71,2.630,0.0328340869403159
72,2.637,0.0382077831161003
73,2.645,0.0388969353400601
74,2.652,0.0450781657169261
75,2.660,0.0357851805128552
76,2.667,0.0378568651124889
77,2.675,0.0376750642190516
78,2.682,0.0405500550920126
79,2.690,0.037882232679015
80,2.697,0.0490185943839844
81,2.705,0.032787579735018
82,2.713,0.0314092752870985
83,2.720,0.0561003733725279
84,2.728,0.0641376640335555
85,2.735,0.06168546593603
86,2.743,0.0463423161154781
87,2.750,0.0448033504128931
88,2.758,0.0404824082479429
89,2.765,0.06361762891977
90,2.773,0.0459491188343231
91,2.780,0.0373833372040012
92,2.788,0.0320899716555495
93,2.795,0.0501178556001165
94,2.803,0.0661247900781021
95,2.810,0.0411884721829201
96,2.818,0.0355399607031027
97,2.826,0.0463380881877237
98,2.833,0.0509718970064961
99,2.841,0.0428542757181357
100,2.848,0.04338276668743
101,2.856,0.0378737768235063
102,2.863,0.0423934315929111
103,2.871,0.0374678957590883
104,2.878,0.0483548097265507
105,2.886,0.0568994517181009
106,2.893,0.0444312927705099
107,2.901,0.0379583353785934
108,2.908,0.0458603323514817
109,2.916,0.0461647431497952
110,2.924,0.0413449055098312
111,2.931,0.0419283595399321
112,2.939,0.0494625267981916
113,2.946,0.0650847198505309
114,2.954,1.51948763942067
115,2.961,18.3218517613272
116,2.969,56.6533440435199
117,2.976,100
118,2.984,29.0484934434776
119,2.991,0.219268789196325
120,2.999,0.119612304098439
121,3.006,0.0968364572857321
122,3.014,0.083674918186427
123,3.021,0.0644463027596234
124,3.029,0.0739295447126402
125,3.037,0.0910357404067579
