#"+EI TIC Scan ACN-PEEK-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.169634782664514
1,2.102,0.182363303749728
2,2.110,0.154617323812816
3,2.117,0.187920946001931
4,2.125,0.162666614187208
5,2.133,0.182135254599561
6,2.140,0.129168727907211
7,2.148,0.175538721774378
8,2.155,0.153240582646997
9,2.163,0.124092522749803
10,2.170,0.127724416622824
11,2.178,0.12656727834235
12,2.185,0.124683761287272
13,2.193,0.130857980871406
14,2.200,0.0967604097891196
15,2.208,0.115071911920999
16,2.215,0.11456513603174
17,2.223,0.0901385381694731
18,2.230,0.072460505899167
19,2.238,0.10177749109278
20,2.246,0.107960156941736
21,2.253,0.0797074011155658
22,2.261,0.0800536979732259
23,2.268,0.0826889325973709
24,2.276,0.0854339686641886
25,2.283,0.0937028619239257
26,2.291,0.0700533204251883
27,2.298,0.0966928396705518
28,2.306,0.0749183689620715
29,2.313,0.0756194089422126
30,2.321,0.0890743088020299
31,2.328,0.0755180537643609
32,2.336,0.0883310374977839
33,2.344,0.0805351350680216
34,2.351,0.0744707169265596
35,2.359,0.0819625538227668
36,2.366,0.0779421317679814
37,2.374,0.150453315256074
38,2.381,0.382033004117639
39,2.389,0.300602564978593
40,2.396,0.162134499503486
41,2.404,0.0781955197126108
42,2.411,0.0789472372816778
43,2.419,0.0774184633490808
44,2.426,0.0741413125985415
45,2.434,0.0619702449915128
46,2.441,0.0658724193388044
47,2.449,0.0928666817066489
48,2.457,0.078119503329222
49,2.464,0.0771228440803466
50,2.472,0.0718523748320566
51,2.479,0.0813037451667305
52,2.487,0.0761430773611132
53,2.494,0.0649855615326018
54,2.502,0.079251302815233
55,2.509,0.0840234424390853
56,2.517,0.0882296823199322
57,2.524,0.0633047548332272
58,2.532,0.0825284535657723
59,2.539,0.0773002156415871
60,2.547,0.0629077803866413
61,2.555,0.0771650754044515
62,2.562,0.0802310695344664
63,2.570,0.0938548946907033
64,2.577,0.074724104871189
65,2.585,0.078127949594043
66,2.592,0.0561507685298592
67,2.600,0.0816669345540326
68,2.607,0.0401704354885695
69,2.615,0.117859179311922
70,2.622,0.0736007516499989
71,2.630,0.0601205129957187
72,2.637,0.0516151243209942
73,2.645,0.0656105851293541
74,2.652,0.0527553700718262
75,2.660,0.0582201034109987
76,2.668,0.0669113099117847
77,2.675,0.069048214911492
78,2.683,0.0562774625021739
79,2.690,0.0530932206646653
80,2.698,0.0714300615910077
81,2.705,0.0783222136849254
82,2.713,0.094699521172801
83,2.720,0.100358518602856
84,2.728,0.123906704923742
85,2.735,0.086785371035545
86,2.743,0.102140680480082
87,2.750,0.0820976940599024
88,2.758,0.0997841725950296
89,2.765,0.0816753808188535
90,2.773,0.0866417845335884
91,2.781,0.0889476148297153
92,2.788,0.0752477732900896
93,2.796,0.075467376175435
94,2.803,0.089065862537209
95,2.811,0.0668944173821427
96,2.818,0.0655092299515024
97,2.826,0.0617506421061674
98,2.833,0.0777900990012038
99,2.841,0.0640395798726523
100,2.848,0.0783222136849254
101,2.856,0.0922754431691805
102,2.863,0.082241280561859
103,2.871,0.081117927340669
104,2.879,0.0704502948717743
105,2.886,0.077342446965692
106,2.894,0.0808138618071138
107,2.901,0.079977681589837
108,2.909,0.0835588978739316
109,2.916,0.0720297463932971
110,2.924,0.262028473541189
111,2.931,3.89749511658084
112,2.939,17.1849731151168
113,2.946,40.0177945907248
114,2.954,69.57130053812
115,2.961,100
116,2.969,55.3680278301047
117,2.976,2.33094104143966
118,2.984,0.252070327317256
119,2.992,0.179288863354892
120,2.999,0.146111935138092
121,3.007,0.143924352549459
122,3.014,0.119877836604135
123,3.022,0.13046100642482
124,3.029,0.122132989311336
125,3.037,0.124979380556006
126,3.044,0.0869120650078597
127,3.052,0.125089181998678
128,3.059,0.103813040914636
129,3.067,0.0976641601249642
130,3.074,0.102579886250773
131,3.082,0.0872921469248037
132,3.090,0.0903750335844605
133,3.097,0.0812108362536998
134,3.105,0.102309605776502
135,3.112,0.1107643168623
136,3.120,0.118948747473828
137,3.127,0.094707967437622
138,3.135,0.0790063611354246
139,3.142,0.102326498306144
140,3.150,0.114362425676037
141,3.157,0.110401127474998
142,3.165,0.092452814730421
143,3.172,0.0910085034460338
144,3.180,0.0820470164709766
145,3.187,0.0574852783715737
146,3.195,0.0658132954850576
147,3.203,0.0699857503066205
148,3.210,0.0711344423222735
149,3.218,0.0866924621225143
150,3.225,0.16276796936506
151,3.233,0.289782899742921
152,3.240,0.484063883155048
153,3.248,0.961809960224005
154,3.255,1.34661333920292
155,3.263,0.894307411774752
156,3.270,0.218014987559074
157,3.278,0.081523348052076
158,3.285,0.0740399574206898
159,3.293,0.0944376869633507
160,3.301,0.076996150108032
161,3.308,0.0794624594357574
162,3.316,0.0704671874014162
163,3.323,0.039984617662508
164,3.331,0.0586677554465105
165,3.338,0.0497822848548421
166,3.346,0.055838256731483
167,3.353,0.0580089467904743
168,3.361,0.0689890910577452
169,3.368,0.0552047868699097
170,3.376,0.0447398647567184
171,3.383,0.0809236632497865
172,3.391,0.0683894062554558
173,3.398,0.0491319224636268
174,3.406,0.0432364296185844
175,3.414,0.0580765169090421
176,3.421,0.0254739347000685
177,3.429,0.0558129179370201
178,3.436,0.0787698657204372
179,3.444,0.0515222154079635
180,3.451,0.0401113116348227
181,3.459,0.0376281097774553
182,3.466,0.0486420391040101
183,3.474,0.088280359908858
184,3.481,0.114370871940858
185,3.489,0.0823257432100688
186,3.496,0.0668184009987539
187,3.504,0.0474680082938942
188,3.512,0.0567082220080437
189,3.519,0.0458801105075504
190,3.527,0.0459054493020133
191,3.534,0.0677474901290615
192,3.542,0.0548331512177867
193,3.549,0.0346212395011872
194,3.557,0.074698766076726
195,3.564,0.0486082540447262
196,3.572,0.0548584900122496
197,3.579,0.066049790900045
198,3.587,0.0601036204660767
199,3.594,0.0428563477016404
200,3.602,0.0403055757257052
201,3.609,0.0368848384732093
202,3.617,0.0613958989836863
203,3.625,0.0416823168915245
204,3.632,0.0487011629577569
205,3.640,0.061885782343303
206,3.647,0.0615817168097478
