#"+EI TIC Scan ACN-PEEK-EndBlank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.134369974777762
1,2.102,0.108293877704278
2,2.110,0.107436408260879
3,2.117,0.108293877704278
4,2.125,0.095323524123594
5,2.132,0.093202415500448
6,2.140,0.102183279670789
7,2.147,0.106515756858492
8,2.155,0.0869474015607027
9,2.162,0.0868300636368691
10,2.170,0.101280680256685
11,2.177,0.113889994071727
12,2.185,0.0886713664416426
13,2.193,0.0929226096820756
14,2.200,0.0728668507006699
15,2.208,0.0600950689910888
16,2.215,0.0593098075008178
17,2.223,0.0581093502800585
18,2.230,0.0803945298143028
19,2.238,0.0646893000088816
20,2.245,0.0707276900892418
21,2.253,0.075791272802369
22,2.260,0.0605012387274359
23,2.268,0.0636332586943791
24,2.275,0.0412397672304423
25,2.283,0.0820914167128196
26,2.291,0.0549502523306922
27,2.298,0.0597069512430238
28,2.306,0.0555279159557192
29,2.313,0.0491645900862813
30,2.321,0.0456715303536962
31,2.328,0.0464567918439673
32,2.336,0.0548148624185765
33,2.343,0.0671895003859515
34,2.351,0.0508343990023749
35,2.358,0.0416820409433536
36,2.366,0.0636422846885202
37,2.373,0.0644817021436375
38,2.381,0.164715367079961
39,2.388,0.350768184309356
40,2.396,0.262141947838419
41,2.404,0.107120498465942
42,2.411,0.0522244021000961
43,2.419,0.0405808696581459
44,2.426,0.0476662750588675
45,2.434,0.060519290715718
46,2.441,0.0517640763989027
47,2.449,0.040409375769466
48,2.456,0.0566742172116321
49,2.464,0.0543635627115242
50,2.471,0.0652850156221907
51,2.479,0.0724606809643228
52,2.486,0.0454188025177469
53,2.494,0.0548599923892817
54,2.502,0.0669728765265664
55,2.509,0.0722260051166556
56,2.517,0.0652308596573444
57,2.524,0.0683538536301465
58,2.532,0.0583169481453026
59,2.539,0.0527569357544179
60,2.547,0.0438031495664996
61,2.554,0.0656370293936915
62,2.562,0.0559431116862073
63,2.569,0.0634076088408529
64,2.577,0.0495617338284873
65,2.584,0.0629202051572364
66,2.592,0.0474496511994824
67,2.599,0.0522334280942372
68,2.607,0.0462852979552874
69,2.615,0.0518001803754669
70,2.622,0.0541108348755749
71,2.630,0.0506087491488487
72,2.637,0.0548960963658459
73,2.645,0.0281340237376425
74,2.652,0.0576941545495704
75,2.660,0.0621981256259527
76,2.667,0.0680920998000562
77,2.675,0.0507080350844003
78,2.682,0.0554196040260266
79,2.690,0.0389471647186164
80,2.697,0.0602575368856277
81,2.705,0.056078501598323
82,2.713,0.0886713664416426
83,2.720,0.0748525694117001
84,2.728,0.0727224347944131
85,2.735,0.0544899266294988
86,2.743,0.0947548864927081
87,2.750,0.0587231178816497
88,2.758,0.0883825346291291
89,2.765,0.0742297758159679
90,2.773,0.0505726451722846
91,2.780,0.0413390531659938
92,2.788,0.0414744430781095
93,2.795,0.0582537661863153
94,2.803,0.060907408463783
95,2.810,0.0636603366768023
96,2.818,0.0488486802913446
97,2.826,0.070772820059947
98,2.833,0.0461318560548896
99,2.841,0.0613406561825533
100,2.848,0.0678393719641069
101,2.856,0.0431893819649084
102,2.863,0.0594361714187924
103,2.871,0.0498325136527187
104,2.878,0.0641026103897135
105,2.886,0.0650232617921003
106,2.893,0.0581003242859175
107,2.901,0.0574504527077621
108,2.908,0.0575677906315957
109,2.916,0.0542371987935495
110,2.923,0.0509336849379264
111,2.931,0.310828160235225
112,2.939,4.3063288826758
113,2.946,19.19609622143
114,2.954,47.3905309378586
115,2.961,85.9884618911696
116,2.969,100
117,2.976,21.6828659192181
118,2.984,0.587276308787202
119,2.991,0.189735422838942
120,2.999,0.150336958413274
121,3.006,0.119043836726265
122,3.014,0.148784487421014
123,3.021,0.110667714163373
124,3.029,0.124197679380802
125,3.037,0.122266116634618
126,3.044,0.111597391559901
127,3.052,0.106407444928799
128,3.059,0.127447037271579
129,3.067,0.115604932958526
130,3.074,0.0991415196452568
131,3.082,0.0788962147868891
132,3.089,0.0835446017695281
133,3.097,0.089718381762004
134,3.104,0.102390877536034
135,3.112,0.119982540116934
136,3.119,0.117572599681274
137,3.127,0.101578538063339
138,3.134,0.0711248338314479
139,3.142,0.0566020092585037
140,3.150,0.0840320054531446
141,3.157,0.075592700931266
142,3.165,0.0933468314067048
143,3.172,0.0863336339591115
144,3.180,0.0936898191840646
145,3.187,0.082163624665948
146,3.195,0.0763599104332549
147,3.202,0.0812971292284075
148,3.210,0.074049255933147
149,3.217,0.0527388837661358
150,3.225,0.0894656539260547
151,3.232,0.155617164985786
152,3.240,0.303724702846221
153,3.248,0.691734138981536
154,3.255,1.18988778162004
155,3.263,1.27098633897735
156,3.270,0.480661265993159
157,3.278,0.0875431171740118
158,3.285,0.0892400040725286
159,3.293,0.0615211760653742
160,3.300,0.0651044957393697
161,3.308,0.0704117802943052
162,3.315,0.0822809625897816
163,3.323,0.0573962967429159
164,3.330,0.0425034064101888
165,3.338,0.0616926699540541
166,3.345,0.0582718181745974
167,3.353,0.0551397982076542
168,3.361,0.0482439386838945
169,3.368,0.0545892125650503
170,3.376,0.0546433685298966
171,3.383,0.0517550504047617
172,3.391,0.0606727326161158
173,3.398,0.0364740423239696
174,3.406,0.0493541359632433
175,3.413,0.0546072645533324
176,3.421,0.0381799552166275
177,3.428,0.0477836129827011
178,3.436,0.0387756708299365
179,3.443,0.0474225732170593
180,3.451,0.0451931526642207
181,3.459,0.0454188025177469
182,3.466,0.0365913802478032
183,3.474,0.0775964716305783
184,3.481,0.098031322365908
185,3.489,0.111741807466158
186,3.496,0.0735076962846842
187,3.504,0.033441308292578
188,3.511,0.0545440825943451
189,3.519,0.049119460115576
190,3.526,0.0590570796648684
191,3.534,0.0408065195116721
192,3.541,0.0578746744323913
193,3.549,0.0526486238247253
194,3.556,0.0560062936451947
195,3.564,0.0496429677757568
196,3.572,0.0306522761029945
