#"+EI TIC Scan EA-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0920983276481265
1,2.102,0.0765631543506033
2,2.110,0.0690542927267065
3,2.117,0.0768277152782847
4,2.125,0.0730071442344159
5,2.132,0.0635413098660528
6,2.140,0.0591993981705768
7,2.147,0.0721978990438613
8,2.155,0.0576275950119994
9,2.163,0.0536241656798803
10,2.170,0.0563514775961247
11,2.178,0.0735284848860233
12,2.185,0.0608606851723404
13,2.193,0.0582500913124261
14,2.200,0.051842270019909
15,2.208,0.0491772077337073
16,2.215,0.0445824069161829
17,2.223,0.0554060613398517
18,2.230,0.0421741243539072
19,2.238,0.0509902282087
20,2.245,0.0484224309694399
21,2.253,0.0491772077337073
22,2.260,0.0447030155743906
23,2.268,0.0586663857133364
24,2.276,0.05110694626503
25,2.283,0.0334513949441784
26,2.291,0.027082479670438
27,2.298,0.0401159959606215
28,2.306,0.0395168432714608
29,2.313,0.0322025117414474
30,2.321,0.0298292445960707
31,2.328,0.0318523575724574
32,2.336,0.0335019727685881
33,2.343,0.027234213143667
34,2.351,0.0335097539723434
35,2.358,0.0327316335968101
36,2.366,0.0283352534750467
37,2.374,0.026860715363411
38,2.381,0.0341322502727701
39,2.389,0.0358869117195978
40,2.396,0.165327236189569
41,2.404,0.415057189513241
42,2.411,0.175228817968231
43,2.419,0.0493133787994256
44,2.426,0.02596198632967
45,2.434,0.0303856006645771
46,2.441,0.0408629915211335
47,2.449,0.0384780525701238
48,2.456,0.0353266650492138
49,2.464,0.026697310084549
50,2.471,0.026393843138091
51,2.479,0.0313971571527704
52,2.487,0.0417383769436085
53,2.494,0.0344318266173504
54,2.502,0.0390344086386302
55,2.509,0.0283702688919457
56,2.517,0.0438431925594262
57,2.524,0.0477804816596249
58,2.532,0.0405595245746755
59,2.539,0.0563826024111461
60,2.547,0.0353344462529691
61,2.554,0.0259114085052603
62,2.562,0.0290005463961277
63,2.569,0.0277205383783754
64,2.577,0.0391316736855718
65,2.585,0.0405400715652872
66,2.592,0.0330428817470234
67,2.600,0.0418278607867949
68,2.607,0.0295763554740224
69,2.615,0.0347547465731968
70,2.622,0.029755323160395
71,2.630,0.0321752775283037
72,2.637,0.025798581050808
73,2.645,0.0311520492344774
74,2.652,0.0248492741926573
75,2.660,0.0398280914216742
76,2.667,0.0354939609299535
77,2.675,0.0335681130005084
78,2.682,0.0272497755511777
79,2.690,0.0304478502946197
80,2.698,0.0312882203001957
81,2.705,0.0331790528127418
82,2.713,0.0361981598698111
83,2.720,0.0397269357728548
84,2.728,0.0596701609977744
85,2.735,0.0733300641902623
86,2.743,0.0559935422233794
87,2.750,0.0470957357291556
88,2.758,0.0417461581473639
89,2.765,0.0382018198368095
90,2.773,0.0714003256589396
91,2.780,0.0545345665192544
92,2.788,0.0363615651486731
93,2.796,0.0355367575506078
94,2.803,0.049799704034134
95,2.811,0.0451971220128542
96,2.818,0.0374587148781751
97,2.826,0.0312921109020734
98,2.833,0.0226860995486746
99,2.841,0.0467767063751869
100,2.848,0.0324398384559851
101,2.856,0.0307902232598544
102,2.863,0.0415010502290709
103,2.871,0.0334202701291571
104,2.878,0.0398903410517168
105,2.886,0.0569039430627534
106,2.893,0.0432090244533666
107,2.901,0.0498541724604213
108,2.909,0.0431895714439782
109,2.916,0.0556745128694107
110,2.924,0.052110721549468
111,2.931,0.0414193475896399
112,2.939,0.0320313252588301
113,2.946,0.0368478903833815
114,2.954,0.257196018326914
115,2.961,6.21911932024649
116,2.969,32.1248086407467
117,2.976,68.1424757082491
118,2.984,100
119,2.991,10.9864838934529
120,2.999,0.122530615535236
121,3.006,0.0898184349478138
122,3.014,0.0849318389894644
123,3.022,0.0709684688505186
124,3.029,0.0670039455371762
125,3.037,0.0876046824794215
126,3.044,0.0785668143176017
127,3.052,0.0654982826105192
128,3.059,0.055168734625314
129,3.067,0.0758706272163786
130,3.074,0.0614559472596235
131,3.082,0.0440299414495542
132,3.089,0.0563826024111461
133,3.097,0.0497919228303786
134,3.104,0.0429833695444619
135,3.112,0.0483446189318866
136,3.120,0.0568339122289554
137,3.127,0.0842743272721387
138,3.135,0.0725597250184843
139,3.142,0.029381825380139
140,3.150,0.0302027423763267
141,3.157,0.0620006315224968
142,3.165,0.0574097213068501
143,3.172,0.0490955050942763
144,3.180,0.0605144216052281
145,3.187,0.0460413826203079
146,3.195,0.0464226616043193
147,3.202,0.0301793987650607
148,3.210,0.0435630692242342
149,3.217,0.0281757387980624
150,3.225,0.0349881826858568
151,3.233,0.0204684564784046
152,3.240,0.0322842143808784
153,3.248,0.0652959713128805
154,3.255,0.407517203074323
155,3.263,0.920450264024025
156,3.270,0.433724297322286
157,3.278,0.0799829934010723
158,3.285,0.0391822515099815
159,3.293,0.0318406857668244
160,3.300,0.0406995862422715
161,3.308,0.0486636482858553
162,3.315,0.0496090645421283
163,3.323,0.0412053644863682
164,3.331,0.0315060940053451
165,3.338,0.0328288986437517
166,3.346,0.0316617180804517
167,3.353,0.0341439220784031
168,3.361,0.0412870671257992
169,3.368,0.0302805544138801
170,3.376,0.0347508559713191
171,3.383,0.0232580180246916
172,3.391,0.029545230659001
173,3.398,0.0307124112223011
174,3.406,0.0237482338612776
175,3.413,0.0155118296862572
176,3.421,0.023347501867878
177,3.428,0.025483442298717
178,3.436,0.0340583288370944
179,3.444,0.0320780124813621
180,3.451,0.0254173020667967
181,3.459,0.0205034718953036
182,3.466,0.025390067853653
183,3.474,0.0308680352974077
184,3.481,0.0472085631836079
185,3.489,0.0956543377643139
186,3.496,0.0516516305279033
187,3.504,0.0208225012492723
188,3.511,0.0221219622764129
189,3.519,0.0212349050483049
190,3.526,0.0223009299627856
191,3.534,0.024491338819912
192,3.542,0.0244057455786033
193,3.549,0.025576816743781
194,3.557,0.0403494320732815
195,3.564,0.025775237439542
196,3.572,0.0216239652360716
197,3.579,0.0269268555953313
198,3.587,0.0286776264402814
199,3.594,0.0264249679531123
200,3.602,0.0269813240216187
201,3.609,0.0245574790518323
202,3.617,0.0224059762134826
203,3.624,0.023452548118575
204,3.632,0.0183636408625869
205,3.639,0.0235070165448623
206,3.647,0.0184609059095286
207,3.655,0.0126211124911508
208,3.662,0.0213243888914913
209,3.670,0.0184336716963849
210,3.677,0.0222425709346206
211,3.685,0.0134653730986045
212,3.692,0.0132825148103542
213,3.700,0.0151889097304109
214,3.707,0.0157841718176939
215,3.715,0.0208652978699266
216,3.722,0.0132474993934552
217,3.730,0.0133097490234978
218,3.737,0.0179162216466552
219,3.745,0.0202544733751329
220,3.752,0.0137104810168975
221,3.760,0.0187565916522312
222,3.768,0.0236782030274796
223,3.775,0.0137221528225305
224,3.783,0.0160798575603965
225,3.790,0.0134186858760725
226,3.798,0.0185270461414489
227,3.805,0.0235420319617613
228,3.813,0.0144458047717765
229,3.820,0.0121192248489318
230,3.828,0.00257946904489303
231,3.835,0.0159592489021889
232,3.843,0.0107147175710941
233,3.850,0.00942692834958645
234,3.858,0.0149438018121179
235,3.866,0.028202973011206
236,3.873,0.0144769295867979
237,3.881,0.0309614097424717
238,3.888,0.027105823281704
239,3.896,0.0077384071346791
240,3.903,0.0222114461195993
241,3.911,0.0160915293660295
242,3.918,0.0241022786321453
243,3.926,0.0187877164672526
244,3.933,0.0199393346230419
245,3.941,0.0158114060308375
246,3.948,0.0260514701728563
247,3.956,0.0195930710559296
248,3.963,0.0491421923168083
249,3.971,0.0803214757644294
250,3.979,0.0304867563133964
251,3.986,0.0128039707794012
252,3.994,0.0187799352634972
253,4.001,0.0202583639770106
254,4.009,0.00941525654395345
255,4.016,0.0131696873559018
256,4.024,0.0172159133086752
257,4.031,0.00895227492051111
258,4.039,0.0172626005312072
259,4.046,0.0135159509230142
260,4.054,0.0146870220881919
261,4.061,0.00936856932142145
262,4.069,0.0118896793381495
263,4.077,0.0188421848935399
264,4.084,0.0490138024548453
265,4.092,0.234498246972606
266,4.099,0.352449624097828
267,4.107,0.15652280414041
268,4.114,0.0307279736298117
269,4.122,0.0138816674995148
270,4.129,0.0151616755172672
271,4.137,0.0174143340044362
272,4.144,0.0178695344241232
273,4.152,0.0146131006525162
274,4.159,0.0170408362241802
275,4.167,0.00777731315345577
276,4.174,0.0159475770965559
277,4.182,0.0116834774386331
278,4.190,0.0115006191503828
279,4.197,0.0207291268042083
280,4.205,0.0133836704591735
281,4.212,0.0189394499404816
282,4.220,0.00596818328034074
283,4.227,0.0178228472015912
284,4.235,0.0145547416243512
285,4.242,0.0176322077095856
286,4.250,0.0182002355837249
287,4.257,0.0231451905702393
288,4.265,0.00450142637246039
289,4.272,0.0119558195700698
290,4.280,0.0136599031924878
291,4.288,0.0154495800562145
292,4.295,0.0195347120277646
293,4.303,0.0178423002109796
294,4.310,0.0188927627179496
295,4.318,0.0204373316633833
296,4.325,0.023942763955161
297,4.333,0.0167529316852329
298,4.340,0.0129868290676515
299,4.348,0.00310080969650037
300,4.355,0.0137299340262858
301,4.363,0.0155857511219329
302,4.370,0.0134147952741948
303,4.378,0.00315916872466537
304,4.385,0.0153678774167835
305,4.393,0.0104618284490458
306,4.401,0.0144146799567552
307,4.408,0.0310742371969241
308,4.416,0.100607073954584
309,4.423,0.106217321862179
310,4.431,0.0335408787873648
311,4.438,0.0227678021881056
312,4.446,0.0229117544575793
313,4.453,0.0187721540597419
314,4.461,0.0175038178476226
315,4.468,0.0155896417238105
316,4.476,0.00723651949246009
317,4.483,0.0112049334076801
318,4.491,0.0103528915964711
319,4.499,0.0131191095314922
320,4.506,0.0158931086702685
321,4.514,0.0213516231046349
322,4.521,0.0176594419227292
323,4.529,0.0190367149874232
324,4.536,0.0130802035127155
325,4.544,0.0158191872345929
326,4.551,0.0176555513208516
327,4.559,0.00794071843231777
328,4.566,0.0182975006306666
329,4.574,0.0115784311879361
330,4.581,0.0165584015913495
331,4.589,0.0127339399456032
332,4.596,0.0145508510224735
333,4.604,0.0148309743576655
334,4.612,0.0197097891122596
335,4.619,0.0199393346230419
336,4.627,0.0114539319278508
337,4.634,0.0159942643190879
338,4.642,0.0166245418232699
339,4.649,0.0168852121490735
340,4.657,0.023359173673511
341,4.664,0.0163055124693012
342,4.672,0.0187099044296992
343,4.679,0.0113372138715208
344,4.687,0.0149243488027295
345,4.694,0.0170875234467122
346,4.702,0.0219235415806519
347,4.709,0.0122553959146502
348,4.717,0.0186904514203109
349,4.725,0.0215344813928853
350,4.732,0.0223009299627856
351,4.740,0.0202855981901543
352,4.747,0.0127456117512362
353,4.755,0.0127105963343372
354,4.762,0.00777731315345577
355,4.770,0.022950660476356
356,4.777,0.0187137950315769
357,4.785,0.0119947255888465
358,4.792,0.0171225388636112
359,4.800,0.00578143439021274
360,4.807,0.0160876387641519
361,4.815,0.0154807048712359
362,4.823,0.0080885613036691
363,4.830,0.0297125265397407
364,4.838,0.0474419992962679
365,4.845,0.0389760496104652
366,4.853,0.0168657591396852
367,4.860,0.0198031635573236
368,4.868,0.0163599808955885
369,4.875,0.00865658917780844
370,4.883,0.0122631771184055
371,4.890,0.0179045498410222
372,4.898,0.0214839035684756
373,4.905,0.0122164898958735
374,4.913,0.0180679551198842
375,4.920,0.0112516206302121
376,4.928,0.00886668167920245
377,4.936,0.00862935496466478
378,4.943,0.0142279310666272
379,4.951,0.0250360230827853
380,4.958,0.024853164794535
381,4.966,0.0118196485043515
382,4.973,0.00990547238053946
383,4.981,0.0128934546225875
384,4.988,0.0102867513645508
385,4.996,0.0171069764561006
386,5.003,0.0208497354624159
387,5.011,0.0155040484825019
388,5.018,0.0150449574609372
389,5.026,0.0104579378471681
390,5.034,0.0209625629168683
391,5.041,0.0121503496639532
392,5.049,0.0204139880521173
393,5.056,0.0112905266489888
394,5.064,0.0142240404647495
395,5.071,0.00983544154674146
396,5.079,0.0115434157710371
397,5.086,0.0208730790736819
398,5.094,0.00555967008318574
399,5.101,0.0111660273889035
400,5.109,0.0112399488245791
401,5.116,0.0229428792726006
402,5.124,0.00772284472716843
403,5.131,0.0155701887144222
404,5.139,0.0129985008732845
405,5.147,0.00971094228665612
406,5.154,0.0120958812376658
407,5.162,0.00478154970765239
408,5.169,0.0131307813371252
409,5.177,0.0204490034690163
410,5.184,0.00633779045871908
411,5.192,0.00927908547823512
412,5.199,0.00707311421359809
413,5.207,0.00999495622372579
414,5.214,0.00898729033741011
415,5.222,0.0155157202881349
416,5.229,0.00899896214304311
417,5.237,0.0112671830377228
418,5.245,0.0123370985540812
419,5.252,0.0202700357826436
420,5.260,0.00695250555539042
421,5.267,0.0146208818562715
422,5.275,0.0122164898958735
423,5.282,0.0121464590620755
424,5.290,0.0103801258096148
425,5.297,0.00906899297684111
426,5.305,0.0108586698405678
427,5.312,0.0154690330656029
428,5.320,0.0116017747992021
429,5.327,0.0143329773173242
430,5.335,0.0148776615801975
431,5.342,0.0126211124911508
432,5.350,0.0120686470245222
433,5.358,0.0127806271681352
434,5.365,0.00794460903419543
435,5.373,0.00741159657695509
436,5.380,0.00731044092813576
437,5.388,0.0124421448047782
438,5.395,0.0103684540039818
439,5.403,0.00275065552751037
440,5.410,0.00831810681445144
441,5.418,0.0183908750757306
442,5.425,0.0122125992939958
443,5.433,0.00957088061906012
444,5.440,0.0120180692001125
445,5.448,0.0168424155284192
446,5.455,0.0164844801556739
447,5.463,0.0101233460856888
448,5.471,0.0191184176268542
449,5.478,0.0132864054122318
450,5.486,0.00987434756551813
451,5.493,0.00345874506924571
452,5.501,0.0156946879745075
453,5.508,0.0194296657770676
454,5.516,0.0161070917735402
455,5.523,0.0147920683388889
456,5.531,0.00201922237450903
457,5.538,0.00639225888500641
458,5.546,0.0157763906139385
459,5.553,0.0107614047936261
460,5.561,0.00409291317530539
461,5.569,0.00313582511339937
462,5.576,0.0120219598019902
463,5.584,0.00558301369445174
464,5.591,0.0163132936730565
465,5.599,0.0118546639212505
466,5.606,0.0145586322262289
467,5.614,0.0115939935954468
468,5.621,0.0136482313868548
469,5.629,0.00855932413086678
470,5.636,0.00998717501997046
471,5.644,0.00934133510827779
472,5.651,0.0157297033914065
473,5.659,0.0149321300064849
474,5.666,0.0104890626621895
475,5.674,0.00143563209285902
476,5.682,0.00676186606338475
477,5.689,0.0188110600785186
478,5.697,0.0175699580795429
479,5.704,0.0182080167874802
480,5.712,0.0115589781785478
481,5.719,0.00688247472159242
482,5.727,0.0195386026296423
483,5.734,0.00942692834958645
484,5.742,0.0144458047717765
485,5.749,0.00431467748233239
486,5.757,0.00443528614054006
487,5.764,0.0111154495644938
488,5.772,0.00969537987914546
489,5.780,0.0143485397248348
490,5.787,0.0219896818125723
491,5.795,0.0153250807961292
492,5.802,0.0180057054898416
493,5.810,0.0214955753741086
494,5.817,0.0151811285266555
495,5.825,0.00871494820597344
496,5.832,0.0139322453239245
497,5.840,0.0135859817568122
