#"+EI TIC Scan EA-EndBlank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0925758863806793
1,2.102,0.0913267475057911
2,2.110,0.0833873677745169
3,2.117,0.0782989638282815
4,2.125,0.07736945754785
5,2.132,0.0749042452388796
6,2.140,0.0852500542732471
7,2.147,0.0772261739710246
8,2.155,0.0669354740046669
9,2.162,0.0667223856083624
10,2.170,0.0728909272875893
11,2.178,0.0621556808392861
12,2.185,0.0766640614773249
13,2.193,0.0698011455411749
14,2.200,0.0608991940886634
15,2.208,0.0541648659778694
16,2.215,0.0528275525941657
17,2.223,0.0538415594455455
18,2.230,0.048510675600067
19,2.238,0.0504835802348168
20,2.245,0.0483673920232416
21,2.253,0.0507076904447232
22,2.260,0.0428307676571934
23,2.268,0.055222960083657
24,2.276,0.0400936839460415
25,2.283,0.0437419042482882
26,2.291,0.0494952909485083
27,2.298,0.0385359342902986
28,2.306,0.0502447742734411
29,2.313,0.0482057387570796
30,2.321,0.0382456931987805
31,2.328,0.035651893064454
32,2.336,0.0398548779846658
33,2.343,0.0437455781861556
34,2.351,0.0329552226698426
35,2.358,0.0352293902097124
36,2.366,0.04219150246828
37,2.373,0.0364968987739371
38,2.381,0.0408578630224436
39,2.389,0.0413024095043891
40,2.396,0.174556135952013
41,2.404,0.430181384884266
42,2.411,0.167876916909229
43,2.419,0.0455788731819473
44,2.426,0.0468574035597739
45,2.434,0.040134097262582
46,2.441,0.024134097850412
47,2.449,0.0479412152306327
48,2.456,0.0343917323759639
49,2.464,0.0392890915530988
50,2.471,0.0395205496387399
51,2.479,0.0427315713347758
52,2.487,0.0458764621492
53,2.494,0.0495173345757122
54,2.502,0.05067095106605
55,2.509,0.0362507449368268
56,2.517,0.0366695738537011
57,2.524,0.0445354748276289
58,2.532,0.0579122826025338
59,2.539,0.0592900093027781
60,2.547,0.0486613070526271
61,2.554,0.0481359339376006
62,2.562,0.0329184832911694
63,2.569,0.0457405264481092
64,2.577,0.0383338677075961
65,2.584,0.0307141205707786
66,2.592,0.0501088385723504
67,2.600,0.0442084943574376
68,2.607,0.0358466117714218
69,2.615,0.0422870248528303
70,2.622,0.0320220424515438
71,2.630,0.0304936842987395
72,2.637,0.0363793327621829
73,2.645,0.0240275536522598
74,2.652,0.0354314567924149
75,2.660,0.0335871399830213
76,2.667,0.0349685406211328
77,2.675,0.0339471858940184
78,2.682,0.0317575189250969
79,2.690,0.0330029838621177
80,2.697,0.0403104462802132
81,2.705,0.0337010320569081
82,2.713,0.0346342122752069
83,2.720,0.0400679663809702
84,2.728,0.048672328866229
85,2.735,0.0783357032069546
86,2.743,0.0571187120231931
87,2.750,0.0524601588074339
88,2.758,0.040608035247466
89,2.765,0.0485180234758017
90,2.773,0.0671632581524406
91,2.780,0.0591063124094122
92,2.788,0.0410195162886056
93,2.795,0.0409460375312592
94,2.803,0.0457184828209053
95,2.811,0.0590181379005965
96,2.818,0.0354498264817515
97,2.826,0.0329735923591792
98,2.833,0.0443921912508035
99,2.841,0.0397520077243809
100,2.848,0.0456229604363551
101,2.856,0.0419453486311697
102,2.863,0.0374962098738476
103,2.871,0.0282342125103389
104,2.878,0.0393111351803027
105,2.886,0.0547784136017116
106,2.893,0.0471880579678325
107,2.901,0.0410305381022076
108,2.908,0.0420996540215971
109,2.916,0.0436096424850648
110,2.924,0.0358870250879623
111,2.931,0.0453253714691023
112,2.939,0.0369010319393421
113,2.946,0.0448404116706163
114,2.954,0.311744649855535
115,2.961,6.79564245986159
116,2.969,34.1286600549746
117,2.976,71.1010325198243
118,2.984,100
119,2.991,7.44501465184791
120,2.999,0.113502636472923
121,3.006,0.0913157256921892
122,3.014,0.0850994228206871
123,3.022,0.0713919606377236
124,3.029,0.0556638326277352
125,3.037,0.0854962081103574
126,3.044,0.0859885157845781
127,3.052,0.0729570581692011
128,3.059,0.0573171046680283
129,3.067,0.0720275518887696
130,3.074,0.0605244524261969
131,3.082,0.0464202049535631
132,3.089,0.060976346783877
133,3.097,0.0461924208057894
134,3.104,0.0443076906798552
135,3.112,0.0534741656588137
136,3.119,0.0651315705118137
137,3.127,0.086172212677944
138,3.135,0.0708445438954932
139,3.142,0.053790124315403
140,3.150,0.0478346710324805
141,3.157,0.0626332927620375
142,3.165,0.0652234189584967
143,3.172,0.0491536147268477
144,3.180,0.0546094124598149
145,3.187,0.0570672768930507
146,3.195,0.0506856468175193
147,3.202,0.0458764621492
148,3.210,0.0440762325942142
149,3.217,0.0430328342398959
150,3.225,0.0335871399830213
151,3.233,0.0446273232743119
152,3.240,0.031412168765569
153,3.248,0.0870172183874271
154,3.255,0.47057265779756
155,3.263,0.999575623436946
156,3.270,0.47295704347345
157,3.278,0.0834167592774555
158,3.285,0.0433010317042101
159,3.293,0.0400312270022971
160,3.300,0.0491389189753784
161,3.308,0.0586948313682726
162,3.315,0.0687871386897951
163,3.323,0.0345350159527893
164,3.330,0.0378158424683043
165,3.338,0.0342668184884751
166,3.346,0.0341419046009863
167,3.353,0.0466443151634695
168,3.361,0.0349097576152557
169,3.368,0.0388702626362246
170,3.376,0.0303797922248526
171,3.383,0.0271614226530821
172,3.391,0.0301005729469365
173,3.398,0.0219628005708271
174,3.406,0.0245088395128785
175,3.413,0.0245933400838268
176,3.421,0.0316583226026793
177,3.428,0.0301740517042828
178,3.436,0.0225873700082711
179,3.443,0.0199200911165983
180,3.451,0.0343917323759639
181,3.459,0.0228004584045756
182,3.466,0.0267425937362078
183,3.474,0.030221812896558
184,3.481,0.0419122831903639
185,3.489,0.0909226143403861
186,3.496,0.0487568294371773
187,3.504,0.0221097580855198
188,3.511,0.0177634895884826
189,3.519,0.0258498268344495
190,3.526,0.013990355398747
191,3.534,0.0296413307135217
192,3.541,0.0188473012593414
