#"+EI TIC Scan IPA-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.244293135114411
1,2.102,0.229191852472424
2,2.110,0.229440752294407
3,2.117,0.20440795872278
4,2.125,0.202673820618796
5,2.132,0.18483872025994
6,2.140,0.189494371028518
7,2.148,0.185817998248072
8,2.155,0.155505264190432
9,2.163,0.161091229047735
10,2.170,0.169937373540529
11,2.178,0.157182277745108
12,2.185,0.173434212023151
13,2.193,0.147981144981616
14,2.200,0.142056513153417
15,2.208,0.143496867860961
16,2.215,0.140538632271812
17,2.223,0.134769052791734
18,2.230,0.135870740528382
19,2.238,0.130966189937821
20,2.246,0.116476956038416
21,2.253,0.122046599595917
22,2.261,0.10835710938682
23,2.268,0.116297421740592
24,2.276,0.120598084238472
25,2.283,0.107230939700468
26,2.291,0.11332286485164
27,2.298,0.0998333105651201
28,2.306,0.102244782610895
29,2.313,0.110474798036156
30,2.321,0.116758498460004
31,2.328,0.101575609319005
32,2.336,0.106810666230562
33,2.343,0.100526965806714
34,2.351,0.0942677473325692
35,2.359,0.100677937829884
36,2.366,0.0953082301949596
37,2.374,0.0900446110087493
38,2.381,0.0882859909550621
39,2.389,0.0831978257417255
40,2.396,0.0934272003927557
41,2.404,0.113388150050849
42,2.411,0.16623651881038
43,2.419,0.382901773684613
44,2.426,0.376389575063535
45,2.434,0.127930428174611
46,2.441,0.0974585614438997
47,2.449,0.10442775645944
48,2.457,0.0965772112545808
49,2.464,0.0971933403221139
50,2.472,0.0841934250296599
51,2.479,0.0863682382283033
52,2.487,0.0807414701214941
53,2.494,0.0927253845012611
54,2.502,0.0868497165724683
55,2.509,0.0972463845464711
56,2.517,0.0851931046425448
57,2.524,0.0808924421446645
58,2.532,0.0941208556343493
59,2.539,0.0861274990562208
60,2.547,0.0911218167956947
61,2.554,0.098935639075999
62,2.562,0.0893468754422052
63,2.570,0.0723564023481127
64,2.577,0.0761103013026193
65,2.585,0.0848666786465007
66,2.592,0.0788400386945376
67,2.600,0.0783463193755209
68,2.607,0.072662426719404
69,2.615,0.0816105793359614
70,2.622,0.0677497154789412
71,2.630,0.0665174573438749
72,2.637,0.0765183337976743
73,2.645,0.0760858193529159
74,2.652,0.0802844737270325
75,2.660,0.0647588372901877
76,2.668,0.0855848158377976
77,2.675,0.062204553871143
78,2.683,0.0574958588782077
79,2.690,0.0835732156371762
80,2.698,0.071364883385129
81,2.705,0.073462170409712
82,2.713,0.0656605891042593
83,2.720,0.0678272416530016
84,2.728,0.0708344411415574
85,2.735,0.0748168382932947
86,2.743,0.115571123899394
87,2.750,0.094414639030789
88,2.758,0.0795948988103894
89,2.765,0.069512415857579
90,2.773,0.0710547786888871
91,2.781,0.105994601240451
92,2.788,0.0918440343119421
93,2.796,0.0714056866346345
94,2.803,0.0619026098248023
95,2.811,0.0669662930884355
96,2.818,0.0866334593500891
97,2.826,0.081859479157945
98,2.833,0.0660604609494133
99,2.841,0.0572714410059274
100,2.848,0.0786156208222573
101,2.856,0.0815167318620987
102,2.863,0.0651791107600943
103,2.871,0.0683821658462765
104,2.878,0.0685004952698425
105,2.886,0.0771222218903558
106,2.894,0.0623881684939178
107,2.901,0.0923214323311566
108,2.909,0.0729358084910909
109,2.916,0.0730296559649536
110,2.924,0.0680802217999358
111,2.931,0.0814677679626921
112,2.939,0.0669418111387322
113,2.946,0.0687453147668755
114,2.954,0.072617543144948
115,2.961,0.69727040949978
116,2.969,8.78720419888287
117,2.976,38.648238123847
118,2.984,78.9766642951818
119,2.992,100
120,2.999,2.63630203087566
121,3.007,0.143721285733242
122,3.014,0.132271893921997
123,3.022,0.123943950697923
124,3.029,0.114387829663734
125,3.037,0.0841689430799566
