#"+EI TIC Scan IPA-EndBlank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.223120031953872
1,2.102,0.208873417923431
2,2.110,0.201019359605995
3,2.117,0.195481033947102
4,2.125,0.179789111246906
5,2.132,0.174752797562942
6,2.140,0.163445382676036
7,2.148,0.159797698890464
8,2.155,0.140587643882097
9,2.163,0.153089361451294
10,2.170,0.159044680928071
11,2.178,0.163161988819222
12,2.185,0.147765605426847
13,2.193,0.129004932105714
14,2.200,0.118041638330655
15,2.208,0.128923962432339
16,2.215,0.127571768886966
17,2.223,0.124721636384144
18,2.230,0.122187285607487
19,2.238,0.116138851006328
20,2.245,0.106207920566807
21,2.253,0.115511336037666
22,2.261,0.107252429353353
23,2.268,0.114438487865439
24,2.276,0.100969182699404
25,2.283,0.0972283837894504
26,2.291,0.111009422197982
27,2.298,0.0925928699886958
28,2.306,0.0941474877175078
29,2.313,0.103762636430863
30,2.321,0.0901394888854144
31,2.328,0.098548189465473
32,2.336,0.0904350281932354
33,2.343,0.0853865690582652
34,2.351,0.0841639269902933
35,2.359,0.0863622536224415
36,2.366,0.0903945433565476
37,2.374,0.0976777654766851
38,2.381,0.0825890668431374
39,2.389,0.0889735255888054
40,2.396,0.0940867604624761
41,2.404,0.106904259757838
42,2.411,0.152862646365842
43,2.419,0.371375503904641
44,2.426,0.334955344820285
45,2.434,0.11692830532174
46,2.441,0.0890625922295186
47,2.449,0.0776215773815428
48,2.456,0.0830829818507287
49,2.464,0.0932689667613823
50,2.472,0.0753949113637131
51,2.479,0.087038350395128
52,2.487,0.0805445825904028
53,2.494,0.0795891404445705
54,2.502,0.0885727257055961
55,2.509,0.0623345030482248
56,2.517,0.0672372167711189
57,2.524,0.0792693102347368
58,2.532,0.0716055306497339
59,2.539,0.0793340859734373
60,2.547,0.0830303515630345
61,2.554,0.101969158165593
62,2.562,0.0817145943706806
63,2.570,0.0678525862887737
64,2.577,0.0739738935959709
65,2.585,0.0752613114026433
66,2.592,0.0716338700354153
67,2.600,0.0777632743099501
68,2.607,0.0718039063495041
69,2.615,0.0687796890489245
70,2.622,0.0702088037840043
71,2.630,0.073694548222825
72,2.637,0.0695003191419676
73,2.645,0.0649052901779009
74,2.652,0.0701318825942975
75,2.660,0.0658121505197079
76,2.667,0.0651967810020531
77,2.675,0.064625944804755
78,2.683,0.0679335559621493
79,2.690,0.070585312765201
80,2.698,0.0686663315061987
81,2.705,0.0582819708957748
82,2.713,0.0638445874566802
83,2.720,0.0617677153345954
84,2.728,0.0679659438314995
85,2.735,0.0661522231478855
86,2.743,0.0900342283100261
87,2.750,0.0798765827850539
88,2.758,0.0830344000467033
89,2.765,0.08487241163233
90,2.773,0.0658242959707142
91,2.781,0.0828684122162833
92,2.788,0.0806376977147848
93,2.796,0.0605207823646108
94,2.803,0.0653020415774415
95,2.811,0.0565856562385554
96,2.818,0.0839898421925357
97,2.826,0.0704395673531249
98,2.833,0.0575977771557508
99,2.841,0.0677635196480605
100,2.848,0.0768240260987929
101,2.856,0.0615329032818061
102,2.863,0.0652170234203971
103,2.871,0.0671076652937179
104,2.878,0.0739293602756143
105,2.886,0.0695610463969993
106,2.894,0.0646542841904365
107,2.901,0.0851639024564822
108,2.909,0.0613831093860612
109,2.916,0.0679052165764678
110,2.924,0.0809737218592937
111,2.931,0.072010379016612
112,2.939,0.0594317402577087
113,2.946,0.0639903328687563
114,2.954,0.0725569243118974
115,2.961,0.6446967333514
116,2.969,8.45046878606946
117,2.976,34.8253965914844
118,2.984,76.3244027292286
119,2.991,100
120,2.999,2.78162811066255
121,3.007,0.146733242091307
122,3.014,0.108466974453987
123,3.022,0.101669570374103
124,3.029,0.0862246051777029
125,3.037,0.0889694771051366
126,3.044,0.100074467808604
127,3.052,0.110377858745652
