#"+EI TIC Scan MEOH-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.188981402590101
1,2.102,0.196308681252811
2,2.110,0.180641928178155
3,2.117,0.154604943182079
4,2.125,0.157705190539802
5,2.132,0.149792238864956
6,2.140,0.155935439481389
7,2.147,0.144037364919613
8,2.155,0.156642066702554
9,2.162,0.156164615877443
10,2.170,0.145075024712855
11,2.178,0.131076166520588
12,2.185,0.137932360369188
13,2.193,0.135736086573675
14,2.200,0.100723026065505
15,2.208,0.111023231865908
16,2.215,0.109005206378437
17,2.223,0.111354264437986
18,2.230,0.115441243500939
19,2.238,0.124296364804006
20,2.245,0.101194110879615
21,2.253,0.0996217061622477
22,2.260,0.106815298593926
23,2.268,0.108642343751353
24,2.275,0.100665731966491
25,2.283,0.0761693216327749
26,2.291,0.105924057053718
27,2.298,0.108979742334432
28,2.306,0.10421796610532
29,2.313,0.119801961036957
30,2.321,0.0958593936603697
31,2.328,0.111150552085938
32,2.336,0.0996599022282566
33,2.343,0.0817968753580881
34,2.351,0.0839931491536006
35,2.358,0.0924726758075794
36,2.366,0.0775380139980943
37,2.373,0.084285985659669
38,2.381,0.0896907289999302
39,2.389,0.120896914929212
40,2.396,0.231780094553088
41,2.404,0.335870740438379
42,2.411,0.236026223891079
43,2.419,0.121438025864339
44,2.426,0.10781476232116
45,2.434,0.106178697493778
46,2.441,0.0976928048287976
47,2.449,0.106821664604928
48,2.456,0.102639195376952
49,2.464,0.0838467309005665
50,2.471,0.097501824498753
51,2.479,0.082949123349357
52,2.486,0.0952100605382182
53,2.494,0.102040790342812
54,2.502,0.0889968338007683
55,2.509,0.102225404661855
56,2.517,0.0889459057127564
57,2.524,0.0936121917768453
58,2.532,0.0927909763576537
59,2.539,0.1037023192142
60,2.547,0.0758319230496961
61,2.554,0.0971262298496654
62,2.562,0.0873225729073776
63,2.569,0.0809310978618861
64,2.577,0.0713184212496429
65,2.584,0.0863995013121622
66,2.592,0.0853491094969171
67,2.600,0.0816631891270569
68,2.607,0.0692685657071645
69,2.615,0.071935924316787
70,2.622,0.0912567677062957
71,2.630,0.0764048640398298
72,2.637,0.0766531384688878
73,2.645,0.0818159733910926
74,2.652,0.0651497565892033
75,2.660,0.0780536608892146
76,2.667,0.0694468140152061
77,2.675,0.0699242648403175
78,2.682,0.0804218169817672
79,2.690,0.0844642339677106
80,2.697,0.0820642478201505
81,2.705,0.0733428127481153
82,2.713,0.0840058811756036
83,2.720,0.0725343293509266
84,2.728,0.104230698127323
85,2.735,0.114467243817712
86,2.743,0.108750565938378
87,2.750,0.10151877744069
88,2.758,0.0716430878107186
89,2.765,0.0993225036451779
90,2.773,0.117853961670502
91,2.780,0.0826180907772797
92,2.788,0.069733284510273
93,2.795,0.0693831539051912
94,2.803,0.0877427296334756
95,2.810,0.103931495610253
96,2.818,0.0699369968623205
97,2.826,0.0654107630402642
98,2.833,0.0672059781426832
99,2.841,0.0804982091137851
100,2.848,0.0696696244002581
101,2.856,0.0699879249503324
102,2.863,0.066626671141548
103,2.871,0.0769205109309502
104,2.878,0.0772006154150155
105,2.886,0.0733428127481153
106,2.893,0.077639870174118
107,2.901,0.0865968476532082
108,2.908,0.0977437329168095
109,2.916,0.0717513099977439
110,2.924,0.0905246764411248
111,2.931,0.0638001622568884
112,2.939,0.0722223948118538
113,2.946,0.0939304923269196
114,2.954,1.3014036290337
115,2.961,16.2555136021284
116,2.969,59.2291435474367
117,2.976,100
118,2.984,19.1981767235211
119,2.991,0.329854860041975
120,2.999,0.14753867097043
121,3.006,0.133660766987191
