#"+EI TIC Scan MEOH-EndBlank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.225385729803042
1,2.102,0.201935571346877
2,2.110,0.181745300389103
3,2.117,0.194705982136737
4,2.125,0.163060098457804
5,2.133,0.164565167484278
6,2.140,0.175376689530352
7,2.148,0.163888215040056
8,2.155,0.155869943370628
9,2.163,0.142882972207685
10,2.170,0.152406312903588
11,2.178,0.153793079561169
12,2.185,0.14120044962787
13,2.193,0.137184741439328
14,2.200,0.13113817591812
15,2.208,0.127451085420948
16,2.215,0.101194531880484
17,2.223,0.113412537645621
18,2.230,0.0987430439028635
19,2.238,0.114819021364685
20,2.246,0.107260814463174
21,2.253,0.100064087022171
22,2.261,0.104145518748987
23,2.268,0.108930192335334
24,2.276,0.0953911434508893
25,2.283,0.0899229450664922
26,2.291,0.103698598688723
27,2.298,0.0988810633332389
28,2.306,0.096436147709446
29,2.313,0.0773434598408478
30,2.321,0.115009619625679
31,2.328,0.0874846017965266
32,2.336,0.0870376817362634
33,2.344,0.0895811826674674
34,2.351,0.0826013429027681
35,2.359,0.0757463778607895
36,2.366,0.0834886106694672
37,2.374,0.0683261903896545
38,2.381,0.0818915286894089
39,2.389,0.133300480327335
40,2.396,0.309715601762416
41,2.404,0.367164546567723
42,2.411,0.236065804772567
43,2.419,0.132051733100129
44,2.426,0.105236529484335
45,2.434,0.104000926964784
46,2.441,0.107983773384188
47,2.449,0.113110209369561
48,2.457,0.0987233268413813
49,2.464,0.102863909752644
50,2.472,0.09336685847205
51,2.479,0.0856574874325093
52,2.487,0.103876052242063
53,2.494,0.0948850722061795
54,2.502,0.109265382380532
55,2.509,0.0743333217878984
56,2.517,0.0836266300998426
57,2.524,0.100550441205399
58,2.532,0.0937809167631762
59,2.539,0.0892459926222699
60,2.547,0.0863607292920412
61,2.554,0.0960418064798019
62,2.562,0.0987627609643457
63,2.570,0.0852302844337283
64,2.577,0.0909153704944296
65,2.585,0.0980332296895043
66,2.592,0.0752665960313893
67,2.600,0.076837388596138
68,2.607,0.0919538023991589
69,2.615,0.0840472607447962
70,2.622,0.0816746410131047
71,2.630,0.100714750051084
72,2.637,0.0919209406300219
73,2.645,0.0751548660163235
74,2.652,0.0772908810102286
75,2.660,0.0739521252659092
76,2.668,0.0713954796270505
77,2.675,0.0637846938949208
