#"+EI TIC Scan TCM-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.103558636092651
1,2.102,0.100053198932896
2,2.110,0.0910925341931851
3,2.117,0.0997148632070292
4,2.125,0.0978836646907395
5,2.132,0.101200750003104
6,2.140,0.0912355420773144
7,2.147,0.0825713570973836
8,2.155,0.0716295099629058
9,2.162,0.0703668549859594
10,2.170,0.0902065829110183
11,2.178,0.0807052786093551
12,2.185,0.0740641319902777
13,2.193,0.0718178618102956
14,2.200,0.0746780194928815
15,2.208,0.0639628921747062
16,2.215,0.0666905059646845
17,2.223,0.0658150186740393
18,2.230,0.0627525571553681
19,2.238,0.0581484008858397
20,2.245,0.0561393145136818
21,2.253,0.0589366882471377
22,2.260,0.0736944042898459
23,2.268,0.0560276986041175
24,2.275,0.0542034760821755
25,2.283,0.0525292374387107
26,2.291,0.0422570857616188
27,2.298,0.0628711490592802
28,2.306,0.0550684993812991
29,2.313,0.0501015914056866
30,2.321,0.0491842481489548
31,2.328,0.0931155725540385
32,2.336,0.169195766910822
33,2.343,0.106387401800672
34,2.351,0.0790101119828469
35,2.358,0.0726131251659415
36,2.366,0.0674160093768526
37,2.373,0.0584867366117065
38,2.381,0.0519572059021935
39,2.389,0.0852117709580147
40,2.396,0.319151741410493
41,2.404,0.378873229021755
42,2.411,0.111507781651935
43,2.419,0.0534989006530507
44,2.426,0.0460938826528925
45,2.434,0.037757569407307
46,2.441,0.0490830962309121
47,2.449,0.0520723098089317
48,2.456,0.0560869945560735
49,2.464,0.061904973842114
50,2.471,0.0533454287773998
51,2.479,0.0632443647568859
52,2.486,0.0554800830478175
53,2.494,0.0541999880850017
54,2.502,0.0435336927272608
55,2.509,0.050757334874377
56,2.517,0.0620131017545044
57,2.524,0.053519828636094
58,2.532,0.0590971361171364
59,2.539,0.0504922470891617
60,2.547,0.0484587447367867
61,2.554,0.0440813082835608
62,2.562,0.0475100095054899
63,2.569,0.164089339048254
64,2.577,0.241188028579812
65,2.584,0.0939980358390314
66,2.592,0.0557102908612939
67,2.600,0.0580228329875798
68,2.607,0.0580577129593186
69,2.615,0.0673043934672882
70,2.622,0.0558812027228143
71,2.630,0.0469484419604944
72,2.637,0.0456334670259397
73,2.645,0.0518176860152381
74,2.652,0.0499655595159051
75,2.660,0.0437918045181283
76,2.667,0.051971157890889
77,2.675,0.0324872056775665
78,2.682,0.045926458788546
79,2.690,0.0441580442213863
80,2.697,0.0471856257683186
81,2.705,0.0573322095471505
82,2.713,0.0474542015507077
83,2.720,0.0528117652097954
84,2.728,0.0815982058858697
85,2.735,0.0954350906746721
86,2.743,0.0696064716020525
87,2.750,0.0655150509170851
88,2.758,0.0593447839164823
89,2.765,0.08389679602346
90,2.773,0.0803390389060971
91,2.780,0.0552498752343411
92,2.788,0.0517758300491515
93,2.795,0.0680612888540213
94,2.803,0.0719713336859466
95,2.810,0.0608620626871223
96,2.818,0.0495923438182993
97,2.826,0.0485633846520032
98,2.833,0.0470461058813632
99,2.841,0.051273558456112
100,2.848,0.0540255882263074
