#"+EI TIC Scan TCM-EndBlank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.100047655411186
1,2.102,0.0899280575539568
2,2.110,0.0837701746025366
3,2.117,0.0894579627598799
4,2.125,0.0899639426527413
5,2.132,0.0821912302560187
6,2.140,0.0679376690188153
7,2.147,0.0764137293517142
8,2.155,0.0593934269982258
9,2.163,0.0785991318676902
10,2.170,0.067847956271854
11,2.178,0.075957988597151
12,2.185,0.07315895089196
13,2.193,0.0673025027703296
14,2.200,0.0553922384837541
15,2.208,0.0581769221494313
16,2.215,0.0660572898425075
17,2.223,0.0513766959297686
18,2.230,0.0478527792291307
19,2.238,0.0529484632565297
20,2.245,0.0506841135232277
21,2.253,0.0539783655916448
22,2.261,0.0589663943226903
23,2.268,0.0519185609214145
24,2.276,0.0358958643141353
25,2.283,0.0556470226851241
26,2.291,0.039538201840762
27,2.298,0.0365597386416485
28,2.306,0.0451255117215087
29,2.313,0.0549939138872461
30,2.321,0.0468695275224354
31,2.328,0.0984041178868557
32,2.336,0.153566691738389
33,2.343,0.0931648934643187
34,2.351,0.0744472259383236
35,2.358,0.0600931864245236
36,2.366,0.0503109084958689
37,2.374,0.050056124294499
38,2.381,0.0487499066987432
39,2.389,0.0638934183858021
40,2.396,0.314087915621214
41,2.404,0.402178656117405
42,2.411,0.0975751721049338
43,2.419,0.0428719275178421
44,2.426,0.0484161752800473
45,2.434,0.0480142621736609
46,2.441,0.0398755217693363
47,2.449,0.0425740811979307
48,2.456,0.0482188072367326
49,2.464,0.0444365178248463
50,2.472,0.0462379497838282
51,2.479,0.0450860381128457
52,2.487,0.0466398628902146
53,2.494,0.0462235957443144
54,2.502,0.0420716898149477
55,2.509,0.0453587648636079
56,2.517,0.0368252883726538
57,2.524,0.0436362801219519
58,2.532,0.0565908007831564
59,2.539,0.0589018011448782
60,2.547,0.0426602054350135
61,2.554,0.0360394047092733
62,2.562,0.0402415497769382
63,2.569,0.14404996354074
64,2.577,0.234100030430564
65,2.585,0.0901433681466638
66,2.592,0.0603264395666228
67,2.600,0.0490944036470744
68,2.607,0.0569101781623384
69,2.615,0.0629927024063112
70,2.622,0.0452116359585915
71,2.630,0.046571681202524
72,2.637,0.0503360280650181
73,2.645,0.0314497005747357
74,2.652,0.0333013716720159
75,2.660,0.0489688058013286
76,2.667,0.0487319641493509
77,2.675,0.0334520890869108
78,2.682,0.0340944323551534
79,2.690,0.0371554312814712
80,2.698,0.0381566255375588
81,2.705,0.0525034880316019
82,2.713,0.0442678578605591
83,2.720,0.0536410456630705
84,2.728,0.0665704467551258
85,2.735,0.0949304403245161
86,2.743,0.0690716381404055
87,2.750,0.0563073085027588
88,2.758,0.0465788582222809
89,2.765,0.0581195059913761
90,2.773,0.0830668266663604
91,2.780,0.0490369874890192
92,2.788,0.0514771742063652
93,2.796,0.0621135174860909
94,2.803,0.0636709307733382
95,2.811,0.0604017982740703
96,2.818,0.0524891339920881
97,2.826,0.0497833975437368
98,2.833,0.0509353092147192
99,2.841,0.0489221551729088
100,2.848,0.0508958356060563
101,2.856,0.0590489300498946
102,2.863,0.0694843167764272
103,2.871,0.0385405960945529
104,2.878,0.0523097084981656
105,2.886,0.0596266801403251
106,2.893,0.058987925381961
107,2.901,0.0601864876813633
108,2.909,0.0543264510498545
109,2.916,0.0544053982671804
110,2.924,0.0546781250179426
111,2.931,0.048581246734456
112,2.939,0.0441996761728686
113,2.946,0.0597343354366786
114,2.954,0.277872673927897
115,2.961,6.3164089638106
116,2.969,30.3626619853359
117,2.976,66.2472081393146
118,2.984,100
119,2.991,37.2082469698623
120,2.999,0.178668318338147
121,3.007,0.0974746938283372
122,3.014,0.106227069421877
123,3.022,0.0843263936336964
124,3.029,0.0684149408326491
125,3.037,0.0812653947073785
126,3.044,0.0885213616816044
127,3.052,0.0765500927270953
128,3.059,0.0707761803326692
